dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
ACOA,ex1,16,19,22,20,19,0.03212
ACOA,ex2,7,8,8,10,5,0.01271
ACOA,ex3,7,8,8,8,8,0.01305
ACOA,ex4,4,4,4,3,4,0.00636
ACOA,ex5,1,.,.,.,.,0.00033
ACOA,non,556,565,573,552,550,0.93543
AECB,ex1,45,43,43,41,40,0.04986
AECB,ex2,.,.,17,16,16,0.01152
AECB,ex3,12,16,16,14,11,0.01623
AECB,ex4,4,4,4,4,3,0.00447
AECB,ex5,1,1,1,1,1,0.00118
AECB,non,759,758,770,783,828,0.91675
AGR,ex1,61,63,58,64,65,0.01189
AGR,ex2,32,33,32,37,34,0.00642
AGR,ex3,19,18,16,17,16,0.00329
AGR,ex4,4,5,6,6,6,0.00103
AGR,ex5,3,2,4,4,3,0.00061
AGR,non,5172,5073,5051,5106,5153,0.97676
ATSSC,ex1,.,15,16,12,9,0.02825
ATSSC,ex2,.,4,4,5,6,0.01032
ATSSC,ex3,.,3,2,4,4,0.00706
ATSSC,non,.,327,352,549,529,0.95437
CAS,ex1,11,11,11,12,12,0.01791
CAS,ex2,1,1,1,1,1,0.00157
CAS,ex3,1,1,.,.,.,0.00063
CAS,ex4,1,.,1,1,1,0.00126
CAS,non,600,605,655,622,633,0.97864
CAT,non,9,.,.,.,.,1
CB,ex2,1,.,.,.,.,0.01351
CB,ex3,.,1,1,1,1,0.05405
CB,non,12,16,13,13,15,0.93243
CBSA,ex1,113,104,115,92,90,0.00733
CBSA,ex2,44,44,43,41,40,0.00302
CBSA,ex3,29,30,36,33,31,0.00227
CBSA,ex4,4,5,4,3,5,0.0003
CBSA,ex5,3,3,4,4,4,0.00026
CBSA,non,13903,13927,13969,13534,13843,0.98682
CCMD,ex1,27,23,25,25,19,0.03804
CCMD,ex2,7,6,10,6,6,0.01119
CCMD,ex3,6,5,4,3,6,0.00767
CCMD,ex4,3,5,5,4,3,0.00639
CCMD,non,582,607,604,572,565,0.9367
CCRA,ex1,206,197,194,206,211,0.00501
CCRA,ex2,141,133,125,118,126,0.00318
CCRA,ex3,60,63,53,58,63,0.00147
CCRA,ex4,15,15,14,15,12,0.00035
CCRA,ex5,10,10,10,10,9,0.00024
CCRA,non,39847,39641,39088,39816,41731,0.98974
CDC,ex1,2,2,2,4,4,0.0473
CDC,ex2,.,1,1,1,1,0.01351
CDC,ex3,1,1,1,.,.,0.01014
CDC,non,48,52,56,56,63,0.92905
CEAA,ex1,11,16,17,17,13,0.05763
CEAA,ex2,1,2,1,1,2,0.00545
CEAA,ex3,2,2,3,3,3,0.01012
CEAA,non,216,209,237,268,260,0.92679
CEO,ex1,16,19,17,15,19,0.02825
CEO,ex2,4,4,6,8,7,0.00953
CEO,ex3,5,3,3,3,4,0.00591
CEO,ex4,2,2,2,1,1,0.00263
CEO,non,493,602,606,557,645,0.95368
CFGB,ex2,1,1,1,2,1,0.03226
CFGB,non,36,41,34,37,32,0.96774
CFIA,ex1,65,66,75,67,56,0.01072
CFIA,ex2,37,38,39,50,44,0.00678
CFIA,ex3,26,28,28,22,26,0.00423
CFIA,ex4,4,4,4,5,6,0.00075
CFIA,ex5,4,4,3,3,1,0.00049
CFIA,non,6179,5869,5797,6033,6116,0.97704
CGC,ex1,5,4,4,4,5,0.01055
CGC,ex2,3,2,2,2,2,0.00528
CGC,ex4,1,1,2,1,1,0.00288
CGC,non,404,401,395,428,418,0.98129
CH,ex1,62,55,62,60,57,0.03305
CH,ex2,21,20,21,24,21,0.01195
CH,ex3,16,17,16,13,14,0.00849
CH,ex4,3,1,3,3,3,0.00145
CH,ex5,2,1,2,2,2,0.001
CH,non,1717,1679,1658,1657,1744,0.94406
CHRC,ex1,8,8,8,8,10,0.04179
CHRC,ex2,2,4,2,1,1,0.00995
CHRC,ex3,.,.,.,.,1,0.001
CHRC,ex4,1,1,1,1,1,0.00498
