dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
ACOA,cas,19,17,26,16,15,0.03111
ACOA,ind,547,552,559,552,536,0.9187
ACOA,stu,16,18,14,17,13,0.0261
ACOA,ter,9,17,16,8,22,0.02409
AECB,ind,798,767,755,753,793,0.90922
AECB,na,.,.,.,1,.,0.00024
AECB,stu,.,.,.,14,16,0.00706
AECB,ter,23,55,96,91,90,0.08349
AGR,cas,197,214,300,198,183,0.04174
AGR,ind,4405,4204,4098,4280,4318,0.81432
AGR,stu,514,590,574,512,477,0.10194
AGR,ter,175,186,195,244,299,0.04201
ATSSC,cas,.,23,24,32,22,0.05486
ATSSC,ind,.,278,290,393,392,0.73493
ATSSC,na,.,.,.,1,.,0.00054
ATSSC,stu,.,3,10,10,5,0.01521
ATSSC,ter,.,45,50,134,129,0.19446
CAS,cas,34,45,47,17,32,0.05498
CAS,ind,489,477,507,522,510,0.78699
CAS,stu,23,18,21,16,13,0.02859
CAS,ter,68,78,93,81,92,0.12944
CAT,ind,9,.,.,.,.,1
CB,ind,13,15,13,12,15,0.91892
CB,ter,.,2,1,2,1,0.08108
CBSA,cas,345,291,306,114,282,0.01909
CBSA,ind,13183,13267,13245,13006,12978,0.93693
CBSA,stu,352,386,435,440,617,0.03181
CBSA,ter,216,169,185,147,136,0.01217
CCMD,cas,48,52,59,43,56,0.08248
CCMD,ind,555,558,541,528,494,0.8555
CCMD,stu,11,21,27,26,31,0.03708
CCMD,ter,11,15,21,13,18,0.02494
CCRA,ind,31419,31054,30637,30889,31565,0.76937
CCRA,na,.,.,.,1,1,0.00001
CCRA,stu,690,746,701,997,1174,0.02131
CCRA,ter,8170,8259,8146,8336,9412,0.20932
CDC,cas,.,1,2,4,2,0.03041
CDC,ind,45,46,54,54,64,0.88851
CDC,stu,3,2,1,.,.,0.02027
CDC,ter,3,7,3,3,2,0.06081
CEAA,cas,24,18,30,19,16,0.08333
CEAA,ind,182,184,199,232,237,0.8053
CEAA,stu,6,6,8,13,2,0.02726
CEAA,ter,18,21,21,25,23,0.08411
CEO,cas,55,38,113,39,59,0.09987
CEO,ind,317,313,324,325,334,0.52989
CEO,stu,29,23,21,14,20,0.03515
CEO,ter,119,256,176,206,263,0.33509
CFGB,cas,.,2,.,.,.,0.01075
CFGB,ind,35,37,33,38,30,0.93011
CFGB,ter,2,3,2,1,3,0.05914
CFIA,ind,5627,5423,5330,5501,5475,0.8911
CFIA,stu,107,71,64,92,96,0.01401
CFIA,ter,581,515,552,587,678,0.09489
CGC,cas,10,12,5,8,5,0.01918
CGC,ind,388,379,378,394,388,0.92422
CGC,stu,7,9,6,4,3,0.01391
CGC,ter,8,8,14,29,30,0.04269
CH,cas,103,125,101,79,84,0.05494
CH,ind,1603,1526,1520,1546,1603,0.8707
CH,stu,53,43,58,61,84,0.03339
CH,ter,62,79,83,73,70,0.04098
CHRC,cas,7,11,15,11,13,0.05672
CHRC,ind,165,167,167,162,172,0.82886
CHRC,stu,7,8,10,11,8,0.04378
CHRC,ter,20,18,13,7,13,0.07065
CHRT,cas,1,.,.,.,.,0.05
CHRT,ind,16,.,.,.,.,0.8
CHRT,ter,3,.,.,.,.,0.15
CI,cas,822,1008,996,722,738,0.13246
CI,ind,4253,4242,4381,4565,4833,0.68838
CI,na,.,.,.,4,4,0.00025
CI,stu,148,145,135,65,95,0.01817
CI,ter,704,990,1075,1109,1323,0.16074
CICS,cas,1,.,.,.,3,0.03571
CICS,ind,22,22,21,20,17,0.91071
CICS,stu,1,1,1,1,1,0.04464
CICS,ter,.,.,.,1,.,0.00893
CIHR,ind,365,361,361,391,393,0.85629
CIHR,stu,15,25,11,18,24,0.04256
CIHR,ter,32,46,37,53,53,0.10114
CIRB,cas,2,.,.,.,.,0.02273
CIRB,ind,76,.,.,.,.,0.86364
CIRB,ter,10,.,.,.,.,0.11364
CITT,cas,7,.,.,.,.,0.09091
CITT,ind,57,.,.,.,.,0.74026
CITT,stu,4,.,.,.,.,0.05195
CITT,ter,9,.,.,.,.,0.11688
CNEDA,cas,.,7,3,4,3,0.05466
CNEDA,ind,.,65,67,71,73,0.88746
CNEDA,stu,.,.,1,1,1,0.00965
CNEDA,ter,.,3,6,2,4,0.04823
CPAC,cas,.,.,1,.,.,0.01818
CPAC,ind,15,16,15,.,.,0.83636
CPAC,ter,2,3,3,.,.,0.14545
CPCC,cas,1,.,3,1,10,0.10563
CPCC,ind,8,7,17,17,35,0.59155
CPCC,na,.,.,.,1,.,0.00704
CPCC,stu,.,1,.,.,2,0.02113
CPCC,ter,2,6,9,8,14,0.27465
CRTC,cas,19,24,16,10,16,0.03754
CRTC,ind,395,411,406,421,407,0.90106
CRTC,stu,7,8,9,10,14,0.0212
CRTC,ter,14,19,19,21,18,0.04019
CSA,cas,16,24,26,37,27,0.04141
CSA,ind,574,542,546,540,570,0.88308
CSA,stu,16,18,17,47,28,0.04014
CSA,ter,15,16,27,31,22,0.03536
CSC,cas,352,178,245,245,265,0.01472
CSC,ind,17013,16646,16131,16102,16001,0.9378
CSC,stu,63,38,60,77,105,0.00393
CSC,ter,831,777,736,685,775,0.04356
CSEC,cas,1,1,3,1,.,0.00054
CSEC,ind,2000,2019,2023,2070,2164,0.92819
CSEC,na,.,.,.,2,2,0.00036
CSEC,stu,.,.,.,55,81,0.01228
CSEC,ter,170,148,136,81,114,0.05862
CTA,cas,8,25,29,20,16,0.08478
CTA,ind,205,199,192,181,185,0.83218
CTA,stu,.,8,6,8,7,0.02509
CTA,ter,5,9,12,14,27,0.05796
CTAIB,cas,7,6,4,6,7,0.02857
CTAIB,ind,191,201,205,195,186,0.93143
CTAIB,stu,1,1,2,4,10,0.01714
CTAIB,ter,4,5,4,4,7,0.02286
EA,cas,261,298,253,273,366,0.04788
EA,ind,5415,5277,5231,5316,5297,0.87563
EA,na,.,.,.,1,.,0.00003
EA,stu,136,143,156,171,241,0.02795
EA,ter,215,255,250,300,450,0.04851
EC,cas,318,292,271,265,330,0.04465
EC,ind,5675,5709,5514,5631,5812,0.85734
EC,stu,372,324,339,347,369,0.05297
EC,ter,185,270,351,358,325,0.04504
ERC,ind,5,4,5,5,6,0.83333
ERC,ter,.,2,2,1,.,0.16667
FCAC,cas,8,7,12,15,11,0.11277
FCAC,ind,66,72,76,76,91,0.81064
FCAC,stu,.,.,4,2,2,0.01702
FCAC,ter,4,5,2,6,11,0.05957
FEDSO,cas,19,25,22,24,15,0.09409
FEDSO,ind,189,181,172,164,175,0.78943
FEDSO,stu,2,2,11,3,12,0.02688
FEDSO,ter,14,10,17,26,33,0.08961
FIN,cas,19,21,23,16,16,0.02524
FIN,ind,715,704,698,713,741,0.94872
FIN,na,.,.,.,1,1,0.00053
FIN,stu,10,5,7,10,14,0.01222
FIN,ter,7,13,7,7,16,0.01328
FJA,cas,2,4,8,3,.,0.05822
FJA,ind,55,48,50,56,60,0.92123
FJA,ter,1,2,1,.,2,0.02055
FO,cas,693,729,647,561,560,0.06244
FO,ind,8457,8221,8190,8593,9280,0.83666
FO,na,.,.,.,24,29,0.00104
FO,stu,89,110,96,100,149,0.01065
FO,ter,719,798,968,952,1120,0.0892
FORDQ,cas,38,37,29,27,7,0.08338
FORDQ,ind,262,258,270,274,269,0.80544
FORDQ,stu,21,19,13,10,9,0.0435
FORDQ,ter,27,17,21,25,22,0.06767
FTRAC,ind,316,317,327,321,326,0.88007
FTRAC,stu,6,17,27,30,26,0.05805
FTRAC,ter,25,21,20,27,20,0.06188
GG,cas,5,6,13,5,8,0.0478
GG,ind,135,137,140,130,122,0.85788
GG,stu,2,3,3,2,8,0.02326
GG,ter,13,10,10,12,10,0.07106
GSC,cas,397,514,618,696,714,0.04665
GSC,ind,10977,10747,10517,11105,11392,0.86883
GSC,na,.,.,.,1,.,0.00002
GSC,stu,198,259,282,389,390,0.02409
GSC,ter,395,572,644,703,1492,0.06041
H,cas,394,257,340,273,307,0.03366
H,ind,8178,8104,8080,8355,8610,0.88542
H,stu,177,157,223,186,245,0.02117
H,ter,592,561,546,513,577,0.05975
HRSD,cas,790,1024,986,703,807,0.03795
HRSD,ind,17549,16953,16840,17613,18761,0.77226
HRSD,stu,349,553,538,458,550,0.02155
HRSD,ter,2409,3177,3948,4955,4621,0.16825
IJC,cas,3,.,2,3,1,0.05696
IJC,ind,24,24,25,24,23,0.75949
IJC,stu,2,2,1,2,3,0.06329
IJC,ter,2,6,4,3,4,0.12025
INAC,cas,224,258,278,244,254,0.05294
INAC,ind,4127,3902,3803,3990,4153,0.84063
INAC,na,.,.,.,.,1,0.00004
INAC,stu,218,261,268,252,247,0.05244
INAC,ter,288,263,233,222,276,0.05395
IOG,cas,6,2,5,2,4,0.0446
IOG,ind,77,74,71,75,72,0.8662
IOG,stu,.,.,5,.,.,0.01174
IOG,ter,2,4,4,11,12,0.07746
IPC,cas,16,24,22,12,12,0.0652
IPC,ind,232,244,220,225,221,0.86581
IPC,stu,1,4,8,7,6,0.01971
IPC,ter,12,10,9,17,17,0.04928
IRB,cas,81,91,84,68,107,0.08572
IRB,ind,781,714,718,759,767,0.74364
IRB,stu,12,14,22,20,13,0.01611
IRB,ter,109,135,149,184,200,0.15453
ISC,cas,85,120,125,166,178,0.0277
ISC,ind,4457,4438,4406,4501,4646,0.92268
ISC,stu,79,80,139,142,159,0.02462
ISC,ter,97,104,106,138,163,0.02499
JJJ,ind,1110,1144,1141,1128,1165,1
JUS,cas,126,132,125,97,103,0.02591
JUS,ind,4134,4055,4007,4012,4059,0.9006
JUS,stu,32,34,44,45,60,0.00955
JUS,ter,282,255,285,307,310,0.06394
LAC,cas,135,105,71,67,38,0.08553
LAC,ind,776,776,744,765,779,0.78947
LAC,stu,18,18,9,15,16,0.01563
LAC,ter,114,127,114,83,94,0.10938
MPCC,cas,1,2,1,1,2,0.06667
MPCC,ind,11,19,22,22,15,0.84762
MPCC,stu,.,.,1,.,.,0.00952
MPCC,ter,2,1,2,2,1,0.07619
ND,cas,821,913,1058,728,824,0.03748
ND,ind,21350,20849,20889,21305,21818,0.9163
ND,stu,204,180,304,376,545,0.01388
ND,ter,771,669,703,769,837,0.03234
NEB,cas,3,5,12,4,8,0.01401
