"dept_code","vote_num","vs_type","name_en","name_fr","doc","est_last_year_4","est_last_year_3","est_last_year_2","est_last_year","est_in_year","est_next_year"
"ACOA",1,1,"Operating and Program","Fonctionnement et Programme","IE",0,0,0,0,0,16476373
"ACOA",1,1,"Operating and Program","Fonctionnement et Programme","ME",63873388,64399896,64222120,63351960,66292642,0
"ACOA",1,1,"Operating and Program","Fonctionnement et Programme","SEC",35962,0,0,0,0,0
"ACOA",1,1,"Operating and Program","Fonctionnement et Programme","VA",4695032,3252679,3219995,6586778,4119021,0
"ACOA",5,3,"Grants & Contributions","Subventions et Contributions","IE",0,0,0,0,0,58590891
"ACOA",5,3,"Grants & Contributions","Subventions et Contributions","ME",216270293,225573493,235160493,240222493,252896893,0
"ACOA",5,3,"Grants & Contributions","Subventions et Contributions","SEA",0,0,8300000,0,25587539,0
"ACOA",5,3,"Grants & Contributions","Subventions et Contributions","SEB",11184057,0,1678001,43594308,3100000,0
"ACOA",5,3,"Grants & Contributions","Subventions et Contributions","SEC",179398,5172480,17340746,154401,0,0
"ACOA",5,3,"Grants & Contributions","Subventions et Contributions","VA",4444802,0,0,0,8853070,0
"ACOA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",8340703,8609600,8814591,7970491,8168627,0
"ACOA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",-132225,-800201,-914400,38240,65284,0
"ACOA","S",0,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs","SA",20,0,0,0,0,0
"ACOA","S",0,"Salary and Motor Car Allowance","Traitement et allocation pour automobile","ME",2000,2000,0,0,0,0
"ACOA","S",0,"Salary and Motor Car Allowance","Traitement et allocation pour automobile","SA",0,-811,0,0,0,0
"ACOA","S",0,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État","SA",22847,31149,28013,26694,0,0
"AECB",1,1,"Operating and Program","Fonctionnement et Programme","IE",0,0,0,0,0,22829478
"AECB",1,1,"Operating and Program","Fonctionnement et Programme","ME",36578266,38921080,38686934,37939524,38176811,0
"AECB",1,1,"Operating and Program","Fonctionnement et Programme","SEB",0,0,86001,0,0,0
"AECB",1,1,"Operating and Program","Fonctionnement et Programme","SEC",167265,103491,0,0,0,0
"AECB",1,1,"Operating and Program","Fonctionnement et Programme","VA",6003821,2626785,1897892,5737595,3004762,0
"AECB","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",4166487,4501548,4608973,4190809,4095344,0
"AECB","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",9491461,8862237,8494883,9386788,0,0
"AECB","S",0,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État","SA",49602,58000,56449,11443,0,0
"AECB","S",0,"Spending of the revenues pursuant to section 21(3) of the Nuclear Safety and Control Act","Dépense des recettes conformément à l'article 21(3) de la Loi sur la sûreté et la réglementation nucléaires","ME",90892542,89757117,92870309,94790126,98530250,0
"AECB","S",0,"Spending of the revenues pursuant to section 21(3) of the Nuclear Safety and Control Act","Dépense des recettes conformément à l'article 21(3) de la Loi sur la sûreté et la réglementation nucléaires","SA",-3956319,210150,1016817,4133678,0,0
"AECL",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","IE",0,0,0,0,0,299320507
"AECL",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","ME",102143000,102143000,968615589,971055162,1043539640,0
"AECL",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","SEA",195000000,164900000,0,0,43292,0
"AECL",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","SEB",35285000,0,0,300001,0,0
"AECL",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","SEC",0,52283692,0,0,0,0
"AECL",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","VA",0,232800000,0,0,0,0
"AECL","S",0,"Pursuant to section 2146 of the Jobs and Economic Growth Act, for the divestiture of Atomic Energy of Canada Limited","Conformément à l'article 2146 de la Loi sur l'emploi et la croissance, pour la dissolution d'Énergie atomique du Canada limitée","ME",0,17000000,0,0,0,0
"AECL","S",0,"Pursuant to section 2146 of the Jobs and Economic Growth Act, for the divestiture of Atomic Energy of Canada Limited","Conformément à l'article 2146 de la Loi sur l'emploi et la croissance, pour la dissolution d'Énergie atomique du Canada limitée","SA",1100000,-17000000,0,0,0,0
"AGR",1,1,"Operating and Program","Fonctionnement et Programme","IE",0,0,0,0,0,141880609
"AGR",1,1,"Operating and Program","Fonctionnement et Programme","ME",544949432,548177880,534827658,535624241,568453709,0
"AGR",1,1,"Operating and Program","Fonctionnement et Programme","SEA",0,-7400000,2127657,6175775,23863536,0
"AGR",1,1,"Operating and Program","Fonctionnement et Programme","SEB",5588731,0,1993716,1270503,0,0
"AGR",1,1,"Operating and Program","Fonctionnement et Programme","SEC",0,6851667,344107670,-199000,0,0
"AGR",1,1,"Operating and Program","Fonctionnement et Programme","VA",34923299,30072472,30185322,63825086,30115404,0
"AGR",10,3,"Grants & Contributions","Subventions et Contributions","IE",0,0,0,0,0,104743750
"AGR",10,3,"Grants & Contributions","Subventions et Contributions","ME",365352000,367238619,343252000,335932000,425525000,0
