"deptcode","vote_num","vs_type","name_en","name_fr","pa_last_year_5_auth","pa_last_year_5_exp","pa_last_year_4_auth","pa_last_year_4_exp","pa_last_year_3_auth","pa_last_year_3_exp","pa_last_year_2_auth","pa_last_year_2_exp","pa_last_year_auth","pa_last_year_exp"
"ACOA",1,1,"Operating/Program","Fonctionnement/Programme",74725659.00,69058793.00,68604382,65978345.00,67652575,63025130,67442115,61978440,69938738.00,67005669.00
"ACOA",5,3,"Grants & Contributions","Subventions et Contributions",236733470.00,236733461.00,232078550,231078546.00,230745973,230745966,262479240,262479231,283971202.00,283971197.00
"ACOA","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",8346591.00,8346591.00,8208478,8208478.00,7809399,7809399,7900191,7900191,8008731.00,8008730.71
"ACOA","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs","","",20,20.00,"","","","","",""
"ACOA","S",999,"Salary and Motor Car Allowance","Traitement et allocation pour automobile",1425.00,1425.00,2000,2000.00,1189,1189,"","","",""
"ACOA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",28877.00,17838.00,22847,5702.00,31149,27284,28013,7640,26694.00,""
"AECB",1,1,"Operating/Program","Fonctionnement/Programme","","",42749352,40051490.00,41651356,39835227,40670827,37939111,43677119.00,41624040.00
"AECB",20,1,"Operating/Program","Fonctionnement/Programme",49630375.00,46130800.00,"","","","","","","",""
"AECB","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",15830839.00,15830839.00,13657948,13657948.00,13363785,13363785,13103856,13103856,13577597.00,13577596.76
"AECB","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",20058.00,0.00,49602,19968.00,58000,29634,56449,56368,11443.00,""
"AECB","S",999,"Spending of the revenues pursuant to section 21(3) of the Nuclear Safety and Control Act","Dépense des recettes conformément à l'article 21(3) de la Loi sur la sûreté et la réglementation nucléaires",85973334.00,83655382.00,86936223,84410163.00,89967267,84740022,93887126,86026695,98923804.00,94591668.22
"AECL",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","","",332428000,325643000.00,552126692,491064000,968615589,784133000,971355163.00,826595000.00
"AECL",15,5,"Payments to Crown Corps","Paiement aux sociétés d'État",378062900.00,351762900.00,"","","","","","","",""
"AECL","S",999,"Pursuant to section 2146 of the Jobs and Economic Growth Act, for the divestiture of Atomic Energy of Canada Limited","Conformément à l'article 2146 de la Loi sur l'emploi et la croissance, pour la dissolution d'Énergie atomique du Canada limitée",33700000.00,33700000.00,1100000,1100000.00,"","","","","",""
"AGR",1,1,"Operating/Program","Fonctionnement/Programme",730683812.00,703004588.00,585461462,577712678.00,577702019,546207488,913242023,889616909,606696605.00,591991077.00
"AGR",5,2,"Capital","Capital",34848685.00,30768006.00,33375973,25835661.00,55489423,49307846,97479066,91107007,80136193.00,56866815.00
"AGR",10,3,"Grants & Contributions","Subventions et Contributions",447925111.00,324354015.00,408014022,345165608.00,435756388,382607834,373326850,336496052,394757984.00,362448384.00
"AGR","S",999,"Canadian Cattlemen's Association Legacy Fund","Fonds pour l'avenir de la Canadian Cattlemen's Association",4453481.00,4453481.00,2706066,2706066.00,-205473,-205473,"","","",""
"AGR","S",999,"Canadian Pari-Mutuel Agency Revolving Fund","Fonds renouvelable de l'Agence canadienne du pari mutuel",5315279.00,-2158401.00,7423425,-2233091.00,9606261,-962575,10518581,-1046008,11514334.00,-271765.39
"AGR","S",999,"Class grant payments for the Farm Income program","Paiements de subvention par catégorie pour le programme de revenu agricole",-2859.00,-2859.00,-119871,-119871.00,-95,-95,-20954,-20954,3851.00,3851.26
"AGR","S",999,"Class grant payments for the Transitional Industry Support program","Paiements de subvention par catégorie pour le programme d'aide transitoire à l'industrie",-10187.00,-10187.00,-10610,-10610.00,-2021,-2021,-5278,-5278,"",""
"AGR","S",999,"Contribution payments for the AgriInsurance program","Paiements de contribution pour le programme Agri-protection",750830429.00,750830429.00,610882404,610882404.00,604148826,604148826,701496004,701496004,651704357.00,651704357.46
"AGR","S",999,"Contribution payments for the Agricultural Disaster Relief program and AgriRecovery","Contribution pour le programme d'aide en cas de catastrophe agricole - Agri-relance",-4836724.00,-4836724.00,3361069,3361069.00,96568,96568,6923281,6923281,15135072.00,15135072.32
"AGR","S",999,"Contribution payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative","Paiements de contribution pour l'Initiative de transition du programme canadien de stabilisation du revenu agricole pour l'évaluation des stocks",-436178.00,-436178.00,-1010915,-1010915.00,-389586,-389586,-136027,-136027,-34752.00,-34752.00
"AGR","S",999,"Contributions for agricultural risk management - Enhanced Spring Credit Advance program Business Risk Management","Contributions pour la gestion des risques agricoles - Gestion des risques de l'entreprise du programme d'avances printanières bonifié",-1227300.00,-1227300.00,-589623,-589623.00,-380878,-380878,-353075,-353075,-354634.00,-354634.34
"AGR","S",999,"Contributions for the transitional industry support program","Paiements de contribution par catégorie pour le programme d'aide transitoire à l'industrie","","",-1485,-1485.00,"","",-24954,-24954,"",""
"AGR","S",999,"Contributions in support of the Assistance to the Pork Industry Initiative","Contributions à l'appui de l'Initiative d'aide à l'industrie porcine",-3685687.00,-3685687.00,-8620021,-8620021.00,-53754367,-53754367,-20782068,-20782068,-17722056.00,-17722056.50
"AGR","S",999,"Contributions to a transition to future risk management programming","Contributions à la transition aux programmes futurs de gestion des risques","","","","","","",-17844,-17844,"",""
"AGR","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",79197066.00,79197066.00,63122948,63122948.00,58708149,58708149,57275602,57275602,60258458.00,60258458.57
"AGR","S",999,"Grant and Contribution Payments for the AgriInvest Program","Paiements de subventions et contribution pour le programme Agri-investissement",233404378.00,233404378.00,172635984,172635984.00,160925210,160925210,177265228,177265228,167614690.00,167614689.47
"AGR","S",999,"Grant and Contribution Payments for the AgriStability Program","Paiements de subvention et contribution pour le programme Agri-stabilité",192759272.00,192759272.00,197819425,197819425.00,154726402,154726402,346900856,346900856,61619352.00,61619352.33
"AGR","S",999,"Grant payments for the AgriInvest Kickstart program","Paiements de subventions pour le programme de démarrage d'Agri-investissement",-48524.00,-48524.00,-71894,-71894.00,-36697,-36697,-83929,-83929,"",""
"AGR","S",999,"Grant payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative","Paiements de subvention pour l'Initiative de transition du programme canadien de stabilisation du revenu agricole pour l'évaluation des stocks",-163039.00,-163039.00,-312775,-312775.00,-67376,-67376,-84398,-84398,-30269.00,-30269.06
"AGR","S",999,"Grants in support of the Cost of Production Benefit","Subventions à l'appui de l'Indemnité pour coûts de production",-6634.00,-6634.00,-134510,-134510.00,-1929,-1929,-23540,-23540,2064.00,2063.86
"AGR","S",999,"Grants in support of the Cull Breeding Swine Program","Subventions à l'appui du programme de réforme des porcs reproducteurs","","",-1334323,-1334323.00,"","","","","",""
"AGR","S",999,"Grants in support of the Grain and Oilseed Payment program","Subventions à l'appui du programme de paiements relatifs aux céréales et oléagineux",-34421.00,-34421.00,-50138,-50138.00,-14701,-14701,-35345,-35345,-5133.00,-5132.81
"AGR","S",999,"Grants to agencies established under the Farm Products Agencies Act","Subventions aux offices établis conformément à la Loi sur les offices des produits agricoles",600000.00,0.00,600000,0.00,600000,0,600000,"",600000.00,""
"AGR","S",999,"Loan guarantees under the Canadian Agricultural Loans Act","Prêts garantis en vertu de la Loi canadienne sur les prêts agricoles",-12829.00,-12829.00,35997,35997.00,98732,98732,611840,611840,385500.00,385500.11
"AGR","S",999,"Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)","Paiements relatifs à la Loi sur les programmes de commercialisation agricole (L.C. (1997), ch. C-34)",79080584.00,79080584.00,25996218,25996218.00,22157715,22157715,25670879,25670879,29030974.00,29030973.55
"AGR","S",999,"Payments in connection with the Farm Income Protection Act - Province-Based Programs","Contributions à l'appui des programmes de gestion des risques de l'entreprise en vertu du Cadre stratégique pour l'agriculture—programmes provinciaux",-1106213.00,-1106213.00,"","","","","","","",""
"AGR","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",4121.00,4121.00,597,597.00,24998,24998,2846,2846,"",""
"AGR","S",999,"Salary and Motor Car Allowance","Traitement et allocation pour automobile",78700.00,78700.00,80300,80300.00,75486,75486,83500,83500,84600.00,84600.00
"AGR","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",8975062.00,2692686.00,13892692,3125669.00,15621621,5140036,14117815,4073766,13910643.00,6171192.35
"ATSSC",1,1,"Operating/Program","Fonctionnement/Programme","","","","",54777079,48209042,55907032,52686143,61734908.00,57442432.00
"ATSSC",2,1,"Operating/Program","Fonctionnement/Programme","","",28606713,23002097.00,"","","","","",""
"ATSSC","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","","",3735378,3735378.00,8642950,8642950,7475864,7475864,8072465.00,8072465.25
"ATSSC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État","","","","",242,0,1018,"",2487.00,""
"CAS",1,1,"Operating/Program","Fonctionnement/Programme","","",65557131,62132593.00,68770014,65598166,68978255,65607852,78786096.00,75914975.00
"CAS",30,1,"Operating/Program","Fonctionnement/Programme",65089931.00,60297478.00,"","","","","","","",""
"CAS","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",7033432.00,7033432.00,6900727,6900727.00,6682329,6682329,6660446,6660446,6864412.00,6864412.36
"CAS","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",7850.00,7850.00,104700,104700.00,11300,11300,8950,8950,3878.00,3878.00
"CAS","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",16185.00,3799.00,12386,12386.00,2875,2875,7786,"",21908.00,7785.78
"CAT",1,1,"Operating/Program","Fonctionnement/Programme","","",824018,814018.00,"","","","","",""
"CAT",55,1,"Operating/Program","Fonctionnement/Programme",1380467.00,1340954.00,"","","","","","","",""
"CAT","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",130083.00,130083.00,70397,70397.00,"","","","","",""
"CAT","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",39.00,0.00,"","","","","","","",""
"CATSA",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","","",676185743,623896764.00,711734134,656747273,766278268,725303977,760684214.00,723429207.00
"CATSA",20,5,"Payments to Crown Corps","Paiement aux sociétés d'État",598286200.00,559065861.00,"","","","","","","",""
"CB",1,1,"Operating/Program","Fonctionnement/Programme","","",2996987,2790199.00,2962198,2573491,2954587,2854524,3088584.00,2972383.00
"CB",45,1,"Operating/Program","Fonctionnement/Programme",2890321.00,2531986.00,"","","","","","","",""
"CB","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",247686.00,247686.00,279307,279307.00,255214,255214,241204,241204,258616.00,258616.64
"CBC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","","",929283798,929283798.00,928331798,928331798,1002306798,1002306798,1110262485.00,1110262485.00
"CBC",5,5,"Payments to Crown Corps","Paiement aux sociétés d'État","","",4000000,4000000.00,4000000,4000000,4000000,4000000,4000000.00,4000000.00
"CBC",10,5,"Payments to Crown Corps","Paiement aux sociétés d'État","","",104740000,104740000.00,105692000,105692000,106717000,106717000,107821000.00,107821000.00
"CBC",15,5,"Payments to Crown Corps","Paiement aux sociétés d'État",975617798.00,975617798.00,"","","","","","","",""
"CBC",20,5,"Payments to Crown Corps","Paiement aux sociétés d'État",4000000.00,4000000.00,"","","","","","","",""
"CBC",25,5,"Payments to Crown Corps","Paiement aux sociétés d'État",103856000.00,103856000.00,"","","","","","","",""
"CBSA",1,1,"Operating/Program","Fonctionnement/Programme","","",1694360707,1628333847.00,1512906266,1449717812,1559660142,1421329862,1757949134.00,1500393332.00
"CBSA",5,2,"Capital","Capital","","",277531637,174709785.00,251430453,159136387,194757418,105128994,296525673.00,108227899.00
"CBSA",10,1,"Operating/Program","Fonctionnement/Programme",1770005090.00,1540450182.00,"","","","","","","",""
"CBSA",15,2,"Capital","Capital",230351926.00,121932181.00,"","","","","","","",""
"CBSA","S",999,"Collection Agency Fees","Honoraires - Agence de recouvrement","","","","","","",67,67,"",""
"CBSA","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",187286618.00,187286618.00,197492314,197492314.00,186800563,186800563,171549821,171549821,159697622.00,159697621.30
"CBSA","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",32237.00,32237.00,140081,140081.00,8742,8742,15355,15355,45504.00,45504.21
"CBSA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",577473.00,410284.00,623167,468343.00,656087,629727,1016181,926789,120069.00,70985.07
"CC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","","",182224388,182224388.00,182224388,182224388,222574389,222574389,258714308.00,258714308.00
"CC",10,5,"Payments to Crown Corps","Paiement aux sociétés d'État",181974388.00,181974388.00,"","","","","","","",""
"CCC",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","","",15656400,14240000.00,8880000,8880000,3510000,3510000,"",""
"CCC",20,5,"Payments to Crown Corps","Paiement aux sociétés d'État",15656400.00,15656400.00,"","","","","","","",""
"CCMD",1,1,"Operating/Program","Fonctionnement/Programme","","",42349312,37933386.00,55790496,50823726,71454306,68461554,68247875.00,67189658.00
"CCMD",40,1,"Operating/Program","Fonctionnement/Programme",45979928.00,42820558.00,"","","","","","","",""
"CCMD","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",8682903.00,8682903.00,8280320,8280320.00,8479837,8479837,22255363,14318308,6453976.00,6453975.82
"CCMD","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",18000.00,13183.00,18205,18205.00,4376,0,9615,4376,9731.00,""
"CCMD","S",999,"Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act","Dépense des revenus conformément au paragraphe 18(2) de la Loi sur l'École de la fonction publique du Canada",71980586.00,33244937.00,70470092,42277101.00,40145779,32848568,"","",17677420.00,2646000.00
"CCOHS",1,1,"Operating/Program","Fonctionnement/Programme","","",4387259,3633019.00,4317184,4304184,4120252,4107752,4323279.00,4323279.00
"CCOHS",20,1,"Operating/Program","Fonctionnement/Programme",4619460.00,4129766.00,"","","","","","","",""
"CCOHS","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",1117425.00,1117425.00,1052919,1052919.00,1045780,1045780,1069997,1069997,1028903.00,1028903.11
"CCOHS","S",999,"Spending of Revenues pursuant to Section 6(1)(g) of the Canadian Centre for Occupational Health and Safety Act","Dépenses des recettes conformément au paragraphe 6(1)(g) de la Loi sur le Centre canadien d'hygiène et de sécurité au travail","","","","",5851187,4568153,6350345,4752648,7478763.00,4804790.52
"CCRA",1,1,"Operating/Program","Fonctionnement/Programme",3392504128.00,3097500944.00,3391869712,3167429873.00,3268071716,3034034552,3589123987,3378439921,3823713925.00,3692875683.00
"CCRA",5,2,"Capital","Capital",110011806.00,63301048.00,123413805,76291182.00,128692837,78803100,96310566,74872686,80801558.00,73594724.00
