"program_id","result_id"
"ACOA-BED01","7258-2018"
"ACOA-BED01","7259-2018"
"ACOA-BED01","7260-2018"
"ACOA-BED02","7258-2018"
"ACOA-BED02","7259-2018"
"ACOA-BED02","7260-2018"
"ACOA-BED03","7258-2018"
"ACOA-BED03","7259-2018"
"ACOA-BED03","7260-2018"
"ACOA-BED04","7258-2018"
"ACOA-BED04","7259-2018"
"ACOA-BED04","7260-2018"
"ACOA-BED05","7258-2018"
"ACOA-BED05","7259-2018"
"ACOA-BED05","7260-2018"
"ACOA-BED06","7258-2018"
"ACOA-BED06","7259-2018"
"ACOA-BED06","7260-2018"
"ACOA-BED07","7258-2018"
"ACOA-BED07","7259-2018"
"ACOA-BED07","7260-2018"
"AECB-BTJ01","7392-2018"
"AECB-BTJ01","7393-2018"
"AECB-BTJ02","7392-2018"
"AECB-BTJ02","7393-2018"
"AECB-BTJ03","7392-2018"
"AECB-BTJ03","7393-2018"
"AECB-BTJ03","7394-2018"
"AECB-BTJ04","7394-2018"
"AECB-BTJ05","7395-2018"
"AGR-BWN01","7365-2018"
"AGR-BWN01","7366-2018"
"AGR-BWN02","7365-2018"
"AGR-BWN03","7365-2018"
"AGR-BWN04","7365-2018"
"AGR-BWN07","7365-2018"
"AGR-BWO01","7367-2018"
"AGR-BWO01","7368-2018"
"AGR-BWO02","7367-2018"
"AGR-BWO02","7368-2018"
"AGR-BWO03","7368-2018"
"AGR-BWO04","7367-2018"
"AGR-BWO04","7368-2018"
"AGR-BWO05","7368-2018"
"AGR-BWO06","7367-2018"
"AGR-BWO06","7368-2018"
"AGR-BWP01","7369-2018"
"AGR-BWP02","7369-2018"
"AGR-BWP03","7369-2018"
"AGR-BWP04","7369-2018"
"AGR-BWP05","7369-2018"
"AGR-BWP06","7369-2018"
"AGR-BWP07","7369-2018"
"AGR-BWP08","7370-2018"
"AGR-BWP09","7370-2018"
"AGR-BWP10","7370-2018"
"ATSSC-BEE01","7205-2018"
"ATSSC-BEE02","7205-2018"
"ATSSC-BEE03","7205-2018"
"CAS-BEG01","7192-2018"
"CAS-BEG01","7194-2018"
"CAS-BEG02","7193-2018"
"CAS-BEG03","7193-2018"
"CAS-BEG04","7194-2018"
"CB-BEZ01","7151-2018"
"CB-BEZ01","7152-2018"
"CBSA-BUF01","7047-2018"
"CBSA-BUF02","7047-2018"
"CBSA-BUF03","7047-2018"
"CBSA-BUF04","7048-2018"
"CBSA-BUF04","7049-2018"
"CBSA-BUF05","7050-2018"
"CBSA-BUF05","7051-2018"
"CBSA-BUF06","7051-2018"
"CBSA-BUF07","7052-2018"
"CBSA-BUF08","7052-2018"
"CBSA-BUF09","7053-2018"
"CBSA-BUF12","7048-2018"
"CBSA-BUF12","7050-2018"
"CBSA-BUG01","7054-2018"
"CBSA-BUG02","7055-2018"
"CBSA-BUG03","7056-2018"
"CBSA-BUG04","7057-2018"
"CBSA-BUG05","7058-2018"
"CCMD-BTR01","7246-2018"
"CCMD-BTR01","7247-2018"
"CCMD-BTR01","7248-2018"
"CCOHS-BFZ01","7210-2018"
"CCOHS-BFZ01","7211-2018"
"CCOHS-BFZ01","7212-2018"
"CCRA-BRA01","7434-2018"
"CCRA-BRA02","7434-2018"
"CCRA-BRA03","7434-2018"
"CCRA-BRA04","7434-2018"
"CCRA-BRA05","7434-2018"
