"id","parent_id","name_en","name_fr","description_en","description_fr","planned_spend_pa_last_year","spend_pa_last_year","drr_spend_expl_en","drr_spend_expl_fr","planned_fte_pa_last_year","fte_pa_last_year","drr_fte_expl_en","drr_fte_expl_fr"
"P1001-0008","AGR-AAA00","AgriStability","Agri-stabilité","AgriStability provides support when producers experience large margin declines. A producer may be able to receive an AgriStability payment when their current year program margin falls below a percentage of their historical reference margin. AgriStability is cost-shared 60:40 by federal, and provincial or territorial governments. This program uses funding from the following transfer payment(s): (Statutory) Grant payments for the AgriStability program and (Statutory) Contribution payments for the AgriStability program.","Agri-stabilité apporte un soutien aux producteurs lorsque leur marge diminue fortement. Un producteur peut être admissible à un paiement au titre d’Agri-stabilité lorsque leur marge du programme de l’année courante est en deçà d’un certain pourcentage de leur marge de référence historique. Agri-stabilité est un programme à frais partagés entre les gouvernements fédéral, et provinciaux ou territoriaux, selon un rapport 60 : 40.Le programme utilise les paiements de transfert suivants comme source de financement : Paiements de subventions (législatifs) pour le programme Agri-stabilité et paiements de contributions (législatifs) pour le programme Agri-stabilité.",277436461.00,75439450.00,"Actual spending was lower than Planned spending due to less demand than forecast for previous years, which resulted in an adjustment that impacted the current year.

AgriStability is demand-driven, rather than being funded from a set allocation for each fiscal year. Although the administrative costs of the program remain relatively constant, the year-to-year grant and contribution payments are directly related to participation and industry conditions.","Les dépenses réelles ont été inférieures aux dépenses prévues en raison d’une demande inférieure aux prévisions pour les années précédentes, ce qui a donné lieu à un rajustement ayant eu une incidence sur l’année en cours.

Le programme Agri-stabilité est axé sur la demande au lieu d’être financé à même une enveloppe établie pour chaque exercice financier. Bien que les frais administratifs demeurent relativement constants, les paiements de subventions et de contributions d’une année à l’autre sont directement liés à la participation et à la situation de l’industrie.

",162.00,155.00,"",""
"P1001-0009","AGR-AAA00","AgriInvest","Agri-investissement","AgriInvest helps producers manage income declines, and provides support for investments to mitigate risks or improve market income. Producers’ AgriInvest accounts build as they make annual deposits based on a percentage of their Allowable Net Sales and receive matching contributions from federal, and provincial or territorial governments. AgriInvest is cost shared 60:40 by federal, and provincial or territorial governments. This program uses funding from the following transfer payment(s): (Statutory) Grant payments for the AgriInvest program and (Statutory) Contribution payments for the AgriInvest program.","Agri-investissement aide les producteurs à gérer des baisses de revenu et accorde un soutien pour des investissements qui permettent d’atténuer les risques ou d’améliorer le revenu du marché. Les comptes Agri-investissement des producteurs grossissent grâce à leurs dépôts annuels, qui représentent un pourcentage de leurs ventes nettes admissibles, et aux contributions de contrepartie qu’ils reçoivent des gouvernements fédéral, et provinciaux ou territoriaux. Agri-investissement est un programme à frais partagés entre les gouvernements fédéral, et provinciaux ou territoriaux, selon un rapport 60 : 40.Le programme utilise les paiements de transfert suivants comme source de financement : Paiements de subventions (législatifs) pour le programme Agri-investissement et paiements de contributions (législatifs) pour le programme Agri-investissement.",155925895.00,179725435.00,"Actual spending was more than Planned spending due to greater participation and strong sector performance, resulting in higher Allowable Net Sales and increased government matching contributions.

AgriInvest is demand-driven and expenditures are directly related to both participation and commodity prices. Producer deposits and government contributions are based on a percentage of income generated from the sale of commodities for a production period (Allowable Net Sales).","Les dépenses réelles ont été plus élevées en raison d’une plus grande participation et du solide rendement du secteur, qui ont entraîné une augmentation des ventes nettes ajustées et des contributions de contrepartie versées par le gouvernement.

Agri-investissement est axé sur la demande et les dépenses sont directement liées à la participation et au prix des produits de base. Les dépôts des producteurs et les contributions gouvernementales correspondent à un pourcentage des revenus générés par la vente des produits de base au cours d’une période de production donnée (ventes nettes ajustées).

",129.00,130.00,"",""
"P1001-0010","AGR-AAA00","AgriRecovery","Agri-relance","AgriRecovery is a disaster-relief framework that allows federal, provincial and territorial governments to work together on a case-by-case basis to assess natural disasters (for example, extreme weather, disease, pests, et cetera) affecting Canadian farmers and respond with targeted, disaster-specific programming when assistance is needed beyond existing programming (AgriStability, AgriInvest, AgriInsurance, Canadian Food Inspection Agency compensation, et cetera). The aim of AgriRecovery is to provide affected producers with assistance to help them take action to mitigate the impacts of the disaster and/or resume business operations as quickly as possible following a disaster event. This program uses funding from the following transfer payment(s): (Statutory) Contribution payments for the Agricultural Disaster Relief program/AgriRecovery.","Agri-relance est un cadre d’aide en cas de catastrophe qui permet aux gouvernements fédéral, provinciaux et territoriaux d’évaluer conjointement, au cas-par-cas, l’ampleur de catastrophes naturelles (par exemple, conditions météorologiques extrêmes, maladies, parasites, et cetera) frappant les agriculteurs canadiens et d’offrir à ces derniers des programmes d’aide ciblés selon la catastrophe en cause lorsqu’une aide autre que celle prévue par les programmes en vigueur (Agri-stabilité, Agri-investissement, Agri-protection, indemnisation par l’Agence canadienne d’inspection des aliments, et cetera) est nécessaire. Agri-relance vise à aider les producteurs touchés à prendre des mesures pour atténuer les répercussions d’une catastrophe et/ou à reprendre leurs activités commerciales le plus rapidement possible à la suite d’une catastrophe. Le programme utilise les paiements de transfert suivants comme source de financement : Paiements de contributions (législatifs) pour le programme d’aide en cas de catastrophe agricole - Agri-relance.",122727364.00,15587625.00,"Actual spending was less than planned as only two initiatives were implemented in 2017-18: the 2017 Canada-British Columbia Wildfires Recovery Initiative and the 2017 Canada-Québec Hail Assistance Initiative.

AgriRecovery is a demand-driven program. The spending varies from year to year depending on the need for disaster response initiatives.","Les dépenses réelles ont été inférieures aux prévisions, car seules deux initiatives ont été mises en œuvre en 2017-2018, soit l’Initiative de rétablissement Canada–Colombie-Britannique 2017 à la suite des feux de forêt et l’Initiative Canada-Québec d’aide aux entreprises agricoles affectées par les épisodes exceptionnels de grêle en 2017.

Agri-relance est un programme axé sur la demande. Les dépenses varient d’une année à l’autre en fonction de besoin d’initiatives d’intervention en cas de catastrophe.",10.00,2.00,"Actual full-time equivalents were lower than planned as it reflects a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to respond to the varying operational workload.","Le nombre réel d’équivalents temps plein a été moins élevé que prévu puisqu’il reflète une réaffectation des équivalents temps plein à Agriculture et Agroalimentaire Canada pour faire face aux variations de la charge de travail opérationnelle."
"P1001-0011","AGR-AAA00","AgriInsurance","Agri-protection","AgriInsurance helps producers minimize the economic impacts of production losses caused by adverse weather, diseases and other specified perils. AgriInsurance is a program that uses premiums to fund liabilities. The premiums are cost shared between the federal government, provincial governments and producers. The commodities covered vary by province and continue to expand. This program uses funding from the following transfer payment(s): (Statutory) Contribution payments for the AgriInsurance program.","Agri-protection aide les producteurs à minimiser les conséquences économiques des pertes de production causées par des conditions météorologiques défavorables, des maladies ainsi que d’autres catastrophes précises. Agri-protection est un programme basé sur une analyse actuarielle fiable qui utilise des primes pour financier les indemnités. Les primes sont payées selon une formule de partage des coûts entre le gouvernement fédéral, les gouvernements provinciaux et les producteurs. L’éventail de produits visés par le programme varie selon la province et continue de s’agrandir. Le programme utilise les paiements de transfert suivants comme source de financement : Paiements de contributions (législatifs) pour le programme Agri-protection.",645316165.00,654804618.00,"","",22.00,20.00,"",""
"P1001-0012","AGR-AAA00","Canadian Agricultural Loans Act","Loi canadienne sur les prêts agricoles","The Canadian Agricultural Loans Act is a legislated financial loan guarantee program that improves availability of credit to farmers and agricultural co-operatives. Under the program, the Government of Canada guarantees to financial institutions repayment of the loans that they make to farmers and agricultural co-operatives for eligible purposes. Farmers use these loans to establish, improve and develop their farms, while agricultural co-operatives use loans to process, distribute, or market the products of farming. This program uses funding from the following transfer payment(s): Loan guarantees under the Canadian Agricultural Loans Act (R.S.C., 1985, c. 25 [3rd Supp.]).","La Loi canadienne sur les prêts agricoles est un programme légiféré de garantie d’emprunt qui améliore la disponibilité du crédit pour les agriculteurs et les coopératives agricoles. En vertu du programme, le gouvernement du Canada garantit aux institutions financières le remboursement des prêts accordés aux agriculteurs et aux coopératives agricoles à des fins admissibles. Les agriculteurs utilisent ces prêts pour créer, améliorer et développer leurs fermes alors que les coopératives agricoles s’en servent pour traiter, distribuer ou mettre en marché les produits de l’agriculture. Le programme utilise les paiements de transfert suivants comme source de financement : Prêts garantis en vertu de la Loi canadienne sur les prêts agricoles (L.R.C.,1985, ch. 25 [3e suppl.]).",14735096.00,960697.00,"Actual spending was less than Planned spending  due to lower program participation.","Les dépenses réelles ont été inférieures aux dépenses prévues en raison d’une plus faible participation au programme.",3.00,3.00,"",""
"P1001-0013","AGR-AAA00","Agricultural Marketing Programs Act","Loi sur les programmes de commercialisation agricole","The Advance Payments Program and the Price Pooling Program are active federal loan-guarantee programs legislated under the authority of the Agricultural Marketing Programs Act. Under the Advance Payments Program, the government guarantees the repayment of the cash advances made to crop and livestock producers by third-party administrators for a specified period of time, based on the value of their agricultural product. These cash advances improve producers’ cash flow throughout the year, enabling them to meet financial obligations and benefit from the best market conditions. Eligible producers can receive an Advance Payments Program advance of up to $400,000 at a preferential interest rate, with the government paying the interest on the first $100,000. Producers repay their advance plus interest, as their product is sold. Target clients are producers of agricultural products as defined under the Agricultural Marketing Programs Act. The Price Pooling Program helps market agricultural products under cooperative plans by guaranteeing an average initial price for products sold by marketing agencies. This enables marketing agencies to secure financing and to issue initial delivery payments to their members. The government guarantee protects agencies against unanticipated declines in the market price of their products that exceed 35%. Target clients are marketing agencies of agricultural products defined under the Agricultural Marketing Programs Act. This program uses funding from the following transfer payment(s): Payments in connection with the Agricultural Marketing Programs Act (S.C. 1997, c. 20).","Le Programme de paiements anticipés et le Programme de mise en commun des prix sont des programmes de garantie d’emprunt actifs qui relèvent de la Loi sur les programmes de commercialisation agricole. En vertu du Programme de paiements anticipés, le gouvernement garantit le remboursement des avances versées aux producteurs de végétaux et d’animaux par des tiers administrateurs pour une période déterminée en se fondant sur la valeur de leur produit agricole. Ces avances de fonds améliorent les liquidités des producteurs tout au long de l’année, ce qui leur permet de respecter les obligations financières et de tirer parti des meilleures conditions de marché. Un producteur admissible peut recevoir l’avance prévue par le Programme de paiements anticipés pouvant atteindre 400 000 $ à un taux d’intérêt préférentiel, le gouvernement versant les intérêts sur le premier 100 000 $. Les producteurs remboursent l’avance plus les intérêts dès que leur produit est vendu. Les clients cibles sont les producteurs de denrées agricoles au sens de la Loi sur les programmes de commercialisation agricole. Le Programme de mise en commun des prix aide à commercialiser des produits agricoles visés par des plans coopératifs en garantissant un prix initial moyen pour les produits vendus par les agences de commercialisation. Ceci permet aux agences de commercialisation d’obtenir du financement et de dispenser les paiements de première livraison à leurs membres. La garantie du gouvernement protège les agences contre les déclins imprévus du prix du marché de leurs produits qui dépassent 35,0 %. Les clients cibles sont les agences de commercialisation des produits agricoles visés par la Loi sur les programmes de commercialisation agricole. Le programme utilise les paiements de transfert suivants comme source de financement : Paiements relatifs à la Loi sur les programmes de commercialisation agricole (L.C. 1997, ch. 20).",71967500.00,32868939.00,"Actual spending was lower than planned spending due to factors such as current below average interest rates and low participation. Participation of the Advance Payments Program by producers fluctuates from year-to-year based on demand, interest rates and the needs of producers. The Actual Spending amount listed is net of amounts recovered from past defaulted advances.","Les dépenses réelles ont été inférieures aux dépenses prévues en raison de facteurs comme des taux d’intérêt actuellement inférieurs à la moyenne et une faible participation. La participation des producteurs au Programme de paiements anticipés varie d’une année à l’autre en fonction de la demande, des taux d’intérêt et des besoins des producteurs. Le montant réel des dépenses indiqué ne tient pas compte des montants recouvrés des avances antérieures en souffrance.",34.00,28.00,"Actual full-time equivalents were lower than planned as it reflects a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to respond to the operational workload.","Le nombre réel d’équivalents temps plein a été moins élevé que prévu puisqu’il reflète une réaffectation des équivalents temps plein à Agriculture et Agroalimentaire Canada pour faire face à la charge de travail opérationnelle."
"P1001-0022","AGR-CMA00","Trade and Market Expansion","Croissance du commerce et des marchés","The Trade and Market Expansion program, funded by existing departmental resources and Growing Forward 2, enhances Canada’s market presence by promoting science-based trade rules, re-opening, maintaining and expanding markets, and pursuing free trade agreements with key trading partners, recognizing the importance of global markets to the profitability of Canada’s agriculture, agri-food and agri-based products sector. To fully capture the benefits of free trade agreements and increased access, the Trade and Market Expansion program also provides resources and tools, such as market intelligence, a trade commissioner service and Canada Brand tools and coordination that enable industry to seize new market opportunities and build commercial success. The program uses funding from the following transfer payment(s): Grants to foreign recipients for participation in international organizations supporting agriculture.","Le programme Croissance du commerce et des marchés qui est financé par les ressources ministérielles existantes et par Cultivons l’avenir 2, accroît la présence du Canada sur les marchés en favorisant des règlements commerciaux basés sur la science, en assurant la réouverture, le maintien et la croissance des marchés ainsi qu’en concluant des accords de libre-échange avec les principaux partenaires commerciaux, reconnaissant l’importance des marchés internationaux à la rentabilité du secteur canadien de l’agriculture, de l’agroalimentaire et des produits agro-industriels. Pour que l’industrie puisse bénéficier de tous les avantages des accords de libre-échange et d’un accès accru aux marchés, le programme Croissance du commerce et des marchés offre également des ressources et des outils comme des renseignements sur les marchés, un service de délégués commerciaux et, sous la marque Canada, des outils et de la coordination, qui permettent à l’industrie de tirer parti des nouveaux débouchés commerciaux et de connaître un succès commercial. Le programme utilise les paiements de transfert suivants comme source de financement : Subventions versées à des bénéficiaires étrangers pour leur participation auprès d’organisations internationales qui appuient l’agriculture.",34382146.00,24349213.00,"Actual spending was less than Planned spending primarily due to a realignment among programs in response to shifting priorities. In addition, planned spending included funding that was later transferred to other government departments for Growing Forward 2 initiatives.","Les dépenses réelles ont été inférieures aux dépenses prévues, essentiellement en raison d’une réorganisation entre les programmes visant à tenir compte des priorités changeantes. De plus, les dépenses prévues comprenaient également un financement qui a été transféré par la suite à d’autres ministères dans le cadre d’initiatives de Cultivons l’avenir 2.",133.00,138.00,"",""
"P1001-0024","AGR-CMA00","Sector Engagement and Development","Mobilisation et développement du secteur","The Sector Engagement and Development program, funded by existing departmental resources and Growing Forward 2, seeks to improve the sector’s competitiveness and market success. Regional and sector specialists work to maintain and expand working relationships through collaboration with provinces and territories, national and regional agricultural and food associations, individual companies and value chain members, in order to develop knowledge and address issues of importance facing the sector, including market and regulatory issues.","Le programme Mobilisation et développement du secteur, qui est financé par les ressources ministérielles existantes et par Cultivons l’avenir 2, vise à améliorer la compétitivité du secteur et à favoriser son succès sur les marchés. Des spécialistes régionaux et sectoriels s’emploient à entretenir et à étendre les relations de travail, de concert avec les provinces et les territoires, les associations agricoles et alimentaires nationales et régionales ainsi que les entreprises individuelles et les membres de la chaîne de valeur en vue d’acquérir des connaissances et de relever les défis principaux auxquels est confronté le secteur, dont ceux qui ont trait aux marchés et à la réglementation.",22019921.00,26044799.00,"Actual spending was more than Planned spending primarily due to a realignment among programs in response to shifting priorities. In addition, Planned spending did not include funding that was received during 2017-18 for the retroactive collective bargaining obligations.","Les dépenses réelles ont été supérieures aux dépenses prévues, essentiellement en raison d’une réorganisation entre les programmes visant à tenir compte des priorités changeantes. De plus, les dépenses prévues ne comprenaient pas le financement reçu en 2017-2018 pour les obligations rétroactives dans le cadre de négociations collectives.",163.00,167.00,"",""
"P1001-0027","AGR-CMA00","Pest Management: Pesticides Minor Use Program","Lutte antiparasitaire : Programme de pesticides à usage limité","This Growing Forward 2 program improves grower access to new minor uses of pesticides. Pesticide residue, efficacy and crop tolerance studies are conducted to generate and to inform regulatory data packages, which are submitted to Health Canada for new minor uses of pesticide products. In addition, collaborative work with our colleagues in the United States results in joint pesticide submissions to the regulatory agencies of both countries and the simultaneous availability of new pesticide minor uses in both countries. The increased availability of new minor use pesticides prevents trade barriers with countries where these products are already available.","Ce programme de Cultivons l’avenir 2 accroît l’accès des agriculteurs à de nouveaux pesticides à usage limité. Des études sur les résidus de pesticides, l’efficacité des pesticides et la tolérance des cultures sont menées pour générer à l’intention de Santé Canada des ensembles de données réglementaires concernant les nouveaux pesticides à usage limité. Par ailleurs, les travaux menés en collaboration avec nos collègues des États-Unis donnent lieu à des présentations conjointes sur les pesticides aux organismes de réglementation des deux pays et à la disponibilité simultanée des nouveaux pesticides à usage limité dans les deux pays. L’accessibilité accrue à de nouveaux pesticides à usage limité élimine les obstacles commerciaux avec les pays dans lesquels ces produits sont déjà accessibles.",10222544.00,8843254.00,"Actual spending was less than planned spending primarily due to a realignment among programs in response to shifting priorities.","Les dépenses réelles ont été inférieures aux dépenses prévues, essentiellement en raison d'une réorganisation entre les programmes visant à tenir compte des priorités changeantes.",51.00,50.00,"",""
"P1001-0029","AGR-ABG00","Science Supporting an Innovative and Sustainable Sector","Un secteur innovateur et durable appuyé par la science","Agriculture and Agri-Food Canada conducts longer term core research and development work to advance the understanding of: the resource base upon which agriculture depends; threats to Canadian agriculture production; mechanisms to protect and conserve Canadian bioresources and genetic diversity; and future new opportunities for the sector. This program also maintains a strong network of world-class research centres and offices across the country with scientific expertise to meet the research needs of existing and emerging agricultural commodity groups, and to participate in collaborative partnerships with industry, academia, non-governmental organizations, and others that undertake research aimed at yield enhancement, input reductions, prevention of diseases or pests, market access, as well as risk mitigation, and development of new areas of opportunity for the sector. This program uses funding from the following transfer payment(s): Grants to foreign recipients for participation in international organizations supporting agriculture.","Agriculture et Agroalimentaire Canada effectue des travaux de recherche et développement de base à long terme afin d’améliorer la compréhension des ressources dont dépend l’agriculture, des menaces à la production agricole canadienne, des mécanismes de protection et de conservation des bioressources et de la diversité génétique du Canada, ainsi que des nouveaux débouchés pour le secteur. Le programme consiste également à maintenir, dans l’ensemble du pays, un solide réseau de centres de recherche et de bureaux de calibre international ayant l’expertise nécessaire pour satisfaire les besoins en recherche des groupements de production agricole existants et émergents et pour participer à des partenariats de collaboration avec le secteur, les universités, les organismes non gouvernementaux et d’autres organismes qui entreprennent des travaux de recherche portant sur l’amélioration du rendement, la réduction des intrants, la prévention des maladies ou des ravageurs, l’accès aux marchés ainsi que l’atténuation des risques, et la création de nouveaux débouchés pour le secteur. Le programme utilise les paiements de transfert suivants comme source de financement : Subventions versées à des bénéficiaires étrangers pour leur participation auprès d’organisations internationales qui appuient l’agriculture.",239358725.00,290114879.00,"Actual spending was more than planned spending primarily due to amounts carried forward from 2016-17 and funding received during 2017-18 for the retroactive collective bargaining obligations and reinvestment of royalties and revenues, as well as realignment among programs in response to shifting priorities. In addition, there were internal reallocations of resources to provide an increase in grants to foreign recipients for participation in international organizations supporting agriculture.","Les dépenses réelles ont été supérieures principalement en raison des montants reportés de 2016-2017 et du financement reçu en 2017-2018 pour les obligations rétroactives dans le cadre de négociations collectives, ainsi qu’en raison du réinvestissement de redevances et de revenus et de la réorganisation des programmes visant à tenir compte des priorités changeantes. De plus, les ressources ont été réaffectées à l’interne afin de permettre une augmentation des subventions à des bénéficiaires étrangers pour la participation auprès d’organisations internationales qui appuient l’agriculture.",1890.00,1960.00,"",""
