"ProgElemID","ParentID","Name_EN","Description_EN","Active"
"ACOA-SO0021","ACOA","A competitive Atlantic Canadian economy","",1
"ACOA-SO1999","ACOA","Internal Services","",1
"AECB-SO0331","AECB","Safe and secure nuclear installations and processes used solely for peaceful purposes and an informed public on the effectiveness of Canada's nuclear regulatory regime","",1
"AECB-SO1999","AECB","Internal Services","",1
"AECL-SO0031","AECL","Be the top worldwide nuclear products and services company. Protect the health and safety of the public, our employees and the environment. Minimize nuclear legacy obligations for future generations","",1
"AGR-SO0011","AGR","A competitive and market-oriented agriculture, agri-food and agri-based products sector that proactively manages risk","",1
"AGR-SO0012","AGR","An innovative and sustainable agriculture, agri-food and agri-based products sector","",1
"AGR-SO0013","AGR","An environmentally sustainable agriculture, agri-food and agri-based products sector","",0
"AGR-SO1999","AGR","Internal Services","",1
"AHRAC-SO0051","AHRAC","Protection and promotion of health and safety of Canadians in relation to assisted human reproduction and related to research, within a sound ethical framework","",0
"AHRAC-SO1999","AHRAC","Internal Services","",0
"APPRT-SO0141","APPRT","The rights of artists and producers under Part II of the Status of the Artist Act are protected and respected","",0
"APPRT-SO1999","APPRT","Internal Services","",0
"ATSSC-SO0001","ATSSC","Efficient and effective services which support tribunal chairs and members in exercising their statutory responsibilities and ensure that their independence is protected in a manner which promotes Canadians' confidence in the federal tribunal system","",1
"ATSSC-SO1999","ATSSC","Internal Services","",1
"CAS-SO0471","CAS","The public has timely and fair access to the litigation processes of the Federal Court of Appeal, the Federal Court, the Court Martial Appeal Court of Canada and the Tax Court of Canada","",1
"CAS-SO1999","CAS","Internal Services","",1
"CAT-SO1301","CAT","The Canadian transportation community is provided with the opportunity to have enforcement and licensing decisions of the Minister of Transport reviewed in a fair manner by unbiased hearing officers","",0
"CAT-SO1999","CAT","Internal Services","",0
"CATSA-SO0131","CATSA","Screening programs at designated Canadian airports protect the travelling public","",1
"CB-SO0451","CB","Fair decision-making to provide proper incentives for the creation and use of copyrighted works","",1
"CB-SO1999","CB","Internal Services","",1
"CBC-SO0151","CBC","A national public broadcasting service exists that is primarily Canadian in content and connects citizens to the Canadian experience","",1
"CBSA-SO0061","CBSA","International trade and travel is facilitated across Canada's border and Canada's population is protected from border-related risks","",1
"CBSA-SO1999","CBSA","Internal Services","",1
"CC-SO0071","CC","A vibrant and dynamic arts sector in Canada","",1
"CCC-SO0171","CCC","Enhanced market access for Canadian exporters to complex international public sector markets","",0
"CCMD-SO0121","CCMD","Federal public service employees have the common knowledge, skills and competencies to fulfill their responsibilities in serving Canadians","",1
"CCMD-SO1999","CCMD","Internal Services","",1
"CCOHS-SO0161","CCOHS","Improved workplace conditions and practices that enhance the health, safety, and well being of working Canadians","",1
"CCOHS-SO1999","CCOHS","Internal Services","",1
"CCRA-BRA00","CCRA","Tax","To ensure that Canada’s voluntary self-assessment tax system is sustained by providing taxpayers with the support and information they need to understand and fulfill their tax obligations, and by taking compliance and enforcement action when necessary to uphold the integrity of the system, offering avenues for redress whenever taxpayers may disagree with an assessment/decision.",1
"CCRA-BRB00","CCRA","Benefits","To ensure that Canadians obtain the support and information they need to know what benefits they may be eligible to receive, that they receive their benefit payments in a timely manner, and have avenues of redress when they disagree with a decision on their benefit eligibility.",1
"CCRA-BRC00","CCRA","Taxpayers' Ombudsman","Canadians have access to trusted and independent review of service complaints about the CRA.",1
"CCRA-ISS00","CCRA","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.",1
"CCRA-SO0111","CCRA","Eligible families and individuals receive timely and accurate benefit payments","",0
"CCRA-SO0112","CCRA","Taxpayers and benefit recipients receive an independent and impartial review of their service related complaints","",0
"CCRA-SO0113","CCRA","Taxpayers meet their obligations and Canada's revenue base is protected","",0
"CCRA-SO1999","CCRA","Internal Services","",0
"CDC-SO0181","CDC","To enhance the vitality of the Canadian dairy industry for the benefit of all stakeholders","",1
"CEAA-SO0191","CEAA","High quality and timely environmental assessments of major projects to protect the environment and support economic growth","",1
"CEAA-SO1999","CEAA","Internal Services","",1
"CEO-SO0411","CEO","An Accessible Electoral Framework that Canadians Trust and Use","",1
"CEO-SO1999","CEO","Internal Services","",1
"CFDC-SO1261","CFDC","Quality audiovisual content developed by Canadians and promoted to audiences in Canada and internationally","",1
"CFDC-SO1999","CFDC","Internal Services","",1
"CFGB-SO0731","CFGB","The Chief of the Defence Staff and members of the Canadian Armed Forces have access to a fair, independent and timely review of military grievances","",1
"CFGB-SO1999","CFGB","Internal Services","",1
"CFIA-SO0201","CFIA","A safe and accessible food supply and plant and animal resource base","",1
"CFIA-SO1999","CFIA","Internal Services","",1
"CGC-SO0211","CGC","Canada's grain is safe, reliable and marketable and Canadian grain producers are properly compensated for grain deliveries to licensed grain companies","",1
"CGC-SO0212","CGC","Canada's grain is safe, reliable and marketable and Canadian grain producers are protected","",0
"CGC-SO1999","CGC","Internal Services","",1
"CH-SO0221","CH","Canadian artistic expressions and cultural content are created and accessible at home and abroad","",1
"CH-SO0222","CH","Canadians participate and excel in sport","",1
"CH-SO0223","CH","Canadians share, express and appreciate their Canadian identity","",1
"CH-SO1999","CH","Internal Services","",1
"CHRC-BSA00","CHRC","Engagement and Advocacy","Provide a national credible voice for equality in Canada – my Canada includes everyone; promote broadly human rights in Canada by raising public awareness of human rights issues; and engage civil society,  governments, employers and the public in dialogue and action to affect human rights change.",1
"CHRC-BSB00","CHRC","Human Rights Complaints","Provide people in Canada with a mechanism to file human rights complaints and remedies to victims of discrimination; reduce instances of systemic discrimination; and represent the public interest in legal cases to advance human rights in Canada",1
"CHRC-BSC00","CHRC","Employment Equity Audits","Ensure employer's compliance with employment equity statutory requirements; encourage employers to identify barriers to employment and implement best practices to eliminate gaps in the representation of women, visible minority groups, aboriginal peoples and persons with disabilities",1
"CHRC-ISS00","CHRC","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.",1
"CHRC-SO0231","CHRC","Equality of opportunity and respect for human rights","",0
"CHRC-SO1999","CHRC","Internal Services","",0
