"ProgElemID","ParentID","Name_FR","Description_FR","Active"
"ACOA-SO0021","ACOA","Une économie concurrentielle au Canada atlantique","",1
"ACOA-SO1999","ACOA","Services internes","",1
"AECB-SO0331","AECB","Des installations et des processus nucléaires sûrs et sécuritaires qui ne sont utilisés qu'à des fins pacifiques et un public informé sur l'efficacité du régime de réglementation nucléaire du Canada","",1
"AECB-SO1999","AECB","Services internes","",1
"AECL-SO0031","AECL","Être le principal fournisseur mondial de produits et de services nucléaires. Protéger la santé et la sécurité du public, de notre personnel et de l'environnement. Réduire au minimum les obligations liées aux déchets nucléaires pour les générations futures","",1
"AGR-SO0011","AGR","Un secteur de l'agriculture, de l'agroalimentaire et des produits agro-industriels compétitif et axé sur le marché qui gère les risques de manière proactive","",1
"AGR-SO0012","AGR","Un secteur innovateur et durable de l'agriculture, de l'agroalimentaire et des produits agro-industriels","",1
"AGR-SO0013","AGR","Un secteur de l'agriculture, de l'agroalimentaire et des produits agro-industriels respectueux de l'environnement","",0
"AGR-SO1999","AGR","Services internes","",1
"AHRAC-SO0051","AHRAC","Protection et promotion de la santé et de la sécurité des Canadiens relativement à la procréation assistée et à la recherche connexe, dans un cadre éthique rigoureux","",0
"AHRAC-SO1999","AHRAC","Services internes","",0
"APPRT-SO0141","APPRT","La protection et le respect des droits des artistes et des producteurs prévus à la partie II de la Loi sur le statut de l'artiste","",0
"APPRT-SO1999","APPRT","Services internes","",0
"ATSSC-SO0001","ATSSC","Services efficients et efficaces qui appuient les présidents et les membres des tribunaux dans l'exercice de leurs responsabilités légales et protègent leur indépendance de façon à promouvoir la confiance des Canadiens dans le système des tribunaux fédéraux","",1
"ATSSC-SO1999","ATSSC","Services internes","",1
"CAS-SO0471","CAS","Le public a accès en temps opportun et de manière équitable aux processus judiciaires de la Cour d'appel fédérale, de la Cour fédérale, de la Cour d’appel de la cour martiale du Canada et de la Cour canadienne de l'impôt","",1
"CAS-SO1999","CAS","Services internes","",1
"CAT-SO1301","CAT","Le milieu des transports du Canada a accès à un processus équitable et impartial de révision des décisions relatives à l'application des règlements ou à la délivrance des permis prises par le ministre des Transports","",0
"CAT-SO1999","CAT","Services internes","",0
"CATSA-SO0131","CATSA","Les programmes de contrôle aux aéroports désignés du Canada protègent les voyageurs","",1
"CB-SO0451","CB","Instaurer un processus décisionnel équitable qui incite à la création et à l'utilisation des oeuvres protégées par un droit d'auteur","",1
"CB-SO1999","CB","Services internes","",1
"CBC-SO0151","CBC","Un service de radiodiffusion public national dont le contenu est principalement canadien et qui rassemble les citoyens autour d'un contenu canadien","",1
"CBSA-SO0061","CBSA","Le commerce international et les déplacements sont favorisés à la frontière du Canada et la population du Canada est protégée des risques liés aux frontières","",1
"CBSA-SO1999","CBSA","Services internes","",1
"CC-SO0071","CC","Un secteur artistique vif et dynamique au Canada","",1
"CCC-SO0171","CCC","Un meilleur accès aux marchés pour les exportateurs canadiens en ce qui concerne les marchés complexes du secteur public international","",0
"CCMD-SO0121","CCMD","Les fonctionnaires fédéraux ont les connaissances, les habiletés et les compétences communes dont ils ont besoin pour exercer leurs responsabilités envers les Canadiens","",1
"CCMD-SO1999","CCMD","Services internes","",1
"CCOHS-SO0161","CCOHS","Conditions de travail et pratiques en milieu de travail améliorées qui mettent en valeur la santé, la sécurité et le mieux-être des travailleurs canadiens","",1
"CCOHS-SO1999","CCOHS","Services internes","",1
"CCRA-BRA00","CCRA","Impôt","S’assurer que le système fiscal d’autocotisation volontaire du Canada est maintenu en fournissant aux contribuables le soutien et les renseignements nécessaires pour comprendre et pour respecter leurs obligations fiscales, et prendre des mesures d’observation et d’exécution au besoin pour maintenir l’intégrité du système, en offrant des moyens de recours lorsque les contribuables pourraient être en désaccord avec une cotisation ou une décision.",1
