"deptcode","ID"
"ACOA","table1"
"ACOA","table10"
"ACOA","table11"
"ACOA","table111"
"ACOA","table112"
"ACOA","table113"
"ACOA","table12"
"ACOA","table2"
"ACOA","table300"
"ACOA","table302"
"ACOA","table303"
"ACOA","table304"
"ACOA","table305"
"ACOA","table4"
"ACOA","table5"
"ACOA","table6"
"ACOA","table7"
"ACOA","table8"
"ACOA","table9"
"AECB","table1"
"AECB","table10"
"AECB","table11"
"AECB","table111"
"AECB","table112"
"AECB","table12"
"AECB","table2"
"AECB","table300"
"AECB","table302"
"AECB","table303"
"AECB","table304"
"AECB","table305"
"AECB","table4"
"AECB","table5"
"AECB","table6"
"AECB","table7"
"AECB","table8"
"AECB","table9"
"AECL","table300"
"AECL","table305"
"AECL","table4"
"AECL","table5"
"AECL","table6"
"AECL","table8"
"AGR","table1"
"AGR","table10"
"AGR","table11"
"AGR","table111"
"AGR","table112"
"AGR","table113"
"AGR","table12"
"AGR","table2"
"AGR","table300"
"AGR","table302"
"AGR","table303"
"AGR","table304"
"AGR","table305"
"AGR","table4"
"AGR","table5"
"AGR","table6"
"AGR","table7"
"AGR","table8"
"AGR","table9"
"AHRAC","table10"
"AHRAC","table11"
"AHRAC","table111"
"AHRAC","table112"
"AHRAC","table113"
"AHRAC","table302"
"AHRAC","table303"
"AHRAC","table304"
"AHRAC","table4"
"AHRAC","table5"
"AHRAC","table6"
"AHRAC","table9"
"APPRT","table10"
"APPRT","table11"
"APPRT","table111"
"APPRT","table112"
"APPRT","table113"
"APPRT","table302"
"APPRT","table303"
"APPRT","table304"
"APPRT","table4"
"APPRT","table5"
"APPRT","table6"
"APPRT","table9"
"ATSSC","table1"
"ATSSC","table10"
"ATSSC","table11"
"ATSSC","table111"
"ATSSC","table112"
"ATSSC","table12"
"ATSSC","table2"
"ATSSC","table300"
"ATSSC","table302"
"ATSSC","table303"
"ATSSC","table304"
"ATSSC","table305"
"ATSSC","table4"
"ATSSC","table5"
"ATSSC","table6"
"ATSSC","table8"
"ATSSC","table9"
"CAS","table1"
"CAS","table10"
"CAS","table11"
"CAS","table111"
"CAS","table112"
"CAS","table113"
"CAS","table12"
"CAS","table2"
"CAS","table300"
"CAS","table302"
"CAS","table303"
"CAS","table304"
"CAS","table305"
"CAS","table4"
"CAS","table5"
"CAS","table6"
"CAS","table8"
"CAS","table9"
"CAT","table10"
"CAT","table11"
"CAT","table111"
"CAT","table112"
"CAT","table113"
"CAT","table12"
"CAT","table302"
"CAT","table303"
"CAT","table304"
"CAT","table4"
"CAT","table5"
"CAT","table6"
"CAT","table8"
"CAT","table9"
"CATSA","table300"
"CATSA","table305"
"CATSA","table4"
"CATSA","table5"
"CATSA","table6"
"CATSA","table8"
"CB","table1"
"CB","table10"
"CB","table11"
"CB","table111"
"CB","table112"
"CB","table113"
"CB","table12"
"CB","table2"
"CB","table300"
"CB","table302"
"CB","table303"
"CB","table304"
"CB","table305"
"CB","table4"
"CB","table5"
"CB","table6"
"CB","table8"
"CB","table9"
"CBC","table300"
"CBC","table305"
"CBC","table4"
"CBC","table5"
"CBC","table6"
"CBC","table8"
"CBSA","table1"
"CBSA","table10"
"CBSA","table11"
"CBSA","table111"
"CBSA","table112"
"CBSA","table113"
"CBSA","table12"
"CBSA","table2"
"CBSA","table300"
"CBSA","table302"
"CBSA","table303"
"CBSA","table304"
"CBSA","table305"
"CBSA","table4"
"CBSA","table5"
"CBSA","table6"
"CBSA","table8"
"CBSA","table9"
"CC","table300"
"CC","table305"
"CC","table4"
"CC","table5"
"CC","table6"
"CC","table8"
"CCC","table300"
"CCC","table305"
"CCC","table4"
"CCC","table5"
"CCC","table6"
"CCC","table8"
"CCMD","table1"
"CCMD","table10"
"CCMD","table11"
"CCMD","table111"
"CCMD","table112"
"CCMD","table113"
"CCMD","table12"
"CCMD","table2"
"CCMD","table300"
"CCMD","table302"
"CCMD","table303"
"CCMD","table304"
"CCMD","table305"
"CCMD","table4"
"CCMD","table5"
"CCMD","table6"
"CCMD","table7"
"CCMD","table8"
"CCMD","table9"
"CCOHS","table12"
"CCOHS","table300"
"CCOHS","table305"
"CCOHS","table4"
"CCOHS","table5"
"CCOHS","table6"
"CCOHS","table8"
"CCRA","table1"
"CCRA","table10"
"CCRA","table11"
"CCRA","table111"
"CCRA","table112"
"CCRA","table12"
"CCRA","table2"
"CCRA","table300"
"CCRA","table302"
"CCRA","table303"
"CCRA","table304"
"CCRA","table305"
"CCRA","table4"
"CCRA","table5"
"CCRA","table6"
"CCRA","table7"
"CCRA","table8"
"CCRA","table9"
"CDC","table10"
"CDC","table11"
"CDC","table111"
"CDC","table112"
"CDC","table113"
"CDC","table300"
"CDC","table302"
"CDC","table303"
"CDC","table304"
"CDC","table305"
"CDC","table4"
"CDC","table5"
"CDC","table6"
"CDC","table8"
"CDC","table9"
"CEAA","table1"
"CEAA","table10"
"CEAA","table11"
"CEAA","table111"
"CEAA","table112"
"CEAA","table113"
"CEAA","table12"
"CEAA","table2"
"CEAA","table300"
"CEAA","table302"
"CEAA","table303"
"CEAA","table304"
"CEAA","table305"
"CEAA","table4"
"CEAA","table5"
"CEAA","table6"
"CEAA","table7"
"CEAA","table8"
"CEAA","table9"
"CEO","table1"
"CEO","table10"
"CEO","table11"
"CEO","table111"
"CEO","table112"
"CEO","table113"
"CEO","table12"
"CEO","table2"
"CEO","table300"
"CEO","table302"
"CEO","table303"
"CEO","table304"
"CEO","table305"
"CEO","table4"
"CEO","table5"
"CEO","table6"
"CEO","table7"
"CEO","table8"
"CEO","table9"
"CFDC","table300"
"CFDC","table305"
"CFDC","table4"
"CFDC","table5"
"CFDC","table6"
"CFDC","table8"
"CFGB","table1"
"CFGB","table10"
"CFGB","table11"
"CFGB","table111"
"CFGB","table112"
"CFGB","table113"
"CFGB","table12"
"CFGB","table2"
"CFGB","table300"
"CFGB","table302"
"CFGB","table303"
"CFGB","table304"
"CFGB","table305"
"CFGB","table4"
"CFGB","table5"
"CFGB","table6"
"CFGB","table8"
"CFGB","table9"
"CFIA","table1"
"CFIA","table10"
"CFIA","table11"
"CFIA","table111"
"CFIA","table112"
"CFIA","table12"
"CFIA","table2"
"CFIA","table300"
"CFIA","table302"
"CFIA","table303"
"CFIA","table304"
"CFIA","table305"
"CFIA","table4"
"CFIA","table5"
"CFIA","table6"
"CFIA","table7"
"CFIA","table8"
"CFIA","table9"
"CGC","table1"
"CGC","table10"
"CGC","table11"
"CGC","table111"
"CGC","table112"
"CGC","table113"
"CGC","table12"
"CGC","table2"
"CGC","table300"
"CGC","table302"
"CGC","table303"
"CGC","table304"
"CGC","table305"
"CGC","table4"
"CGC","table5"
"CGC","table6"
"CGC","table8"
"CGC","table9"
"CH","table1"
"CH","table10"
"CH","table11"
"CH","table111"
"CH","table112"
"CH","table113"
"CH","table12"
"CH","table2"
"CH","table300"
"CH","table302"
"CH","table303"
"CH","table304"
"CH","table305"
"CH","table4"
"CH","table5"
"CH","table6"
"CH","table7"
"CH","table8"
"CH","table9"
"CHRC","table1"
"CHRC","table10"
"CHRC","table11"
"CHRC","table111"
"CHRC","table112"
"CHRC","table113"
"CHRC","table12"
"CHRC","table2"
"CHRC","table300"
"CHRC","table302"
"CHRC","table303"
"CHRC","table304"
"CHRC","table305"
"CHRC","table4"
"CHRC","table5"
"CHRC","table6"
"CHRC","table8"
"CHRC","table9"
"CHRT","table10"
"CHRT","table11"
"CHRT","table111"
"CHRT","table112"
"CHRT","table12"
"CHRT","table302"
"CHRT","table303"
"CHRT","table304"
"CHRT","table4"
"CHRT","table5"
"CHRT","table6"
"CHRT","table8"
"CHRT","table9"
"CI","table1"
"CI","table10"
"CI","table11"
"CI","table111"
"CI","table112"
"CI","table113"
"CI","table12"
"CI","table2"
"CI","table300"
"CI","table302"
"CI","table303"
"CI","table304"
"CI","table305"
"CI","table4"
"CI","table5"
"CI","table6"
"CI","table7"
"CI","table8"
"CI","table9"
"CICS","table1"
"CICS","table10"
"CICS","table11"
"CICS","table111"
"CICS","table112"
"CICS","table113"
"CICS","table12"
"CICS","table2"
"CICS","table300"
"CICS","table302"
"CICS","table303"
"CICS","table304"
"CICS","table305"
"CICS","table4"
"CICS","table5"
"CICS","table6"
"CICS","table8"
"CICS","table9"
"CIDA","table10"
"CIDA","table11"
"CIDA","table111"
"CIDA","table112"
"CIDA","table113"
"CIDA","table12"
"CIDA","table302"
"CIDA","table303"
"CIDA","table304"
"CIDA","table5"
"CIDA","table6"
"CIDA","table7"
"CIDA","table9"
"CIHR","table1"
"CIHR","table10"
"CIHR","table11"
"CIHR","table111"
"CIHR","table112"
"CIHR","table12"
"CIHR","table2"
"CIHR","table300"
"CIHR","table302"
"CIHR","table303"
"CIHR","table304"
"CIHR","table305"
"CIHR","table4"
"CIHR","table5"
"CIHR","table6"
"CIHR","table7"
"CIHR","table8"
"CIHR","table9"
"CIRB","table10"
"CIRB","table11"
"CIRB","table111"
"CIRB","table112"
"CIRB","table113"
"CIRB","table12"
"CIRB","table302"
"CIRB","table303"
"CIRB","table304"
"CIRB","table4"
"CIRB","table5"
"CIRB","table6"
"CIRB","table8"
"CIRB","table9"
"CITT","table10"
"CITT","table11"
"CITT","table111"
"CITT","table112"
"CITT","table113"
"CITT","table12"
"CITT","table302"
"CITT","table303"
"CITT","table304"
"CITT","table4"
"CITT","table5"
"CITT","table6"
"CITT","table8"
"CITT","table9"
"CLVM","table4"
"CLVM","table5"
"CLVM","table6"
"CMC","table300"
"CMC","table305"
"CMC","table4"
"CMC","table5"
"CMC","table6"
"CMC","table8"
"CMHC","table300"
"CMHC","table305"
"CMHC","table4"
"CMHC","table5"
"CMHC","table6"
"CMHC","table8"
"CMHR","table300"
"CMHR","table305"
"CMHR","table4"
"CMHR","table5"
"CMHR","table6"
"CMHR","table8"
"CMI","table300"
"CMI","table305"
"CMI","table4"
"CMI","table5"
"CMI","table6"
"CMI","table8"
"CMN","table300"
"CMN","table305"
"CMN","table4"
"CMN","table5"
"CMN","table6"
"CMN","table8"
"CNEDA","table1"
"CNEDA","table10"
"CNEDA","table11"
"CNEDA","table111"
"CNEDA","table112"
"CNEDA","table12"
"CNEDA","table2"
"CNEDA","table300"
"CNEDA","table302"
"CNEDA","table303"
"CNEDA","table304"
"CNEDA","table305"
"CNEDA","table4"
"CNEDA","table5"
"CNEDA","table6"
"CNEDA","table7"
"CNEDA","table8"
"CNEDA","table9"
"CNMI","table300"
"CNMI","table305"
"CNMI","table4"
"CNMI","table5"
"CNMI","table6"
"CNMI","table8"
"CPAC","table10"
"CPAC","table11"
"CPAC","table111"
"CPAC","table112"
"CPAC","table113"
"CPAC","table302"
"CPAC","table303"
"CPAC","table304"
"CPAC","table9"
"CPC","table300"
"CPC","table305"
"CPC","table4"
"CPC","table5"
"CPC","table6"
"CPC","table8"
"CPCC","table1"
"CPCC","table10"
"CPCC","table11"
"CPCC","table111"
"CPCC","table112"
"CPCC","table12"
"CPCC","table2"
"CPCC","table300"
"CPCC","table302"
"CPCC","table303"
"CPCC","table304"
"CPCC","table305"
"CPCC","table4"
"CPCC","table5"
"CPCC","table6"
"CPCC","table7"
"CPCC","table8"
"CPCC","table9"
"CRTC","table1"
"CRTC","table10"
"CRTC","table11"
"CRTC","table111"
"CRTC","table112"
"CRTC","table113"
"CRTC","table12"
"CRTC","table2"
"CRTC","table300"
"CRTC","table302"
"CRTC","table303"
"CRTC","table304"
"CRTC","table305"
"CRTC","table4"
"CRTC","table5"
"CRTC","table6"
"CRTC","table8"
"CRTC","table9"
"CSA","table1"
"CSA","table10"
"CSA","table11"
"CSA","table111"
"CSA","table112"
"CSA","table113"
"CSA","table12"
"CSA","table2"
"CSA","table300"
"CSA","table302"
"CSA","table303"
"CSA","table304"
"CSA","table305"
"CSA","table4"
"CSA","table5"
"CSA","table6"
"CSA","table7"
"CSA","table8"
"CSA","table9"
"CSC","table1"
"CSC","table10"
"CSC","table11"
"CSC","table111"
"CSC","table112"
"CSC","table113"
"CSC","table12"
"CSC","table2"
"CSC","table300"
"CSC","table302"
"CSC","table303"
"CSC","table304"
"CSC","table305"
"CSC","table4"
"CSC","table5"
"CSC","table6"
"CSC","table7"
"CSC","table8"
"CSC","table9"
"CSEC","table10"
"CSEC","table11"
"CSEC","table111"
"CSEC","table112"
"CSEC","table302"
"CSEC","table303"
"CSEC","table304"
"CSEC","table4"
"CSEC","table5"
"CSEC","table6"
"CSEC","table8"
"CSEC","table9"
"CSIS","table1"
"CSIS","table4"
"CSIS","table5"
"CSIS","table6"
"CSIS","table8"
"CT","table12"
"CT","table4"
"CT","table5"
"CT","table6"
"CT","table8"
"CTA","table1"
"CTA","table10"
"CTA","table11"
"CTA","table111"
"CTA","table112"
"CTA","table113"
"CTA","table12"
"CTA","table2"
"CTA","table300"
"CTA","table302"
"CTA","table303"
"CTA","table304"
"CTA","table305"
"CTA","table4"
"CTA","table5"
"CTA","table6"
"CTA","table8"
"CTA","table9"
"CTAIB","table1"
"CTAIB","table10"
"CTAIB","table11"
"CTAIB","table111"
"CTAIB","table112"
"CTAIB","table113"
"CTAIB","table12"
"CTAIB","table2"
"CTAIB","table300"
"CTAIB","table302"
"CTAIB","table303"
"CTAIB","table304"
"CTAIB","table305"
"CTAIB","table4"
"CTAIB","table5"
"CTAIB","table6"
"CTAIB","table8"
"CTAIB","table9"
"EA","table1"
"EA","table10"
"EA","table11"
"EA","table111"
"EA","table112"
"EA","table113"
"EA","table12"
"EA","table2"
"EA","table300"
"EA","table302"
"EA","table303"
"EA","table304"
"EA","table305"
"EA","table4"
"EA","table5"
"EA","table6"
"EA","table7"
"EA","table8"
"EA","table9"
"EC","table1"
"EC","table10"
"EC","table11"
"EC","table111"
"EC","table112"
"EC","table113"
"EC","table12"
"EC","table2"
"EC","table300"
"EC","table302"
"EC","table303"
"EC","table304"
"EC","table305"
"EC","table4"
"EC","table5"
"EC","table6"
"EC","table7"
"EC","table8"
"EC","table9"
"ECBC","table4"
"ECBC","table5"
"ECBC","table6"
"ECBC","table8"
"EDC","table300"
"EDC","table305"
"EDC","table4"
"EDC","table5"
"EDC","table6"
"EDC","table7"
"EDC","table8"
"ERC","table1"
"ERC","table10"
"ERC","table11"
"ERC","table111"
"ERC","table112"
"ERC","table113"
"ERC","table12"
"ERC","table2"
"ERC","table300"
"ERC","table302"
"ERC","table303"
"ERC","table304"
"ERC","table305"
"ERC","table4"
"ERC","table5"
"ERC","table6"
"ERC","table8"
"ERC","table9"
"FBCL","table300"
"FBCL","table305"
"FBCL","table4"
"FBCL","table5"
"FBCL","table6"
"FBCL","table8"
"FCAC","table10"
"FCAC","table11"
"FCAC","table111"
"FCAC","table112"
"FCAC","table2"
"FCAC","table300"
"FCAC","table302"
"FCAC","table303"
"FCAC","table304"
"FCAC","table305"
"FCAC","table4"
"FCAC","table5"
"FCAC","table6"
"FCAC","table8"
"FCAC","table9"
"FEDSO","table1"
"FEDSO","table10"
"FEDSO","table11"
"FEDSO","table111"
"FEDSO","table112"
"FEDSO","table113"
"FEDSO","table12"
"FEDSO","table2"
"FEDSO","table300"
"FEDSO","table302"
"FEDSO","table303"
"FEDSO","table304"
"FEDSO","table305"
"FEDSO","table4"
"FEDSO","table5"
"FEDSO","table6"
"FEDSO","table7"
"FEDSO","table8"
"FEDSO","table9"
"FIN","table1"
"FIN","table10"
"FIN","table11"
"FIN","table111"
"FIN","table112"
"FIN","table113"
"FIN","table12"
"FIN","table2"
"FIN","table300"
"FIN","table302"
"FIN","table303"
"FIN","table304"
"FIN","table305"
"FIN","table4"
"FIN","table5"
"FIN","table6"
"FIN","table7"
"FIN","table8"
"FIN","table9"
"FJA","table1"
"FJA","table10"
"FJA","table11"
"FJA","table111"
"FJA","table112"
"FJA","table113"
"FJA","table12"
"FJA","table2"
"FJA","table300"
"FJA","table302"
"FJA","table303"
"FJA","table304"
"FJA","table305"
"FJA","table4"
"FJA","table5"
"FJA","table6"
"FJA","table8"
"FJA","table9"
"FNSI","table4"
"FNSI","table5"
"FNSI","table6"
"FO","table1"
"FO","table10"
"FO","table11"
"FO","table111"
"FO","table112"
"FO","table113"
"FO","table12"
"FO","table2"
"FO","table300"
"FO","table302"
"FO","table303"
"FO","table304"
"FO","table305"
"FO","table4"
"FO","table5"
"FO","table6"
"FO","table7"
"FO","table8"
"FO","table9"
"FORDQ","table1"
"FORDQ","table10"
"FORDQ","table11"
"FORDQ","table111"
"FORDQ","table112"
"FORDQ","table113"
"FORDQ","table12"
"FORDQ","table2"
"FORDQ","table300"
"FORDQ","table302"
"FORDQ","table303"
"FORDQ","table304"
"FORDQ","table305"
"FORDQ","table4"
"FORDQ","table5"
"FORDQ","table6"
"FORDQ","table7"
"FORDQ","table8"
"FORDQ","table9"
"FTRAC","table1"
"FTRAC","table10"
"FTRAC","table11"
"FTRAC","table111"
"FTRAC","table112"
"FTRAC","table12"
"FTRAC","table2"
"FTRAC","table300"
"FTRAC","table302"
"FTRAC","table303"
"FTRAC","table304"
"FTRAC","table305"
"FTRAC","table4"
"FTRAC","table5"
"FTRAC","table6"
"FTRAC","table8"
"FTRAC","table9"
"GG","table1"
"GG","table10"
"GG","table11"
"GG","table111"
"GG","table112"
"GG","table113"
"GG","table2"
"GG","table300"
"GG","table302"
"GG","table303"
"GG","table304"
"GG","table305"
"GG","table4"
"GG","table5"
"GG","table6"
"GG","table7"
"GG","table8"
"GG","table9"
"GSC","table1"
"GSC","table10"
"GSC","table11"
"GSC","table111"
"GSC","table112"
"GSC","table113"
"GSC","table12"
"GSC","table2"
"GSC","table300"
"GSC","table302"
"GSC","table303"
"GSC","table304"
"GSC","table305"
"GSC","table4"
"GSC","table5"
"GSC","table6"
"GSC","table7"
"GSC","table8"
"GSC","table9"
"H","table1"
"H","table10"
"H","table11"
"H","table111"
"H","table112"
"H","table113"
"H","table12"
"H","table2"
"H","table300"
"H","table302"
"H","table303"
"H","table304"
"H","table305"
"H","table4"
"H","table5"
"H","table6"
"H","table7"
"H","table8"
"H","table9"
"HC","table300"
"HC","table305"
"HC","table4"
"HC","table5"
"HC","table6"
"HC","table7"
"HC","table8"
"HMIRC","table10"
"HMIRC","table11"
"HMIRC","table111"
"HMIRC","table112"
"HMIRC","table113"
"HMIRC","table302"
"HMIRC","table303"
"HMIRC","table304"
"HMIRC","table5"
"HMIRC","table6"
"HMIRC","table9"
"HRSD","table1"
"HRSD","table10"
"HRSD","table11"
"HRSD","table111"
"HRSD","table112"
"HRSD","table113"
"HRSD","table12"
"HRSD","table2"
"HRSD","table300"
"HRSD","table302"
"HRSD","table303"
"HRSD","table304"
"HRSD","table305"
"HRSD","table4"
"HRSD","table5"
"HRSD","table6"
"HRSD","table7"
"HRSD","table8"
"HRSD","table9"
"IDRC","table300"
"IDRC","table305"
"IDRC","table4"
"IDRC","table5"
"IDRC","table6"
"IDRC","table8"
"IJC","table10"
"IJC","table11"
"IJC","table111"
"IJC","table112"
"IJC","table113"
"IJC","table300"
"IJC","table302"
"IJC","table303"
"IJC","table304"
"IJC","table305"
"IJC","table4"
"IJC","table5"
"IJC","table6"
"IJC","table8"
"IJC","table9"
"INAC","table1"
"INAC","table10"
"INAC","table11"
"INAC","table111"
"INAC","table112"
"INAC","table113"
"INAC","table12"
"INAC","table2"
"INAC","table300"
"INAC","table302"
"INAC","table303"
"INAC","table304"
"INAC","table305"
"INAC","table4"
"INAC","table5"
"INAC","table6"
"INAC","table7"
"INAC","table8"
"INAC","table9"
"INDSC","table8"
"IOG","table10"
"IOG","table11"
"IOG","table111"
"IOG","table112"
"IOG","table302"
"IOG","table303"
"IOG","table304"
"IOG","table9"
"IPC","table1"
"IPC","table10"
"IPC","table11"
"IPC","table111"
"IPC","table112"
