dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
ACOA,female,423,385,384,388,398,0.64283
ACOA,male,254,205,207,216,217,0.35717
AECB,female,389,391,373,378,387,0.45515
AECB,male,475,465,448,444,464,0.54485
AGR,female,3262,2977,2622,2605,2620,0.49797
AGR,male,3382,3014,2669,2589,2547,0.50203
AHRAC,sup,14,.,.,.,.,1
APPRT,sup,10,3,.,.,.,1
ATSSC,female,.,.,.,226,237,0.64039
ATSSC,male,.,.,.,123,137,0.35961
CAS,female,434,417,401,400,430,0.6541
CAS,male,226,206,213,218,238,0.3459
CAT,sup,10,9,9,.,.,1
CB,female,7,7,5,9,6,0.46575
CB,male,7,8,8,8,8,0.53425
CBSA,female,7504,7143,7019,6918,6924,0.49795
CBSA,male,7206,7075,7077,7195,7247,0.50205
CCMD,female,607,429,418,428,437,0.66428
CCMD,male,308,228,207,218,211,0.33572
CCRA,female,25564,24849,24115,23878,23473,0.59819
CCRA,male,17104,16407,16164,16181,16011,0.40181
CDC,female,38,34,34,34,36,0.609
CDC,male,25,25,17,22,24,0.391
CEAA,female,151,145,158,160,177,0.67262
CEAA,male,89,74,72,69,81,0.32738
CEO,female,266,250,259,325,322,0.50659
CEO,male,262,245,261,305,312,0.49341
CFGB,female,26,26,27,26,21,0.67021
CFGB,male,10,12,10,16,14,0.32979
CFIA,female,3697,3528,3584,3420,3423,0.56752
CFIA,male,2883,2726,2731,2589,2523,0.43248
CGC,female,264,242,171,177,178,0.40807
CGC,male,416,383,242,231,225,0.59193
CH,female,1337,1181,1205,1173,1166,0.66689
CH,male,644,572,616,600,596,0.33311
CHRC,female,133,141,131,135,141,0.65988
CHRC,male,76,74,68,69,64,0.34012
CHRT,female,14,15,12,.,.,0.67213
CHRT,male,6,6,8,.,.,0.32787
CI,female,3392,3258,3896,4214,4340,0.66398
CI,male,1625,1592,2031,2171,2246,0.33599
CI,unknown,.,.,.,.,1,0.00003
CICS,female,10,10,11,10,10,0.45133
CICS,male,11,13,13,13,12,0.54867
CIDA,female,1184,1018,.,.,.,0.64049
CIDA,male,659,577,.,.,.,0.35951
CIHR,female,295,275,294,305,283,0.70111
CIHR,male,129,119,118,127,126,0.29889
CIRB,female,58,58,63,.,.,0.66791
CIRB,male,31,33,25,.,.,0.33209
CITT,female,49,46,47,.,.,0.62555
CITT,male,28,27,30,.,.,0.37445
CNEDA,female,.,.,.,46,46,0.60526
CNEDA,male,.,.,.,29,31,0.39474
CPAC,female,9,9,9,11,10,0.55172
CPAC,male,7,7,8,8,9,0.44828
CPCC,female,.,.,.,7,19,0.38806
CPCC,male,.,.,.,7,10,0.25373
CPCC,sup,4,9,11,.,.,0.35821
CRTC,female,267,260,249,245,240,0.56244
CRTC,male,184,184,186,217,210,0.43756
CSA,female,305,264,258,245,258,0.4086
CSA,male,450,399,363,355,358,0.5914
CSC,female,9251,8944,8805,8402,8196,0.4813
CSC,male,9761,9557,9454,9237,8976,0.5187
CSEC,female,705,747,784,794,781,0.36086
CSEC,male,1280,1328,1387,1374,1381,0.63914
CTA,female,145,138,124,146,142,0.58305
CTA,male,105,106,94,95,97,0.41695
CTAIB,female,71,68,68,67,67,0.32507
CTAIB,male,145,134,135,146,148,0.67493
EA,female,4326,4191,3323,3278,3268,0.56202
EA,male,3229,3078,2704,2695,2622,0.43798
EC,female,3152,3055,3126,3220,3135,0.47844
EC,male,3610,3353,3424,3375,3338,0.5215
EC,unknown,.,.,.,.,2,0.00006
ERC,sup,3,6,5,6,7,1
FCAC,female,40,39,44,43,50,0.54408
FCAC,male,28,34,34,41,44,0.45592
FEDSO,female,141,134,139,141,140,0.62782
FEDSO,male,84,84,85,77,82,0.37218
FIN,female,369,359,362,352,347,0.47504
FIN,male,412,397,389,391,388,0.52496
FJA,female,41,44,37,35,38,0.64145
FJA,male,25,23,21,19,21,0.35855
FO,female,4016,3818,3684,3694,3797,0.37321
FO,male,6907,6476,6274,6164,6104,0.62679
FORDQ,female,221,198,200,190,191,0.57078
FORDQ,male,180,141,148,141,142,0.42922
FTRAC,female,199,203,189,196,198,0.53943
FTRAC,male,177,171,158,159,176,0.46057
GG,female,97,96,91,92,101,0.59551
GG,male,69,62,64,64,65,0.40449
GSC,female,7620,7057,6994,7098,7102,0.57911
GSC,male,6058,5087,4973,4994,4959,0.42089
H,female,6946,6363,6153,6034,6121,0.66023
H,male,3632,3338,3188,3045,3068,0.33977
HMIRC,female,28,20,.,.,.,0.67606
HMIRC,male,12,11,.,.,.,0.32394
HRSD,female,15716,14024,14695,15020,15326,0.69294
HRSD,male,7040,6022,6402,6687,6986,0.30706
IJC,female,12,12,13,14,13,0.4129
IJC,male,16,20,18,18,19,0.5871
INAC,female,3460,3211,3139,3061,2981,0.64684
INAC,male,1949,1764,1718,1623,1601,0.35316
IOG,female,54,59,58,54,58,0.68523
IOG,male,25,25,27,26,27,0.31477
IPC,female,173,162,161,171,160,0.62041
IPC,male,100,96,100,111,99,0.37959
IRB,female,658,657,617,587,597,0.6227
IRB,male,402,377,366,367,376,0.3773
ISC,female,2570,2396,2370,2421,2426,0.50221
ISC,male,2671,2386,2348,2321,2350,0.49779
JJJ,female,356,362,376,394,409,0.33875
JJJ,male,749,738,734,750,732,0.66125
JUS,female,3476,3198,3113,3049,3058,0.68022
JUS,male,1654,1527,1461,1427,1403,0.31978
LAC,female,697,536,624,615,569,0.60039
LAC,male,448,377,419,411,369,0.39961
MPCC,female,9,12,.,15,20,0.58333
MPCC,male,7,6,.,7,6,0.27083
MPCC,sup,.,.,14,.,.,0.14583
ND,female,10712,9869,9134,9020,9248,0.39712
ND,male,16465,15070,14012,13591,13702,0.60285
ND,unknown,.,.,.,.,4,0.00003
NEB,female,236,249,262,277,289,0.609
NEB,male,160,160,173,170,180,0.391
