Dept,avgage,Y1112,Y1213,Y1314,Y1415,Y1516
ACOA,avgage,43.867267,44.506915,45.017478,45.769403,46.443837
AECB,avgage,45.823657,45.990887,46.470012,46.789549,45.61316
AGR,avgage,44.679139,44.853935,44.879236,44.734763,44.875875
AHRAC,avgage,49.512857,.,.,.,.
APPRT,avgage,48.672,40.19,.,.,.
ATSSC,avgage,.,.,.,44.713524,44.120481
CAS,avgage,42.565469,43.208443,43.276123,42.715711,42.383398
CAT,avgage,42.698,45.171111,47.353333,.,.
CB,avgage,46.081428,42.596666,42.403076,41.855294,44.172857
CBSA,avgage,41.497714,41.852925,41.894489,42.136965,42.310439
CCMD,avgage,43.938841,44.027229,43.47976,43.266671,43.484891
CCRA,avgage,45.672758,45.95713,46.060351,45.968623,46.01701
CDC,avgage,42.348253,42.222372,40.318823,39.799107,40.573166
CEAA,avgage,41.536833,42.264155,41.102956,41.973973,41.484302
CEO,avgage,42.251098,43.206969,43.08925,41.934222,41.510804
CFGB,avgage,47.604722,47.109736,47.868108,48.76619,48.240857
CFIA,avgage,43.6291,44.041688,44.054509,44.641191,44.950077
CGC,avgage,45.257882,46.671616,46.25874,45.800931,45.911315
CH,avgage,43.971049,44.078436,44.29017,44.606452,44.32538
CHRC,avgage,44.414784,44.349488,44.601356,44.512205,44.439317
CHRT,avgage,41.258,41.601428,42.621,.,.
CI,avgage,42.36994,42.030734,41.607654,41.477271,41.389139
CICS,avgage,48.633333,50.049565,48.27625,46.895217,44.785
CIDA,avgage,43.718095,43.456608,.,.,.
CIHR,avgage,42.373089,42.531573,41.991796,42.123425,43.133936
CIRB,avgage,46.966067,46.970659,47.628636,.,.
CITT,avgage,41.666103,41.758356,41.188051,.,.
CNEDA,avgage,.,.,.,44.440533,44.050909
CPAC,avgage,47.89375,47.036875,48.958235,48.082105,46.85421
CPCC,avgage,55.535,44.903333,45.900909,42.016428,41.451724
CRTC,avgage,43.963946,43.927815,43.918275,42.934329,42.597711
CSA,avgage,44.058754,45.499547,46.628003,47.262566,47.358165
CSC,avgage,42.722877,43.111336,43.418877,43.727163,44.111631
CSEC,avgage,42.579224,42.826438,42.732266,43.178971,43.43647
CTA,avgage,43.49432,44.236475,45.772935,44.642074,45.084393
CTAIB,avgage,49.631898,49.474504,48.571871,49.477323,49.927813
EA,avgage,41.735457,42.097174,43.836268,43.960314,44.168702
EC,avgage,42.882682,42.989767,42.974801,43.079724,43.370165
ERC,avgage,44.986666,44.546666,44.426,46.938333,48.845714
FCAC,avgage,39.68147,40.387123,40.582307,41.101547,40.317978
FEDSO,avgage,38.484044,38.987293,40.496383,41.181972,40.845225
FIN,avgage,40.468053,40.719484,41.314527,41.139421,41.379414
FJA,avgage,46.166212,44.634477,46.552586,47.13574,46.64
FO,avgage,45.102358,45.301371,45.474542,45.386259,45.389428
FORDQ,avgage,43.942344,44.269469,44.540402,45.364864,46.234684
FTRAC,avgage,38.134015,39.033288,40.322997,39.944647,39.041524
GG,avgage,45.292168,45.237341,45.744,44.450064,44.673313
GSC,avgage,44.722673,45.060079,45.31862,45.278439,45.331287
H,avgage,43.355196,43.886394,44.200602,44.765943,44.784615
HMIRC,avgage,44.291,44.007741,.,.,.
HRSD,avgage,44.629051,45.103219,44.547085,44.230504,43.899108
IJC,avgage,50.227857,48.959375,45.44387,43.798437,46.136875
INAC,avgage,42.918212,43.15524,43.21995,43.350792,43.657151
IOG,avgage,49.815189,49.247023,49.810941,50.780625,49.580823
IPC,avgage,43.040402,42.958798,43.065938,43.542553,43.232818
IRB,avgage,46.761896,46.706189,46.344425,47.260513,46.813514
ISC,avgage,43.95282,44.233969,44.309145,44.380771,44.078615
JJJ,avgage,61.556153,61.618609,61.79663,61.741433,61.827212
JUS,avgage,43.031288,43.984516,44.428388,44.672149,44.88132
LAC,avgage,44.298925,44.319003,43.432981,43.42192,44.049605
MPCC,avgage,40.069375,39.153888,41.171428,40.293636,38.875769
ND,avgage,46.852301,47.52741,47.984313,48.361849,48.414475
NEB,avgage,44.495303,44.656992,44.813931,44.779619,45.30872
NFB,avgage,43.397364,43.072639,44.137071,45.0417,44.915861
NPB,avgage,46.113995,45.090616,45.348997,44.970256,44.746577
NR,avgage,45.405329,45.45625,45.699264,45.808575,45.685509
NRC,avgage,46.547498,47.176737,47.104337,47.154074,46.845161
NRTEE,avgage,42.455,59.056666,.,.,.
NSERC,avgage,41.676014,42.138157,42.267677,42.341459,42.854527
OAG,avgage,40.645313,40.931914,41.631187,42.051821,41.146037
OCI,avgage,37.764642,39.697878,38.71825,40.747714,40.605135
OCOL,avgage,42.899878,43.503456,43.3369,43.310872,43.784878
ODPP,avgage,42.82443,43.030031,43.254262,43.931198,44.124907
OICC,avgage,37.716408,38.629642,39.644201,39.585903,39.737549
OPSIC,avgage,46.49,43.721935,43.945357,43.944,42.747307
ORL,avgage,44.293571,42.600769,45.380384,44.455185,45.002307
OSFI,avgage,45.111525,45.247288,44.899225,45.261242,45.616161
PCA,avgage,45.801693,45.73029,45.064554,44.881428,44.52212
