"id","name_en","def_en"
"ACT","Activity","An activity is an operation or work process internal to a department which uses inputs to produce outputs, e.g., training, research, construction, negotiation, investigation, etc."
"ACTIV_PEOPLE","Active employees","Active employees are employees who are not on leave without pay."
"ADJUS","Adjustments, warrants and transfers","Adjustments, warrants and transfers include:
* transfers from or to other ministries such as Treasury Board Votes 5, 10, 15, 25, 30 and 33 or changes in ministry responsibility;
* transfers within the ministry from one vote to another (under Parliamentary authority), or between transfer payments;
* any unexpended amounts from or to other ministries as deemed appropriations pursuant to section 31.1 of the Financial Administration Act;
* changes to statutory amounts due to adjustments of spending forecasts included in the Estimates, due to cancellation or amendment to statutes or due to adjustments of Crown corporations borrowing authorities;
* amounts of previous years' over expenditures paid or settled in the current year and proceeds from the disposal of surplus Crown assets;
* Governor General Special Warrants to cover payments that are required when Parliament is dissolved for a general election."
"AM_IGOC","Appropriate Ministers","The designated Minister(s) identified with an organization for reporting purposes."
"APP_ACT","Appropriation act","An appropriation act is the vehicle through which expenditures from the consolidated revenue fund are authorized in order to pay for government programs and services. 
Appropriation acts begin as supply bills. Supply bills are prepared for Main and Supplementary Estimates. Once a bill is introduced to Parliament, approved and granted royal assent, it becomes law in the form of an appropriation act."
"ARLU","Annual Reference Level Update (ARLU)","Annual Reference Level Update (ARLU) is used to set the expenditure baseline for the direct program spending component of the fiscal plan, reflected in the annual federal budget, and serves as the basis for the appropriations sought from Parliament in the Main Estimates."
"AUTH","Authorities","Authorities are approvals from Parliament for individual government organizations to spend up to specific amounts. Expenditure authority from Parliament is provided in two ways:

* Annual appropriation acts that specify the amounts and broad purposes for which funds can be spent; and
* Other specific statutes that authorize payments and set out the amounts and time periods for those payments.
 
An organization’s expenditure authority received through appropriation acts may be supplemented by allocations from Treasury Board Central Votes 5, 10, 15, 25, 30 and 33.
"
"AVAIL","Available from Previous Years","Funds available from previous years are spending authorities allowed to be brought forward from the previous fiscal year. These amounts are available for spending in the current fiscal year without further approval from Parliament. These funds include only those authorities where there is a specified dollar limit on total spending or on the accumulated outstanding balance of items where revenues and receipts are available for spending. Usually these items represent revolving funds, proceeds from the disposal of surplus Crown assets or loans authorities."
"BUD_AUTH_CURRENT","Budgetary authority used in the current year","Budgetary authority used in the current year refers to the amounts spent in the current year (net of actual revenues and receipts available for spending)."
"BUD_EXP","Budgetary expenditures","Budgetary expenditures are expenditures made in accordance with specific votes or other authorities in the Estimates, or to statutory appropriations or other authorities included in various statutes and elsewhere. Budgetary expenditures consist of the cost of servicing the public debt; operating and capital expenditures; transfer payments to other levels of government, organizations or individuals; and payments to Crown corporations."
"BUD_REV","Budgetary revenue","Budgetary revenue refers to revenue related to tax revenue and user charges, payable or charged based on specific legislation, regulations or contracting authority. All tax revenue are statutory and the non-tax revenue authority codes identify the basis under which departments charge users for the provision of products or services and includes goods, regulatory and optional services, information products, use of public facilities and rights and privileges (licences, permits, patents, copyrights, etc.)."
"CAP","Capital Vote","Capital vote refers to the non-statutory expenditure vote authority (pursuant to an Appropriation Act) that provides for capital expenditures (i.e., a program where capital equals or exceeds $5 million)."
"CASUAL_PEOPLE","Employee Type : Casual Employee","Casual employees are persons employed on a determinate basis pursuant to the PSEA Section 50 for a period not exceeding 90 working days in one calendar year in any particular department or other organization to that part of the public service to which the Public Service Commission has exclusive authority to make appointments. Casual employees can be part-time or full-time:
* Full-time casual employees work the same number of scheduled hours of work as defined by the relevant collective agreement, but are not members of the bargaining unit.
* Part-time casual employees work less than the scheduled hours of work as defined by the relevant collective agreement, but are not members of the bargaining unit."
"CFMRS","Central Financial Management Reporting System (CFMRS)","The CFMRS is a central system within the suite of Public Works and Government Services Canada (PWGSC) central systems. The CFMRS contains departmental account balances at the level of the Government-wide Coding (GWC) Structure."
"CONT_TP","Contribution","Contributions are transfer payments subject to performance conditions specified in a funding agreement. Each contribution is to be accounted for by recipients and is subject to audit."
"CPA","Core Public Administration (CPA)","Core Public Administration (CPA) refers to the organizations set out in Schedules I and IV of the Financial Administration Act (FAA). Over 75 departments, agencies and commissions are included in CPA. The Treasury Board is identified as the employer of this part of the Public Service."
"CR","Core Responsibility","An enduring function or role performed by a department. The intentions of the department with respect to a Core Responsibility are reflected in one or more related Departmental Results that the department seeks to contribute to or influence."
"CROWN_SA","Appropriated Crown Corporations","Appropriated Crown corporations include any Crown corporation that receives an appropriation in a given year."
