"IndicatorID","ResultID","Title_en","DateToBeAcheivedYear","DateToBeAcheivedMonth","ResultExp_en","datatype","MinTarget_num","MaxTarget_num","TargetResult_en","Document","Actual_Datatype","actual_Result_en","status_color","period"
"D056CR1P01O2N4-2017","D056CR1P01O2-2017","Quality of performance and evaluation information included in Treasury Board submissions (on a scale of 1 to 5","","","","num","","","","dp17","","","",""
"D056CR1P01O2N5-2017","D056CR1P01O2-2017","Degree to which Treasury Board submissions transparently disclose financial risk (on a scale of 1 to 5)","","","","num","","","","dp17","","","",""
"D056CR1P02O3N6-2017","D056CR1P02O3-2017","% of Budget initiatves that are refected in the Estimates within one fiscal year",2018,3,"","percent",100.00,100.00,"","dp17","","","",""
"D056CR1P02O3N7-2017","D056CR1P02O3-2017","% of Budget initiatives included in the next available Estimates",2018,5,"","percent",100.00,100.00,"","dp17","","","",""
"D056CR1P02O4N10-2017","D056CR1P02O4-2017","Degree to which visitors to online departmental planning and reporting documents found the information useful (on a scale of 1 to 5)",2019,3,"","num","","","","dp17","","","",""
"D056CR1P02O4N8-2017","D056CR1P02O4-2017","Number of TBS InfoBase page views per year",2018,3,"","num",18000.00,"","","dp17","","","",""
"D056CR1P02O4N9-2017","D056CR1P02O4-2017","Degree to which TBS InfoBase users found the spending information they sought (on a scale of 1 to 5)",2019,3,"","num",4.00,"","","dp17","","","",""
"D056CR1P03O1N1-2017","D056CR1P03O1-2017","% of evaluation recommendations that are implemented","","","","percent","","","","dp17","","","",""
"D056CR1P03O1N2-2017","D056CR1P03O1-2017","% of programs with improved performance after being evaluated",2020,3,"","percent",70.00,"","","dp17","","","",""
"D056CR1P03O1N3-2017","D056CR1P03O1-2017","% of departmental results indicators for which targets are achieved",2019,3,"","percent",80.00,"","","dp17","","","",""
"D056CR1P04O17N62-2017","D056CR1P04O17-2017","Percentage of allocations and payments made",2018,3,"","percent",100.00,"","","dp17","","","",""
"D056CR1R1I01-2017","D056CR1R1-2017","% of departmental results indicators for which targets are achieved",2019,3,"","percent",80.00,"","","dp17","","","",""
"D056CR1R2I01-2017","D056CR1R2-2017","Degree to which Treasury Board submissions transparently disclose financial risk (on a scale of 1 to 5)","","","","num","","","","dp17","","","",""
"D056CR1R3I01-2017","D056CR1R3-2017","% of Budget initiatives included in the next available Estimates",2018,5,"","percent",100.00,100.00,"","dp17","","","",""
"D056CR1R4I01-2017","D056CR1R4-2017","Degree to which TBS InfoBase users found the spending information they sought (on a scale of 1 to 5)",2019,3,"","num",4.00,"","","dp17","","","",""
"D056CR1R4I02-2017","D056CR1R4-2017","Degree to which visitors to online departmental planning and reporting documents found the information useful (on a scale of 1 to 5)",2019,3,"","num","","","","dp17","","","",""
"D056CR2P05O10N27-2017","D056CR2P05O10-2017","The level of overall government greenhouse gas emissions",2030,3,"March 2030 - 40% reduction from 2005 baseline

Target 40%
Minimum value 37%","percent",40.00,"","","dp17","","","",""
"D056CR2P05O10N28-2017","D056CR2P05O10-2017","% of Government’s energy that is sourced from clean energy","","","","percent","","","","dp17","","","",""
"D056CR2P05O10N29-2017","D056CR2P05O10-2017","% of electric/zero-emission vehicles deployed in the federal fleet","","","","percent","","","","dp17","","","",""
"D056CR2P05O8N20-2017","D056CR2P05O8-2017","% of departments that effectively maintain and manage their assets over their lifecycle",2018,3,"Target = 90%; 
Minimum value =70%","percent",90.00,"","","dp17","","","",""
"D056CR2P05O8N21-2017","D056CR2P05O8-2017","% of departments that have assessed all internal controls over financial reporting in high risk areas and annually realign, implement and monitor systems on internal control",2018,3,"Target = 90%; 
Minimum value =80%","percent",90.00,"","","dp17","","","",""
"D056CR2P06O6N13-2017","D056CR2P06O6-2017","Number of datasets available to the public",2018,3,"","num",800.00,"","","dp17","","","",""
"D056CR2P06O6N14-2017","D056CR2P06O6-2017","% of access to information requests responded to within established timelines",2018,3,"Target = 80%; minimum value = 75%","percent",80.00,"","","dp17","","","",""
"D056CR2P06O6N15-2017","D056CR2P06O6-2017","% of personal information requests responded to within established timelines",2018,3,"Target = 80%; minimum value = 75%","percent",80.00,"","","dp17","","","",""
"D056CR2P06O6N16-2017","D056CR2P06O6-2017","% of contracts over $10,000 disclosed within established timelines",2018,3,"","percent",100.00,100.00,"","dp17","","","",""
"D056CR2P06O7N17-2017","D056CR2P06O7-2017","% of Government of Canada priority services available online",2020,3,"Target = 70%; minimum value = 60%","percent",70.00,"","","dp17","","","",""
"D056CR2P06O7N18-2017","D056CR2P06O7-2017","Degree to which clients are satisfied with the delivery of Government of Canada services, expressed as a percentage","","","","percent",60.00,"","","dp17","","","",""
"D056CR2P06O7N19-2017","D056CR2P06O7-2017","% of  priority services that meet service standard",2018,3,"Target = 80%; Minimum value =75%
","percent",80.00,"","","dp17","","","",""
"D056CR2P07O9N22-2017","D056CR2P07O9-2017","Degree to which departments are satisfied with the strategic direction of Information Technology in the Government of Canada, expressed as a percentage","","","","percent",65.00,"","","dp17","","","",""
"D056CR2P07O9N23-2017","D056CR2P07O9-2017","Degree to which departments are satisfied with the health of government's Information Technology, expressed as a percentage","","","","percent",50.00,"","","dp17","","","",""
"D056CR2P07O9N24-2017","D056CR2P07O9-2017","% of target strategic actions to the Government of Canada Information Technology Strategic Plan completed",2018,3,"","percent",65.00,"","","dp17","","","",""
"D056CR2P07O9N25-2017","D056CR2P07O9-2017","% of information technology systems that are managing cyber risks effectively","","","","percent",100.00,100.00,"","dp17","","","",""
"D056CR2P07O9N26-2017","D056CR2P07O9-2017","% of departments that have fewer than three significant outages impacting key systems in a year","","","","percent",100.00,100.00,"","dp17","","","",""
"D056CR2P08O5N11-2017","D056CR2P08O5-2017","Canada’s ranking in The World Bank’s Worldwide Governance Indicator of Government Effectiveness",2018,3,"","text",10.00,1.00,"Top 10 among Organisation for Economic Co-operation and Development (OECD) member countries","dp17","","","",""
"D056CR2P08O5N12-2017","D056CR2P08O5-2017","Level of compliance by departments with key policy requirements, expressed as a percentage",2018,3,"","percent",100.00,100.00,"","dp17","","","",""
"D056CR2R1I01-2017","D056CR2R1-2017","Number of datasets available to the public",2018,3,"800 new datasets","num",800.00,"","","dp17","","","",""
"D056CR2R1I02-2017","D056CR2R1-2017","% of access to information requests responded to within established timelines",2018,3,"Target = 80%; minimum value = 75%","percent",80.00,"","","dp17","","","",""
"D056CR2R1I03-2017","D056CR2R1-2017","% of personal information requests responded to within established timelines",2018,3,"Target = 80%; minimum value = 75%","percent",80.00,"","","dp17","","","",""
"D056CR2R2I01-2017","D056CR2R2-2017","% of Government of Canada priority services available online",2020,3,"Target = 70%; minimum value = 60%","percent",70.00,"","","dp17","","","",""
"D056CR2R2I02-2017","D056CR2R2-2017","Degree to which clients are satisfied with the delivery of Government of Canada services, expressed as a percentage","","","","percent",60.00,"","","dp17","","","",""
"D056CR2R2I03-2017","D056CR2R2-2017","% of  priority services that meet service standard",2018,3,"Target = 80%; Minimum value =75%
","percent",75.00,"","","dp17","","","",""
"D056CR2R3I01-2017","D056CR2R3-2017","% of departments that effectively maintain and manage their assets over their lifecycle",2018,3,"Target = 90%; 
Minimum value =70%","percent",90.00,"","","dp17","","","",""
