"InstFormID","ParentID","Description_fr"
"corp_int_gp","","Intérêts"
"fed_int_gp","","Organisations fédérales"
"other_gp","","Autres organismes"
"crown_corp_p","fed_int_gp","Sociétés d'État"
"dept_agency_p","fed_int_gp","Organismes ministériels et agents du Parlement"
"dept_corp_p","fed_int_gp","Établissements publics et organismes de services"
"min_dept_p","fed_int_gp","Ministères"
"parl_ent_p","fed_int_gp","Entités Parlementaires"
"spec_op_agency_p","fed_int_gp","Organismes de services spéciaux"
"corp_int","corp_int_gp","Intérêts"
"other_p","other_gp","Autres organismes"
"other","other_p","Autres organismes"
"dept_corp","dept_corp_p","Établissements publics"
"serv_agency","dept_corp_p","Organismes de services"
"parl_ent","parl_ent_p","Entités Parlementaires"
"spec_op_agency","spec_op_agency_p","Organismes de services spéciaux"
"inter_org","corp_int","Organisations internationales"
"joint_enterprise","corp_int","Entreprises en coparticipation"
"shared_gov_corp","corp_int","Sociétés à régie partagée"
"agents_parl","dept_agency_p","Agents du Parlement"
"dept_agency","dept_agency_p","Organismes ministériels"
"min_dept","min_dept_p","Ministères"
"crown_corp","crown_corp_p","Sociétés d'État"

