Dept,Occ_Cat,Y1112,Y1213,Y1314,Y1415,Y1516,Five_year_avg_percent
ACOA,Administration and Foreign Service,487,444,432,437,454,0.73253
ACOA,Administrative Support,74,63,62,64,62,0.10562
ACOA,Executive,39,35,35,39,42,0.06175
ACOA,Other,25,7,17,19,15,0.02697
ACOA,Scientific and Professional,52,41,45,45,42,0.07312
AECB,Other,864,856,821,822,851,1
AGR,Administration and Foreign Service,2462,2064,1771,1671,1624,0.3391
AGR,Administrative Support,336,306,248,246,256,0.04921
AGR,Executive,155,133,119,121,116,0.02277
AGR,Operational,679,636,561,533,521,0.10358
AGR,Other,522,505,517,591,577,0.09587
AGR,Scientific and Professional,1434,1312,1121,1067,1103,0.21342
AGR,Technical,1056,1035,954,965,970,0.17605
AHRAC,Administration and Foreign Service,6,.,.,.,.,0.42857
AHRAC,Executive,3,.,.,.,.,0.21429
AHRAC,Other,1,.,.,.,.,0.07143
AHRAC,Scientific and Professional,4,.,.,.,.,0.28571
APPRT,Administration and Foreign Service,3,.,.,.,.,0.23077
APPRT,Executive,1,.,.,.,.,0.07692
APPRT,Other,4,1,.,.,.,0.38462
APPRT,Scientific and Professional,2,2,.,.,.,0.30769
ATSSC,Administration and Foreign Service,.,.,.,234,249,0.66805
ATSSC,Administrative Support,.,.,.,20,19,0.05394
ATSSC,Executive,.,.,.,25,25,0.06916
ATSSC,Other,.,.,.,39,48,0.12033
ATSSC,Scientific and Professional,.,.,.,31,33,0.08852
CAS,Administration and Foreign Service,403,385,362,372,403,0.60478
CAS,Administrative Support,132,130,130,133,141,0.20924
CAS,Executive,18,17,18,18,19,0.02828
CAS,Operational,1,1,2,1,.,0.00157
CAS,Other,35,23,30,19,22,0.04053
CAS,Scientific and Professional,71,67,72,75,83,0.11561
CAT,Administration and Foreign Service,9,8,7,.,.,0.85714
CAT,Other,1,1,1,.,.,0.10714
CAT,Scientific and Professional,.,.,1,.,.,0.03571
CB,Administration and Foreign Service,8,8,6,8,8,0.52055
CB,Executive,2,2,1,2,1,0.10959
CB,Other,2,1,1,1,1,0.08219
CB,Scientific and Professional,2,4,5,6,4,0.28767
CBSA,Administration and Foreign Service,2450,2366,2408,2421,2384,0.16869
CBSA,Administrative Support,1547,1417,1313,1267,1236,0.09508
CBSA,Executive,196,193,193,186,202,0.0136
CBSA,Operational,9932,9670,9591,9598,9659,0.67945
CBSA,Other,373,359,354,389,438,0.02683
CBSA,Scientific and Professional,177,182,202,218,226,0.01409
CBSA,Technical,35,31,35,34,26,0.00226
CCMD,Administration and Foreign Service,523,424,410,417,417,0.62761
CCMD,Administrative Support,129,92,88,84,82,0.13606
CCMD,Executive,71,46,43,39,44,0.06961
CCMD,Operational,6,4,5,5,4,0.00687
CCMD,Other,17,4,12,22,28,0.02378
CCMD,Scientific and Professional,156,75,55,56,52,0.11286
CCMD,Technical,13,12,12,23,21,0.0232
CCRA,Other,42668,41256,40279,40059,39484,1
CDC,Administration and Foreign Service,50,46,39,42,48,0.77855
CDC,Administrative Support,1,1,.,1,1,0.01384
CDC,Executive,3,3,3,4,4,0.05882
CDC,Other,2,2,3,2,1,0.0346
CDC,Scientific and Professional,7,7,6,7,6,0.11419
CEAA,Administration and Foreign Service,86,75,87,86,98,0.36735
CEAA,Administrative Support,23,19,20,17,17,0.08163
CEAA,Executive,17,17,14,20,21,0.07568
CEAA,Other,4,5,7,7,10,0.02806
CEAA,Scientific and Professional,108,102,100,98,111,0.44133
