dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
ACOA,EX 01,18,16,16,19,22,0.029574
ACOA,EX 02,9,7,7,8,8,0.012675
ACOA,EX 03,8,7,7,8,8,0.01235
ACOA,EX 04,3,3,4,4,4,0.00585
ACOA,EX 05,1,2,1,.,.,0.0013
ACOA,Non-EX,638,555,556,565,573,0.938252
AECB,EX 01,46,41,45,43,43,0.051732
AECB,EX 02,18,18,20,20,17,0.022069
AECB,EX 03,11,12,12,16,16,0.015899
AECB,EX 04,4,4,4,4,4,0.004746
AECB,EX 05,1,1,1,1,1,0.001187
AECB,Non-EX,784,780,739,738,770,0.904366
AGR,EX 01,80,67,61,63,58,0.011631
AGR,EX 02,39,37,32,33,32,0.006116
AGR,EX 03,26,19,19,18,16,0.003464
AGR,EX 04,7,7,4,5,6,0.001025
AGR,EX 05,3,3,3,2,4,0.00053
AGR,Non-EX,6489,5858,5172,5073,5051,0.977233
AHRAC,EX 01,2,.,.,.,.,0.142857
AHRAC,EX 02,1,.,.,.,.,0.071429
AHRAC,Non-EX,11,.,.,.,.,0.785714
APPRT,EX 02,1,.,.,.,.,0.076923
APPRT,Non-EX,9,3,.,.,.,0.923077
ATSSC,EX 01,.,.,.,15,16,0.042877
ATSSC,EX 02,.,.,.,4,4,0.011065
ATSSC,EX 03,.,.,.,3,2,0.006916
ATSSC,Non-EX,.,.,.,327,352,0.939142
CAS,EX 01,13,10,11,11,11,0.017593
CAS,EX 02,.,1,1,1,1,0.001257
CAS,EX 03,1,1,1,1,.,0.001257
CAS,EX 04,1,1,1,.,1,0.001257
CAS,Non-EX,645,610,600,605,655,0.978637
CAT,Non-EX,10,9,9,.,.,1
CB,EX 02,1,1,1,.,.,0.041096
CB,EX 03,.,.,.,1,1,0.027397
CB,Non-EX,13,14,12,16,13,0.931507
CBSA,EX 01,130,113,113,104,115,0.008064
CBSA,EX 02,31,42,44,44,43,0.002861
CBSA,EX 03,27,31,29,30,36,0.002146
