"MinisterID","MinisterName_fr"
"e64e419066","Ministre de l'Agriculture et de l'Agroalimentaire"
"3c90200fbc","Ministre du Patrimoine canadien"
"1ad547cc06","Ministre des Institutions démocratiques"
"4d25aad37b","Ministre de l'Emploi, du Développement de la main-d'œuvre et du Travail"
"13fa0e4391","Ministre de l'Environnement et du Changement climatique"
"1b988ec051","Ministre de la Famille, des Enfants et du Développement social"
"86658454f3","Ministre des Finances"
"a00ef28643","Ministre des Pêches, des Océans et de la Garde côtière canadienne"
"4e604d621a","Ministre des Affaires étrangères"
"8edaef0da2","Ministre de la Santé"
"734a076a95","Ministre de l'Immigration, des Réfugiés et de la Citoyenneté"
"fa6033c118","Ministre des Affaires autochtones et du Nord"
"fe1261eb5e","Ministre de l'Infrastructure et des Collectivités"
"bb2ac7554e","Ministre de l'Innovation, des Sciences et du Développement économique"
"4c01fbb055","Ministre du Développement international et de la Francophonie"
"0f3be8d01a","Ministre du Commerce international"
"73ae0facfb","Ministre de la Justice et procureur général du Canada"
"ab669d598d","Ministre de la Défense nationale"
"cbe2603a42","Ministre du Revenu national"
"689fc5280e","Ministre des Ressources naturelles"
"20dd278d33","Ministre de la Sécurité publique et de la Protection civile"
"e3566cf801","Ministre des Services publics et de l'Approvisionnement"
"38db0de811","Ministre des Sciences"
"506ff314f0","Ministre des Sports et des Personnes handicapées"
"94f3d65f85","Ministre de la condition féminine"
"9b8a79d62e","Ministre des Transports"
"11854047c6","Ministre des Anciens Combattants"
"0516e31e59","Président du Conseil privé de la Reine pour le Canada"
"6897d6c026","Président du Conseil du Trésor"
"cfcf36df7d","Premier ministre"
8470e68717,"Ministre de la Petite entreprise et du tourisme"
"74d7e6f05c","Leader du gouvernement à la Chambre des communes"
"cf5a544881","Ministre des Relations Couronne-Autochtones et des Affaires du Nord"
"23a1bedd3b","Ministre des Services aux autochtones"
"307e6513ce","Ministre associé de la Défense national"

