"MinCode","MinistryName_fr"
52,"Pêches, Océans et Garde côtière canadienne"
110,"Affaires autochtones et du Nord"
161,"Défense nationale"
224,"Sécurité publique et Protection civile"
225,"Justice"
258,"Services publics et Approvisionnement"
366,"Innovation, Sciences et Développement économique"
497,"Anciens Combattants"
605,"Patrimoine canadien"
1450,"Revenue National"
1451,"Immigration, Réfugiés et Citoyenneté"
1453,"Environnement et Changement climatique"
1455,"Finances"
1467,"Bureau du secrétaire du gouverneur général"
1468,"Santé"
1499,"Ressources naturelles"
1504,"Parlement"
1509,"Conseil privé"
1529,"Transports"
1534,"Conseil du Trésor"
2201,"Famille, Enfants et Développement social"
2221,"Infrastructure et Collectivités"
4422,"Agriculture et Agroalimentaire"
8283,"Affaires mondiales"

