DEPTCODE,ENGLISH_NAME,NOM_FRANCAIS,Universe,English Abbr,French Abbr
aab,Aeronautics Advisory Board,Comité consultatif sur l'aéronautique, ,,
aac,Atlantic Advisory Council,Comité consultatif de l'Atlantique, ,,
aad,Advisory Council on Adjustment,Conseil consultatif sur l'adaptation, ,,
aba,Atlantic Canada Opportunities Agency Advisory Board,Conseil consultatif sur l'Agence de promotion économique du Canada atlantique, ,,
abb,Army Benevolent Fund Board,Comité du fonds de bienfaisance de l'armée, ,,
abc,Advisory Bureau for Computing,Bureau des conseils en informatique, ,,
abf,Army Benevolent Fund National Committees,Conseils nationaux du fonds de bienfaisance de l'armée, ,,
abm,Miramichi and Acadie--Bathurst Electoral Boundaries Commission,Commission sur la délimitation des circonscriptions électorales de Miramichi et d'Acadie--Bathurst, ,,
aca,AIDS Advisory Committee,Comité consultatif sur le SIDA, ,,
acb,Atlantic Canada Opportunities Board,Conseil de promotion économique du Canada atlantique, ,,
acc,Competition Tribunal Advisory Council,Comité consultatif sur le Tribunal de la concurrence, ,,
acd,Business-Government Executive Exchange Advisory Committee,Comité consultatif sur l'échange de cadre de direction entre le milieu des affaires et l'administration fédérale, ,,
acf,Financial Institutions Advisory Committee,Comité consultatif sur les institutions financières, ,,
acg,Agricultural Stabilization Board Advisory Council,Comité consultatif sur l'Office de stabilisation des prix agricoles, ,,
aci,"Industry, Science and Technology Advisory Committees","Comités consultatifs sur l'Industrie, les Sciences et la Technologie", ,,
acl,Official Languages Advisory Council,Conseil consultatif sur les langues officielles, ,,
acn,Networks of Centres of Excellence Advisory Committee,Comité consultatif pour les réseaux de centres d'excellence, ,,
aco,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,CPA,ACOA,APECA
acp,Plant Breeders' Rights Advisory Committee,Comité consultatif sur la protection des obtentions végétales, ,,
acr,Radiological Protection Advisory Committee,Comité consultatif sur la radio protection, ,,
acs,Public Service Superannuation Act Advisory Committee,Comité consultatif de la Loi sur la pension de la Fonction publique, ,,
act,National Centennial Administration and Commission,Administration et Commission du centenaire de la nation, ,,
acx,National Research Council Associate Committees,Comités associés du Conseil national de recherches, ,,
acy,Nuclear Safety Advisory Committee,Comité consultatif sur la sécurité nucléaire, ,,
acz,Canadian Centre for Occupational Health and Safety Council,Conseil du Centre canadien d'hygiène et de sécurité au travail, ,,
ada,Advisory Committee on Apprenticeship,Comité consultatif sur l'apprentissage, ,,
adb,Atlantic Development Board,Office d'expansion économique de la région Atlantique, ,,
adc,Atlantic Development Council Canada,Conseil de développement de la région de l'Atlantique Canada, ,,
adt,Anti-Dumping Tribunal,Tribunal anti-dumping, ,,
aea,International Atomic Energy Agency,Agence internationale sur l'énergie atomique, ,,
aeb,Atomic Energy Control Board,Commission de contrôle de l'énergie atomique,SA,AECB,CCEA
aec,Atomic Energy of Canada Limited,Énergie atomique du Canada Limitée, ,AECL,EACL
afc,Federal Court of Appeal,Cour d'appel fédérale, ,,
afm,Freshwater Fish Marketing Corporation Advisory Committee,Comité consultatif sur l'Office de commercialisation du poisson d'eau douce, ,,
age,Executive Compensation Advisory Group,Comité consultatif sur la rémunération des exécutifs, ,,
agr,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,CPA,AAFC,AAC
agt,Grain Transportation Agency Administrator,Office du transport du grain,CPA,,
ahc,Port Alberni Harbour Commission,Commission du havre de Port Alberni, ,,
ahs,Public Health Agency of Canada,Agence de la santé publique du Canada,CPA,PHAC,ASPC
aia,Office of the Administrator Anti-Inflation Act,Bureau du Directeur en vertu de la Loi anti-inflation,CPA,,
aib,Anti-Inflation Board,Commission de la lutte contre l'inflation,CPA,,
aic,Airtransit Canada,Airtransit Canada, ,,
air,Air Canada,Air Canada, ,,
ait,Anti-Inflation Appeal Tribunal,Tribunal d'appel de la lutte contre l'inflation, ,,
ant,Alberta-Northwest Territories Boundary Commission,Commission de frontière Alberta-Territoires du Nord-Ouest, ,,
