"id","subject_id","name_en","name_fr","is_efficiency","doc"
"5000-2018","OAG-BGX01","Well-managed and accountable government","Un gouvernement bien géré et responsible",0,"dp18"
"5001-2018","SSHRC-BNT01","Individuals and teams engage in research and research-related activities","Des chercheurs seuls et en équipe participent à des travaux de recherche et à des activités connexes",0,"dp18"
"5002-2018","SSHRC-BNT02","Research knowledge is produced and mobilized","Des connaissances issues de la recherche sont acquises et mobilisées",0,"dp18"
"5003-2018","SSHRC-BNT02","Students and postdoctoral researchers enhance their research, professional, and knowledge mobilization skills","Des étudiants et des chercheurs postdoctoraux améliorent leurs compétences en recherche, leurs compétences professionnelles et leur capacité de mobiliser les connaissances",0,"dp18"
"5004-2018","SSHRC-BNT03","Partnerships are established","Des partenariats sont établis",0,"dp18"
"5005-2018","SSHRC-BNU01","Investment in research resources","Des investissements sont faits pour les ressources en matière de recherche",0,"dp18"
"5006-2018","PSEP-BVS01","National security threats are understood and reduced","On comprend les menaces et on prend des mesures pour réduire les menaces à la sécurité nationale",0,"dp18"
"5007-2018","PSEP-BVS02","Canada’s Critical Infrastructure is secure and resilient","Les infrastructures essentielles du Canada sont sûres et résilientes",0,"dp18"
"5008-2018","PSEP-BVS03","National security threats are understood and reduced","On comprend les menaces et on prend des mesures pour réduire les menaces à la sécurité nationale",0,"dp18"
"5009-2018","PSEP-BVT01","Crime is prevented and addressed in populations and communities most at-risk","On prévient et on combat la criminalité dans les populations et les collectivités les plus à risque",0,"dp18"
"5010-2018","PSEP-BVT02","Law enforcement stakeholders and partners use information, research, strategies, frameworks and tools to address policing issues","Les partenaires d’application de la loi et les intervenants utilisent l’information, la recherche, des stratégies, des cadres et des outils pour aborder les questions relatives aux services de police",0,"dp18"
"5011-2018","PSEP-BVT03","Collaborative relationships with federal partners related to Serious & Organized Crime","Relations de collaboration avec les partenaires fédéraux liés aux crimes graves et au crime organisé",0,"dp18"
"5012-2018","PSEP-BVT04","Develop Policy, legislative and regulatory work related to border policy","Élaborer des politiques et des mesures législatives et réglementaires relatives à la politique frontalière",0,"dp18"
"5013-2018","PSEP-BVT05","Indigenous communities are safe","Les collectivités autochtones sont sûres",0,"dp18"
"5014-2018","PSEP-BVT06","Victims are informed about services available to them from Correctional Service Canada  and Parole Board of Canada","Les victimes sont informées des services offerts par le Service correctionnel du Canada et par la Commission des libérations conditionnelles du Canada",0,"dp18"
"5015-2018","PSEP-BVU02","A whole-of-community approach is used to develop, maintain, and improve preparedness for all-hazard risks","Une approche pancommunautaire est utilisée pour développer, maintenir et améliorer les activités de préparation à l’égard de tous les risques",0,"dp18"
"5016-2018","PSEP-BVU03","Canada has a comprehensive approach to coordinating response and recovery operations for events affecting the national interest","Le Canada a adopté une approche globale de la coordination des activités d’intervention et de rétablissement à la suite d’événements liés à l’intérêt national",0,"dp18"
"5017-2018","PSEP-BVU01","Federal institutions enact mitigative and preventative actions to address risks to Canadians","Les institutions fédérales adoptent des mesures d’atténuation et de prévention afin de faire face aux risques qui pèsent sur les Canadiens",0,"dp18"
"5018-2018","HRSD-BGM01","Homelessness is prevented and reduced.","Prévention et réduction de l’itinérance.",0,"dp18"
"5019-2018","HRSD-BGM01","Community-level homelessness priorities are addressed.","Les priorités communautaires relatives à l’itinérance font l’objet de suivis.",0,"dp18"
"5020-2018","HRSD-BGM01","Housing stability for homeless individuals and those at risk of becoming homeless.","Stabilité du logement pour les sans-abris et les personnes qui risquent de le devenir.",0,"dp18"
"5021-2018","HRSD-BGM02","Not-for-profit organizations have improved services for children & families, people with disabilities and other vulnerable individuals.","Les organismes à but non lucratif ont amélioré les services qu’ils offrent aux enfants et familles, aux personnes handicapées et aux autres personnes vulnérables.",0,"dp18"
"5022-2018","HRSD-BGM02","Increased social inclusion of children & families, people with disabilities and vulnerable individuals.","Inclusion sociale accrue des enfants et familles, des personnes handicapées et des personnes vulnérables.",0,"dp18"
"5023-2018","HRSD-BGM02","Not-for-profit sector and partners have improved capacity to respond to existing and emerging social issues for target populations.","Le secteur à but non lucratif et les partenaires ont renforcé leur capacité à s’attaquer aux problèmes sociaux existants et émergents touchant les populations cibles.",0,"dp18"
"5024-2018","HRSD-BGM03","Communities have the capacity to address local issues by engaging seniors.","Les collectivités sont en mesure de résoudre les enjeux locaux en mobilisant les aînés.",0,"dp18"
"5025-2018","HRSD-BGM03","Recipient organizations recognize and address barriers to social inclusion faced by seniors.","Les organismes bénéficiaires sont conscients des obstacles à l’inclusion sociale que les aînés doivent surmonter et s’emploient à les éliminer.",0,"dp18"
"5026-2018","HRSD-BGM04","Community spaces and workplaces are more accessible.","Les espaces communautaires et les lieux de travail sont plus accessibles.",0,"dp18"
"5027-2018","HRSD-BGM05","Access to early learning and child care is increased.","L’accès à l’apprentissage et à la garde des jeunes enfants est accru.",0,"dp18"
"5028-2018","HRSD-BGM06","Processing of Parents of Murdered and Missing Children grant by Service Canada to applicants within prescribed timeframe.","Traitement dans les délais prescrits des versements par Service Canada aux demandeurs des mesures de soutien du revenu pour les parents d’enfants assassinés ou disparus.",0,"dp18"
"5029-2018","HRSD-BGM06","The financial burden on parents of children who are deceased or missing due to a probable Criminal Code offence and who take time away from work to cope with the tragic situation is eased.","Allègement du fardeau financier des parents d’enfants décédés ou disparus en raison d’une infraction probable au Code criminel et qui ont besoin de s’absenter du travail pour composer avec la situation tragique.",0,"dp18"
"5030-2018","HRSD-BGM06","Awareness of grant among victims’ service providers, advocates and victims.","Connaissance de la subvention par les fournisseurs de services aux victimes, les défenseurs et les victimes.",0,"dp18"
"5031-2018","HRSD-BGN01","Seniors have a basic level of income.","Les personnes âgées ont un niveau de revenu de base.",0,"dp18"
"5032-2018","HRSD-BGN01","Financial security among seniors is supported.","La sécurité financière des aînés est soutenue.",0,"dp18"
"5033-2018","HRSD-BGN01","Financial security among seniors with low income is supported.","La sécurité financière des personnes âgées à faible revenu est soutenue.",0,"dp18"
"5034-2018","HRSD-BGN02","Eligible individuals with severe disabilities (and their families/ guardians) open Registered Disability Savings Plans to save for the future.","Les personnes admissibles ayant une invalidité grave (ainsi que leur famille ou leur tuteur) ouvrent un régime enregistré d’épargne invalidité afin d’économiser pour l’avenir.",0,"dp18"
"5035-2018","HRSD-BGN03","Individuals and their families have financial security through key life events.","Les individus et leurs familles ont la sécurité financière nécessaire pour traverser les points marquants de la vie.",0,"dp18"
"5036-2018","HRSD-BGN03","Financial security among seniors is supported.","La sécurité financière des aînés est soutenue.",0,"dp18"
"5037-2018","HRSD-BGN03","Financial Security among people with disabilities, survivors and their families is supported.","La sécurité financière des personnes handicapées, des survivants et de leur famille est soutenue.",0,"dp18"
"5038-2018","HRSD-BGN03","Individuals and their families have financial security through key life events.","Les individus et leurs familles ont la sécurité financière nécessaire pour traverser les points marquants de la vie.",0,"dp18"
"5039-2018","HRSD-BGO01","Eligible workers receive temporary income support during employment or life transitions.","Les travailleurs admissibles reçoivent un soutien du revenu temporaire pendant les changements d’emploi ou des périodes de transition dans la vie.",0,"dp18"
"5040-2018","HRSD-BGO03","Provinces and territories provide Employment Insurance-eligible clients with unemployment benefits and all unemployed Canadians with employment services through the Labour Market Development Agreements.","Les provinces et les territoires versent des prestations d’assurance-emploi aux clients admissibles et offrent des services d’emploi à tous les chômeurs canadiens.",0,"dp18"
"5041-2018","HRSD-BGO02","Increase labour market participation of Canadians through funding for provinces and territories programs that aim to help Canadians develop the skills necessary to find and keep a job, and increase employer involvement/investment in skills training.","Accroître la participation des Canadiens au marché du travail en contribuant au financement des programmes provinciaux et territoriaux conçus pour les aider à acquérir les compétences requises pour trouver et conserver un emploi, et augmenter la participation et les investissements des employeurs dans la formation axée sur les compétences.",0,"dp18"
"5042-2018","HRSD-BGO04","Enhanced employability of persons with disabilities through employment experience, skills, tools, resources and labour market information.","Amélioration de la situation d’emploi des Canadiens handicapés en accroissant leur employabilité, en augmentant les possibilités d’emploi qui leur sont offertes et en obtenant les meilleurs résultats possible pour les Canadiens.",0,"dp18"
"5043-2018","HRSD-BGO04","Persons with disabilities are employed or self-employed or have returned to school.","Les personnes handicapées ont obtenu un emploi, sont devenues travailleurs autonomes ou sont retournées aux études.",0,"dp18"
"5044-2018","HRSD-BGO05","Labour market information responds to the needs of students, workers, employers, policy-makers, governments and stakeholder organizations.","L’information sur le marché du travail répond aux besoins des étudiants, des travailleurs, des employeurs, des décideurs, des gouvernements et des organismes intervenants.",0,"dp18"
"5045-2018","HRSD-BGO06","Youth have access to programs that allow them to acquire the skills, learning experiences and opportunities they need to find and maintain employment or return to school.","Les jeunes ont accès à des programmes qui leur permettent d’acquérir des compétences clés et de profiter des expériences d’apprentissage et des possibilités dont ils ont besoin pour trouver et conserver un emploi ou pour retourner aux études.",0,"dp18"
"5046-2018","HRSD-BGO08","An Increased Number of Indigenous People are Employed and Integrated into the Labour Market.","Un nombre croissant d’Autochtones obtiennent un emploi et sont intégrés au marché du travail.",0,"dp18"
"5047-2018","HRSD-BGO10","An Increased Number of Indigenous People are Employed and Integrated into the Labour Market.","Un nombre croissant d’Autochtones obtiennent un emploi et sont intégrés au marché du travail.",0,"dp18"
