"ResultID","ProgElemID","ResultTitle_en","Is_Efficiency","Document"
"D056CR1P01O2-2017","TBC-BXA01","Treasury Board proposals contain information that helps Cabinet ministers make decisions",0,"dp17"
"D056CR1P02O3-2017","TBC-BXA02","Budget initiatives are approved for implementation quickly",0,"dp17"
"D056CR1P02O4-2017","TBC-BXA02","Reporting on government spending is clear",0,"dp17"
"D056CR1P03O1-2017","TBC-BXA03","Departments achieve measurable results",0,"dp17"
"D056CR1P04O17-2017","TBC-BXA04","Central funds contribute to timely spending as required",0,"dp17"
"D056CR1R1-2017","TBC-BXA00","Departments achieve measurable results",0,"dp17"
"D056CR1R2-2017","TBC-BXA00","Treasury Board proposals contain information that helps Cabinet ministers make decisions",0,"dp17"
"D056CR1R3-2017","TBC-BXA00","Budget initiatives are approved for implementation quickly",0,"dp17"
"D056CR1R4-2017","TBC-BXA00","Reporting on government spending is clear",0,"dp17"
"D056CR2P05O10-2017","TBC-BXB01","Government demonstrates leadership in making its operations low-carbon",0,"dp17"
"D056CR2P05O8-2017","TBC-BXB01","Government promotes good asset and financial management",0,"dp17"
"D056CR2P06O6-2017","TBC-BXB02","Canadians have timely access to government information",0,"dp17"
"D056CR2P06O7-2017","TBC-BXB02","Government service delivery meets the needs of Canadians",0,"dp17"
"D056CR2P07O9-2017","TBC-BXB03","Technology enhances the effectiveness of government operations",0,"dp17"
"D056CR2P08O5-2017","TBC-BXB04","Government demonstrates sound administrative practices",0,"dp17"
"D056CR2R1-2017","TBC-BXB00","Canadians have timely access to government information",0,"dp17"
"D056CR2R2-2017","TBC-BXB00","Government service delivery meets the needs of Canadians",0,"dp17"
"D056CR2R3-2017","TBC-BXB00","Government promotes good asset and financial management",0,"dp17"
"D056CR2R4-2017","TBC-BXB00","Technology enhances the effectiveness of government operations",0,"dp17"
"D056CR2R5-2017","TBC-BXB00","Government demonstrates leadership in making its operations low-carbon",0,"dp17"
"D056CR3P09O14-2017","TBC-BXC01","Modernized employment conditions",0,"dp17"
"D056CR3P10O13-2017","TBC-BXC02","Employee wellness is  improved",0,"dp17"
"D056CR3P11O18-2017","TBC-BXC03","Allocations and payments managed by the Secretariat are made as required",0,"dp17"
"D056CR3P12O11-2017","TBC-BXC04","Public service is high performing",0,"dp17"
"D056CR3P12O12-2017","TBC-BXC04","Public Service attracts and retains a diverse workforce",0,"dp17"
"D056CR3P12O19-2017","TBC-BXC04","Employee wellness is  improved",0,"dp17"
"D056CR3R1-2017","TBC-BXC00","Public Service is high performing",0,"dp17"
"D056CR3R2-2017","TBC-BXC00","Public Service attracts and retains a diverse workforce",0,"dp17"
"D056CR3R3-2017","TBC-BXC00","Employee wellness is improved",0,"dp17"
"D056CR3R4-2017","TBC-BXC00","Modernized employment conditions",0,"dp17"
"D056CR4P13O15-2017","TBC-BXD01","Government regulatory practices and processes are open, transparent, and informed by evidence",0,"dp17"
"D056CR4P14O16-2017","TBC-BXD02","Regulatory cooperation among jurisdictions is advanced",0,"dp17"
"D056CR4R1-2017","TBC-BXD00","Government regulatory practices and processes are open, transparent, and informed by evidence",0,"dp17"
"D056CR4R2-2017","TBC-BXD00","Regulatory cooperation among jurisdictions is advanced",0,"dp17"
"D057CR1P01O1-2017","NPB-BUA01","Conditional release decisions contribute to keeping communities safe",0,"dp17"
"D057CR1P01O2-2017","NPB-BUA01","Conditional release decisions adhere to the law, the PBC’s policies, and the principles of fundamental justice",0,"dp17"
"D057CR1R1-2017","NPB-BUA00","Conditional release decisions contribute to keeping communities safe.",0,"dp17"
"D057CR1R2-2017","NPB-BUA00","Conditional release decisions adhere to the law, the PBC’s policies, and the principles of fundamental justice.",0,"dp17"
"D057CR2P02O3-2017","NPB-BUB01","The timely exchange of relevant information with victims, offenders, observers, other components of the criminal justice system, and the general public",0,"dp17"
