"ResultID","ProgElemID","ResultTitle_fr","Is_Efficiency","Document"
"D056CR1P01O2-2017","TBC-BXA01","Les propositions du Conseil du Trésor renferment des renseignements utiles à la prise de décision des ministres du Cabinet",0,"dp17"
"D056CR1P02O3-2017","TBC-BXA02","Les initiatives budgétaires sont approuvées aux fins d’une rapide mise en œuvre",0,"dp17"
"D056CR1P02O4-2017","TBC-BXA02","Les rapports sur les dépenses publiques sont clairs",0,"dp17"
"D056CR1P03O1-2017","TBC-BXA03","Les ministères obtiennent des résultats mesurables",0,"dp17"
"D056CR1P04O17-2017","TBC-BXA04","Les fonds centraux aident à effectuer des dépenses en temps opportun, au besoin",0,"dp17"
"D056CR1R1-2017","TBC-BXA00","Les ministères obtiennent des résultats mesurables",0,"dp17"
"D056CR1R2-2017","TBC-BXA00","Les propositions du Conseil du Trésor renferment des renseignements utiles à la prise de décision des ministres du Cabinet",0,"dp17"
"D056CR1R3-2017","TBC-BXA00","Les initiatives budgétaires sont approuvées aux fins d’une rapide mise en œuvre",0,"dp17"
"D056CR1R4-2017","TBC-BXA00","Les rapports sur les dépenses publiques sont clairs",0,"dp17"
"D056CR2P05O10-2017","TBC-BXB01","Le gouvernement fait preuve de leadership en adoptant des activités à faibles émissions de carbone",0,"dp17"
"D056CR2P05O8-2017","TBC-BXB01","Le gouvernement promeut la bonne gestion des finances et des actifs",0,"dp17"
"D056CR2P06O6-2017","TBC-BXB02","Les Canadiens ont accès en temps opportun à l’information gouvernementale",0,"dp17"
"D056CR2P06O7-2017","TBC-BXB02","La prestation de services du gouvernement répond aux besoins des Canadiens",0,"dp17"
"D056CR2P07O9-2017","TBC-BXB03","La technologie accroît l’efficacité des activités du gouvernement",0,"dp17"
"D056CR2P08O5-2017","TBC-BXB04","Le gouvernement fait preuve de saines pratiques administratives",0,"dp17"
"D056CR2R1-2017","TBC-BXB00","Les Canadiens ont accès en temps opportun à l’information gouvernementale",0,"dp17"
"D056CR2R2-2017","TBC-BXB00","La prestation de services du gouvernement répond aux besoins des Canadiens",0,"dp17"
"D056CR2R3-2017","TBC-BXB00","Le gouvernement promeut la bonne gestion des finances et des actifs",0,"dp17"
"D056CR2R4-2017","TBC-BXB00","La technologie accroît l’efficacité des activités du gouvernement",0,"dp17"
"D056CR2R5-2017","TBC-BXB00","Le gouvernement fait preuve de leadership en adoptant des activités à faibles émissions de carbone",0,"dp17"
"D056CR3P09O14-2017","TBC-BXC01","Conditions d’emploi modernisées",0,"dp17"
"D056CR3P10O13-2017","TBC-BXC02","Mieux-être accru chez les employés",0,"dp17"
"D056CR3P11O18-2017","TBC-BXC03","Les affectations et les paiements gérés par le Secrétariat sont effectués comme il se doit",0,"dp17"
"D056CR3P12O11-2017","TBC-BXC04","La fonction publique est hautement performante",0,"dp17"
"D056CR3P12O12-2017","TBC-BXC04","La fonction publique attire et maintien en poste une main-d’œuvre diversifiée",0,"dp17"
"D056CR3P12O19-2017","TBC-BXC04","Mieux-être accru chez les employés",0,"dp17"
"D056CR3R1-2017","TBC-BXC00","La fonction publique est hautement performante",0,"dp17"
"D056CR3R2-2017","TBC-BXC00","La fonction publique attire et maintien en poste une main-d’œuvre diversifiée",0,"dp17"
"D056CR3R3-2017","TBC-BXC00","Mieux-être accru chez les employés",0,"dp17"
"D056CR3R4-2017","TBC-BXC00","Conditions d’emploi modernisées",0,"dp17"
"D056CR4P13O15-2017","TBC-BXD01","Les pratiques et processus réglementaires du gouvernement sont ouverts et transparents, et reposent sur des données probantes",0,"dp17"
"D056CR4P14O16-2017","TBC-BXD02","Bonne coopération des administrations en matière de réglementation",0,"dp17"
"D056CR4R1-2017","TBC-BXD00","Les pratiques et les processus réglementaires du gouvernement sont ouverts et transparents, et reposent sur des données probantes",0,"dp17"
"D056CR4R2-2017","TBC-BXD00","Bonne coopération des administrations en matière de réglementation",0,"dp17"
"D057CR1P01O1-2017","NPB-BUA01","Les décisions relatives à la mise en liberté sous condition contribuent à assurer la sécurité des collectivités",0,"dp17"
"D057CR1P01O2-2017","NPB-BUA01","Les décisions relatives à la mise en liberté sous condition sont conformes à la loi, aux politiques de la CLCC et aux principes de justice fondamentale",0,"dp17"
"D057CR1R1-2017","NPB-BUA00","Les décisions relatives à la mise en liberté sous condition contribuent à assurer la sécurité des collectivités.",0,"dp17"
"D057CR1R2-2017","NPB-BUA00","Les décisions relatives à la mise en liberté sous condition sont conformes à la loi, aux politiques de la CLCC et aux principes de justice fondamentale.",0,"dp17"
"D057CR2P02O3-2017","NPB-BUB01","Échange, au moment opportun, de renseignements utiles avec les victimes, les délinquants, les observateurs, les autres éléments du système de justice pénale et le grand public",0,"dp17"
"D057CR2R1-2017","NPB-BUB00","Échange, au moment opportun, de renseignements
utiles avec les victimes, les délinquants, les observateurs, les
autres éléments du système de justice pénale et le grand public.
",0,"dp17"
"D057CR3P03O4-2017","NPB-BUC01","Les décisions relatives à la suspension du casier contribuent à rendre les collectivités plus sûres",0,"dp17"
"D057CR3P03O5-2017","NPB-BUC01","Les décisions relatives à la suspension du casier sont conformes à la loi, aux politiques de la CLCC et aux principes de justice fondamentale",0,"dp17"
"D057CR3P03O6-2017","NPB-BUC01","Les recommandations concernant la clémence sont faites dans le cadre d’un processus juste et équitable",0,"dp17"
"D057CR3R1-2017","NPB-BUC00","Les décisions relatives à la suspension du casier contribuent à rendre les collectivités plus sûres.",0,"dp17"
"D057CR3R2-2017","NPB-BUC00","Les décisions relatives à la suspension du casier sont conformes à la loi, aux politiques de la CLCC et aux principes de justice fondamentale.",0,"dp17"
"D057CR3R3-2017","NPB-BUC00","Les recommandations concernant la clémence sont faites dans le cadre d’un processus juste et équitable.",0,"dp17"
"D074CR1P01O1-2017","NEB-BTA01","Les processus décisionnels sont supportés par des occasions de participation.",0,"dp17"
"D074CR1P01O2-2017","NEB-BTA01","Les plaintes formulées par des propriétaires fonciers sont résolues en temps opportun.",0,"dp17"
"D074CR1P01O3-2017","NEB-BTA01","Les services pipeliniers fournis aux expéditeurs répondent à leurs besoins.",0,"dp17"
"D074CR1P02O4-2017","NEB-BTA02","L’aide financière aux participants permet aux demandeurs admissibles de prendre part au processus décisionnel.",0,"dp17"
"D074CR1P02O5-2017","NEB-BTA02","Le programme est géré de manière opportune et efficiente.",0,"dp17"
"D074CR1R1-2017","NEB-BTA00","Les processus décisionnels sont justes.",0,"dp17"
"D074CR1R2-2017","NEB-BTA00","Les processus décisionnels sont rapides.",0,"dp17"
"D074CR1R3-2017","NEB-BTA00","Les processus décisionnels sont transparents.",0,"dp17"
"D074CR1R4-2017","NEB-BTA00","Les processus décisionnels sont accessibles.",0,"dp17"
"D074CR2P03O6-2017","NEB-BTB01","Les sociétés réglementées exploitent des installations en respectant les exigences réglementaires et les conditions précises rattachées aux projets, et ce, tout au long du cycle de vie des projets.",0,"dp17"
"D074CR2P03O7-2017","NEB-BTB01","L’Office tire des leçons de tous les cas de non-conformité et de tous les incidents, et met à profit cette information pour améliorer le rendement des sociétés en menant des activités de vérification de la conformité fondées sur le risque (basées sur une analyse de la cause fondamentale d’un incident, du rendement passé de la société et de la modélisation des conséquences).",0,"dp17"
"D074CR2P03O8-2017","NEB-BTB01","Les sociétés réglementées disposent de fonds suffisants pour mener les activités de cessation.",0,"dp17"
"D074CR2P04O10-2017","NEB-BTB02","Les mesures de réglementation de l’Office sont axées sur le système de gestion et s’appuient sur les résultats d’un examen des causes fondamentales des incidents, des tendances et de l’analyse des renseignements sur le rendement des pipelines, ainsi que sur des indicateurs avancés, la recherche, la technologie et les pratiques exemplaires du secteur.",0,"dp17"
"D074CR2P04O11-2017","NEB-BTB02","Les sociétés réglementées par l’Office font preuve d’un engagement plus fort à l’égard de la réduction des menaces causées par les humains et les organisations, y compris de celles liées à la culture de sécurité.",0,"dp17"
"D074CR2P04O9-2017","NEB-BTB02","Les sociétés réglementées par l’Office se conforment aux exigences réglementaires les obligeant à avoir en place un système de gestion qui détecte et maîtrise les dangers et les risques.",0,"dp17"
