"RMCID","ParentID","Title_en","Description_en","PlannedSpending1718","PlannedSpending1819","PlannedSpending1920","PlannedFTE1718","PlannedFTE1819","PlannedFTE1920","ExpNoPlanSpend_EN","ExpSpendTrend_EN","ExpNoPlanFTE_EN","ExpFTETrend_EN","PlannedSpending1617","ActualSpending1617","Expl_Spending_en","PlannedFTE1617","ActualFTE1617","Expl_FTE_en"
"P1001-0008","AGR-AAA00","AgriStability","AgriStability provides support when producers experience large margin declines. A producer may be able to receive an AgriStability payment when their current year program margin falls below a percentage of their historical reference margin. AgriStability is cost-shared 60:40 by federal, and provincial or territorial governments. This program uses funding from the following transfer payment(s): (Statutory) Grant payments for the AgriStability program and (Statutory) Contribution payments for the AgriStability program.",277436461.00,188700000.00,188700000.00,162.00,162.00,162.00,"","Planned spending decreases from 2017-18 to 2018-19 as the Growing Forward 2 policy framework funding authorities expire at the end of 2017-18. A successor policy framework is being developed and the funding amount is not yet determined.","","",277591038.00,357696156.00,"Actual spending was more than planned spending due to a decrease in commodity prices, increasing producers’ need for support under the program. The AgriStability program is statutory and demand-driven, rather than being funded from a set allocation for each fiscal year. For AgriStability, although the administrative costs of the program remain relatively constant, the year-to-year grant and contribution payments are directly related to both participation and industry conditions.",164.00,162.00,""
"P1001-0009","AGR-AAA00","AgriInvest","AgriInvest helps producers manage income declines, and provides support for investments to mitigate risks or improve market income. Producers’ AgriInvest accounts build as they make annual deposits based on a percentage of their Allowable Net Sales and receive matching contributions from federal, and provincial or territorial governments. AgriInvest is cost shared 60:40 by federal, and provincial or territorial governments. This program uses funding from the following transfer payment(s): (Statutory) Grant payments for the AgriInvest program and (Statutory) Contribution payments for the AgriInvest program.",155925895.00,158400000.00,158400000.00,129.00,129.00,129.00,"","","","",156017096.00,187125696.00,"Actual spending was more than planned spending due to strong sector performance, resulting in higher Allowable Net Sales and increased government matching contributions. AgriInvest is demand-driven, rather than being funded from a set allocation for each fiscal year. Although the administrative costs of the program remain relatively constant, the variance from year-to-year grant and contribution expenditures is directly related to both participation and commodity prices. Producer deposits and government contributions are based on a percentage of income generated from the sale of commodities for a production period (Allowable Net Sales).",125.00,132.00,""
"P1001-0010","AGR-AAA00","AgriRecovery","AgriRecovery is a disaster-relief framework that allows federal, provincial and territorial governments to work together on a case-by-case basis to assess natural disasters (for example, extreme weather, disease, pests, et cetera) affecting Canadian farmers and respond with targeted, disaster-specific programming when assistance is needed beyond existing programming (AgriStability, AgriInvest, AgriInsurance, Canadian Food Inspection Agency compensation, et cetera). The aim of AgriRecovery is to provide affected producers with assistance to help them take action to mitigate the impacts of the disaster and/or resume business operations as quickly as possible following a disaster event. This program uses funding from the following transfer payment(s): (Statutory) Contribution payments for the Agricultural Disaster Relief program/AgriRecovery.",122727364.00,0.00,0.00,10.00,10.00,10.00,"","Planned spending decreases from 2017-18 to 2018-19 as the Growing Forward 2 policy framework funding authorities expire at the end of 2017-18. A successor policy framework is being developed and the funding amount is not yet determined.","","",122761988.00,8323781.00,"Actual spending was less than planned spending as only two initiatives were implemented in 2016-17: the 2016 Canada-Alberta Bovine Tuberculosis Assistance Initiative and the 2016 Canada-Saskatchewan Bovine Tuberculosis Assistance Initiative. AgriRecovery is a demand-driven program. The spending varies from year to year depending on the need for disaster response initiatives.",11.00,10.00,""
"P1001-0011","AGR-AAA00","AgriInsurance","AgriInsurance helps producers minimize the economic impacts of production losses caused by adverse weather, diseases and other specified perils. AgriInsurance is a program that uses premiums to fund liabilities. The premiums are cost shared between the federal government, provincial governments and producers. The commodities covered vary by province and continue to expand. This program uses funding from the following transfer payment(s): (Statutory) Contribution payments for the AgriInsurance program.",645316165.00,230599100.00,230599100.00,22.00,22.00,22.00,"","Planned spending decreases from 2017-18 to 2018-19 as the Growing Forward 2 policy framework funding authorities expire at the end of 2017-18. A successor policy framework is being developed and the funding amount is not yet determined.","","",645346998.00,704340362.00,"",20.00,21.00,""
"P1001-0012","AGR-AAA00","Canadian Agricultural Loans Act","The Canadian Agricultural Loans Act is a legislated financial loan guarantee program that improves availability of credit to farmers and agricultural co-operatives. Under the program, the Government of Canada guarantees to financial institutions repayment of the loans that they make to farmers and agricultural co-operatives for eligible purposes. Farmers use these loans to establish, improve and develop their farms, while agricultural co-operatives use loans to process, distribute, or market the products of farming. This program uses funding from the following transfer payment(s): Loan guarantees under the Canadian Agricultural Loans Act (R.S.C., 1985, c. 25 [3rd Supp.]).",14735096.00,14735096.00,14735096.00,3.00,3.00,3.00,"","","","",14748009.00,1222386.00,"Actual spending was less than planned spending as lower prime lending rates across the financial industry have reduced uptake of the program and have also decreased the costs associated with defaulted loans. This, in combination with amounts recovered from past years honoured loans, has reduced the overall program costs below the planned spending amount for 2016–17.",4.00,3.00,"Actual full-time equivalents were lower than planned as it reflects a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities, including Growing Forward 2 program initiatives."
"P1001-0013","AGR-AAA00","Agricultural Marketing Programs Act","The Advance Payments Program and the Price Pooling Program are active federal loan-guarantee programs legislated under the authority of the Agricultural Marketing Programs Act. Under the Advance Payments Program, the government guarantees the repayment of the cash advances made to crop and livestock producers by third-party administrators for a specified period of time, based on the value of their agricultural product. These cash advances improve producers’ cash flow throughout the year, enabling them to meet financial obligations and benefit from the best market conditions. Eligible producers can receive an Advance Payments Program advance of up to $400,000 at a preferential interest rate, with the government paying the interest on the first $100,000. Producers repay their advance plus interest, as their product is sold. Target clients are producers of agricultural products as defined under the Agricultural Marketing Programs Act. The Price Pooling Program helps market agricultural products under cooperative plans by guaranteeing an average initial price for products sold by marketing agencies. This enables marketing agencies to secure financing and to issue initial delivery payments to their members. The government guarantee protects agencies against unanticipated declines in the market price of their products that exceed 35%. Target clients are marketing agencies of agricultural products defined under the Agricultural Marketing Programs Act. This program uses funding from the following transfer payment(s): Payments in connection with the Agricultural Marketing Programs Act (S.C. 1997, c. 20).",71967500.00,71967500.00,71967500.00,34.00,34.00,34.00,"","","","",72005000.00,29518901.00,"Actual spending was lower than planned spending due to current below average interest rates. Uptake of the Advance Payments Program by producers fluctuates from year-to-year based on demand, interest rates and the needs of producers. This figure is net of amounts recovered from past defaulted advances and the level of program spending is consistent with levels in recent years.",32.00,31.00,""
"P1001-0014","AGR-AAA00","Hog Industry Loan Loss Reserve","The Hog Industry Loan Loss Reserve Program (HILLRP) is aimed at assisting viable hog operations with their short term liquidity pressures by providing long term loans. The program will reduce lenders’ exposure to risk by sharing the risk of long term loans with the Government of Canada, thereby encouraging these lenders to extend credit and facilitate debt restructuring.",".",".",".",".",".",".","","","","",0.00,-20782068.00,"",0.00,0.00,""
"P1001-0022","AGR-CMA00","Trade and Market Expansion","The Trade and Market Expansion program, funded by existing departmental resources and Growing Forward 2, enhances Canada’s market presence by promoting science-based trade rules, re-opening, maintaining and expanding markets, and pursuing free trade agreements with key trading partners, recognizing the importance of global markets to the profitability of Canada’s agriculture, agri-food and agri-based products sector. To fully capture the benefits of free trade agreements and increased access, the Trade and Market Expansion program also provides resources and tools, such as market intelligence, a trade commissioner service and Canada Brand tools and coordination that enable industry to seize new market opportunities and build commercial success. The program uses funding from the following transfer payment(s): Grants to foreign recipients for participation in international organizations supporting agriculture.",34382146.00,11199751.00,11367275.00,133.00,133.00,133.00,"","Planned spending decreases from 2017-18 to 2018-19 as the Growing Forward 2 policy framework funding authorities expire at the end of 2017-18. A successor policy framework is being developed and the funding amount is not yet determined.","","",32417202.00,20240305.00,"Actual spending was less than planned spending primarily due to a realignment among programs in response to shifting priorities. In addition, planned spending included funding that was later transferred to other government departments for Growing Forward 2 initiatives.",132.00,131.00,""
"P1001-0024","AGR-CMA00","Sector Engagement and Development","The Sector Engagement and Development program, funded by existing departmental resources and Growing Forward 2, seeks to improve the sector’s competitiveness and market success. Regional and sector specialists work to maintain and expand working relationships through collaboration with provinces and territories, national and regional agricultural and food associations, individual companies and value chain members, in order to develop knowledge and address issues of importance facing the sector, including market and regulatory issues.",22019921.00,18785468.00,18785468.00,163.00,163.00,163.00,"","Planned spending decreases from 2017-18 to 2018-19 as the Growing Forward 2 policy framework funding authorities expire at the end of 2017-18. A successor policy framework is being developed and the funding amount is not yet determined.","","",22140517.00,23540045.00,"",171.00,160.00,""
"P1001-0027","AGR-CMA00","Pest Management: Pesticides Minor Use Program","This Growing Forward 2 program improves grower access to new minor uses of pesticides. Pesticide residue, efficacy and crop tolerance studies are conducted to generate and to inform regulatory data packages, which are submitted to Health Canada for new minor uses of pesticide products. In addition, collaborative work with our colleagues in the United States results in joint pesticide submissions to the regulatory agencies of both countries and the simultaneous availability of new pesticide minor uses in both countries. The increased availability of new minor use pesticides prevents trade barriers with countries where these products are already available.",10222544.00,0.00,0.00,51.00,51.00,51.00,"","Planned spending decreases from 2017-18 to 2018-19 as the Growing Forward 2 policy framework funding authorities expire at the end of 2017-18. A successor policy framework is being developed and the funding amount is not yet determined.","","",10302317.00,8655668.00,"Actual spending was less than planned spending primarily due to a realignment among programs in response to shifting priorities.",53.00,49.00,""
