"RMCID","ParentID","Title_fr","Description_fr","PlannedSpending1718","PlannedSpending1819","PlannedSpending1920","PlannedFTE1718","PlannedFTE1819","PlannedFTE1920","ExpNoPlanSpend_FR","ExpSpendTrend_FR","ExpNoPlanFTE_FR","ExpFTETrend_FR","PlannedSpending1617","ActualSpending1617","Expl_Spending_fr","PlannedFTE1617","ActualFTE1617","Expl_FTE_fr"
"P1001-0008","AGR-AAA00","Agri-stabilité","Agri-stabilité apporte un soutien aux producteurs lorsque leur marge diminue fortement. Un producteur peut être admissible à un paiement au titre d’Agri-stabilité lorsque leur marge du programme de l’année courante est en deçà d’un certain pourcentage de leur marge de référence historique. Agri-stabilité est un programme à frais partagés entre les gouvernements fédéral, et provinciaux ou territoriaux, selon un rapport 60 : 40.Le programme utilise les paiements de transfert suivants comme source de financement : Paiements de subventions (législatifs) pour le programme Agri-stabilité et paiements de contributions (législatifs) pour le programme Agri-stabilité.",277436461.00,188700000.00,188700000.00,162.00,162.00,162.00,"","Les dépenses prévues diminuent de l’exercice 2017-2018 à 2018-2019 puisque les autorisations de financement du cadre stratégique de Cultivons l’avenir 2 expirent à la fin de 2017-2018. Un nouveau cadre stratégique est en cours d’élaboration et le montant du financement n’a pas encore été déterminé.","","",277591038.00,357696156.00,"Les dépenses réelles étaient plus élevées que les dépenses prévues en raison d’une diminution des prix des produits de base, ce qui a exacerbé le besoin des producteurs de recevoir du financement du programme. En plus d’être de nature législative, le programme Agri-stabilité est axé sur la demande, au lieu d’être financé à même une enveloppe établie pour chaque exercice financier. Bien que les frais d’administration demeurent relativement constants, les paiements de subvention et de contribution d’une année à l’autre sont directement liés à la participation et à la situation de l’industrie.",164.00,162.00,""
"P1001-0009","AGR-AAA00","Agri-investissement","Agri-investissement aide les producteurs à gérer des baisses de revenu et accorde un soutien pour des investissements qui permettent d’atténuer les risques ou d’améliorer le revenu du marché. Les comptes Agri-investissement des producteurs grossissent grâce à leurs dépôts annuels, qui représentent un pourcentage de leurs ventes nettes admissibles, et aux contributions de contrepartie qu’ils reçoivent des gouvernements fédéral, et provinciaux ou territoriaux. Agri-investissement est un programme à frais partagés entre les gouvernements fédéral, et provinciaux ou territoriaux, selon un rapport 60 : 40.Le programme utilise les paiements de transfert suivants comme source de financement : Paiements de subventions (législatifs) pour le programme Agri-investissement et paiements de contributions (législatifs) pour le programme Agri-investissement.",155925895.00,158400000.00,158400000.00,129.00,129.00,129.00,"","","","",156017096.00,187125696.00,"Les dépenses réelles étaient plus élevées que les dépenses prévues en raison du fort rendement du secteur, qui a entraîné une augmentation des ventes nettes ajustées et des contributions de contrepartie du gouvernement. Agri-investissement est axé sur la demande au lieu d’être financé à même une enveloppe établie pour chaque exercice. Bien que les frais d’administration demeurent relativement constants, l’écart des paiements de subvention et de contribution d’une année à l’autre est directement lié à la participation et au prix des produits de base. Les dépôts des producteurs et les contributions gouvernementales correspondent à un pourcentage des revenus générés par la vente des produits de base au cours d’une période de production donnée (ventes nettes ajustées).",125.00,132.00,""
"P1001-0010","AGR-AAA00","Agri-relance","Agri-relance est un cadre d’aide en cas de catastrophe qui permet aux gouvernements fédéral, provinciaux et territoriaux d’évaluer conjointement, au cas-par-cas, l’ampleur de catastrophes naturelles (par exemple, conditions météorologiques extrêmes, maladies, parasites, et cetera) frappant les agriculteurs canadiens et d’offrir à ces derniers des programmes d’aide ciblés selon la catastrophe en cause lorsqu’une aide autre que celle prévue par les programmes en vigueur (Agri-stabilité, Agri-investissement, Agri-protection, indemnisation par l’Agence canadienne d’inspection des aliments, et cetera) est nécessaire. Agri-relance vise à aider les producteurs touchés à prendre des mesures pour atténuer les répercussions d’une catastrophe et/ou à reprendre leurs activités commerciales le plus rapidement possible à la suite d’une catastrophe. Le programme utilise les paiements de transfert suivants comme source de financement : Paiements de contributions (législatifs) pour le programme d’aide en cas de catastrophe agricole - Agri-relance.",122727364.00,0.00,0.00,10.00,10.00,10.00,"","Les dépenses prévues diminuent de l’exercice 2017-2018 à 2018-2019 puisque les autorisations de financement du cadre stratégique de Cultivons l’avenir 2 expirent à la fin de 2017-2018. Un nouveau cadre stratégique est en cours d’élaboration et le montant du financement n’a pas encore été déterminé.","","",122761988.00,8323781.00,"Les dépenses réelles ont été inférieures aux dépenses prévues, car seules deux initiatives ont été mises en œuvre en 2016–2017 : l’Initiative d’aide aux éleveurs d’animaux atteints de tuberculose bovine de 2016 entre le Canada et l’Alberta et l’Initiative d’aide aux éleveurs d’animaux atteints de tuberculose bovine de 2016 entre le Canada et la Sakatchewan. Agri relance est un programme régi par la demande. Les dépenses varient d’une année à l’autre en fonction du besoin de recourir aux initiatives d’aide en cas de catastrophe.",11.00,10.00,""
"P1001-0011","AGR-AAA00","Agri-protection","Agri-protection aide les producteurs à minimiser les conséquences économiques des pertes de production causées par des conditions météorologiques défavorables, des maladies ainsi que d’autres catastrophes précises. Agri-protection est un programme basé sur une analyse actuarielle fiable qui utilise des primes pour financier les indemnités. Les primes sont payées selon une formule de partage des coûts entre le gouvernement fédéral, les gouvernements provinciaux et les producteurs. L’éventail de produits visés par le programme varie selon la province et continue de s’agrandir. Le programme utilise les paiements de transfert suivants comme source de financement : Paiements de contributions (législatifs) pour le programme Agri-protection.",645316165.00,230599100.00,230599100.00,22.00,22.00,22.00,"","Les dépenses prévues diminuent de l’exercice 2017-2018 à 2018-2019 puisque les autorisations de financement du cadre stratégique de Cultivons l’avenir 2 expirent à la fin de 2017-2018. Un nouveau cadre stratégique est en cours d’élaboration et le montant du financement n’a pas encore été déterminé.","","",645346998.00,704340362.00,"",20.00,21.00,""
"P1001-0012","AGR-AAA00","Loi canadienne sur les prêts agricoles","La Loi canadienne sur les prêts agricoles est un programme légiféré de garantie d’emprunt qui améliore la disponibilité du crédit pour les agriculteurs et les coopératives agricoles. En vertu du programme, le gouvernement du Canada garantit aux institutions financières le remboursement des prêts accordés aux agriculteurs et aux coopératives agricoles à des fins admissibles. Les agriculteurs utilisent ces prêts pour créer, améliorer et développer leurs fermes alors que les coopératives agricoles s’en servent pour traiter, distribuer ou mettre en marché les produits de l’agriculture. Le programme utilise les paiements de transfert suivants comme source de financement : Prêts garantis en vertu de la Loi canadienne sur les prêts agricoles (L.R.C.,1985, ch. 25 [3e suppl.]).",14735096.00,14735096.00,14735096.00,3.00,3.00,3.00,"","","","",14748009.00,1222386.00,"Les dépenses réelles ont été inférieures aux dépenses prévues, car des taux d’intérêt préférentiels peu élevés dans l’ensemble du secteur financier ont entraîné une baisse de la participation au programme de même qu’une diminution des coûts liés aux prêts en souffrance. Cette situation, combinée aux montants recouvrés grâce aux prêts remboursés ces dernières années, a réduit les coûts globaux du programme à un montant inférieur à celui des dépenses prévues pour 2016–2017.",4.00,3.00,"Le nombre réel d’équivalents temps plein était moins élevé que prévu puisqu’il rend compte d’une réaffectation des équivalents temps plein au sein d’Agriculture et Agroalimentaire Canada afin que la charge de travail opérationnelle soit mieux gérée, en tenant compte de l’augmentation du rythme opérationnel entraîné par les nouvelles priorités, y compris les initiatives de programme de Cultivons l’avenir 2."
"P1001-0013","AGR-AAA00","Loi sur les programmes de commercialisation agricole","Le Programme de paiements anticipés et le Programme de mise en commun des prix sont des programmes de garantie d’emprunt actifs qui relèvent de la Loi sur les programmes de commercialisation agricole. En vertu du Programme de paiements anticipés, le gouvernement garantit le remboursement des avances versées aux producteurs de végétaux et d’animaux par des tiers administrateurs pour une période déterminée en se fondant sur la valeur de leur produit agricole. Ces avances de fonds améliorent les liquidités des producteurs tout au long de l’année, ce qui leur permet de respecter les obligations financières et de tirer parti des meilleures conditions de marché. Un producteur admissible peut recevoir l’avance prévue par le Programme de paiements anticipés pouvant atteindre 400 000 $ à un taux d’intérêt préférentiel, le gouvernement versant les intérêts sur le premier 100 000 $. Les producteurs remboursent l’avance plus les intérêts dès que leur produit est vendu. Les clients cibles sont les producteurs de denrées agricoles au sens de la Loi sur les programmes de commercialisation agricole. Le Programme de mise en commun des prix aide à commercialiser des produits agricoles visés par des plans coopératifs en garantissant un prix initial moyen pour les produits vendus par les agences de commercialisation. Ceci permet aux agences de commercialisation d’obtenir du financement et de dispenser les paiements de première livraison à leurs membres. La garantie du gouvernement protège les agences contre les déclins imprévus du prix du marché de leurs produits qui dépassent 35,0 %. Les clients cibles sont les agences de commercialisation des produits agricoles visés par la Loi sur les programmes de commercialisation agricole. Le programme utilise les paiements de transfert suivants comme source de financement : Paiements relatifs à la Loi sur les programmes de commercialisation agricole (L.C. 1997, ch. 20).",71967500.00,71967500.00,71967500.00,34.00,34.00,34.00,"","","","",72005000.00,29518901.00,"Les dépenses réelles étaient inférieures aux dépenses prévues en raison des taux d’intérêt actuellement inférieurs à la moyenne. Le nombre de demandes des producteurs reçues dans le cadre du Programme de paiements anticipés varie d’une année à l’autre en fonction de la demande, des taux d’intérêt et des besoins des producteurs. Ce chiffre ne compte pas les montants recouvrés des avances antérieures en souffrance, et le niveau de dépenses de programme est en phase avec les niveaux des dernières années.",32.00,31.00,""
"P1001-0014","AGR-AAA00","Réserve pour pertes sur prêts dans l’industrie du porc","Le Programme de réserve pour pertes sur prêts dans l’industrie du porc (PRPPIP) vise à aider les exploitations porcines rentables à atténuer les pressions financières à court terme en fournissant des prêts à long terme. Le programme aidera à réduire l’exposition des prêteurs aux risques associés à l’octroi de prêts à long terme en les partageant avec le gouvernement du Canada, ce qui encouragera les prêteurs à consentir un crédit et à faciliter le refinancement de la dette.",".",".",".",".",".",".","","","","",0.00,-20782068.00,"",0.00,0.00,""
"P1001-0022","AGR-CMA00","Croissance du commerce et des marchés","Le programme Croissance du commerce et des marchés qui est financé par les ressources ministérielles existantes et par Cultivons l’avenir 2, accroît la présence du Canada sur les marchés en favorisant des règlements commerciaux basés sur la science, en assurant la réouverture, le maintien et la croissance des marchés ainsi qu’en concluant des accords de libre-échange avec les principaux partenaires commerciaux, reconnaissant l’importance des marchés internationaux à la rentabilité du secteur canadien de l’agriculture, de l’agroalimentaire et des produits agro-industriels. Pour que l’industrie puisse bénéficier de tous les avantages des accords de libre-échange et d’un accès accru aux marchés, le programme Croissance du commerce et des marchés offre également des ressources et des outils comme des renseignements sur les marchés, un service de délégués commerciaux et, sous la marque Canada, des outils et de la coordination, qui permettent à l’industrie de tirer parti des nouveaux débouchés commerciaux et de connaître un succès commercial. Le programme utilise les paiements de transfert suivants comme source de financement : Subventions versées à des bénéficiaires étrangers pour leur participation auprès d’organisations internationales qui appuient l’agriculture.",34382146.00,11199751.00,11367275.00,133.00,133.00,133.00,"","Les dépenses prévues diminuent de l’exercice 2017-2018 à 2018-2019 puisque les autorisations de financement du cadre stratégique de Cultivons l’avenir 2 expirent à la fin de 2017-2018. Un nouveau cadre stratégique est en cours d’élaboration et le montant du financement n’a pas encore été déterminé.","","",32417202.00,20240305.00,"Les dépenses réelles étaient inférieures aux dépenses prévues, essentiellement en raison d’une réorganisation des programmes visant à tenir compte des priorités changeantes. De plus, les dépenses prévues comprenaient également un financement qui a été transféré par la suite à d’autres ministères dans le cadre d’initiatives de Cultivons l’avenir 2.",132.00,131.00,""
"P1001-0024","AGR-CMA00","Mobilisation et développement du secteur","Le programme Mobilisation et développement du secteur, qui est financé par les ressources ministérielles existantes et par Cultivons l’avenir 2, vise à améliorer la compétitivité du secteur et à favoriser son succès sur les marchés. Des spécialistes régionaux et sectoriels s’emploient à entretenir et à étendre les relations de travail, de concert avec les provinces et les territoires, les associations agricoles et alimentaires nationales et régionales ainsi que les entreprises individuelles et les membres de la chaîne de valeur en vue d’acquérir des connaissances et de relever les défis principaux auxquels est confronté le secteur, dont ceux qui ont trait aux marchés et à la réglementation.",22019921.00,18785468.00,18785468.00,163.00,163.00,163.00,"","Les dépenses prévues diminuent de l’exercice 2017-2018 à 2018-2019 puisque les autorisations de financement du cadre stratégique de Cultivons l’avenir 2 expirent à la fin de 2017-2018. Un nouveau cadre stratégique est en cours d’élaboration et le montant du financement n’a pas encore été déterminé.","","",22140517.00,23540045.00,"",171.00,160.00,""
"P1001-0027","AGR-CMA00","Lutte antiparasitaire : Programme de pesticides à usage limité","Ce programme de Cultivons l’avenir 2 accroît l’accès des agriculteurs à de nouveaux pesticides à usage limité. Des études sur les résidus de pesticides, l’efficacité des pesticides et la tolérance des cultures sont menées pour générer à l’intention de Santé Canada des ensembles de données réglementaires concernant les nouveaux pesticides à usage limité. Par ailleurs, les travaux menés en collaboration avec nos collègues des États-Unis donnent lieu à des présentations conjointes sur les pesticides aux organismes de réglementation des deux pays et à la disponibilité simultanée des nouveaux pesticides à usage limité dans les deux pays. L’accessibilité accrue à de nouveaux pesticides à usage limité élimine les obstacles commerciaux avec les pays dans lesquels ces produits sont déjà accessibles.",10222544.00,0.00,0.00,51.00,51.00,51.00,"","Les dépenses prévues diminuent de l’exercice 2017-2018 à 2018-2019 puisque les autorisations de financement du cadre stratégique de Cultivons l’avenir 2 expirent à la fin de 2017-2018. Un nouveau cadre stratégique est en cours d’élaboration et le montant du financement n’a pas encore été déterminé.","","",10302317.00,8655668.00,"Les dépenses réelles étaient inférieures aux dépenses prévues, essentiellement en raison d’une réorganisation des programmes visant à tenir compte des priorités changeantes.",53.00,49.00,""
