"deptcode","activitycode","FTEActual_2012","FTEActual_2013","FTEActual_2014","FTEActual_2015","FTEActual_2016","FTEPlanned_2017","FTEPlanned_2018","FTEPlanned_2019","PlannedFTE_1617"
"ACOA","ABH00",181,215,218,208,218,222,222,222,214
"ACOA","ABK00",89,85,95,102,102,101,101,101,101
"ACOA","ABR00",69,62,60,64,67,68,68,68,68
"ACOA","ISC00",249,193,197,199,195,199,199,199,0
"AECB","ATZ00",172,144,146,".",".",".",".",".","."
"AECB","AUA00",164,178,157,".",".",".",".",".","."
"AECB","AUC00",291,263,263,".",".",".",".",".","."
"AECB","DAI00",".",".",".",64,71,68,68,68,80
"AECB","DAJ00",".",".",".",257,261,273,273,273,267
"AECB","DAK00",".",".",".",83,85,88,88,88,83
"AECB","DAL00",".",".",".",38,31,40,40,40,36
"AECB","DAM00",".",".",".",145,128,154,154,154,155
"AECB","ISC00",208,231,222,221,247,234,234,234,229
"AGR","AAA00",375,370,349,361,367,366,366,366,363
"AGR","AAB00",43,36,34,33,32,33,33,33,36
"AGR","AAE00",283,289,".",".",".",".",".",".","."
"AGR","AAG00",404,355,".",".",".",".",".",".","."
"AGR","AAH00",22,23,25,25,24,26,26,26,26
"AGR","AAI00",49,8,".",".",".",".",".",".","."
"AGR","AAJ00",609,411,".",".",".",".",".",".","."
"AGR","AAK00",337,226,".",".",".",".",".",".","."
"AGR","ABF00",60,54,".",".",".",".",".",".","."
"AGR","ABG00",1538,1776,2441,2439,2526,2556,2567,2567,2526
"AGR","ABQ00",32,29,227,203,156,125,66,66,163
"AGR","CMA00",".",".",372,396,400,407,407,407,419
"AGR","ISC00",1910,1499,1149,1056,1089,1140,1140,1140,1167
"ATSSC","CHC00",".",".",93,191,203,253,253,253,220
"ATSSC","CHD00",".",".",33,164,154,174,174,174,181
"ATSSC","CHE00",".",".",67,129,110,118,118,118,110
"ATSSC","ISC00",".",".",45,119,131,159,159,159,132
"CAS","ARW00",183,181,181,185,182,181,181,181,191
"CAS","ARX00",281,276,277,280,290,289,289,289,291
"CAS","ISC00",148,138,138,155,165,162,162,162,160
"CAT","BBB00",8,8,4.7,".",".",".",".",".","."
"CAT","ISC00",3,3,1.7,".",".",".",".",".","."
"CB","AOJ00",11,14,14,16,14,15,15,15,15
"CB","ISC00",3,2,2,2,2,3,3,3,3
"CBSA","AWZ00",1201,1315,1149,1183,1239,1198,1167,1167,1085
"CBSA","AXB00",6360,7005,7297,7449,7240,7427,7403,7399,7687
"CBSA","AXE00",397,491,397,411,419,397,397,397,363
"CBSA","AXI00",875,950,715,766,763,667,668,668,835
"CBSA","AXJ00",112,122,108,110,102,111,111,111,113
"CBSA","HGB00",273,298,283,259,287,303,303,303,338
"CBSA","HGC00",934,990,981,1088,1079,993,1067,1062,1091
"CBSA","ISC00",4490,2724,2838,2508,2411,2543,2534,2533,2053
"CCMD","BIB00",288,297,321,".",".",".",".",".","."
"CCMD","BIC00",60,55,46,".",".",".",".",".","."
"CCMD","BID00",62,48,62,".",".",".",".",".","."
"CCMD","DAS00",".",".",".",474,428,410,378,378,477
"CCMD","ISC00",281,222,222,210,153,187,182,182,163
"CCOHS","AMH00",63,61,61,65,65,68,71,73,73
"CCOHS","ISC00",18,19,20,20,18,21,22,23,23
"CCRA","ABW00",1694,1732,1868,1671,1748,".",".",".",1646
"CCRA","ABX00",6535,6488,6209,5967,4330,".",".",".",4519
"CCRA","ABY00",1349,1300,1253,1287,1299,".",".",".",1545
"CCRA","ABZ00",4057,3976,3948,3924,4160,".",".",".",3665
"CCRA","ACB00",7619,7589,7705,7653,9659,".",".",".",9461
"CCRA","ACC00",10200,9761,9790,9766,9632,".",".",".",9663
"CCRA","ACD00",26,23,23,21,25,".",".",".",31
"CCRA","BRA01",".",".",".",".",".",6841,6675,6521,"."
"CCRA","BRA02",".",".",".",".",".",4711,4652,4798,"."
"CCRA","BRA03",".",".",".",".",".",5408,5560,5800,"."
"CCRA","BRA04",".",".",".",".",".",6776,6698,6690,"."
"CCRA","BRA05",".",".",".",".",".",2948,2900,2890,"."
"CCRA","BRA06",".",".",".",".",".",1435,1456,1458,"."
"CCRA","BRA07",".",".",".",".",".",248,257,257,"."
"CCRA","BRA08",".",".",".",".",".",86,84,85,"."
"CCRA","BRA09",".",".",".",".",".",397,393,355,"."
