"deptcode","activitycode","authority_2012","expenditure_2012","authority_2013","expenditure_2013","authority_2014","expenditure_2014","authority_2015","expenditure_2015","authority_2016","expenditure_2016","PlannedSpending_2017","PlannedSpending_2018","PlannedSpending_2019","PlannedSpending_1617"
"ACOA","ABH00",184223494,179856451,180541383,180674018,180733118,173992156,177987570,171964203,193473736,186231871,170058923.00,165171923.00,164291923.00,172961681.00
"ACOA","ABK00",102072766,88520093,96738133,94103327,90542322,90659999,90580954,91402846,106882129,106813633,104552144.00,87732144.00,87732144.00,97704593.00
"ACOA","ABR00",13190432,12403955,11938804,10634165,11663025,12444235,11802207,11828235,11746750,14638541,10966274.00,10691274.00,10441274.00,11740443.00
"ACOA","ISC00",34007597,34881448,30617702,28746598,25977812,28176701,25869554,26413684,25746944,24681457,25967603.00,25967603.00,25967603.00,0.00
"AECB","ATZ00",31355408,29682743,27580213,27536138,27784689,28509322,".",".",".",".",".",".",".","."
"AECB","AUA00",25224065,25304007,25737960,24072978,29186133,21355025,".",".",".",".",".",".",".","."
"AECB","AUC00",44893862,41778894,52018971,48652198,43163575,45872668,".",".",".",".",".",".",".","."
"AECB","DAI00",".",".",".",".",".",".",12336289,10173578,12635480,11570635,10891883.00,11113660.00,11304342.00,12791173.00
"AECB","DAJ00",".",".",".",".",".",".",41077974,40002299,41787862,41057571,42826661.00,43698681.00,44448440.00,42592667.00
"AECB","DAK00",".",".",".",".",".",".",15256850,13930082,15698512,13395547,14913615.00,15217281.00,15478371.00,13200221.00
"AECB","DAL00",".",".",".",".",".",".",6847634,5982791,6860691,5327246,6405206.00,6535626.00,6647761.00,6992824.00
"AECB","DAM00",".",".",".",".",".",".",28013757,26696945,28467289,24375420,28581883.00,29163856.00,29664234.00,29176241.00
"AECB","ISC00",43191705,42933510,46117462,45355707,43258728,42402554,41507904,41182973,42268424,41399611,44090697.00,44988454.00,45760343.00,43082484.00
"AECL","ATV00",555908000,551843000,411762900,385462900,333528000,326743000,552126692,491064000,968615589,784133000,971055162.00,971055162.00,971055162.00,"."
"AGR","AAA00",1434879185,1420001333,1295485113,1280762636,1040190844,1033315991,944761735,923685461,1295672303,1276920061,1306311287.00,664401696.00,664401696.00,1305927027.00
"AGR","AAB00",4125793,-1240186,5315279,-2158401,7423425,-2233091,9606261,-962575,10518581,-1046008,0.00,-19000.00,169000.00,0.00
"AGR","AAE00",121468739,92378239,119962679,90347576,".",".",".",".",".",".",".",".",".","."
"AGR","AAG00",296869577,264232140,193068635,135561420,".",".",".",".",".",".",".",".",".","."
"AGR","AAH00",4004166,2998099,3526875,2869840,3635003,3032055,3693058,3087351,3516900,2835900,3008456.00,3008456.00,3008456.00,3036170.00
"AGR","AAI00",19748906,15477477,4126694,2577149,".",".",".",".",".",".",".",".",".","."
"AGR","AAJ00",85639252,82929006,65680780,65346123,".",".",".",".",".",".",".",".",".","."
"AGR","AAK00",104475015,92964460,75838981,70767364,".",".",".",".",".",".",".",".",".","."
"AGR","ABF00",23693104,11720760,17337631,11336464,".",".",".",".",".",".",".",".",".","."
"AGR","ABG00",359194837,303174048,477329589,442238382,609379800,575890434,626544825,600370331,634359452,622848352,563745548.00,296694102.00,292790893.00,560789990.00
"AGR","ABQ00",88720333,69543719,66175058,54672561,88993343,76204095,73536346,50436622,426894567,407813434,61514447.00,16949708.00,16949708.00,73027026.00
"AGR","CMA00",".",".",".",".",198212506,163511328,228786707,198590662,176222709,154505331,173414582.00,32424669.00,32592193.00,171704257.00
"AGR","ISC00",341336920,327379980,232738071,232577216,165317496,164270556,153955743,153201740,156762447,151033280,143189378.00,116978399.00,116664017.00,149248786.00
"AHRAC","BDC00",3738594,529611,".",".",".",".",".",".",".",".",".",".",".","."
"AHRAC","BDD00",2207858,554549,".",".",".",".",".",".",".",".",".",".",".","."
"AHRAC","ISC00",3428533,399382,".",".",".",".",".",".",".",".",".",".",".","."
"APPRT","AMB00",1703477,686970,".",".",".",".",".",".",".",".",".",".",".","."
"APPRT","ISC00",553132,826420,".",".",".",".",".",".",".",".",".",".",".","."
"ATSSC","CHC00",".",".",".",".",9763145,7845015,28005178,20397746,22641024,21747000,22305059.00,20419286.00,20419286.00,21445348.00
"ATSSC","CHD00",".",".",".",".",4621697,3786373,5473199,7477407,9202813,7838690,8263121.00,7422958.00,7422958.00,7799725.00
"ATSSC","CHE00",".",".",".",".",6158966,4888986,13577585,11106695,14099478,10949929,11783427.00,10958479.00,10958479.00,12830814.00
"ATSSC","ISC00",".",".",".",".",11798283,10217101,16364309,17870144,17440599,19626388,18668542.00,18668542.00,18668542.00,15948649.00
"CAS","ARW00",22822764,21125246,23133122,21333113,22931170,21961589,27605073,27134101,28775462,26457368,24689653.00,24198534.00,24221222.00,27994392.00
"CAS","ARX00",27182733,25400192,27402634,25014862,27492240,25696130,24511063,23639751,24585943,24509338,27475819.00,26927414.00,26952661.00,24278931.00
"CAS","ISC00",21255174,19058769,21611642,20994584,22151534,21492687,23350382,21520818,22294032,21310542,23082227.00,22627583.00,22648798.00,20078320.00
"CAT","BBB00",1318637,1243208,1164373,1164373,752525,744111,".",".",".",".",".",".",".","."
"CAT","ISC00",339815,341710,346216,306664,141890,140304,".",".",".",".",".",".",".","."
"CATSA","BIY00",576397810,513369000,598286200,559065861,676185743,623896764,711734134,656747273,766278268,725303977,584584214.00,584584214.00,584584214.00,"."
"CB","AOJ00",2591465,2032278,2541786,2251535,2653798,2486300,2606105,2285991,2588591,2507540,2490530.00,2490530.00,2490530.00,2520496.00
"CB","ISC00",607874,476707,596221,528137,622496,583206,611307,542714,607200,588188,584199.00,584199.00,584199.00,591228.00
"CBC","ACH00",1106519060,1106519060,1083473798,1083473798,1038023798,1038023798,1038023798,1038023798,1113023798,1113023798,1188023798.00,1188023798.00,1188023798.00,"."
"CBSA","AWZ00",215858713,121511557,198749688,167659404,218928785,181814888,188842605,196232431,191345984,187301151,173555664.00,170297370.00,170235705.00,162510532.00
"CBSA","AXB00",738619806,586293558,760616669,816408042,899872146,982394090,1054671860,899788811,1019898923,847411519,923906326.00,794324175.00,786292838.00,901059087.00
"CBSA","AXE00",82167116,31564355,70513025,40998175,65455585,42228468,41131584,32177618,46292186,30333961,37910170.00,34896687.00,34896737.00,35243046.00
"CBSA","AXI00",83373494,73463331,89465342,90169773,100234729,88403795,102242056,84407179,85087680,69498416,50111199.00,50164169.00,50165672.00,80336485.00
"CBSA","AXJ00",10453658,11118094,10795425,11919916,12975979,13359832,11474246,11322864,12122101,9951251,10432587.00,10441509.00,10441523.00,11485183.00
"CBSA","HGB00",24614091,26441935,26188466,31415641,32740305,37290323,29242577,31193842,37319026,32177370,29604517.00,29797962.00,29798000.00,33348629.00
"CBSA","HGC00",197266106,150469520,196904695,173297292,186057961,186711928,148959594,161969717,159686004,156434366,192766475.00,194881478.00,179090071.00,128654073.00
"CBSA","ISC00",735269517,706493658,835020034,518243259,653882416,468941046,375237589,379200769,375247080,365842854,343409298.00,342519010.00,341904316.00,320402518.00
"CC","ACF00",181367817,181367816,181974388,181974388,182224388,182224388,182224388,182224388,222574389,222574389,257347387.00,257347387.00,257347387.00,"."
"CCC","AQS00",15481540,15481540,15656400,15656400,15656400,14240000,8880000,8880000,3510000,3510000,".",".",".","."
"CCMD","BIB00",89637238,48891757,77522735,48340444,68739378,41146100,".",".",".",".",".",".",".","."
"CCMD","BIC00",13726624,8482245,14806297,7534522,9620015,7848635,".",".",".",".",".",".",".","."
"CCMD","BID00",12800353,9499142,11222335,7775688,12312486,12017234,".",".",".",".",".",".",".","."
"CCMD","DAS00",".",".",".",".",".",".",69838099,59000898,69079104,61017208,63350543.00,58363587.00,58363587.00,68569151.00
"CCMD","ISC00",18847514,30392083,23110050,21110927,30446050,27497043,34582389,33151233,24640180,21767030,20501856.00,18887950.00,18887950.00,23349496.00
"CCOHS","AMH00",2797153,3006921,2751610,2607398,2383911,1846820,8011564,6728530,7916801,7118136,6036633.00,6036633.00,6036633.00,6141291.00
"CCOHS","ISC00",3072056,2450394,2985275,2639793,3056267,2839118,3202587,3189587,3623793,2812261,2840768.00,2840768.00,2840768.00,2811081.00
"CCRA","ABW00",212453444,192046153,215140992,190219456,212604164,204406362,187677521,181214477,211148563,200449698,".",".",".",185568739.00
"CCRA","ABX00",709447070,643799856,713165971,649108155,689410927,640377518,643991825,606377627,559488174,546965711,".",".",".",503182149.00
"CCRA","ABY00",393741710,383719460,383633714,374414324,362942761,351409527,469297374,449400252,482883861,475216775,".",".",".",434832503.00
"CCRA","ABZ00",467240404,453280238,359692453,350801699,307044650,292809925,428549814,418438658,355845141,346045382,".",".",".",412286804.00
"CCRA","ACB00",541527435,512217726,539660156,496787602,551816289,519837234,534428935,495342255,746728836,725125359,".",".",".",632051666.00
"CCRA","ACC00",1233061479,1170473553,1130462996,1084562230,1142412219,1108667741,1118409053,1076656765,1143527102,1101009935,".",".",".",1067140214.00
"CCRA","ACD00",3436557,2622557,3277156,2524101,3289642,2614097,3088064,2047159,3135391,2894786,".",".",".",3235854.00
"CCRA","BRA01",".",".",".",".",".",".",".",".",".",".",682242881.00,674081949.00,668620560.00,"."
"CCRA","BRA02",".",".",".",".",".",".",".",".",".",".",295365073.00,295321197.00,293204429.00,"."
"CCRA","BRA03",".",".",".",".",".",".",".",".",".",".",357098459.00,376379910.00,395203038.00,"."
"CCRA","BRA04",".",".",".",".",".",".",".",".",".",".",703218465.00,700713661.00,699004135.00,"."
