"measure_id","org_id","funding","allocated","withheld","remaining"
1,305,4532000,4221134,310866,0
1,313,47508000,0,0,0
2,280,4000000,894277,3105723,0
3,246,1934000,1768379,165620,1
4,114,600000,466254,133746,0
4,118,2784000,2576458,207542,0
4,130,6200000,4059018,334732,1806250
4,240,1316000,0,0,1316000
4,312,2000000,2000000,0,0
5,199,3641000,1171993,2469007,0
6,278,745000,438000,307000,0
7,12,1659000,1493098,165902,0
7,86,126000,126000,0,0
7,126,2000000,1809698,190302,0
7,130,1218000,902476,315524,0
7,140,7035000,6538814,496186,0
7,141,4389000,4100105,288895,0
7,150,6573000,6159091,413909,0
8,26,769000,0,0,769000
8,126,3919000,0,0,3919000
9,137,16333000,0,0,0
10,241,1400000,1400000,0,0
11,126,160458000,0,0,301
12,295,2000000,1535983,464017,0
13,132,12800000,12791977,0,8023
14,26,9109000,8497613,611387,0
14,127,154000000,0,0,137
14,135,1300000,0,0,1300000
14,280,3100000,2250243,849757,0
14,313,550000,467884,82115,1
15,130,250000,0,0,250000
16,139,21300000,12214245,2962515,6123240
17,42,447169000,30502163,416666837,0
18,74,9750000,7264944,2485056,0
18,230,9750000,7264944,2485056,0
18,306,5500000,4334000,1166000,0
19,128,2100000,1814012,284292,1696
20,124,700000,576955,123045,0
21,126,2000000,1790786,209214,0
22,127,17905000,10866393,7038607,0
23,139,4746000,4544404,85871,115725
25,122,10000000,10000000,0,0
26,348,102134000,102133524,0,476
27,230,20000000,20000000,0,0
28,46,4885000,3966360,918640,0
30,46,30788000,0,0,-134
31,348,43200000,43200000,0,0
32,135,1370000,1099233,267909,2858
33,128,42500000,0,42389099,110901
34,110,1947000,0,0,0
34,305,278107000,0,0,27916649
34,326,10000000,0,0,6000000
35,"non_allocated",-100000000,0,0,-100000000
36,246,855000,775460,79540,0
37,132,2000000,2000000,0,0
37,256,2880000,2880000,0,0
38,46,7000000,6353969,646031,0
39,128,6000000,5688172,265571,46257
40,126,35800000,33477276,2322724,0
40,134,2460000,2009567,445837,4596
40,539,38000,0,0,38000
41,110,42981000,0,0,684444
41,126,3299000,1591463,271627,1435910
41,128,2700000,2652129,47871,0
41,130,4600000,4151949,448051,0
41,134,2200000,2057068,142932,0
41,135,5471000,0,2300000,3171000
41,295,38225000,8442531,22682901,7099568
41,312,1600000,131000,1469000,0
42,348,294800000,292970613,1829387,0
43,138,3300000,2508194,761988,29818
44,124,300000,104662,195338,0
44,128,3700000,3300000,400000,0
44,246,5000000,549786,93741,4356473
44,313,729000,559664,169336,0
45,123,840000,694223,123379,22398
47,124,1520000,1225448,294552,0
48,129,1500000,1500000,0,0
49,117,2591000,2313938,276602,460
51,123,10630000,2012564,8617436,0
52,74,44103000,43647705,454794,501
52,230,44103000,44102500,0,500
52,306,26795000,26795000,0,0
53,130,63940000,0,62960000,980000
54,129,20300000,20233346,66654,0
55,326,750000,634940,115060,0
56,313,600000,476836,123164,0
56,"non_allocated",3200000,0,3200000,0
57,128,5025000,2655741,2357807,11452
58,46,200000,0,0,200000
59,130,5400000,5286148,113852,0
