"measure_id","parent_measure_id","measure_fr","chapter_key","id_fr","description_fr"
1,,"Recensement de la population et Recensement de l’agriculture de 2021","adv","Renouveler-et-moderniser-Statistique-Canada","Statistique Canada a le mandat de mener le Recensement de la population et le Recensement de l’agriculture tous les cinq ans, lesquels produisent des renseignements statistiques objectifs de qualité qui sont essentiels pour tous les ordres de gouvernement, le secteur privé, le milieu académique et les entités à but non lucratif. Statistique Canada tiendra le prochain recensement en 2021, en faisant fond sur la réussite du Recensement de la population de 2016, pour lequel le questionnaire complet a connu le plus haut taux de réponse jamais obtenu et établi un record du monde pour la réponse via Internet. Le gouvernement propose d’octroyer 767,3 millions de dollars sur 10 ans à Statistique Canada à compter de 2018-2019, pour réaliser le Recensement de la population de 2021. Il accordera 49,4 millions de dollars sur six ans à Statistique Canada à compter de 2018-2019, pour réaliser le Recensement de l’agriculture de 2021. "
2,,"Une approche communautaire à l’égard de la démence","adv","Une-approche-communautaire-a-la-demence","Plus de 400 000 aînés canadiens sont atteints de démence, dont la maladie d’Alzheimer. Les femmes sont touchées de manière disproportionnée; elles représentent les deux tiers de cette population. De nombreuses femmes sont également responsables des soins auprès des membres de la famille atteints de démence. Le budget de 2018 propose de fournir un montant de 20 millions de dollars sur cinq ans à compter de 2018-2019, et 4 millions annuellement par la suite, à l’Agence de la santé publique du Canada afin de financer des projets communautaires qui relèvent les défis associés à la démence. Ces projets pourraient comprendre des programmes qui offrent des mesures de soutien de la santé mentale et de l’information sur les soins autoadministrés pour les aidants naturels ou des initiatives aidant les Canadiens à trouver rapidement des ressources locales, y compris de l’information sur les pratiques exemplaires pour prodiguer des soins aux personnes vivant avec une démence. Ce nouveau financement contribuera à l’amélioration de la qualité de vie des personnes qui sont atteintes de démence et permettra aux aidants naturels, qui sont surtout des femmes, d’avoir accès aux ressources dont ils ont besoin, y compris au soutien en santé mentale."
3,,"Conversation nationale avec les jeunes Canadiens sur l’égalité des sexes","grw","Conversation-nationale-avec-les-jeunes-Canadiens-sur-l-egalite-des-sexes","L’analyse comparative entre les sexes plus (ACS+) est un outil utilisé pour évaluer comment divers groupes de femmes, d’hommes et de genres mixtes vivent l’expérience des politiques, des programmes et des initiatives. Le « plus » dans l’analyse comparative entre les sexes a pour objet de reconnaître que nous devons aller au-delà des différences entre les sexes et les genres puisqu’il existe de nombreux facteurs d’identification qui se chevauchent et qui indiquent qui nous sommes, y compris la race, l’ethnicité, la sexualité, la religion, l’âge et les capacités mentales ou physiques. Faciliter un dialogue national sur l’importance de l’intégration de l’ACS+ lors de l’élaboration de politiques, de programmes et d’initiatives publics devrait renforcer la capacité analytique partout au pays et offrir une façon d’échanger les résultats et les pratiques exemplaires. À cette fin, le gouvernement propose de fournir à Condition féminine Canada un financement de 1,3 million de dollars en 2018-2019 pour organiser une table ronde nationale sur l’ACS+. Le gouvernement propose également un financement supplémentaire pour Condition féminine Canada, jusqu’à concurrence de 7,2 millions de dollars sur cinq ans, afin de tenir une conversation nationale sur l’égalité des sexes avec les jeunes Canadiens."
4,,"Une nouvelle stratégie en matière de propriété intellectuelle","prg","Une-nouvelle-strategie-en-matiere-de-propriete-intellectuelle","Pour assurer leur croissance et la création de bons emplois bien rémunérés, les entreprises canadiennes doivent pouvoir transformer les nouvelles idées en nouveaux biens et services qui pourront faire concurrence. Afin de donner aux entreprises la confiance dont elles ont besoin pour croître et prendre des risques, il nous faut une stratégie bien définie qui permet de gérer et de protéger la propriété intellectuelle.

Le budget de 2018 propose des mesures visant à soutenir une nouvelle stratégie en matière de propriété intellectuelle pour aider les entrepreneurs canadiens à mieux comprendre et protéger la propriété intellectuelle et à profiter d’un meilleur accès à la propriété intellectuelle partagée.

Le budget de 2018 propose un financement de 85,3 millions de dollars sur cinq ans, à compter de 2018-2019, et de 10 millions par année par la suite, pour appuyer cette stratégie. Le ministre de l’Innovation, des Sciences et du Développement économique fournira plus d’informations au sujet de la stratégie dans les mois qui viennent, y compris sur les initiatives suivantes visant à accroître la littératie des entrepreneurs canadiens en matière de propriété intellectuelle et à réduire les coûts, ainsi qu’à créer des mesures incitatives pour amener les entreprises canadiennes à profiter de leur propriété intellectuelle :
•Pour mieux habiliter les entreprises à accéder à la propriété intellectuelle et à la partager, le gouvernement propose de fournir un financement de 30 millions de dollars en 2019-2020 en vue de mettre en œuvre un projet pilote de collectif de brevets. Ce collectif travaillera avec les entrepreneurs canadiens pour la mise en commun des brevets pour que les petites et moyennes entreprises aient un meilleur accès à la propriété intellectuelle nécessaire pour prospérer.
•Afin d’appuyer le développement de l’expertise en propriété intellectuelle et les avis juridiques dans la communauté d’innovation canadienne, le gouvernement propose de fournir à Innovation, Sciences et Développement économique Canada un financement de 21,5 millions de dollars sur cinq ans, à compter de 2018-2019, pour améliorer l’accès des entrepreneurs canadiens aux cliniques juridiques dans les universités. Ce financement permettra aussi la création d’une équipe au sein du gouvernement fédéral dont le mandat sera de collaborer avec des entrepreneurs canadiens pour les aider à élaborer des stratégies personnalisées d’utilisation de leur propriété intellectuelle et d’expansion dans les marchés internationaux.
•Afin de soutenir les outils stratégiques de propriété intellectuelle qui stimulent la croissance économique, le budget de 2018 propose aussi de fournir à Innovation, Sciences et Développement économique Canada un financement de 33,8 millions de dollars sur cinq ans, à compter de 2018-2019, incluant 4,5 millions de dollars pour la création d’un marché de la propriété intellectuelle. Ce marché constituerait un guichet unique donnant un accès en ligne aux titres de propriété intellectuelle appartenant au secteur public pouvant être offerts sous licence ou vendus en vue de réduire les frais liés aux opérations pour les entreprises et les chercheurs et d’améliorer l’accès à la propriété intellectuelle appartenant au secteur public.

Le gouvernement étudiera également la prise éventuelle de mesures additionnelles, notamment par voie législative, pour appuyer la nouvelle stratégie en matière de propriété intellectuelle.
"
5,,"Un nouveau partenariat entre Bibliothèque et Archives Canada et la Bibliothèque publique d’Ottawa","adv","Un-nouveau-partenariat-entre-Bibliotheque-et-Archives-Canada-et-la-Bibliotheque-publique-dOttawa","Le gouvernement propose aussi d’accorder 73,3 millions de dollars sur six ans, selon la comptabilité de caisse, à compter de 2018-2019, et 4 millions de dollars par année par la suite, afin d’appuyer la construction et les opérations continues d’une nouvelle installation conjointe qui hébergera Bibliothèque et Archives Canada et la Bibliothèque publique d’Ottawa. Ce financement représente la part du projet assumée par le gouvernement; le reste des fonds devant provenir de la Ville d’Ottawa. Ce nouveau bâtiment sera un carrefour communautaire et un guichet unique rendant possible l’accès à la bibliothèque et aux archives nationales et à une bibliothèque publique de classe mondiale dans la capitale du Canada, ce qui favorisera la participation communautaire des citoyens et améliorera l’accès à l’histoire, à la culture et aux connaissances collectives du Canada. On s’attend à ce que le nouveau bâtiment soit achevé d’ici 2023."
6,,"Un nouveau processus pour les débats des chefs lors des élections fédérales","adv","Un-nouveau-processus-pour-les-debats-des-chefs-lors-dune-election-federale","Les débats des chefs jouent un rôle essentiel lors d’une élection fédérale canadienne en faisant participer les Canadiens à la campagne électorale et en éclairant leur décision de vote. Au cours des 50 dernières années, la façon dont les débats des chefs ont été négociés a miné la transparence du processus et menaçait la structure et l’utilité éventuelle des débats. 

Le gouvernement propose d’accorder 6 millions de dollars sur deux ans, et par la suite pour chaque cycle d’années préélectorales et électorales, pour mettre en place un processus selon lequel les débats des chefs fédéraux seraient organisés dans l’intérêt public et renseigneraient mieux les Canadiens sur les partis en lice, leurs chefs et leurs positions politiques. Au cours des prochains mois, la ministre des Institutions démocratiques proposera des approches possibles à l’égard des débats des chefs. Il est possible que le gouvernement dépose des mesures législatives afin de mettre en œuvre l’approche adoptée afin d’établir un nouveau processus pour les débats des chefs.
"
7,,"Une nouvelle stratégie pour les femmes en entrepreneuriat","prg","Simplifier-la-serie-des-programmes-en-innovation","Au Canada, moins d’une entreprise sur six (16 %) est détenue majoritairement par des femmes et les entreprises appartenant à des femmes sont souvent plus petites que celles appartenant à des hommes, quoique l’écart varie selon les industries (d’après la Banque de développement du Canada, à la lumière des données de 2014 de Statistique Canada).

Les femmes entrepreneures sont aux prises avec des obstacles uniques comparativement à leurs homologues masculins, liés à l’accès au capital, aux chaînes d’approvisionnement et aux programmes d’exportation. Les femmes entrepreneures peuvent également avoir plus de difficultés à recevoir de la formation et à trouver du mentorat.

Le gouvernement croit qu’avec un plus grand appui, les entreprises dirigées par des femmes pourraient faire leur place sur l’échiquier mondial, se mesurer à la concurrence et réussir, autant de facteurs favorables à la croissance économique et à la création d’emplois bien rémunérés, ici même au pays. 

C’est pourquoi aider les femmes entrepreneures à faire prospérer leurs entreprises est un élément clé du Plan pour l’innovation et les compétences du gouvernement. Puisant dans les recommandations formulées par le Conseil canado-américain pour l’avancement des femmes entrepreneures et chefs d’entreprise, la nouvelle stratégie pour les femmes en entrepreneuriat adoptera une approche globale en abordant les stades de croissance critiques et en relevant les autres défis afin de mieux appuyer les femmes entrepreneures et de les aider à faire croître leur entreprise et à éliminer les obstacles à leur succès. 
"
8,,"Un régime de sanctions solide","adv","Un-regime-de-sanctions-solide","Les sanctions constituent un outil stratégique important à l’étranger pour le Canada : elles servent à répondre aux crises internationales en évolution rapide, aux violations de la paix et de la sécurité internationales et, avec la nouvelle Loi sur la justice pour les victimes de dirigeants étrangers corrompus (la loi Sergueï Magnitski), aux violations graves des droits de la personne ou aux actes de grande corruption. Le gouvernement propose d’accorder 22,2 millions de dollars sur cinq ans à compter de 2018-2019, et 4,3 millions de dollars par année par la suite, à Affaires mondiales Canada et à l’Agence des services frontaliers du Canada afin de renforcer le régime de sanctions du Canada, ce qui comprend des fonds pour élaborer une politique en matière de sanctions, assurer la coordination avec des partenaires internationaux et prodiguer des conseils aux Canadiens sur les obligations liées aux sanctions."
9,,"Adapter les services météorologiques et les services liés à l’eau du Canada aux changements climatiques","adv","Adapter-les-services-meteorologiques-et-les-services-relatifs-a-leau-du-Canada-aux-changements-climatiques","Les changements climatiques touchent déjà les Canadiens. Les phénomènes météorologiques extrêmes comme les inondations et les feux de forêt peuvent avoir un effet dévastateur sur nos gens, nos collectivités et notre économie. 
Le gouvernement maintient des réseaux à l’échelle du Canada pour recueillir des données et surveiller les changements de la météo, du climat, de l’eau, de la glace et de l’air. Ces réseaux rendent possible l’établissement des prévisions météorologiques et des prévisions relatives à l’eau et à l’environnement qui sont utilisées pour veiller à la sécurité des personnes. Dans le budget de 2018, le gouvernement propose les activités et les investissements qui suivent afin d’améliorer les services météorologiques et relatifs à l’eau, par l’entremise d’Environnement et Changement climatique Canada:
mener à bien la modernisation des systèmes utilisés au Canada pour établir les prévisions météorologiques et émettre les avertissements relatifs aux phénomènes météorologiques violents et maintenir un soutien direct aux organisations de gestion des urgences qui s’occupent des préparatifs et des interventions liés à ces phénomènes (40,6 millions de dollars sur cinq ans à compter de 2018-2019, avec 0,2 million en amortissement résiduel);  revitaliser les stations hydrométriques, améliorer les services de prévisions à long terme relatives à l’eau, faire l’essai et la mise en œuvre des nouvelles technologies et augmenter la capacité en matière de services techniques et d’ingénierie (69,5 millions de dollars sur cinq ans, à compter de 2018-2019, et 7,3 millions en amortissement résiduel); soutenir le fonctionnement des stations hydrométriques pour lesquels les coûts sont partagés avec les provinces et les territoires (9,8 millions de dollars sur cinq ans à compter de 2018-2019, et 3,1 millions en amortissement résiduel). 
"
10,,"Financement supplémentaire pour le Commissariat au lobbying du Canada","oth","23-Autres-mesures-prevues-dans-le-budget-de-2018-(non-incluses-dans-les-chapitres-anterieurs)","Financement proposé pour le Commissariat au lobbying du Canada afin de lui permettre de déménager les bureaux du commissaire et de réinstaller le personnel de ce dernier à la suite de l’expiration du bail actuel du Commissariat, prévue en 2019."
11,,"Mesures de soutien supplémentaires au programme de Politique d'aide internationale féministe","adv","Soutien-additionnel-lie-a-la-Politique-daide-internationale-feministe","L’adoption d’approches novatrices à l’aide internationale sera également un élément essentiel de la Politique d’aide internationale féministe du Canada. En plus des nouvelles ressources liées à l’aide internationale annoncées dans le budget de 2018, le gouvernement propose de verser 1,5 milliard de dollars sur cinq ans, à compter de 2018-2019, selon la comptabilité de caisse (552,6 millions selon la comptabilité d’exercice), et 492,7 millions par année par la suite, tirés des ressources non affectées de l’enveloppe de l’aide internationale, afin de soutenir l’innovation dans l’aide internationale du Canada au moyen des deux nouveaux programmes.
•Le Programme d’innovation en aide internationale. Ce programme accroîtra la marge de manœuvre dont dispose le gouvernement par rapport aux ententes de financement et aux partenariats et il permettra au Canada de rester à l’avant-garde du financement des activités de développement. Le gouvernement s’engage à verser 873,4 millions de dollars sur cinq ans selon la comptabilité de caisse et 290,5 millions par année par la suite, à ce nouveau programme.
•Le Programme de prêts souverains.Ce programme pilote diversifiera les outils dont le Canada dispose pour mobiliser les États partenaires et les organisations de développement international. Il permettra également au Canada de mieux harmoniser ses outils d’aide internationale à ceux des autres donateurs. Le gouvernement s’engage à verser un montant pouvant aller jusqu’à 626,6 millions de dollars sur cinq ans selon la comptabilité de caisse et jusqu’à 202,2 millions par année par la suite, pour financer le Programme de prêts souverains.

Ces mesures compléteront les activités d’aide internationale de base existantes et augmenteront l’effet de l’aide internationale du Canada en permettant au gouvernement d’explorer de nouvelles manières novatrices de participer à l’échelle internationale, y compris au moyen de garanties, de participation au capital et de contributions à remboursement conditionnel. Ces nouvelles mesures devraient doubler l’aide internationale du Canada accordée au moyen d’outils novateurs au cours des cinq prochaines années. Le gouvernement prendra toute mesure législative requise pour permettre à Affaires mondiales Canada d’exécuter ces nouveaux programmes. 
"
12,,"Aborder la question entourant les cas d’agression sexuelle « non fondés » et offrir un meilleur soutien aux victimes","adv","Combattre-la-violence-fondee-sur-le-sexe-et-le-harcelement","L’agression sexuelle est un crime grave qui peut avoir des effets dévastateurs et durables sur les victimes. Lorsqu’une personne se présente à la police, elle doit être traitée avec la compassion et le respect qu’elle mérite. Une expérience positive des enquêtes policières peut encourager d’autres personnes à déclarer ces crimes. À la suite des reportages médiatiques concernant les préoccupations ayant trait à la façon dont les enquêtes sur les plaintes d’agression sexuelle étaient menées par la GRC et par d’autres services de police partout au Canada, la GRC a effectué, en 2017, un examen complet de tous les dossiers qui portaient le code « non fondé ». À la suite de ce travail, ayant permis d’examiner plus de 2 000 dossiers jusqu’à présent, 284 enquêtes supplémentaires ont été lancées en date de décembre 2017. Afin de poursuivre ce travail et d’en élargir la portée, le budget de 2018 propose d’accorder à la GRC un financement supplémentaire de 10 millions de dollars sur cinq ans, et de 2 millions chaque année par la suite, afin qu’elle mette en place une unité nationale chargée de coordonner l’examen de près de 25 000 dossiers remontant à 2015, ainsi que de rendre compte des enquêtes menées par la GRC et de superviser l’élaboration d’un programme d’enseignement et de formation qui permettra d’aborder les problèmes posés par les cas classés dans la catégorie des allégations non fondées. Un comité consultatif externe et de meilleurs services de soutien feront également partie de cette initiative. Le gouvernement fédéral continuera de travailler avec les provinces et les territoires sur d’autres mesures qui pourraient être prises pour aborder ces enjeux."
13,,"Répondre à la demande d’aide juridique pour l’immigration et les réfugiés","adv","Combattre-la-violence-fondee-sur-le-sexe-et-le-harcelement","Le gouvernement soutient les provinces qui offrent des services d’aide juridique aux demandeurs d’asile qui ont besoin d’être représentés pendant le processus d’immigration. Souvent, les demandeurs d’asile ont fui leur pays parce qu’ils craignaient d’être persécutés et qu’ils ne peuvent retourner chez eux. Le budget de 2017 a accordé un financement en vue d’améliorer l’aide juridique pour l’immigration et les réfugiés en partenariat avec les provinces. Dans le budget de 2018, le gouvernement propose de renforcer ces investissements et de fournir un financement supplémentaire de 12,8 millions de dollars aux fins des services d’aide juridique offerts aux demandeurs d’asile en 2018-2019. Cet investissement permettra de s’assurer que les demandeurs d’asile admissibles peuvent toujours accéder à l’aide juridique."
