"measure_id","org_id","subject_id","program_allocation"
1,305,SHARE-BWG01,477459
1,305,SHARE-BWD06,1102576
1,305,SHARE-BWD08,1653026
1,305,SHARE-BWE02,378753
1,305,SHARE-BWD04,91243
1,305,SHARE-ISS00,31132
1,305,SHARE-BWF04,12244
1,305,SHARE-BWG02,116254
1,305,SHARE-BWE01,358447
2,280,PHAC-BVP01,835269
2,280,PHAC-ISS00,59008
3,246,SWC-BWH01,1722022
3,246,SWC-ISS00,46357
4,114,CB-BEZ01,466254
4,118,CAS-BEG01,2576458
4,130,ISC-BNP11,4059018
4,312,SCA-BNS00,2000000
5,199,LAC-BSJ01,1171993
6,278,PCO-ISS00,438000
7,12,ACOA-BED04,1188435
7,12,ACOA-BED01,146845
7,12,ACOA-BED06,146844
7,12,ACOA-ISS00,10974
7,86,CNEDA-BNL02,126000
7,126,EA-BVC03,1624525
7,126,EA-ISS00,185173
7,130,ISC-BNN04,902476
7,140,WDO-BNW02,6511480
7,140,WDO-ISS00,27334
7,141,FORDQ-BLL01,809591
7,141,FORDQ-BLL02,3234029
7,141,FORDQ-ISS00,56485
7,150,FEDSO-BNM04,6159091
10,241,ORL-ISS00,1400000
12,295,RCMP-AYO00,1499983
12,295,RCMP-ISS00,36000
13,132,JUS-BNY02,12791977
14,26,CBSA-BUF01,319593
14,26,CBSA-BUF02,454608
14,26,CBSA-BUF05,940327
14,26,CBSA-BUF10,537683
14,26,CBSA-BUF11,4762422
14,26,CBSA-BUF12,908798
14,26,CBSA-ISS00,574182
14,280,PHAC-BVP01,2037848
14,280,PHAC-ISS00,212395
14,313,SC-BNV02,428833
14,313,SC-BNV05,21947
14,313,SC-ISS00,17104
16,139,VAC-BWI01,3734474
16,139,VAC-BWI02,8479771
17,42,CMHC-BGK00,30502163
18,74,CIHR-BUI01,7264944
18,230,NSERC-BNR01,7264944
18,306,SSHRC-BNT01,4334000
19,128,HRSD-BGO06,1528456
19,128,HRSD-ISS00,285556
20,124,FIN-BUV06,576955
21,126,EA-BVC03,1639498
21,126,EA-ISS00,151288
22,127,H-BVG05,10401598
22,127,H-BVH14,222260
22,127,H-ISS00,242535
23,139,VAC-BWJ01,4544404
25,122,CH-BSE04,10000000
26,348,INDSC-BWT02,102133524
27,230,NSERC-BNR03,19968000
27,230,NSERC-ISS00,32000
28,46,CCRA-BRA01,165699
28,46,CCRA-BRA11,31094
28,46,CCRA-BRA06,0
28,46,CCRA-BRA05,1339316
28,46,CCRA-BRA03,2493
28,46,CCRA-ISS00,2427758
31,348,INDSC-BWS02,43200000
32,135,PSEP-BVS02,936449
32,135,PSEP-ISS00,162784
36,246,SWC-BWH01,758359
36,246,SWC-ISS00,17101
37,132,JUS-BNY09,2000000
37,256,IPC-BRF01,2880000
38,46,CCRA-ISS00,6353969
39,128,HRSD-BGP01,5400380
39,128,HRSD-ISS00,287792
40,126,EA-BVC01,30111425
40,126,EA-ISS00,3365851
40,134,NR-BTO01,1745861
40,134,NR-ISS00,263706
41,126,EA-BVB16,1397940
41,126,EA-ISS00,193523
41,128,HRSD-BGO11,2601074
41,128,HRSD-ISS00,51055
41,130,ISC-BNP06,4151949
41,134,NR-BTO03,1923700
41,134,NR-ISS00,133368
41,295,RCMP-AYO00,3875000
41,295,RCMP-ISS00,4567531
41,312,SCA-BNS00,131000
42,348,INDSC-BWS04,292245892
42,348,INDSC-ISS00,724721
43,138,TC-BTW09,2239459
43,138,TC-ISS00,268735
44,124,FIN-BUV02,104662
44,128,HRSD-ISS00,3300000
44,246,SWC-BWH01,509292
44,246,SWC-ISS00,40494
44,313,SC-BNV02,479158
44,313,SC-BNV05,45246
44,313,SC-ISS00,35260
