"measure_id","org_id","description_en","description_fr"
1,128,"Budget 2019 announces $253.8 million over five years, with $56.7 million per year ongoing to renew the recourse process for Employment Insurance, Canada Pension Plan, and Old Age Security and make it easier to navigate and be more responsive to the needs of Canadians. ","Dans le budget de 2019, le gouvernement annonce un investissement de 253,8 millions de dollars sur cinq ans et 56,7 millions de dollars par année par la suite pour reconduire le processus de recours en matière d’assurance-emploi, de Régime de pensions du Canada et de Sécurité de la vieillesse afin de le rendre plus facile à suivre et plus réceptif aux besoins des Canadiens."
1,539,"Budget 2019 announced $253.8 million over five years to better support the Social Security Tribunal of Canada, with $56.7 million per year ongoing, to strengthen the recourse process for Employment Insurance, Canada Pension Plan, and Old Age Security appeals and make it easier to navigate and be more responsive to the needs of Canadians.","Dans le budget de 2019, le gouvernement a annoncé un investissement de 253,8 millions de dollars sur cinq ans et 56,7 millions de dollars par année par la suite, pour mieux soutenir le Tribunal de la sécurité sociale du Canada dans le but de rendre le processus de recours en matière d'appel de l'assurance-emploi, du Régime de pensions du Canada et de la Sécurité de la vieillesse plus facile à suivre et plus réceptif aux besoins des Canadiens."
2,1,"A Food Policy for Canada will set out a coordinated and collaborative approach to addressing food-related issues while ensuring that Canada’s agriculture and agri-food sector continues to succeed.  As part of a broader government effort to support food policy objectives, Agriculture and Agri-Food Canada will invest $19 million in 2019-20 from Budget 2019 in the following areas of action:
* A Local Food Infrastructure Fund that will support infrastructure for local food projects including at food banks, farmers' markets and other community-driven projects;
* A Buy Canadian Promotion Campaign that will promote Canadian agricultural products, in collaboration with existing branding initiatives; and 
* A Food Waste Reduction Challenge with funding awarded for the most innovative food waste reduction proposals in the food processing, grocery retail and food service sectors.
","Une politique alimentaire pour le Canada va établir une approche coordonnée et collaborative pour traiter les enjeux liés aux aliments, tout en s’assurant que le secteur canadien de l’agriculture et de l’agroalimentaire continue de réussir. Dans le cadre d'un effort gouvernemental plus vaste visant à soutenir les objectifs de la politique alimentaire, AAC investira 19 millions de dollars annoncés au Budget de 2019 pour l'année 2019-2020  dans les champs d'action suivants:
* Un Fonds pour l'infrastructure des aliments locaux qui soutiendra l'infrastructure à l'appui des projets axés sur les aliments locaux, y compris aux banques alimentaires, aux marchés des producteurs agricoles, ainsi que d'autres projets communautaires;
* Une Campagne de promotion de l'achat de produits canadiens pour faire la promotion des produits agricoles canadiens en collaboration avec les responsables d'initiatives existantes d'image de marque; et
* Un Défi de réduction des déchets alimentaires offrant un financement pour les propositions les plus innovatrices de réduction des déchets alimentaire dans les secteurs de la transformation des aliments, de la vente au détail d'aliments et des services alimentaires."
2,65,"This new funding enhances federal capacity to detect and take enforcement action against known food fraud in Canada, which is the deliberate substitution, tampering, or misrepresentation of food ingredients or packaging for economic gain. This program falls under the broader Agriculture and Agri-food Canada-led Food Policy for Canada.","Ce nouveau financement renforce la capacité du gouvernement fédéral à détecter et à appliquer des mesures de lutte contre la fraude alimentaire connue au Canada, à savoir la substitution délibérée, la modification ou la falsification d'ingrédients ou d'emballages alimentaires à des fins économiques. Ce programme relève de la Politique alimentaire pour le Canada, plus globale dirigée par Agriculture et Agroalimentaire Canada."
2,86,"As part of a National Food Policy, Budget 2019 proposes to provide the Canadian Northern Economic Development Agency with $15 million, over five years, starting in 2019–20, to establish a Northern Isolated Community Initiatives Fund. This fund will support community-led projects for local and Indigenous food production systems ($3 million per year).  ","Dans le cadre d’une politique alimentaire nationale, le budget de 2019 propose de fournir 15 millions de dollars sur cinq ans, à compter de 2019-2020, à l’Agence canadienne de développement économique du Nord afin de mettre en place un fonds pour les initiatives des communautés nordiques isolées. Ce fonds soutiendra des projets dirigés par la communauté pour les systèmes locaux et autochtones de production d’aliments (3M de $ par année). "
3,12,"To help Canada’s tourism sector innovate and grow, Budget 2019 proposes to provide $58.5 million over two years, starting in 2019–20, to the Regional Development Agencies for the creation of a Canadian Experiences Fund. The Fund would support Canadian businesses and organizations seeking to create, improve or expand tourism-related infrastructure—such as accommodations or local attractions—or new tourism products or experiences. These pan-Canadian investments would focus on five categories: tourism in rural and remote communities, Indigenous tourism, winter tourism, inclusiveness, specifically for the LGBTQ2 community, and farm-to-table tourism, which is also known as culinary tourism.","Afin d’aider le secteur du tourisme du Canada à innover et à croître, le budget de 2019 propose de verser aux agences de développement régional 58,5 millions de dollars sur deux ans, à compter de 2019-2020, pour la création d’un fonds pour les expériences canadiennes. Ce fonds soutiendrait les entreprises et les organismes canadiens qui cherchent à créer, à améliorer ou à agrandir des infrastructures liées au tourisme, comme des hôtels ou des attractions locales, ou à créer de nouveaux produits ou de nouvelles expériences touristiques. Ces investissements pancanadiens seraient axés sur les cinq catégories suivantes : le tourisme dans les communautés rurales et éloignées, le tourisme autochtone, le tourisme hivernal, l’inclusion (particulièrement pour la communauté LGBTQ2) et le tourisme de la ferme à la table, aussi connu sous le nom de tourisme culinaire. "
3,86,"To help Canada’s tourism sector innovate and grow, Budget 2019 proposes to provide $58.5 million over two years, starting in 2019–20, to the Regional Development Agencies for the creation of a Canadian Experiences Fund. The Fund would support Canadian businesses and organizations seeking to create, improve or expand tourism-related infrastructure—such as accommodations or local attractions—or new tourism products or experiences. These pan-Canadian investments would focus on five categories: tourism in rural and remote communities, Indigenous tourism, winter tourism, inclusiveness, specifically for the LGBTQ2 community, and farm-to-table tourism, which is also known as culinary tourism. ","Afin d’aider le secteur du tourisme du Canada à innover et à croître, le budget de 2019 propose de verser aux agences de développement régional 58,5 millions de dollars sur deux ans, à compter de 2019-2020, pour la création d’un fonds pour les expériences canadiennes. Ce fonds soutiendrait les entreprises et les organismes canadiens qui cherchent à créer, à améliorer ou à agrandir des infrastructures liées au tourisme, comme des hôtels ou des attractions locales, ou à créer de nouveaux produits ou de nouvelles expériences touristiques. Ces investissements pancanadiens seraient axés sur les cinq catégories suivantes : le tourisme dans les communautés rurales et éloignées, le tourisme autochtone, le tourisme hivernal, l’inclusion (particulièrement pour la communauté LGBTQ2) et le tourisme de la ferme à la table, aussi connu sous le nom de tourisme culinaire. "
3,97,"Budget 2019 proposes to provide $5 million to Destination Canada for a tourism marketing campaign that will help Canadians to discover lesser-known areas, hidden national gems and new experiences across the country.","Dans le budget de 2019, le gouvernement propose de verser cinq millions de dollars à Destination Canada pour que l’organisation mène une campagne de marketing touristique qui aidera les Canadiens à découvrir des régions méconnues et des trésors nationaux cachés, et à vivre de nouvelles expériences partout au pays."
3,130,"To help Canada’s tourism sector innovate and grow, Budget 2019 proposes to provide $58.5 million over two years, starting in 2019–20, to the Regional Development Agencies for the creation of a Canadian Experiences Fund. The Fund would support Canadian businesses and organizations seeking to create, improve or expand tourism-related infrastructure—such as accommodations or local attractions—or new tourism products or experiences. These pan-Canadian investments would focus on five categories: tourism in rural and remote communities, Indigenous tourism, winter tourism, inclusiveness, specifically for the LGBTQ2 community, and farm-to-table tourism, which is also known as culinary tourism.","Afin d’aider le secteur du tourisme du Canada à innover et à croître, le budget de 2019 propose de verser aux agences de développement régional 58,5 millions de dollars sur deux ans, à compter de 2019-2020, pour la création d’un fonds pour les expériences canadiennes. Ce fonds soutiendrait les entreprises et les organismes canadiens qui cherchent à créer, à améliorer ou à agrandir des infrastructures liées au tourisme, comme des hôtels ou des attractions locales, ou à créer de nouveaux produits ou de nouvelles expériences touristiques. Ces investissements pancanadiens seraient axés sur les cinq catégories suivantes : le tourisme dans les communautés rurales et éloignées, le tourisme autochtone, le tourisme hivernal, l’inclusion (particulièrement pour la communauté LGBTQ2) et le tourisme de la ferme à la table, aussi connu sous le nom de tourisme culinaire."
3,140,"To help Canada’s tourism sector innovate and grow, Budget 2019 proposes to provide $58.5 million over two years, starting in 2019–20, to the Regional Development Agencies for the creation of a Canadian Experiences Fund. The Fund would support Canadian businesses and organizations seeking to create, improve or expand tourism-related infrastructure—such as accommodations or local attractions—or new tourism products or experiences. These pan-Canadian investments would focus on five categories: tourism in rural and remote communities, Indigenous tourism, winter tourism, inclusiveness, specifically for the LGBTQ2 community, and farm-to-table tourism, which is also known as culinary tourism.","Afin d’aider le secteur du tourisme du Canada à innover et à croître, le budget de 2019 propose de verser aux agences de développement régional 58,5 millions de dollars sur deux ans, à compter de 2019-2020, pour la création d’un fonds pour les expériences canadiennes. Ce fonds soutiendrait les entreprises et les organismes canadiens qui cherchent à créer, à améliorer ou à agrandir des infrastructures liées au tourisme, comme des hôtels ou des attractions locales, ou à créer de nouveaux produits ou de nouvelles expériences touristiques. Ces investissements pancanadiens seraient axés sur les cinq catégories suivantes : le tourisme dans les communautés rurales et éloignées, le tourisme autochtone, le tourisme hivernal, l’inclusion (particulièrement pour la communauté LGBTQ2) et le tourisme de la ferme à la table, aussi connu sous le nom de tourisme culinaire."
