"votestatcode","measure_id","org_id","funding","allocated","withheld","remaining"
"V0566",1,539,500000,411655.00,88345,0.00
"V0634",1,128,400000,339550.00,60450,0.00
"V0611",2,1,19000000,1513908.00,368892,17117200.00
"V0585",2,65,3015000,2398542.00,616458,0.00
"V0592",2,86,3000000,2907572.00,92428,0.00
"V0567",3,12,2091224,2064452.00,26772,0.00
"V0593",3,86,1709192,1680958.00,28234,0.00
"V0735",3,150,3867976,3814386.00,53590,0.00
"V0734",3,141,3097848,3059218.00,38630,0.00
"V0685",3,130,1836536,1801794.00,34742,0.00
"V0601",3,97,5000000,5000000.00,0,0.00
"V0726",3,140,3607224,3564472.00,42752,0.00
"V0568",4,12,24900000,24900000.00,0,0.00
"V0728",4,140,15800000,15800000.00,0,0.00
"V0570",5,26,500000,0.00,0,500000.00
"V0602",5,297,420000,0.00,0,420000.00
"V0608",6,118,2692311,2516136.00,176175,0.00
"V0571",6,26,106290000,83128780.00,10513364,12647856.00
"V0619",6,123,160430000,124117314.28,15622272,20690413.72
"V0596",6,94,2020000,1857823.00,162177,0.00
"V0741",6,240,1168987,0.00,1168987,0.00
"V0737",6,174,56850000,47369599.00,7575401,1905000.00
"V0687",6,132,17180000,17176951.00,0,3049.00
"V0750",6,295,18440000,15118584.00,3321416,0.00
"V0572",7,26,12935000,10814887.00,2120113,0.00
"V0621",7,123,24384000,21920101.00,2463899,0.00
"V0597",7,94,890000,838970.00,51030,0.00
"V0574",8,26,1550000,0.00,0,1550000.00
"V0622",8,123,11250000,0.00,0,11250000.00
"V0578",9,46,9207467,0.00,0,9207467.00
"V0708",9,136,351823946,280630202.00,71193744,0.00
"V0759",9,326,25069086,20665197.00,4403889,0.00
"V0584",10,51,288300000,288300000.00,0,0.00
"V0749",10,295,3300000,2931674.00,368326,0.00
"V0716",10,138,4800000,3764650.00,1035241,109.00
"V0586",11,65,2666519,0.00,0,2666519.00
"V0650",11,127,24597388,19333122.00,2790629,2473637.00
"V0686",11,132,7336600,4658685.00,721434,1956481.00
"V0714",11,138,10079959,9312556.00,767403,0.00
"V0588",12,65,37725000,30046510.00,7678490,0.00
"V0654",12,127,1178000,1017713.00,160287,0.00
"V0747",12,280,800000,800000.00,0,0.00
"V0614",13,122,4370000,4276632.00,93368,0.00
"V0632",13,128,1500000,1500000.00,0,0.00
"V0617",14,122,4748014,4468525.00,279489,0.00
"V0605",14,110,1589032,1395816.00,193216,0.00
"V0647",14,126,716099,611819.00,88181,16099.00
"V0590",15,74,1998000,1962012.00,35988,0.00
"V0739",15,230,1805000,1769712.00,35287,1.00
"V0755",15,306,1447000,1411712.00,35287,1.00
"V0591",16,74,4060000,4060000.00,0,0.00
"V0740",16,230,4350000,4350000.00,0,0.00
"V0756",16,306,6090000,6090000.00,0,0.00
"V0594",17,86,9999990,9575090.00,424900,0.00
"V0733",17,137,18280000,18280000.00,0,0.00
"V0664",17,129,5000000,0.00,0,5000000.00
"V0700",17,134,6225524,6225524.00,0,0.00
"V0595",18,93,2545092,0.00,0,2545092.00
"V0603",18,110,9095310,2227103.00,228531,6639676.00
"V0679",18,130,964000,0.00,0,964000.00
"V0699",18,134,808900,0.00,0,808900.00
"V0702",18,135,1773000,0.00,0,1773000.00
"V0718",18,138,2147890,0.00,0,2147890.00
"V0604",19,110,2455634,0.00,0,2455634.00
"V0598",19,94,3236746,1473876.00,176921,1585949.00
"V0646",19,126,1252387,809127.00,255168,188092.00
"V0680",19,130,1043354,759726.00,283628,0.00
"V0691",19,133,2067264,1756495.00,310769,0.00
"V0703",19,135,1993464,1663398.00,330066,0.00
"V0751",19,295,992280,803460.00,188820,0.00
"V0606",20,110,4700000,3926192.00,764610,9198.00
"V0600",20,94,8300000,7139756.00,1152785,7459.00
"V0648",20,126,250000000,247978513.00,2021487,0.00
"V0692",20,133,199400000,0.00,0,199400000.00
"V0642",21,124,819555,654825.00,164730,0.00
"V0736",21,152,3603952,3138632.00,465318,2.00
"V0706",21,135,3282450,2273414.00,218974,790062.00
"V0752",21,295,4100000,0.00,0,4100000.00
"V0682",22,130,3048333,0.00,0,3048333.00
"V0689",22,132,500000,500000.00,0,0.00
"V0638",23,128,3000000,3000000.00,0,0.00
"V0673",23,348,78546789,74002729.00,119766,4424294.00
"V0730",24,137,2535478,2067596.00,467882,0.00
"V0643",24,125,11336025,9765453.00,1570572,0.00
"V0715",24,138,1128497,827889.00,300496,112.00
