"votestatcode","measure_id","org_id","subject_id","program_allocation"
"V0587",40,65,"CFIA-BUH11",4100742
"V0587",40,65,"CFIA-BUH12",5409490
"V0587",40,65,"CFIA-ISS00",853841
"V0623",83,123,"CI-BGE06",125120000
"V0677",94,130,"ISC-BNN01",29751010
"V0695",27,134,"NR-BTM08",9781145
"V0695",27,134,"NR-ISS00",122420
"V0707",112,136,"GSC-BVV01",2299275
"V0708",9,136,"GSC-BVV02",73900000
"V0717",27,138,"TC-BTX01",70591714
"V0717",27,138,"TC-ISS00",121788
"V0719",121,138,"TC-BTW13",635357
"V0719",121,138,"TC-BTW14",6731174
"V0719",121,138,"TC-BTW15",10216604
"V0719",121,138,"TC-BTW16",956626
"V0719",121,138,"TC-BTW17",2842083
"V0719",121,138,"TC-BTW18",2071271
"V0719",121,138,"TC-BTW20",6458438
"V0719",121,138,"TC-BTW21",11658150
"V0719",121,138,"TC-BTW22",3638574
"V0719",121,138,"TC-BTX04",1230686
"V0719",121,138,"TC-BTY03",11264029
"V0719",121,138,"TC-ISS00",4325758
"V0760",122,326,"TBC-BXC04",11000000

