measure_id,org_id,2018-19
1,305,5
1,313,48
2,280,4
3,246,2
4,114,1
4,118,3
4,130,6
4,240,1
4,312,2
5,199,4
6,278,1
7,12,2
7,126,2
7,130,1
7,140,7
7,141,4
7,150,7
8,26,1
8,126,4
9,137,16
10,241,1
11,126,160
12,295,2
13,132,13
14,26,9
14,127,154
14,135,1
14,280,3
14,313,1
16,139,21
17,42,447
18,74,10
18,230,10
18,306,6
19,128,2
20,124,1
21,126,2
22,127,18
23,139,5
25,122,10
26,348,102
27,230,20
28,46,5
30,46,31
31,348,43
32,135,1
33,128,43
34,110,2
34,305,278
34,326,10
35,non_allocated,-100
36,246,1
37,132,2
37,256,3
38,46,7
39,128,6
40,126,36
40,134,2
41,110,43
41,126,3
41,128,3
41,130,5
41,134,2
41,135,5
41,295,38
41,312,2
42,348,295
43,138,3
44,128,4
44,246,5
44,313,1
45,123,1
47,124,2
48,129,2
49,117,3
51,123,11
52,74,44
52,230,44
52,306,27
53,130,64
54,129,20
55,326,1
56,313,1
56,non_allocated,3
57,128,5
59,130,5
60,46,33
61,246,1
62,348,78
63,130,2
63,230,3
64,280,1
64,348,408
65,128,66
66,122,10
67,228,100
68,130,2
70,122,15
71,130,32
72,135,1
73,26,50
73,94,2
73,123,17
73,174,39
73,295,10
74,125,28
75,138,11
76,136,4
77,128,131
78,326,4
79,99,3
80,138,3
81,122,10
82,135,3
83,228,108
84,129,71
85,129,189
86,306,35
87,128,1
88,129,13
89,313,1
89,326,2
91,128,6
92,128,30
95,51,241
96,125,21
96,137,53
96,263,24
97,12,-2
97,134,11
98,125,7
98,137,2
98,138,26
99,123,42
99,128,3
100,194,91
101,123,10
102,132,8
103,136,275
104,326,5
105,126,15
106,295,-2
107,239,-1
108,12,8
108,130,4
108,140,30
108,141,15
108,150,23
109,150,25
110,86,20
111,127,7
111,135,2
111,280,1
111,295,1
112,305,6
112,313,7
113,125,150
114,136,16
115,348,3
116,117,2
117,348,75
118,306,29
119,219,13
120,140,6
121,26,9
121,135,2
121,138,3
122,65,6
123,326,554
124,136,52
125,46,4
125,136,307
125,326,15
125,non_allocated,25
126,138,9
127,65,16
128,138,1
129,306,4
130,138,4
131,122,15
131,280,2
132,26,85
133,132,2
133,240,3
134,280,5
135,348,25
136,117,75
136,247,1
137,280,75
138,122,32
138,123,5
138,127,3
138,128,4
138,280,1
138,313,1
139,118,6
139,288,2
140,246,10
141,128,4
142,263,1
143,122,10
144,348,10
145,280,5
146,295,105
147,122,3
148,81,4
149,129,15
150,129,5
151,130,10
152,129,22
153,74,3
153,135,2
153,295,3
154,125,11
155,135,1
155,246,6
155,280,6
155,295,2
156,238,8
158,248,1
