measure_id,org_id,budget_2018_funding,budget_2018_allocated,budget_2018_withheld,budget_2018_remaining,ActivityCode1,ProgramAmount1,ActivityCode2,ProgramAmount2,ActivityCode3,ProgramAmount3,ActivityCode4,ProgramAmount4,ActivityCode5,ProgramAmount5,ActivityCode6,ProgramAmount6,ActivityCode7,ProgramAmount7,ActivityCode8,ProgramAmount8,ActivityCode9,ProgramAmount9,ActivityCode10,ProgramAmount10,ActivityCode11,ProgramAmount11,ActivityCode12,ProgramAmount12,ActivityCode13,ProgramAmount13,ActivityCode14,ProgramAmount14,ActivityCode15,ProgramAmount15,ActivityCode16,ProgramAmount16,ActivityCode17,ProgramAmount17,ActivityCode18,ProgramAmount18,ActivityCode19,ProgramAmount19,ActivityCode20,ProgramAmount20,ActivityCode21,ProgramAmount21,ActivityCode22,ProgramAmount22,ActivityCode23,ProgramAmount23,ActivityCode24,ProgramAmount24,ActivityCode25,ProgramAmount25,ActivityCode26,ProgramAmount26,ActivityCode27,ProgramAmount27
1,305,4532000,4221134,310866,0,BWG01,477459,BWD06,1102576,BWD08,1653026,BWE02,378753,BWD04,91243,ISS00,31132,BWF04,12244,BWG02,116254,BWE01,358447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,313,47508000,36363664,6025524,5118812,BNV03,36363664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,280,4000000,0,0,4000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,246,1934000,1768379,165620,1,BWH01,1722022,ISS00,46357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,114,600000,0,0,600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,118,2784000,0,0,2784000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,130,6200000,0,0,6200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,240,1316000,0,0,1316000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,312,2000000,0,0,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,199,3641000,0,0,3641000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
