measure_id,org_id,Budget_2018_Funding,Budget_2018_Allocated,Budget_2018_Withheld,Budget_2018_Remaining
40,539,38,0,0,38
108,12,7858,0,0,7858
7,12,1659,0,0,1659
97,12,-1800,0,0,-1800
132,26,85491,0,0,85491
73,26,49630,0,0,49630
14,26,9109,0,0,9109
121,26,8600,0,0,8600
8,26,769,0,0,769
17,42,447169,0,0,447169
60,46,33358,0,0,33358
30,46,30788,0,0,30788
38,46,7000,0,0,7000
28,46,4885,0,0,4885
125,46,3800,0,0,3800
58,46,200,0,0,200
95,51,240612,0,0,240612
127,65,15700,12754,2946,0
122,65,5880,4984,896,0
52,74,44103,0,0,44103
18,74,9750,0,0,9750
153,74,3000,0,0,3000
148,81,4000,0,0,4000
110,86,20000,0,0,20000
108,86,445,0,0,445
7,86,126,0,0,126
73,94,2380,0,0,2380
72,94,323,0,0,323
79,99,2522,0,0,2522
41,110,42981,0,0,42981
34,110,1947,0,0,1947
4,114,600,0,0,600
136,117,74700,0,0,74700
49,117,2591,0,0,2591
116,117,2359,0,0,2359
139,118,5500,0,0,5500
4,118,2784,0,0,2784
138,122,32460,0,0,32460
70,122,15200,0,0,15200
131,122,14500,0,0,14500
25,122,10000,0,0,10000
81,122,10000,0,0,10000
143,122,10000,0,0,10000
66,122,9500,0,0,9500
147,122,3325,0,0,3325
99,123,42440,0,0,42440
73,123,17210,0,0,17210
51,123,10630,0,0,10630
101,123,9670,0,0,9670
138,123,5170,0,0,5170
45,123,840,0,0,840
77,128,130787,0,0,130787
65,128,66380,0,0,66380
33,128,42500,0,0,42500
92,128,30000,0,0,30000
39,128,6000,0,0,6000
91,128,6000,0,0,6000
57,128,5025,0,0,5025
138,128,4360,0,0,4360
141,128,3800,0,0,3800
44,128,3700,0,0,3700
99,128,2970,0,0,2970
41,128,2700,0,0,2700
19,128,2100,0,0,2100
87,128,1300,0,0,1300
47,124,1520,0,0,1520
20,124,700,577,123,0
44,124,300,0,0,300
113,125,150000,0,0,150000
74,125,27691,0,0,27691
96,125,21043,0,0,21043
154,125,10813,9523,1290,0
98,125,7067,0,0,7067
11,126,160458,0,0,160458
40,126,35800,29502,2323,3975
105,126,14996,0,0,14996
8,126,3919,0,0,3919
41,126,3299,0,0,3299
7,126,2000,0,0,2000
21,126,2000,0,0,2000
112,126,40,0,0,40
14,127,154000,0,0,154000
22,127,17905,0,0,17905
111,127,6880,0,0,6880
138,127,2940,0,0,2940
85,129,189200,0,0,189200
84,129,71348,0,0,71348
152,129,21900,0,0,21900
54,129,20300,0,0,20300
149,129,15026,0,0,15026
88,129,12900,0,0,12900
150,129,5000,0,0,5000
48,129,1500,0,0,1500
64,348,408460,88596,3210,316654
42,348,294800,0,0,294800
26,348,102134,0,0,102134
62,348,77732,0,0,77732
117,348,75000,0,0,75000
31,348,43200,0,0,43200
135,348,25000,0,0,25000
144,348,10000,0,0,10000
115,348,2763,2645,117,1
53,130,63940,0,0,63940
71,130,32000,0,0,32000
151,130,10000,0,0,10000
4,130,6200,0,0,6200
59,130,5400,5286,114,0
41,130,4600,0,0,4600
108,130,4375,0,0,4375
63,130,1500,0,0,1500
68,130,1500,0,0,1500
7,130,1218,0,0,1218
15,130,250,0,0,250
13,132,12800,0,0,12800
102,132,8046,0,0,8046
133,132,2300,0,0,2300
37,132,2000,0,0,2000
155,133,400,0,0,400
97,134,11000,0,0,11000
40,134,2460,2010,446,4
41,134,2200,0,0,2200
96,134,390,0,0,390
41,135,5471,0,0,5471
82,135,2956,0,0,2956
121,135,2300,0,0,2300
111,135,2090,0,0,2090
153,135,2000,0,0,2000
32,135,1370,0,0,1370
14,135,1300,0,0,1300
72,135,923,0,0,923
155,135,900,0,0,900
125,136,306808,0,0,306808
103,136,275000,0,0,275000
124,136,51637,0,0,51637
114,136,16100,0,0,16100
76,136,3692,0,0,3692
96,137,52870,0,0,52870
9,137,16333,6536,1351,8446
98,137,2187,0,0,2187
98,138,25615,0,0,25615
75,138,11289,0,0,11289
126,138,8900,0,0,8900
130,138,3900,0,0,3900
43,138,3300,2508,762,30
80,138,3000,0,0,3000
121,138,2600,0,0,2600
128,138,1042,801,241,0
16,139,21300,0,0,21300
23,139,4746,0,0,4746
108,140,29840,0,0,29840
7,140,7035,0,0,7035
120,140,5900,0,0,5900
108,141,15423,0,0,15423
7,141,4389,0,0,4389
109,150,25000,0,0,25000
108,150,23209,0,0,23209
7,150,6573,0,0,6573
73,174,39230,0,0,39230
5,199,3641,0,0,3641
119,219,13241,0,0,13241
83,228,108000,52379,7221,48400
67,228,100000,0,0,100000
52,230,44103,0,0,44103
27,230,20000,0,0,20000
18,230,9750,0,0,9750
63,230,3000,0,0,3000
156,238,8253,0,0,8253
107,239,-570,0,0,-570
133,240,3000,3000,0,0
4,240,1316,0,0,1316
10,241,1400,0,0,1400
140,246,10000,0,0,10000
155,246,5500,0,0,5500
44,246,5000,0,0,5000
3,246,1934,0,0,1934
36,246,855,0,0,855
61,246,500,0,0,500
136,247,680,0,0,680
158,248,990,0,0,990
37,256,2880,0,0,2880
96,263,23594,0,0,23594
142,263,1250,0,0,1250
6,278,745,0,0,745
137,280,75000,0,0,75000
155,280,5625,0,0,5625
145,280,5000,0,0,5000
134,280,4632,0,0,4632
2,280,4000,0,0,4000
14,280,3100,0,0,3100
131,280,2000,0,0,2000
138,280,1260,0,0,1260
64,280,1200,0,0,1200
111,280,720,0,0,720
139,288,2059,0,0,2059
146,295,105474,0,0,105474
41,295,38225,0,0,38225
73,295,9510,0,0,9510
153,295,2800,0,0,2800
12,295,2000,0,0,2000
155,295,1500,0,0,1500
111,295,1470,0,0,1470
106,295,-1884,0,0,-1884
34,305,278107,0,0,278107
