measure_id,measure_en,measure_fr,chapter_key,id_en,id_fr,description_en,description_fr
1,2021 Census of Population and Census of Agriculture,Recensement de la population et Recensement de l’agriculture de 2021,adv,Renewing-and-Modernizing-Statistics-Canada,Renouveler-et-moderniser-Statistique-Canada,"Statistics Canada has a mandate to conduct the Census of Population and Census of Agriculture every five years, both of which produce objective, high-quality statistical information that is vital to all levels of government, the private sector, academia and not-for-profit entities. Statistics Canada will conduct the next census in 2021, building on the successes of the 2016 Census of Population, which had the highest response in history to the long form component and set a world record for Internet response. The Government proposes to provide $767.3 million over 10 years, starting in 2018–19, to Statistics Canada to conduct the 2021 Census of Population. The Government also proposes to provide $49.4 million over six years, starting in 2018–19, to Statistics Canada to conduct the 2021 Census of Agriculture.  ","Statistique Canada a le mandat de mener le Recensement de la population et le Recensement de l’agriculture tous les cinq ans, lesquels produisent des renseignements statistiques objectifs de qualité qui sont essentiels pour tous les ordres de gouvernement, le secteur privé, le milieu académique et les entités à but non lucratif. Statistique Canada tiendra le prochain recensement en 2021, en faisant fond sur la réussite du Recensement de la population de 2016, pour lequel le questionnaire complet a connu le plus haut taux de réponse jamais obtenu et établi un record du monde pour la réponse via Internet. Le gouvernement propose d’octroyer 767,3 millions de dollars sur 10 ans à Statistique Canada à compter de 2018-2019, pour réaliser le Recensement de la population de 2021. Il accordera 49,4 millions de dollars sur six ans à Statistique Canada à compter de 2018-2019, pour réaliser le Recensement de l’agriculture de 2021. "
2,A Community-Based Approach to Dementia,Une approche communautaire à l’égard de la démence,adv,,,,
3,A National Conversation on Gender Equality With Young Canadians,Conversation nationale avec les jeunes Canadiens sur l’égalité des sexes,grw,,,,
4,A New Intellectual Property Strategy,Une nouvelle stratégie en matière de propriété intellectuelle,prg,A-New-Intellectual-Property-Strategy,Une-nouvelle-strategie-en-matiere-de-propriete-intellectuelle,"For Canadian businesses to grow and create good, well-paying jobs, they need the ability to turn their new ideas into new goods and services that can compete in the marketplace. To give businesses the confidence they need to grow and take risks, a well-defined strategy that manages and protects intellectual property is needed.

Budget 2018 proposes measures in support of a new Intellectual Property Strategy to help Canadian entrepreneurs better understand and protect intellectual property, and get better access to shared intellectual property.
","Pour assurer leur croissance et la création de bons emplois bien rémunérés, les entreprises canadiennes doivent pouvoir transformer les nouvelles idées en nouveaux biens et services qui pourront faire concurrence. Afin de donner aux entreprises la confiance dont elles ont besoin pour croître et prendre des risques, il nous faut une stratégie bien définie qui permet de gérer et de protéger la propriété intellectuelle.

Le budget de 2018 propose des mesures visant à soutenir une nouvelle stratégie en matière de propriété intellectuelle pour aider les entrepreneurs canadiens à mieux comprendre et protéger la propriété intellectuelle et à profiter d’un meilleur accès à la propriété intellectuelle partagée.

Le budget de 2018 propose un financement de 85,3 millions de dollars sur cinq ans, à compter de 2018-2019, et de 10 millions par année par la suite, pour appuyer cette stratégie. Le ministre de l’Innovation, des Sciences et du Développement économique fournira plus d’informations au sujet de la stratégie dans les mois qui viennent, y compris sur les initiatives suivantes visant à accroître la littératie des entrepreneurs canadiens en matière de propriété intellectuelle et à réduire les coûts, ainsi qu’à créer des mesures incitatives pour amener les entreprises canadiennes à profiter de leur propriété intellectuelle :
•Pour mieux habiliter les entreprises à accéder à la propriété intellectuelle et à la partager, le gouvernement propose de fournir un financement de 30 millions de dollars en 2019-2020 en vue de mettre en œuvre un projet pilote de collectif de brevets. Ce collectif travaillera avec les entrepreneurs canadiens pour la mise en commun des brevets pour que les petites et moyennes entreprises aient un meilleur accès à la propriété intellectuelle nécessaire pour prospérer.
•Afin d’appuyer le développement de l’expertise en propriété intellectuelle et les avis juridiques dans la communauté d’innovation canadienne, le gouvernement propose de fournir à Innovation, Sciences et Développement économique Canada un financement de 21,5 millions de dollars sur cinq ans, à compter de 2018-2019, pour améliorer l’accès des entrepreneurs canadiens aux cliniques juridiques dans les universités. Ce financement permettra aussi la création d’une équipe au sein du gouvernement fédéral dont le mandat sera de collaborer avec des entrepreneurs canadiens pour les aider à élaborer des stratégies personnalisées d’utilisation de leur propriété intellectuelle et d’expansion dans les marchés internationaux.
•Afin de soutenir les outils stratégiques de propriété intellectuelle qui stimulent la croissance économique, le budget de 2018 propose aussi de fournir à Innovation, Sciences et Développement économique Canada un financement de 33,8 millions de dollars sur cinq ans, à compter de 2018-2019, incluant 4,5 millions de dollars pour la création d’un marché de la propriété intellectuelle. Ce marché constituerait un guichet unique donnant un accès en ligne aux titres de propriété intellectuelle appartenant au secteur public pouvant être offerts sous licence ou vendus en vue de réduire les frais liés aux opérations pour les entreprises et les chercheurs et d’améliorer l’accès à la propriété intellectuelle appartenant au secteur public.

Le gouvernement étudiera également la prise éventuelle de mesures additionnelles, notamment par voie législative, pour appuyer la nouvelle stratégie en matière de propriété intellectuelle.
"
5,A New Partnership between Library and Archives Canada and the Ottawa Public Library,Un nouveau partenariat entre Bibliothèque et Archives Canada et la Bibliothèque publique d’Ottawa,adv,,,,
6,A New Process for Federal Election Leaders’ Debates,Un nouveau processus pour les débats des chefs lors des élections fédérales,adv,,,,
7,A New Women Entrepreneurship Strategy,Une nouvelle stratégie pour les femmes en entrepreneuriat,prg,A-New-Women-Entrepreneurship-Strategy,Simplifier-la-serie-des-programmes-en-innovation,"In Canada, fewer than one in six businesses (16 per cent) are majority-owned by women, and businesses owned by women tend to be smaller than businesses owned by men, although the difference varies by industry, according to the Business Development Bank of Canada (BDC) based on 2014 data from Statistics Canada.

Women entrepreneurs face unique barriers in accessing capital, supply chains and export programs compared to their male counterparts. Women entrepreneurs may also have a harder time receiving training and finding mentorship.

The Government believes that with greater support, women-led businesses could enter, compete and win on the world stage, boosting economic growth and creating more good, well-paying jobs here at home.

This is why helping women entrepreneurs scale up their businesses is a key part of the Government’s Innovation and Skills Plan. Drawing on recommendations made by the Canada-United States Council for Advancement of Women Entrepreneurs and Business Leaders, the new Women Entrepreneurship Strategy will take a comprehensive approach, addressing critical growth stages and other challenges to better support women entrepreneurs, to help them grow their businesses and to remove barriers to their success.
","Au Canada, moins d’une entreprise sur six (16 %) est détenue majoritairement par des femmes et les entreprises appartenant à des femmes sont souvent plus petites que celles appartenant à des hommes, quoique l’écart varie selon les industries (d’après la Banque de développement du Canada, à la lumière des données de 2014 de Statistique Canada).

Les femmes entrepreneures sont aux prises avec des obstacles uniques comparativement à leurs homologues masculins, liés à l’accès au capital, aux chaînes d’approvisionnement et aux programmes d’exportation. Les femmes entrepreneures peuvent également avoir plus de difficultés à recevoir de la formation et à trouver du mentorat.

Le gouvernement croit qu’avec un plus grand appui, les entreprises dirigées par des femmes pourraient faire leur place sur l’échiquier mondial, se mesurer à la concurrence et réussir, autant de facteurs favorables à la croissance économique et à la création d’emplois bien rémunérés, ici même au pays. 

C’est pourquoi aider les femmes entrepreneures à faire prospérer leurs entreprises est un élément clé du Plan pour l’innovation et les compétences du gouvernement. Puisant dans les recommandations formulées par le Conseil canado-américain pour l’avancement des femmes entrepreneures et chefs d’entreprise, la nouvelle stratégie pour les femmes en entrepreneuriat adoptera une approche globale en abordant les stades de croissance critiques et en relevant les autres défis afin de mieux appuyer les femmes entrepreneures et de les aider à faire croître leur entreprise et à éliminer les obstacles à leur succès. 
"
8,A Strong Sanctions Regime,Un régime de sanctions solide,adv,A-Strong-Sanctions-Regime,Un-regime-de-sanctions-solide,"Sanctions are an important foreign policy tool for Canada: they serve as a way to respond to rapidly developing international crises, violations of international peace and security, and, with the new Justice for Victims of Corrupt Foreign Officials Act (Sergei Magnitsky Law), to gross violations of human rights or acts of significant corruption. The Government proposes to provide $22.2 million over five years, starting in 2018–19, with $4.3 million per year thereafter, to Global Affairs Canada and the Canada Border Services Agency to strengthen Canada’s sanctions system, including funds for the development of sanctions policy, coordination with international partners, and providing guidance to Canadians on sanctions obligations. ","Les sanctions constituent un outil stratégique important à l’étranger pour le Canada : elles servent à répondre aux crises internationales en évolution rapide, aux violations de la paix et de la sécurité internationales et, avec la nouvelle Loi sur la justice pour les victimes de dirigeants étrangers corrompus (la loi Sergueï Magnitski), aux violations graves des droits de la personne ou aux actes de grande corruption. Le gouvernement propose d’accorder 22,2 millions de dollars sur cinq ans à compter de 2018-2019, et 4,3 millions de dollars par année par la suite, à Affaires mondiales Canada et à l’Agence des services frontaliers du Canada afin de renforcer le régime de sanctions du Canada, ce qui comprend des fonds pour élaborer une politique en matière de sanctions, assurer la coordination avec des partenaires internationaux et prodiguer des conseils aux Canadiens sur les obligations liées aux sanctions."
9,Adapting Canada's Weather and Water Services to Climate Change,Adapter les services météorologiques et les services liés à l’eau du Canada aux changements climatiques,adv,Adapting-Canadas-Weather-and-Water-Services-to-Climate-Change,Adapter-les-services-meteorologiques-et-les-services-relatifs-a-leau-du-Canada-aux-changements-climatiques,"Climate change is already having an impact on Canadians. Extreme weather events, such as flooding and wildfires, can have a devastating impact on our people, our communities and our economy.  The Government maintains Canada-wide networks to collect data and monitor changes in weather, climate, water, ice and air. These networks enable the weather, water and environmental predictions that help keep people safe. The Government is proposing through Budget 2018 the following activities and investments to improve weather and water services, through Environment and Climate Change Canada:  Complete the modernization of Canada’s weather forecast and severe weather warning systems, and maintain direct support to the emergency management organizations that prepare for and respond to severe weather ($40.6 million over five years, starting in 2018–19, with $0.2 million in remaining amortization).  Revitalize water stations, improve services for long-range water forecasts, test and implement new technologies and expand technical and engineering capacity ($69.5 million over five years, starting in 2018–19, with $7.3 million in remaining amortization).  Support the operation of water stations that are cost-shared with provinces and territories ($9.8 million over five years, starting in 2018–19, with remaining amortization of $3.1 million).
","Les changements climatiques touchent déjà les Canadiens. Les phénomènes météorologiques extrêmes comme les inondations et les feux de forêt peuvent avoir un effet dévastateur sur nos gens, nos collectivités et notre économie. 
Le gouvernement maintient des réseaux à l’échelle du Canada pour recueillir des données et surveiller les changements de la météo, du climat, de l’eau, de la glace et de l’air. Ces réseaux rendent possible l’établissement des prévisions météorologiques et des prévisions relatives à l’eau et à l’environnement qui sont utilisées pour veiller à la sécurité des personnes. Dans le budget de 2018, le gouvernement propose les activités et les investissements qui suivent afin d’améliorer les services météorologiques et relatifs à l’eau, par l’entremise d’Environnement et Changement climatique Canada:
mener à bien la modernisation des systèmes utilisés au Canada pour établir les prévisions météorologiques et émettre les avertissements relatifs aux phénomènes météorologiques violents et maintenir un soutien direct aux organisations de gestion des urgences qui s’occupent des préparatifs et des interventions liés à ces phénomènes (40,6 millions de dollars sur cinq ans à compter de 2018-2019, avec 0,2 million en amortissement résiduel);  revitaliser les stations hydrométriques, améliorer les services de prévisions à long terme relatives à l’eau, faire l’essai et la mise en œuvre des nouvelles technologies et augmenter la capacité en matière de services techniques et d’ingénierie (69,5 millions de dollars sur cinq ans, à compter de 2018-2019, et 7,3 millions en amortissement résiduel); soutenir le fonctionnement des stations hydrométriques pour lesquels les coûts sont partagés avec les provinces et les territoires (9,8 millions de dollars sur cinq ans à compter de 2018-2019, et 3,1 millions en amortissement résiduel). 
"
10,Additional Funding for the Office of the Commissioner of Lobbying,Financement supplémentaire pour le Commissariat au lobbying du Canada,oth,,,,
