measure_id,parent_measure_id,measure_en,chapter_key,id_en,description_en
1,,2021 Census of Population and Census of Agriculture,adv,Renewing-and-Modernizing-Statistics-Canada,"Statistics Canada has a mandate to conduct the Census of Population and Census of  Agriculture every five years, both of which produce objective, high-quality statistical information that is vital to all levels of government, the private sector, academia and not-for-profit entities. Statistics Canada will conduct the next census in 2021, building on the successes of the 2016 Census of Population, which had the highest response in history to the long form component and set a world record for Internet response. The Government proposes to provide $767.3 million over 10 years, starting in 2018–19, to Statistics Canada to conduct the 2021 Census of Population. The Government also proposes to provide $49.4 million over six years, starting in 2018–19, to Statistics Canada to conduct the 2021 Census of Agriculture.   "
2,,A Community-Based Approach to Dementia,adv,A-Community-Based-Approach-to-Dementia,"More than 400,000 Canadian seniors live with dementia, including Alzheimer’s disease. Women are disproportionately affected, making up two-thirds of this population. Many women also take on the caregiving responsibilities for family members living with dementia. Budget 2018 proposes to provide $20 million over five years, starting in 2018–19, and $4 million per year ongoing, to the Public Health Agency of Canada to support community-based projects that address the challenges of dementia. Projects could include programs that provide mental health supports and information about self-care for family caregivers, or initiatives that help Canadians locate resources in their communities quickly, including information about best practices for providing care for people living with dementia. This new funding will help to improve the quality of life of people living with dementia and ensure that caregivers—who are predominantly women—have access to the resources they need, including mental health supports. "
3,,A National Conversation on Gender Equality With Young Canadians,grw,A-National-Conversation-on-Gender-Equality-With-Young-Canadians,"Gender-based Analysis Plus (GBA+) is a tool used to assess how diverse groups of women, men and gender-diverse people may experience policies, programs and initiatives. The “plus” in the gender-based analysis is an acknowledgment that we need to go beyond sex and gender differences as we have multiple identity factors that intersect and inform who we are, including race, ethnicity, sexuality, religion, age and mental or physical ability. Facilitating a national dialogue on the importance of integrating GBA+ in the development of public policies, programs and initiatives is expected to strengthen analytical capacity across the country and provide a means of sharing results and best practices. To this end, the Government proposes to provide Status of Women Canada with $1.3  million in 2018–19 to host a national roundtable on GBA+. The Government also proposes to provide Status of Women Canada with additional funding of up to $7.2 million over five years to lead a national conversation on gender equality with young Canadians.   "
4,,A New Intellectual Property Strategy,prg,A-New-Intellectual-Property-Strategy,"For Canadian businesses to grow and create good, well-paying jobs, they need the ability to turn their new ideas into new goods and services that can compete in the marketplace. To give businesses the confidence they need to grow and take risks, a well-defined strategy that manages and protects intellectual property is needed.

Budget 2018 proposes measures in support of a new Intellectual Property Strategy to help Canadian entrepreneurs better understand and protect intellectual property, and get better access to shared intellectual property.
"
5,,A New Partnership between Library and Archives Canada and the Ottawa Public Library,adv,A-New-Partnership-Between-Library-and-Archives-Canada-and-the-Ottawa-Public-Library,"The Government also proposes to provide $73.3 million over six years, on a cash basis, starting in 2018–19, with $4.0 million per year ongoing, to support the construction and ongoing operations of a new joint facility that will house Library and Archives Canada and the Ottawa Public Library. This represents the Government’s share of the project, with the balance expected to be provided by the City of Ottawa. This new building will be an iconic community hub, a single door to the national library and archives, and a world-class public library in Canada's capital city which will increase citizen participation in the community and improve access to Canada's history, culture and collective knowledge. It is expected that the new building will be completed by 2023."
6,,A New Process for Federal Election Leaders’ Debates,adv,A-New-Process-for-Federal-Election-Leaders-Debates,"Leaders’ debates play an essential role in Canada’s federal elections by engaging Canadians in the election campaigns and helping to inform their voting decisions. Over the past 50 years, the way leaders’ debates have been negotiated have put at risk the structure and potential usefulness of leaders’ debates. 

The Government proposes to provide $6 million over two years, to be repeated every pre-election and election year, to support a new process that would ensure that federal leaders’ debates are organized in the public interest and improve Canadians’ knowledge of the parties, their leaders and their policy positions. In the coming months, the Minister of Democratic Institutions will bring forward  potential approaches to leaders’ debates. The Government may introduce legislation to implement the approach taken to establish the new process for leaders’ debates.
"
7,,A New Women Entrepreneurship Strategy,prg,A-New-Women-Entrepreneurship-Strategy,"In Canada, fewer than one in six businesses (16 per cent) are majority-owned by women, and businesses owned by women tend to be smaller than businesses owned by men, although the difference varies by industry, according to the Business Development Bank of Canada (BDC) based on 2014 data from Statistics Canada.

Women entrepreneurs face unique barriers in accessing capital, supply chains and export programs compared to their male counterparts. Women entrepreneurs may also have a harder time receiving training and finding mentorship.

The Government believes that with greater support, women-led businesses could enter, compete and win on the world stage, boosting economic growth and creating more good, well-paying jobs here at home.

This is why helping women entrepreneurs scale up their businesses is a key part of the Government’s Innovation and Skills Plan. Drawing on recommendations made by the Canada-United States Council for Advancement of Women Entrepreneurs and Business Leaders, the new Women Entrepreneurship Strategy will take a comprehensive approach, addressing critical growth stages and other challenges to better support women entrepreneurs, to help them grow their businesses and to remove barriers to their success.
"
8,,A Strong Sanctions Regime,adv,A-Strong-Sanctions-Regime,"Sanctions are an important foreign policy tool for Canada: they serve as a way to respond to rapidly developing international crises, violations of international peace and security, and, with the new Justice for Victims of Corrupt Foreign Officials Act (Sergei Magnitsky Law), to gross violations of human rights or acts of significant corruption. The Government proposes to provide $22.2 million over five years, starting in 2018–19, with $4.3 million per year thereafter, to Global Affairs Canada and the Canada Border Services Agency to strengthen Canada’s sanctions system, including funds for the development of sanctions policy, coordination with international partners, and providing guidance to Canadians on sanctions obligations. "
9,,Adapting Canada's Weather and Water Services to Climate Change,adv,Adapting-Canadas-Weather-and-Water-Services-to-Climate-Change,"Climate change is already having an impact on Canadians. Extreme weather events, such as flooding and wildfires, can have a devastating impact on our people, our communities and our economy.  The Government maintains Canada-wide networks to collect data and monitor changes in weather, climate, water, ice and air. These networks enable the weather, water and environmental predictions that help keep people safe. The Government is proposing through Budget 2018 the following activities and investments to improve weather and water services, through Environment and Climate Change Canada:  Complete the modernization of Canada’s weather forecast and severe weather warning systems, and maintain direct support to the emergency management organizations that prepare for and respond to severe weather ($40.6 million over five years, starting in 2018–19, with $0.2 million in remaining amortization).  Revitalize water stations, improve services for long-range water forecasts, test and implement new technologies and expand technical and engineering capacity ($69.5 million over five years, starting in 2018–19, with $7.3 million in remaining amortization).  Support the operation of water stations that are cost-shared with provinces and territories ($9.8 million over five years, starting in 2018–19, with remaining amortization of $3.1 million).
"
10,,Additional Funding for the Office of the Commissioner of Lobbying,oth,23-Other-Budget-2018-Measures-(Not-Included-in-Previous-Chapters),Funding proposed for the Office of the Commissioner of Lobbying to relocate the offices and staff of the Commissioner upon the expiry of its current lease in 2019.
