"dimension","pa_last_year_5","pa_last_year_4","pa_last_year_3","pa_last_year_2","pa_last_year"
"nl",529063,528544,526395,524126,522994
"pe",145784,148860,152039,155833,159249
"ns",940382,947384,954618,965287,977043
"nb",762289,764813,768522,773805,781024
"qc",8204085,8272894,8367551,8465271,8572054
"on",13816545,14006386,14235643,14467162,14723497
"sk",1307689,1328412,1347055,1364223,1378818
"ab",1131147,1146218,1158451,1169286,1179618
"mb",4181765,4227969,4281706,4343951,4417006
"bc",4832155,4905210,4983183,5063527,5142404
"yt",38042,39202,40200,41040,41980
"nt",44590,44813,45320,45118,45201
"nu",36767,37335,37807,38526,38966

