"fiscal_year","is_above_line","org_id","est_doc","covid_measure_id","vote","stat"
2020,0,55,"SEB","OTHER",1312992,287008
2020,0,46,"SEC","OTHER",1095429,38712174
2020,0,110,"SEB","OTHER",5526932,404148
2020,0,148,"SEC","OTHER",6876000,
2020,0,128,"SEB","OTHER",446688,77188
2020,0,348,"SEC","OTHER",58000000,
2020,0,130,"SEC","OTHER",1500000,
2020,0,238,"SEC","OTHER",12000000,2211300
2020,0,237,"SEB","OTHER",4910000,
2020,0,280,"SEB","OTHER",31419812,
2020,0,305,"SEB","OTHER",90954090,
2020,0,305,"SEC","OTHER",27858000,
2020,0,138,"SEB","OTHER",195440,32145
2020,1,12,"SEA","COV043",69880812,40103820
2020,1,12,"SEB","COV043",60132884,67116
2020,1,12,"SEB","COV050",1148000,
2020,1,12,"SEB","COV065",17037135,21102865
2020,1,12,"SEC","COV043",,30800000
2020,1,12,"SEC","COV065",4560000,
2020,1,12,"SEC","COV134",10000000,
2020,1,12,"SEC","COV145",260623,5863
2020,1,1,"SEA","COV038",,75000000
2020,1,1,"SEA","COV057",,50000000
2020,1,1,"SEA","COV064",15000000,112500000
2020,1,1,"SEB","COV024",4200000,5000000
2020,1,1,"SEB","COV038",50000000,50000000
2020,1,1,"SEB","COV096",30004252,5000000
2020,1,1,"SEC","COV024",3282207,-3282207
2020,1,1,"SEC","COV038",-30000000,
2020,1,1,"SEC","COV057",13124556,-13124556
2020,1,1,"SEC","COV064",1456952,-1456952
2020,1,1,"SEC","COV119",33907090,272824
2020,1,118,"SEC","COV154",5500849,187597
2020,1,29,"SEA","COV058",,55000000
2020,1,29,"SEB","COV058",,7800000
2020,1,46,"SEB","COV086",9710000,87390000
2020,1,46,"SEB","COV087",,60200000
2020,1,46,"SEC","COV086",2678509,-2678509
2020,1,46,"SEC","COV087",80463066,-10520109
2020,1,315,"SEA","COV058",,27000000
2020,1,315,"SEB","COV058",,2755000
2020,1,315,"SEB","COV098",,50000000
2020,1,315,"SEC","COV098",49654000,-49654000
2020,1,65,"SEA","COV056",16147819,3300695
2020,1,122,"SEA","COV058",,418000000
2020,1,122,"SEB","COV024",,15000000
2020,1,122,"SEB","COV058",,-10555000
2020,1,122,"SEC","COV058",340000,-340000
2020,1,74,"SEA","COV001",12500000,
2020,1,74,"SEA","COV002",25795292,
2020,1,74,"SEA","COV010",1780000,112983500
2020,1,74,"SEB","COV010",12399149,
2020,1,74,"SEB","COV024",,87500000
2020,1,74,"SEB","COV079",,1200000
2020,1,74,"SEB","COV082",10403571,133796429
2020,1,74,"SEC","COV079",2500000,
2020,1,74,"SEC","COV082",126700000,-126700000
2020,1,82,"SEB","COV060",,4256563
2020,1,42,"SEA","COV049",,2972900000
2020,1,42,"SEB","COV024",1500000,2500000
2020,1,42,"SEB","COV049",5000000,-5000000
2020,1,42,"SEB","COV052",5594701,11105299
