"org_id","fiscal_year","est_doc","covid_initiative_id","vote","stat"
1,2020,"SEA","COVINIT022",15000000,62500000
1,2020,"SEA","COVINIT040",,75000000
1,2020,"SEA","COVINIT083",,50000000
1,2020,"SEA","COVINIT094",,50000000
1,2020,"SEB","COVINIT004",30004252,5000000
1,2020,"SEB","COVINIT040",50000000,50000000
1,2020,"SEB","COVINIT075",4200000,5000000
1,2020,"SEC","COVINIT075",3282207,-3282207
1,2020,"SEC","COVINIT083",13124556,-13124556
1,2020,"SEC","COVINIT094",1456952,-1456952
1,2020,"SEC","COVINIT129",33907090,272824
110,2020,"SEB","COVINIT038",5526932,404148
117,2020,"SEC","COVINIT117",135758235,9602044
118,2020,"SEC","COVINIT117",5500849,187597
12,2020,"SEA","COVINIT016",34300000,9000000
12,2020,"SEA","COVINIT082",35580812,31103820
12,2020,"SEB","COVINIT014",17037135,21102865
12,2020,"SEB","COVINIT016",18000000,
12,2020,"SEB","COVINIT082",42132884,67116
12,2020,"SEB","COVINIT097",1148000,
12,2020,"SEC","COVINIT014",4560000,
12,2020,"SEC","COVINIT016",,20300000
12,2020,"SEC","COVINIT082",,10500000
12,2020,"SEC","COVINIT105",260623,5863
12,2020,"SEC","COVINIT135",10000000,
122,2020,"SEA","COVINIT007",,418000000
122,2020,"SEB","COVINIT007",,-10555000
122,2020,"SEB","COVINIT075",,15000000
122,2020,"SEC","COVINIT007",340000,-340000
124,2020,"SEA","COVINIT031",,10000000
124,2020,"SEA","COVINIT051",,1000000000
124,2020,"SEA","COVINIT052",,120000000
124,2020,"SEA","COVINIT053",,400000000
124,2020,"SEA","COVINIT098",,200000000
124,2020,"SEB","COVINIT015",12000000,
124,2020,"SEB","COVINIT026",461000011,2538999989
124,2020,"SEB","COVINIT051",1000000000,-1000000000
124,2020,"SEB","COVINIT058",700000000,12276726000
124,2020,"SEB","COVINIT060",1000000000,1000000000
124,2020,"SEC","COVINIT145",,200000000
124,2020,"SEC","COVINIT147",,320000000
125,2020,"SEA","COVINIT014",,62500000
125,2020,"SEA","COVINIT069",,469400000
125,2020,"SEB","COVINIT014",,-56800000
125,2020,"SEB","COVINIT069",6494524,
125,2020,"SEC","COVINIT014",,-5700000
125,2020,"SEC","COVINIT069",4609394,-333850695
126,2020,"SEA","COVINIT017",,41000000
126,2020,"SEB","COVINIT017",3250000,18050000
126,2020,"SEB","COVINIT127",179090000,
126,2020,"SEC","COVINIT148",120000000,
126,2020,"SEC","COVINIT151",400000000,
127,2020,"SEA","COVINIT020",,253264557
127,2020,"SEA","COVINIT066",,9288185
127,2020,"SEB","COVINIT015",10000000,
127,2020,"SEB","COVINIT020",99975267,-99975267
127,2020,"SEB","COVINIT041",318942543,311057457
127,2020,"SEB","COVINIT059",315051062,23348938
127,2020,"SEB","COVINIT066",3660636,-3660636
127,2020,"SEC","COVINIT015",7400000,
127,2020,"SEC","COVINIT020",47492269,-47492269
127,2020,"SEC","COVINIT059",16448233,-16448233
127,2020,"SEC","COVINIT123",2322610,269917
127,2020,"SEC","COVINIT128",,505650000
127,2020,"SEC","COVINIT130",,64427300
127,2020,"SEC","COVINIT136",24399312,2014341
127,2020,"SEC","COVINIT149",,45000000
128,2020,"SEA","COVINIT002",,2501300000
128,2020,"SEA","COVINIT009",,60000000000
128,2020,"SEA","COVINIT010",,5250000000
128,2020,"SEA","COVINIT011",,912000000
128,2020,"SEA","COVINIT021",,350000000
128,2020,"SEA","COVINIT047",,20000000
128,2020,"SEA","COVINIT057",,157500000
128,2020,"SEA","COVINIT075",,728000000
128,2020,"SEB","COVINIT004",6934442,16681810
128,2020,"SEB","COVINIT009",,28467769000
128,2020,"SEB","COVINIT011",,-912000000
128,2020,"SEB","COVINIT015",900000,
128,2020,"SEB","COVINIT049",,848600000
128,2020,"SEB","COVINIT054",12473190,12826810
128,2020,"SEB","COVINIT070",,236700000
128,2020,"SEB","COVINIT075",,-269198833
128,2020,"SEB","COVINIT078",,15000000
128,2020,"SEB","COVINIT080",,1500000000
128,2020,"SEB","COVINIT092",,63900000
128,2020,"SEB","COVINIT093",446688,77188
128,2020,"SEB","COVINIT096",,4000000
128,2020,"SEB","COVINIT111",,1205200000
128,2020,"SEC","COVINIT009",,-11945000000
128,2020,"SEC","COVINIT010",8000000,-2227805848
128,2020,"SEC","COVINIT049",,395866
128,2020,"SEC","COVINIT092",,-124910
128,2020,"SEC","COVINIT108",,10095000000
128,2020,"SEC","COVINIT109",,2897000000
128,2020,"SEC","COVINIT110",,780000000
128,2020,"SEC","COVINIT138",2599946,
129,2020,"SEA","COVINIT048",,25000000
129,2020,"SEA","COVINIT076",,72600000
129,2020,"SEA","COVINIT077",,17300000
129,2020,"SEB","COVINIT126",17100000,
129,2020,"SEC","COVINIT132",64700000,
129,2020,"SEC","COVINIT140",2277239,
130,2020,"SEA","COVINIT016",25500000,
130,2020,"SEA","COVINIT023",192204708,
130,2020,"SEA","COVINIT030",11154371,
130,2020,"SEA","COVINIT046",375066499,536012
130,2020,"SEA","COVINIT082",23826981,106171
130,2020,"SEB","COVINIT016",,6000000
130,2020,"SEB","COVINIT018",44523280,
130,2020,"SEB","COVINIT042",15000000,
130,2020,"SEB","COVINIT075",19776012,26923988
130,2020,"SEB","COVINIT082",8300000,8000000
130,2020,"SEB","COVINIT097",863000,
130,2020,"SEC","COVINIT016",6000000,11900000
130,2020,"SEC","COVINIT075",9461597,-9461597
130,2020,"SEC","COVINIT082",5322949,3137051
130,2020,"SEC","COVINIT106",1500000,
130,2020,"SEC","COVINIT135",5875000,
130,2020,"SEC","COVINIT142",21661230,159676
132,2020,"SEC","COVINIT139",46000000,
133,2020,"SEB","COVINIT012",255972498,36393408
134,2020,"SEB","COVINIT061",30511094,54556
134,2020,"SEB","COVINIT075",1170516,14629484
134,2020,"SEB","COVINIT118",159126202,895416
135,2020,"SEA","COVINIT013",59320000,40680000
135,2020,"SEB","COVINIT013",1220400,-1220400
135,2020,"SEC","COVINIT150",35000000,
136,2020,"SEA","COVINIT055",,500000000
136,2020,"SEB","COVINIT055",400000000,100000000
136,2020,"SEC","COVINIT055",379994612,-379994612
136,2020,"SEC","COVINIT120",8184499,1983016
137,2020,"SEB","COVINIT075",50575,11349425
138,2020,"SEB","COVINIT093",195440,32145
138,2020,"SEB","COVINIT119",115782133,69564
139,2020,"SEB","COVINIT088",,20000000
139,2020,"SEC","COVINIT155",600000,
140,2020,"SEA","COVINIT016",,95700000
140,2020,"SEA","COVINIT023",12000000,
140,2020,"SEA","COVINIT046",8000000,
140,2020,"SEA","COVINIT082",5131519,203131454
140,2020,"SEB","COVINIT014",,9518000
140,2020,"SEB","COVINIT016",,67000000
140,2020,"SEB","COVINIT082",65160906,131539094
140,2020,"SEB","COVINIT097",5191667,51750
140,2020,"SEC","COVINIT014",1140000,
140,2020,"SEC","COVINIT016",,63800000
140,2020,"SEC","COVINIT082",125000000,-39300000
140,2020,"SEC","COVINIT135",13250000,
141,2020,"SEA","COVINIT016",18300000,53000000
141,2020,"SEA","COVINIT082",114821458,25262969
141,2020,"SEB","COVINIT014",6992000,2150000
141,2020,"SEB","COVINIT016",11300000,12000000
141,2020,"SEB","COVINIT082",46500000,
141,2020,"SEB","COVINIT097",3146000,
141,2020,"SEC","COVINIT014",1650000,-1650000
141,2020,"SEC","COVINIT105",103500,25235
141,2020,"SEC","COVINIT135",14375000,
148,2020,"SEB","COVINIT071",832083,1724241
148,2020,"SEC","COVINIT071",243854,-243854
148,2020,"SEC","COVINIT117",6876000,
150,2020,"SEA","COVINIT016",,39400000
150,2020,"SEA","COVINIT082",103035250,109738437
150,2020,"SEB","COVINIT016",15000000,15000000
150,2020,"SEB","COVINIT082",65574603,88425397
150,2020,"SEB","COVINIT097",4700000,
150,2020,"SEC","COVINIT016",752263,-752263
150,2020,"SEC","COVINIT082",13706883,-13706883
217,2020,"SEB","COVINIT074",,18200000
218,2020,"SEB","COVINIT067",,1112328
219,2020,"SEC","COVINIT133",1944599,
223,2020,"SEC","COVINIT117",4740000,
224,2020,"SEB","COVINIT067",,4808711
226,2020,"SEB","COVINIT067",,5338974
228,2020,"SEA","COVINIT023",44513300,423900
228,2020,"SEA","COVINIT037",,250000000
228,2020,"SEA","COVINIT046",17090800,356400
228,2020,"SEB","COVINIT018",3938584,488975
228,2020,"SEB","COVINIT034",50000000,40020000
228,2020,"SEB","COVINIT037",31040000,124160000
228,2020,"SEB","COVINIT042",33500000,33500000
228,2020,"SEB","COVINIT075",6000000,9000000
228,2020,"SEC","COVINIT034",32264906,-32264906
228,2020,"SEC","COVINIT037",118674607,-118674607
228,2020,"SEC","COVINIT042",30158628,-30158628
230,2020,"SEB","COVINIT027",5000000,
