dept_code,cr_id,planning_year_1,planning_year_2,planning_year_3
FO,FO-SO0571,2007,2040,2043
LAC,LAC-SO0701,583,583,583
NFB,NFB-SO0801,318,318,318
GSC,GSC-SO1121,9534,7996,7938
CCRA,CCRA-ISS00,7665,7444,7329
TBC,TBC-ISS00,607,606,604
OSFI,OSFI-SO0971,36,36,36
CTA,CTA-SO0401,164,164,164
CBSA,CBSA-SO0061,11096,11116,11107
IRB,IRB-SO0631,838,847,847
SWC,SWC-SO0931,79,79,79
PCO,PCO-SO1051,751,727,678
CFIA,CFIA-SO0201,4830,4616,4321
ERC,ERC-SO1161,8,8,8
CH,CH-SO0221,513,486,473
CH,CH-SO0223,546,457,436
CTAIB,CTAIB-BWA00,169,169,169
TC,TC-SO1292,3564,3538,3310
CCRA,CCRA-BRB00,1592,1586,1550
EC,EC-SO0511,1694,1621,1581
PSEP,PSEP-SO1081,730,739,738
SHARE,SHARE-SO1201,5055,5055,5055
FEDSO,FEDSO-SO0531,110,104,0
FORDQ,FORDQ-SO0481,192,189,189
WDO,WDO-SO1351,198,198,198
AGR,AGR-SO0011,799,799,799
SSHRC,SSHRC-SO1211,7,7,7
VAC,VAC-SO1321,90,92,92
FO,FO-SO0572,4773,4723,4726
CRTC,CRTC-SO0351,342,342,342
H,H-SO0611,503,503,503
CI,CI-SO0422,1618,1643,1373
FJA,FJA-SO0431,61,61,61
RCMP,RCMP-SO1156,23879,23976,23947
AGR,AGR-SO0012,2714,2666,2666
RCMP,RCMP-SO1155,254,254,254
SC,SC-SO1231,3851,3415,3353
CCRA,CCRA-BRA00,30104,29934,30109
CI,CI-SO0424,1108,1066,1066
PCC,PCC-SO1171,45,45,45
TC,TC-SO1291,290,202,199
EC,EC-SO0513,1795,1374,1354
LAC,LAC-SO0702,83,83,83
TBC,TBC-BXC00,448,434,432
ACOA,ACOA-SO0021,391,391,391
ISC,ISC-SO0662,443,443,443
INAC,INAC-SO0642,1019,799,799
CSC,CSC-SO0461,14844,14844,14844
NEB,NEB-BTB00,142,142,142
MPCC,MPCC-SO0741,12,12,12
IPC,IPC-SO0982,133,133,133
FTRAC,FTRAC-SO0551,308,309,295
FO,FO-SO0573,1734,1725,1719
ORL,ORL-BVA00,22,22,22
ODPP,ODPP-SO0952,22,22,22
IPC,IPC-SO0981,71,71,71
TBC,TBC-BXB00,437,426,424
NPB,NPB-BUA00,335,335,335
NPB,NPB-BUB00,40,40,40
CICS,CICS-SO0261,25,25,25
SSHRC,SSHRC-SO1212,129,129,129
NBC,NBC-SO0761,41,41,41
EA,EA-SO0581,1797,1797,1797
H,H-SO0613,4707,4632,4619
CB,CB-SO0451,15,15,15
SCC,SCC-SO1251,148,148,148
ND,ND-SO0782,78530,79427,79528
ND,ND-SO0781,9485,9612,9627
HRSD,HRSD-SO0495,2627,401,401
EA,EA-SO0584,2495,2495,2489
VAC,VAC-SO1322,2057,1989,2001
OPSIC,OPSIC-SO0961,23,23,23
NSERC,NSERC-SO0861,284,284,284
ODPP,ODPP-SO0951,855,860,860
CNEDA,CNEDA-SO0321,54,40,40
FIN,FIN-SO0541,503,503,503
INAC,INAC-SO0644,978,786,718
CEO,CEO-SO0411,399,367,358
CHRC,CHRC-BSC00,10,10,10
NEB,NEB-BTC00,41,41,41
NR,NR-SO0853,1084,885,889
CEAA,CEAA-SO0191,190,189,189
TBC,TBC-BXA00,350,350,350
CI,CI-SO0421,736,665,663
H,H-SO0612,2083,1976,1951
OICC,OICC-SO0881,257,260,133
CSA,CSA-SO0371,371,367,366
TC,TC-SO1293,391,377,372
INAC,INAC-SO0641,749,731,730
CGC,CGC-SO0211,300,300,300
PHAC,PHAC-SO1071,1876,1868,1866
PCA,PCA-SO1001,3836,3768,3765
HRSD,HRSD-SO0492,4870,4916,3878
CFGB,CFGB-SO0731,35,35,35
NEB,NEB-BTD00,16,14,14
NRC,NRC-SO0831,2242,2284,2259
ISC,ISC-SO0661,148,146,139
NEB,NEB-BTA00,121,120,120
NR,NR-SO0851,951,891,878
ATSSC,ATSSC-SO1999,159,159,159
ACOA,ACOA-SO1999,199,199,199
CBSA,CBSA-SO1999,2543,2534,2533
CCMD,CCMD-SO1999,187,182,182
CCOHS,CCOHS-SO1999,21,22,23
CEAA,CEAA-SO1999,72,72,70
CFIA,CFIA-SO1999,861,853,835
CGC,CGC-SO1999,104,104,104
CPCC,CPCC-SO1999,16,18,18
CHRC,CHRC-ISS00,73,73,73
CIHR,CIHR-SO1999,209,209,203
CICS,CICS-SO1999,7,7,7
CNEDA,CNEDA-SO1999,26,26,26
AECB,AECB-SO1999,234,234,234
CRTC,CRTC-SO1999,133,133,133
CSA,CSA-SO1999,264,267,270
CTAIB,CTAIB-ISS00,51,51,51
CTA,CTA-SO1999,62,61,61
PCC,PCC-SO1999,22,22,22
CB,CB-SO1999,3,3,3
CSC,CSC-SO1999,2540,2540,2540
CAS,CAS-SO1999,162,162,162
AGR,AGR-SO1999,1140,1140,1140
CH,CH-SO1999,643,643,640
CI,CI-SO1999,1522,1537,1537
HRSD,HRSD-SO1999,4218,4049,4080
FIN,FIN-SO1999,232,232,232
FO,FO-SO1999,1791,1768,1768
EA,EA-SO1999,1534,1534,1533
H,H-SO1999,1968,1917,1907
INAC,INAC-SO1999,1518,1491,1482
ISC,ISC-SO1999,1417,1417,1417
JUS,JUS-SO1999,948,948,948
