dept_code,cr_id,planning_year_1,planning_year_2,planning_year_3
FO,FO-SO0571,548535068,410382587,408033455
LAC,LAC-SO0701,81053874,77408385,111692463
NFB,NFB-SO0801,64980326,53137820,53137647
GSC,GSC-SO1121,3472438270,2790352524,2643943146
CCRA,CCRA-ISS00,934818007,932636383,923222717
TBC,TBC-ISS00,85551044,74878750,74789068
OSFI,OSFI-SO0971,5938078,6017476,6047852
CTA,CTA-SO0401,20236012.299999997,20064601.299999997,20064601.299999997
CDC,CDC-SO0181,3599617,3599617,3599617
OEC,OEC-SO0921,5213144,5213144,5213144
SEN,SEN-SO1281,103874365,103874365,103874365
CBSA,CBSA-SO0061,1418286938,1284803350,1260920546
IRB,IRB-SO0631,97202562,96976960,97079960
SWC,SWC-SO0931,31952413,31264462,30963494
PCO,PCO-SO1051,130399756,109214525,93568577
CFIA,CFIA-SO0201,590095298,527822837,491457186
ERC,ERC-SO1161,945510,945510,945510
CH,CH-SO0221,548047899,457446159,450030326
AECL,AECL-SO0031,971055162,971055162,971055162
CH,CH-SO0223,615640889,495504484,491583624
CTAIB,CTAIB-BWA00,24377678,23801579,23801579
TC,TC-SO1292,423696595,416093008,352587586
CCRA,CCRA-BRB00,487819400,498060088,495711914
EC,EC-SO0511,305863218,274988167,235267173
PSEP,PSEP-SO1081,1003212961,937132753,428083959
IJC,IJC-SO0681,10049693,10049693,10049693
SHARE,SHARE-SO1201,1566792861,1322590747,1317142904
FEDSO,FEDSO-SO0531,253438496,170425519,0
FORDQ,FORDQ-SO0481,285471355,216489550,209027204
WDO,WDO-SO1351,187466003,131444487,136455859
AGR,AGR-SO0011,1482734325,699834821,700002345
CC,CC-SO0071,257347387,257347387,257347387
SSHRC,SSHRC-SO1211,383127199,388673487,388457189
CPC,CPC-SO0101,22210000,22210000,22210000
VAC,VAC-SO1321,45585347,41494828,41418428
CATSA,CATSA-SO0131,584584214,584584214,584584214
CBC,CBC-SO0151,1188023798,1188023798,1188023798
FO,FO-SO0572,991869738,805632956,655823953
CRTC,CRTC-SO0351,9188142,9188142,9188142
H,H-SO0611,350667066,324560216,262552591
CI,CI-SO0422,49334972,271868522,344015701
FJA,FJA-SO0431,571150785,581581452,595202338
RCMP,RCMP-SO1156,2293850966,2284122522,2269342411
CMHR,CMHR-SO0281,24865000,24865000,24865000
CMC,CMC-SO0291,71600477,71600477,71600477
CMI,CMI-SO0301,7820000,7820000,7820000
CMN,CMN-SO0311,32515112,32515112,32515112
AGR,AGR-SO0012,625259995,313624810,309909601
RCMP,RCMP-SO1155,64671370,61801972,61837240
TOUR,TOUR-SO0381,95475770,95475770,95475770
SC,SC-SO1231,393582598.01,328565806.46,317708459.44
CCRA,CCRA-BRA00,2737078407,2748402606,2755219080
CI,CI-SO0424,1263226383,1205971099,1132571586
PCC,PCC-SO1171,7333382,7333382,7333382
TC,TC-SO1291,102797429,58707328,56476693
EC,EC-SO0513,273172675,224917572,222850991
LAC,LAC-SO0702,6623877,6623877,6623877
TBC,TBC-BXC00,2793646260,2789607844,2789234744
ACOA,ACOA-SO0021,285577341,263595341,262465341
ISC,ISC-SO0662,333225869,435828224,276442417
INAC,INAC-SO0642,2706442919,1770619037,1737928828
CSC,CSC-SO0461,2093354743,2070513451,2070378451
NEB,NEB-BTB00,22807608,21503435,21503435
MPCC,MPCC-SO0741,2343627,2343627,2343627
IPC,IPC-SO0982,17723865,17723865,17723865
FTRAC,FTRAC-SO0551,46186748,43403452,40892076
FO,FO-SO0573,285251949,243877700,234279007
ORL,ORL-BVA00,3061393,3061393,3061393
ODPP,ODPP-SO0952,3330613,3139103,3110103
IPC,IPC-SO0981,8619753,8619753,8619753
TBC,TBC-BXB00,61764271,60499382,60135627
NPB,NPB-BUA00,34392874,34398702,34399464
NPB,NPB-BUB00,4747331,4748629,4749901
CICS,CICS-SO0261,4442435,4442435,4442435
