"id","dept_code","name_en","name_fr","desc_en","desc_fr","is_active","is_drf","is_internal_service"
"ACOA-BED00","ACOA","Economic Development in Atlantic Canada","Développement économique au Canada atlantique","","",1,1,0
"ACOA-ISS00","ACOA","Internal Services","Services internes","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé comme indiqué à la Section 6.2 du Guide sur la comptabilisation des dépenses des Services internes et l'établissement des rapports connexes.",1,1,1
"ACOA-SO0021","ACOA","A competitive Atlantic Canadian economy","Une économie concurrentielle au Canada atlantique","","",0,0,0
"ACOA-SO1999","ACOA","Internal Services","Services internes","","",0,0,1
"AECB-BTJ00","AECB","Nuclear Regulation","Réglementation nucléaire","","",1,1,0
"AECB-ISS00","AECB","Internal Services","Services internes","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé comme indiqué à la Section 6.2 du Guide sur la comptabilisation des dépenses des Services internes et l'établissement des rapports connexes.",1,1,1
"AECB-SO0331","AECB","Safe and secure nuclear installations and processes used solely for peaceful purposes and an informed public on the effectiveness of Canada's nuclear regulatory regime","Des installations et des processus nucléaires sûrs et sécuritaires qui ne sont utilisés qu'à des fins pacifiques et un public informé sur l'efficacité du régime de réglementation nucléaire du Canada","","",0,0,0
"AECB-SO1999","AECB","Internal Services","Services internes","","",0,0,1
"AECL-SO0031","AECL","Be the top worldwide nuclear products and services company. Protect the health and safety of the public, our employees and the environment. Minimize nuclear legacy obligations for future generations","Être le principal fournisseur mondial de produits et de services nucléaires. Protéger la santé et la sécurité du public, de notre personnel et de l'environnement. Réduire au minimum les obligations liées aux déchets nucléaires pour les générations futures","","",0,0,0
"AGR-BWN00","AGR","Domestic and International Markets","Marchés nationaux et internationaux","","",1,1,0
"AGR-BWO00","AGR","Science and Innovation","Science et innovation","","",1,1,0
"AGR-BWP00","AGR","Sector Risk","Risques du secteur","","",1,1,0
"AGR-ISS00","AGR","Internal Services","Services internes","","",1,1,1
"AGR-SO0011","AGR","A competitive and market-oriented agriculture, agri-food and agri-based products sector that proactively manages risk","Un secteur de l'agriculture, de l'agroalimentaire et des produits agro-industriels compétitif et axé sur le marché qui gère les risques de manière proactive","","",0,0,0
"AGR-SO0012","AGR","An innovative and sustainable agriculture, agri-food and agri-based products sector","Un secteur innovateur et durable de l'agriculture, de l'agroalimentaire et des produits agro-industriels","","",0,0,0
"AGR-SO0013","AGR","An environmentally sustainable agriculture, agri-food and agri-based products sector","Un secteur de l'agriculture, de l'agroalimentaire et des produits agro-industriels respectueux de l'environnement","","",0,0,0
"AGR-SO1999","AGR","Internal Services","Services internes","","",0,0,1
"AHRAC-SO0051","AHRAC","Protection and promotion of health and safety of Canadians in relation to assisted human reproduction and related to research, within a sound ethical framework","Protection et promotion de la santé et de la sécurité des Canadiens relativement à la procréation assistée et à la recherche connexe, dans un cadre éthique rigoureux","","",0,0,0
"AHRAC-SO1999","AHRAC","Internal Services","Services internes","","",0,0,1
"APPRT-SO0141","APPRT","The rights of artists and producers under Part II of the Status of the Artist Act are protected and respected","La protection et le respect des droits des artistes et des producteurs prévus à la partie II de la Loi sur le statut de l'artiste","","",0,0,0
"APPRT-SO1999","APPRT","Internal Services","Services internes","","",0,0,1
"ATSSC-BEE00","ATSSC","Support services and facilities to federal administrative tribunals and its members","Services de soutien et des installations aux tribunaux administratifs fédéraux et leurs membres","","",1,1,0
"ATSSC-ISS00","ATSSC","Internal Services","Services internes","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé comme indiqué à la Section 6.2 du Guide sur la comptabilisation des dépenses des Services internes et l'établissement des rapports connexes.",1,1,1
"ATSSC-SO0001","ATSSC","Efficient and effective services which support tribunal chairs and members in exercising their statutory responsibilities and ensure that their independence is protected in a manner which promotes Canadians' confidence in the federal tribunal system","Services efficients et efficaces qui appuient les présidents et les membres des tribunaux dans l'exercice de leurs responsabilités légales et protègent leur indépendance de façon à promouvoir la confiance des Canadiens dans le système des tribunaux fédéraux","","",0,0,0
"ATSSC-SO1999","ATSSC","Internal Services","Services internes","","",0,0,1
"CAS-BEG00","CAS","Administration Services for the Federal Courts","Services administratifs pour les tribunaux fédéraux","","",1,1,0
"CAS-ISS00","CAS","Internal Services","Services internes","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé comme indiqué à la Section 6.2 du Guide sur la comptabilisation des dépenses des Services internes et l'établissement des rapports connexes.",1,1,1
"CAS-SO0471","CAS","The public has timely and fair access to the litigation processes of the Federal Court of Appeal, the Federal Court, the Court Martial Appeal Court of Canada and the Tax Court of Canada","Le public a accès en temps opportun et de manière équitable aux processus judiciaires de la Cour d'appel fédérale, de la Cour fédérale, de la Cour d’appel de la cour martiale du Canada et de la Cour canadienne de l'impôt","","",0,0,0
"CAS-SO1999","CAS","Internal Services","Services internes","","",0,0,1
"CAT-SO1301","CAT","The Canadian transportation community is provided with the opportunity to have enforcement and licensing decisions of the Minister of Transport reviewed in a fair manner by unbiased hearing officers","Le milieu des transports du Canada a accès à un processus équitable et impartial de révision des décisions relatives à l'application des règlements ou à la délivrance des permis prises par le ministre des Transports","","",0,0,0
"CAT-SO1999","CAT","Internal Services","Services internes","","",0,0,1
"CATSA-SO0131","CATSA","Screening programs at designated Canadian airports protect the travelling public","Les programmes de contrôle aux aéroports désignés du Canada protègent les voyageurs","","",0,0,0
"CB-BEZ00","CB","Copyright Tariffs and Licences","Tarifs et licences liés au droit d'auteur","","",1,1,0
"CB-ISS00","CB","Internal Services","Services internes","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé comme indiqué à la Section 6.2 du Guide sur la comptabilisation des dépenses des Services internes et l'établissement des rapports connexes.",1,1,1
"CB-SO0451","CB","Fair decision-making to provide proper incentives for the creation and use of copyrighted works","Instaurer un processus décisionnel équitable qui incite à la création et à l'utilisation des oeuvres protégées par un droit d'auteur","","",0,0,0
"CB-SO1999","CB","Internal Services","Services internes","","",0,0,1
"CBC-SO0151","CBC","A national public broadcasting service exists that is primarily Canadian in content and connects citizens to the Canadian experience","Un service de radiodiffusion public national dont le contenu est principalement canadien et qui rassemble les citoyens autour d'un contenu canadien","","",0,0,0
"CBSA-BUF00","CBSA","Border Management","Gestion de la frontière","","",1,1,0
"CBSA-BUG00","CBSA","Border Enforcement","Exécution de la loi frontalière","","",1,1,0
"CBSA-ISS00","CBSA","Internal Services","Services internes","","",1,1,1
"CBSA-SO0061","CBSA","International trade and travel is facilitated across Canada's border and Canada's population is protected from border-related risks","Le commerce international et les déplacements sont favorisés à la frontière du Canada et la population du Canada est protégée des risques liés aux frontières","","",0,0,0
"CBSA-SO1999","CBSA","Internal Services","Services internes","","",0,0,1
"CC-SO0071","CC","A vibrant and dynamic arts sector in Canada","Un secteur artistique vif et dynamique au Canada","","",0,0,0
"CCC-SO0171","CCC","Enhanced market access for Canadian exporters to complex international public sector markets","Un meilleur accès aux marchés pour les exportateurs canadiens en ce qui concerne les marchés complexes du secteur public international","","",0,0,0
"CCMD-BTR00","CCMD","Common Public Service Learning","Apprentissage commun dans la fonction publique","","",1,1,0
"CCMD-ISS00","CCMD","Internal Services","Services internes","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé comme indiqué à la Section 6.2 du Guide sur la comptabilisation des dépenses des Services internes et l'établissement des rapports connexes.",1,1,1
"CCMD-SO0121","CCMD","Federal public service employees have the common knowledge, skills and competencies to fulfill their responsibilities in serving Canadians","Les fonctionnaires fédéraux ont les connaissances, les habiletés et les compétences communes dont ils ont besoin pour exercer leurs responsabilités envers les Canadiens","","",0,0,0
"CCMD-SO1999","CCMD","Internal Services","Services internes","","",0,0,1
"CCOHS-BFZ00","CCOHS","National Occupational Health and Safety Resource","Ressource nationale en matière de santé et de sécurité au travail","","",1,1,0
"CCOHS-ISS00","CCOHS","Internal Services","Services internes","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé comme indiqué à la Section 6.2 du Guide sur la comptabilisation des dépenses des Services internes et l'établissement des rapports connexes.",1,1,1
"CCOHS-SO0161","CCOHS","Improved workplace conditions and practices that enhance the health, safety, and well being of working Canadians","Conditions de travail et pratiques en milieu de travail améliorées qui mettent en valeur la santé, la sécurité et le mieux-être des travailleurs canadiens","","",0,0,0
"CCOHS-SO1999","CCOHS","Internal Services","Services internes","","",0,0,1
"CCRA-BRA00","CCRA","Tax","Impôt","","",1,1,0
"CCRA-BRB00","CCRA","Benefits","Prestations","","",1,1,0
"CCRA-BRC00","CCRA","Taxpayers' Ombudsman","Ombudsman des contribuables","","",1,1,0
"CCRA-ISS00","CCRA","Internal Services","Services internes","","",1,1,1
"CCRA-SO0111","CCRA","Eligible families and individuals receive timely and accurate benefit payments","Les familles et les particuliers admissibles reçoivent en temps opportun les paiements exacts auxquels ils ont droit","","",0,0,0
"CCRA-SO0112","CCRA","Taxpayers and benefit recipients receive an independent and impartial review of their service related complaints","Les contribuables et les bénéficiaires de prestations obtiennent un examen impartial et indépendant à l'égard de leurs plaintes liées au service","","",0,0,0
"CCRA-SO0113","CCRA","Taxpayers meet their obligations and Canada's revenue base is protected","Les contribuables s'acquittent de leurs obligations et l'assiette fiscale du Canada est protégée","","",0,0,0
"CCRA-SO1999","CCRA","Internal Services","Services internes","","",0,0,1
"CDC-SO0181","CDC","To enhance the vitality of the Canadian dairy industry for the benefit of all stakeholders","Accroître la vitalité de l'industrie laitière canadienne au profit de tous les partenaires de l'industrie","","",0,0,0
"CEAA-BGV00","CEAA","Environmental Assessment","Évaluation environnementale","","",1,1,0
