"id","dept_code","name_en","desc_en","is_active","is_drf","is_internal_service"
"ACOA-BED00","ACOA","Economic Development in Atlantic Canada","",1,1,0
"ACOA-ISS00","ACOA","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"ACOA-SO0021","ACOA","A competitive Atlantic Canadian economy","",0,0,0
"ACOA-SO1999","ACOA","Internal Services","",0,0,1
"AECB-BTJ00","AECB","Nuclear Regulation","",1,1,0
"AECB-ISS00","AECB","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"AECB-SO0331","AECB","Safe and secure nuclear installations and processes used solely for peaceful purposes and an informed public on the effectiveness of Canada's nuclear regulatory regime","",0,0,0
"AECB-SO1999","AECB","Internal Services","",0,0,1
"AECL-SO0031","AECL","Be the top worldwide nuclear products and services company. Protect the health and safety of the public, our employees and the environment. Minimize nuclear legacy obligations for future generations","",0,0,0
"AGR-BWN00","AGR","Domestic and International Markets","",1,1,0
"AGR-BWO00","AGR","Science and Innovation","",1,1,0
"AGR-BWP00","AGR","Sector Risk","",1,1,0
"AGR-ISS00","AGR","Internal Services","",1,1,1
"AGR-SO0011","AGR","A competitive and market-oriented agriculture, agri-food and agri-based products sector that proactively manages risk","",0,0,0
"AGR-SO0012","AGR","An innovative and sustainable agriculture, agri-food and agri-based products sector","",0,0,0
"AGR-SO0013","AGR","An environmentally sustainable agriculture, agri-food and agri-based products sector","",0,0,0
"AGR-SO1999","AGR","Internal Services","",0,0,1
"AHRAC-SO0051","AHRAC","Protection and promotion of health and safety of Canadians in relation to assisted human reproduction and related to research, within a sound ethical framework","",0,0,0
"AHRAC-SO1999","AHRAC","Internal Services","",0,0,1
"APPRT-SO0141","APPRT","The rights of artists and producers under Part II of the Status of the Artist Act are protected and respected","",0,0,0
"APPRT-SO1999","APPRT","Internal Services","",0,0,1
"ATSSC-BEE00","ATSSC","Support services and facilities to federal administrative tribunals and its members","",1,1,0
"ATSSC-ISS00","ATSSC","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"ATSSC-SO0001","ATSSC","Efficient and effective services which support tribunal chairs and members in exercising their statutory responsibilities and ensure that their independence is protected in a manner which promotes Canadians' confidence in the federal tribunal system","",0,0,0
"ATSSC-SO1999","ATSSC","Internal Services","",0,0,1
"CAS-BEG00","CAS","Administration Services for the Federal Courts","",1,1,0
"CAS-ISS00","CAS","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"CAS-SO0471","CAS","The public has timely and fair access to the litigation processes of the Federal Court of Appeal, the Federal Court, the Court Martial Appeal Court of Canada and the Tax Court of Canada","",0,0,0
"CAS-SO1999","CAS","Internal Services","",0,0,1
"CAT-SO1301","CAT","The Canadian transportation community is provided with the opportunity to have enforcement and licensing decisions of the Minister of Transport reviewed in a fair manner by unbiased hearing officers","",0,0,0
"CAT-SO1999","CAT","Internal Services","",0,0,1
"CATSA-SO0131","CATSA","Screening programs at designated Canadian airports protect the travelling public","",0,0,0
"CB-BEZ00","CB","Copyright Tariffs and Licences","",1,1,0
"CB-ISS00","CB","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"CB-SO0451","CB","Fair decision-making to provide proper incentives for the creation and use of copyrighted works","",0,0,0
"CB-SO1999","CB","Internal Services","",0,0,1
"CBC-SO0151","CBC","A national public broadcasting service exists that is primarily Canadian in content and connects citizens to the Canadian experience","",0,0,0
"CBSA-BUF00","CBSA","Border Management","",1,1,0
"CBSA-BUG00","CBSA","Border Enforcement","",1,1,0
"CBSA-ISS00","CBSA","Internal Services","",1,1,1
"CBSA-SO0061","CBSA","International trade and travel is facilitated across Canada's border and Canada's population is protected from border-related risks","",0,0,0
"CBSA-SO1999","CBSA","Internal Services","",0,0,1
"CC-SO0071","CC","A vibrant and dynamic arts sector in Canada","",0,0,0
"CCC-SO0171","CCC","Enhanced market access for Canadian exporters to complex international public sector markets","",0,0,0
"CCMD-BTR00","CCMD","Common Public Service Learning","",1,1,0
"CCMD-ISS00","CCMD","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"CCMD-SO0121","CCMD","Federal public service employees have the common knowledge, skills and competencies to fulfill their responsibilities in serving Canadians","",0,0,0
"CCMD-SO1999","CCMD","Internal Services","",0,0,1
"CCOHS-BFZ00","CCOHS","National Occupational Health and Safety Resource","",1,1,0
"CCOHS-ISS00","CCOHS","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"CCOHS-SO0161","CCOHS","Improved workplace conditions and practices that enhance the health, safety, and well being of working Canadians","",0,0,0
"CCOHS-SO1999","CCOHS","Internal Services","",0,0,1
"CCRA-BRA00","CCRA","Tax","",1,1,0
"CCRA-BRB00","CCRA","Benefits","",1,1,0
"CCRA-BRC00","CCRA","Taxpayers' Ombudsman","",1,1,0
"CCRA-ISS00","CCRA","Internal Services","",1,1,1
"CCRA-SO0111","CCRA","Eligible families and individuals receive timely and accurate benefit payments","",0,0,0
"CCRA-SO0112","CCRA","Taxpayers and benefit recipients receive an independent and impartial review of their service related complaints","",0,0,0
"CCRA-SO0113","CCRA","Taxpayers meet their obligations and Canada's revenue base is protected","",0,0,0
"CCRA-SO1999","CCRA","Internal Services","",0,0,1
"CDC-SO0181","CDC","To enhance the vitality of the Canadian dairy industry for the benefit of all stakeholders","",0,0,0
"CEAA-BGV00","CEAA","Environmental Assessment","",1,1,0
