dept_code,dimensions,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
ACOA,age20less,.,.,1,.,.,0.00033
ACOA,age20to24,9,17,19,13,21,0.02639
ACOA,age25to29,27,21,18,19,20,0.03508
ACOA,age30to34,51,46,38,38,30,0.06782
ACOA,age35to39,107,97,86,92,72,0.15169
ACOA,age40to44,103,105,106,100,98,0.17107
ACOA,age45to49,118,108,110,116,113,0.18877
ACOA,age50to54,102,107,116,117,125,0.18944
ACOA,age55to59,59,67,84,78,81,0.12329
ACOA,age60to64,12,19,21,35,28,0.03842
ACOA,age65plus,2,4,5,7,5,0.00768
AECB,age20to24,15,18,29,43,42,0.03493
AECB,age25to29,62,51,41,65,65,0.06747
AECB,age30to34,76,64,65,75,72,0.08363
AECB,age35to39,108,102,94,87,92,0.11475
AECB,age40to44,118,121,111,121,111,0.13828
AECB,age45to49,136,131,134,118,127,0.15348
AECB,age50to54,149,143,142,140,142,0.17011
AECB,age55to59,116,111,116,113,114,0.13542
AECB,age60to64,55,55,61,58,61,0.0689
AECB,age65plus,21,25,29,31,33,0.03302
AGR,age20less,37,35,48,35,28,0.00681
AGR,age20to24,380,358,396,410,441,0.07385
AGR,age25to29,402,361,349,351,356,0.06768
AGR,age30to34,539,439,391,389,400,0.08029
AGR,age35to39,694,606,614,578,609,0.11538
AGR,age40to44,739,664,649,662,685,0.12647
AGR,age45to49,870,744,701,671,689,0.13673
AGR,age50to54,1030,917,874,836,819,0.16654
AGR,age55to59,838,736,725,737,705,0.13919
AGR,age60to64,331,315,329,366,379,0.064
AGR,age65plus,131,116,118,132,123,0.02307
APPRT,age25to29,1,.,.,.,.,0.33333
APPRT,age35to39,1,.,.,.,.,0.33333
APPRT,age55to59,1,.,.,.,.,0.33333
ATSSC,age20less,.,.,.,1,3,0.00309
ATSSC,age20to24,.,.,8,13,24,0.0348
ATSSC,age25to29,.,.,23,32,57,0.08662
ATSSC,age30to34,.,.,55,60,82,0.15236
ATSSC,age35to39,.,.,48,52,79,0.13844
ATSSC,age40to44,.,.,43,35,67,0.11214
ATSSC,age45to49,.,.,44,45,59,0.11446
ATSSC,age50to54,.,.,58,62,74,0.15004
ATSSC,age55to59,.,.,35,37,67,0.1075
ATSSC,age60to64,.,.,22,22,34,0.06032
ATSSC,age65plus,.,.,13,15,24,0.04022
CAS,age20less,1,1,.,4,1,0.00222
CAS,age20to24,21,31,42,38,31,0.0516
CAS,age25to29,99,86,84,106,91,0.14752
CAS,age30to34,52,57,60,67,75,0.09845
CAS,age35to39,72,72,70,72,60,0.10953
CAS,age40to44,76,71,76,72,69,0.11523
CAS,age45to49,103,87,85,99,91,0.1472
CAS,age50to54,92,97,95,99,108,0.15543
CAS,age55to59,71,73,67,71,63,0.10921
CAS,age60to64,31,32,29,29,35,0.04938
CAS,age65plus,5,7,10,11,12,0.01425
CAT,age25to29,2,.,.,.,.,0.11111
CAT,age30to34,1,3,.,.,.,0.22222
CAT,age35to39,1,.,.,.,.,0.05556
CAT,age45to49,1,1,.,.,.,0.11111
CAT,age50to54,1,2,.,.,.,0.16667
CAT,age55to59,2,1,.,.,.,0.16667
CAT,age60to64,1,2,.,.,.,0.16667
CB,age25to29,2,.,1,.,.,0.0411
CB,age30to34,2,3,4,3,1,0.17808
CB,age35to39,3,3,2,1,2,0.15068
CB,age40to44,4,3,4,5,4,0.27397
CB,age45to49,.,1,3,2,3,0.12329
CB,age50to54,1,1,1,1,1,0.06849
CB,age55to59,3,1,1,1,.,0.08219
CB,age60to64,.,1,1,1,2,0.06849
CB,age65plus,.,.,.,.,1,0.0137
CBSA,age20less,14,27,19,23,25,0.00154
CBSA,age20to24,454,480,512,570,546,0.03644
CBSA,age25to29,1532,1285,1145,1042,951,0.0847
CBSA,age30to34,2370,2335,2236,2160,1907,0.15657
CBSA,age35to39,2217,2350,2462,2519,2479,0.17107
CBSA,age40to44,1999,2059,2092,2139,2218,0.14945
CBSA,age45to49,2047,2035,2007,2010,1959,0.14306
CBSA,age50to54,1946,2014,2064,2033,1986,0.14285
CBSA,age55to59,1133,1041,1069,1135,1124,0.07826
CBSA,age60to64,387,372,397,415,402,0.02806
CBSA,age65plus,119,98,110,125,110,0.00799
CCMD,age20less,.,1,.,2,3,0.00188
CCMD,age20to24,8,16,31,36,34,0.03923
CCMD,age25to29,54,41,37,41,32,0.06434
CCMD,age30to34,78,79,82,58,52,0.10954
CCMD,age35to39,116,106,106,106,95,0.16604
CCMD,age40to44,103,107,104,112,112,0.16886
CCMD,age45to49,94,96,98,103,97,0.15317
CCMD,age50to54,102,95,90,94,80,0.1447
CCMD,age55to59,63,59,68,64,72,0.10232
CCMD,age60to64,32,21,20,25,23,0.03798
CCMD,age65plus,7,4,10,7,10,0.01193
CCRA,age20less,65,57,56,60,99,0.00167
CCRA,age20to24,1180,1074,1237,1234,1547,0.03116
CCRA,age25to29,2631,2607,2637,2491,2707,0.06494
CCRA,age30to34,3785,3669,3654,3634,3715,0.09169
CCRA,age35to39,4541,4558,4545,4571,4667,0.11367
CCRA,age40to44,5434,5219,5200,5153,5276,0.13056
CCRA,age45to49,6717,6426,6146,5979,5886,0.15476
CCRA,age50to54,8220,7915,7588,7258,6971,0.18853
CCRA,age55to59,5501,5498,5651,5741,5889,0.14049
CCRA,age60to64,2397,2439,2465,2480,2516,0.06109
CCRA,age65plus,785,817,879,882,949,0.02142
CCRA,na,.,.,1,1,1,0.00001
CDC,age20less,.,2,.,.,.,0.00697
CDC,age20to24,1,1,4,2,2,0.03484
CDC,age25to29,9,6,8,9,5,0.12892
CDC,age30to34,8,9,8,12,16,0.18467
CDC,age35to39,7,7,9,5,8,0.12544
CDC,age40to44,12,8,8,10,8,0.16028
CDC,age45to49,6,5,7,10,9,0.12892
CDC,age50to54,9,8,7,6,4,0.11847
CDC,age55to59,4,4,5,5,7,0.08711
CDC,age60to64,2,1,.,1,2,0.02091
CDC,age65plus,1,.,.,.,.,0.00348
CEAA,age20to24,5,11,10,16,16,0.04735
CEAA,age25to29,18,24,19,29,37,0.10367
CEAA,age30to34,34,34,34,36,45,0.14939
CEAA,age35to39,40,45,42,46,60,0.1902
CEAA,age40to44,41,39,40,37,34,0.15592
CEAA,age45to49,28,23,27,31,36,0.11837
CEAA,age50to54,29,29,27,25,26,0.11102
CEAA,age55to59,13,20,23,28,26,0.0898
CEAA,age60to64,8,2,5,4,6,0.02041
CEAA,age65plus,3,3,2,6,3,0.01388
CEO,age20less,.,3,2,.,.,0.00175
CEO,age20to24,19,19,45,42,29,0.05379
CEO,age25to29,44,57,76,83,63,0.11282
CEO,age30to34,56,69,85,89,79,0.13203
CEO,age35to39,78,70,85,78,69,0.13273
CEO,age40to44,73,64,74,89,86,0.13482
CEO,age45to49,76,76,84,83,79,0.13902
CEO,age50to54,73,71,82,80,85,0.13657
CEO,age55to59,52,59,58,60,62,0.10164
CEO,age60to64,21,27,30,27,27,0.04611
CEO,age65plus,3,5,9,3,5,0.00873
CFGB,age25to29,2,2,1,2,2,0.04712
CFGB,age30to34,2,1,2,2,4,0.05759
CFGB,age35to39,6,5,7,5,8,0.1623
CFGB,age40to44,5,7,5,2,3,0.11518
CFGB,age45to49,4,3,5,8,7,0.14136
CFGB,age50to54,14,12,10,6,7,0.25654
CFGB,age55to59,2,5,9,8,6,0.15707
CFGB,age60to64,2,1,2,1,2,0.04188
CFGB,age65plus,1,1,1,1,.,0.02094
CFIA,age20less,3,6,5,3,9,0.00085
CFIA,age20to24,105,138,105,101,153,0.01961
CFIA,age25to29,477,418,345,311,335,0.06143
CFIA,age30to34,878,851,678,624,611,0.11862
CFIA,age35to39,967,1045,1067,1054,1077,0.16968
CFIA,age40to44,874,915,900,944,1032,0.15193
CFIA,age45to49,902,921,877,842,870,0.14369
CFIA,age50to54,978,931,949,962,937,0.15493
CFIA,age55to59,729,733,716,711,747,0.11842
CFIA,age60to64,260,274,284,309,318,0.04706
CFIA,age65plus,81,83,83,85,91,0.01378
CGC,age20to24,8,7,8,7,7,0.0162
CGC,age25to29,40,18,20,22,28,0.05604
CGC,age30to34,54,39,43,43,43,0.0972
CGC,age35to39,73,54,53,52,58,0.12697
CGC,age40to44,78,55,64,62,68,0.14317
