dept_code,dimensions,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year
ACOA,avgage,44.507,45.01700508,45.76900662,46.444,46.41300169
AECB,avgage,45.99100467,46.47,46.79,45.61299647,45.77100116
AGR,avgage,44.85399933,44.87900019,44.735,44.87599961,44.59799962
APPRT,avgage,40.19,.,.,.,.
ATSSC,avgage,.,.,44.71401146,44.12,43.8
CAS,avgage,43.20799358,43.27599349,42.71600324,42.38299401,43.10300314
CAT,avgage,45.17111111,47.35333333,.,.,.
CB,avgage,42.59733333,42.40307692,41.85529412,44.17285714,48.72071429
CBSA,avgage,41.85299972,41.89399972,42.13699993,42.31,42.54299993
CCMD,avgage,44.02700152,43.48,43.2669969,43.485,43.919
CCRA,avgage,45.95699995,46.06,45.96899995,46.01699997,45.705
CDC,avgage,42.2220339,40.31901961,39.79892857,40.573,41.26098361
CEAA,avgage,42.26401826,41.103,41.97401747,41.48399225,40.44899654
CEO,avgage,43.2070101,43.089,41.934,41.51099369,42.88599315
CFGB,avgage,47.11,47.86810811,48.76595238,48.24114286,45.53512821
CFIA,avgage,44.04200032,44.05500079,44.64100017,44.95,44.73
CGC,avgage,46.672,46.25900726,45.8010049,45.91099256,45.62501149
CH,avgage,44.07799772,44.29,44.60600113,44.325,44.55599773
CHRC,avgage,44.34902326,44.60100503,44.5120098,44.43902439,45.07298429
CHRT,avgage,41.60095238,42.621,.,.,.
CI,avgage,42.031,41.60800067,41.47700078,41.38899954,41.93
CICS,avgage,50.05,48.27583333,46.89521739,44.785,45.36
CIHR,avgage,42.53200508,41.99199029,42.12300926,43.13400978,42.18199134
CIRB,avgage,46.97098901,47.62897727,.,.,.
CITT,avgage,41.75794521,41.18805195,.,.,.
CNEDA,avgage,.,.,44.44106667,44.05103896,43.93
CPAC,avgage,47.036875,48.95823529,48.08210526,46.85421053,.
CPCC,avgage,44.90333333,45.90090909,42.01571429,41.45206897,41.16814815
CRTC,avgage,43.9279955,43.918,42.93400433,42.598,42.46400433
CSA,avgage,45.5,46.62800322,47.263,47.35800325,46.75100763
CSC,avgage,43.11099995,43.41899995,43.72699983,44.11199977,44.41799988
CSEC,avgage,42.826,42.73199908,43.17899908,43.43599907,43.27500226
CTA,avgage,44.23598361,45.77298165,44.6419917,45.08401674,44.96699552
CTAIB,avgage,49.475,48.5720197,49.47699531,49.928,49.65100478
EA,avgage,42.34183326,43.83599967,43.96,44.169,44.15
EC,avgage,42.99,42.975,43.08,43.37,43.24399939
ERC,avgage,44.54666667,44.426,46.93833333,48.84571429,49.12833333
FCAC,avgage,40.3869863,40.58205128,41.10202381,40.31797872,40.5610101
FEDSO,avgage,38.98701835,40.49598214,41.18201835,40.845,41.44700461
FIN,avgage,40.71899471,41.31500666,41.13900404,41.3790068,41.27299866
FJA,avgage,44.63402985,46.55293103,47.13592593,46.64,43.59508475
FO,avgage,45.30099961,45.475,45.3860002,45.3890001,45.021
FORDQ,avgage,44.26899705,44.54,45.36501511,46.23501502,45.37199405
FTRAC,avgage,39.03299465,40.32299712,39.94501408,39.04200535,39.36798942
GG,avgage,45.23702532,45.744,44.45,44.67301205,44.87697987
GSC,avgage,45.06,45.31899975,45.27800033,45.33099992,44.85299984
H,avgage,43.88600041,44.20099989,44.76599956,44.78500054,44.87800043
HMIRC,avgage,44.00806452,.,.,.,.
HRSD,avgage,45.1030001,44.54700005,44.23100014,43.89900009,43.77899996
IJC,avgage,48.9590625,45.44387097,43.798125,46.136875,44.2759375
INAC,avgage,43.15500101,43.22,43.35099915,43.65699913,43.60100042
IOG,avgage,49.24702381,49.81105882,50.781,49.58105882,50.10704545
IPC,avgage,42.95899225,43.06601533,43.54301418,43.23301158,41.70800766
IRB,avgage,46.70599613,46.34399797,47.26099581,46.81399794,46.79
ISC,avgage,44.23427227,44.30868376,44.38099958,44.07899916,43.74899939
JUS,avgage,43.98500106,44.42799956,44.67199955,44.88099978,45.04
LAC,avgage,44.31900329,43.43300096,43.42199805,44.05,43.87699677
MPCC,avgage,39.15388889,41.17071429,40.29409091,38.87615385,41.36
ND,avgage,47.52699988,47.98399983,48.36199991,48.41400017,48.33100013
NEB,avgage,44.65699267,44.814,44.78,45.30899787,46.17199561
NFB,avgage,43.07300429,44.137,45.04200508,44.91598972,46.1309973
NPB,avgage,45.09099119,45.34899782,44.97,44.74700224,45.435
NR,avgage,45.45600092,45.69900024,45.80899976,45.68600095,45.67299953
NRC,avgage,47.17700142,47.10400113,47.15399945,46.845,46.75799948
NRTEE,avgage,59.05666667,.,.,.,.
NSERC,avgage,42.13800983,42.26799511,42.34100478,42.855,43.38800905
OAG,avgage,40.93199673,41.63099828,42.0519965,41.1460034,40.69400324
OCI,avgage,39.69787879,38.718,40.748,40.60513514,41.38694444
OCOL,avgage,43.50302469,43.33701754,43.31098837,43.785,43.178
ODPP,avgage,43.03,43.25400413,43.93100207,44.125,43.976
OICC,avgage,38.63,39.64399306,39.5859887,39.7380057,39.82699088
OPSIC,avgage,43.72193548,43.945,43.944,42.74692308,44.04791667
ORL,avgage,42.60115385,45.38,44.45518519,45.00192308,47.405
OSFI,avgage,45.24700627,44.89900585,45.261,45.615997,45.42299419
PCA,avgage,45.73,45.06500157,44.88099882,44.52199949,44.29500126
PCC,avgage,42.522,42.39507692,42.93,42.02394366,42.74402985
PCO,avgage,43.54900531,43.56700399,43.43604396,43.72199438,43.3620025
PHAC,avgage,42.82900139,42.766,43.01199909,43.35699955,43.3629991
PMPRB,avgage,45.00207547,44.35709091,43.585,42.00898551,44.04405797
PSC,avgage,44.31500578,45.04899457,44.76399729,45.0719973,44.303
PSEP,avgage,41.1759982,41.69100284,42.01399796,41.026,40.52300261
PSSRB,avgage,42.82802083,42.91505495,.,.,.
PSST,avgage,51.1490625,50.57612903,.,.,.
RCMP,avgage,45.23900017,45.60799967,45.60400031,45.62700046,45.35900015
RPSDP,avgage,35.23777778,42.09,.,.,.
RSCT,avgage,40.506,39.28666667,.,.,.
