dept_code,dimensions,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
ACOA,ex1,16,16,19,22,20,0.03107
ACOA,ex2,7,7,8,8,10,0.01336
ACOA,ex3,7,7,8,8,8,0.0127
ACOA,ex4,3,4,4,4,3,0.00601
ACOA,ex5,2,1,.,.,.,0.001
ACOA,non,555,556,565,573,552,0.93585
AECB,ex1,41,45,43,43,41,0.05061
AECB,ex2,18,20,20,17,16,0.02162
AECB,ex3,12,12,16,16,14,0.01663
AECB,ex4,4,4,4,4,4,0.00475
AECB,ex5,1,1,1,1,1,0.00119
AECB,non,780,739,738,770,783,0.9052
AGR,ex1,67,61,63,58,64,0.01165
AGR,ex2,37,32,33,32,37,0.00636
AGR,ex3,19,19,18,16,17,0.00331
AGR,ex4,7,4,5,6,6,0.00104
AGR,ex5,3,3,2,4,4,0.0006
AGR,non,5858,5172,5073,5051,5106,0.97704
APPRT,non,3,.,.,.,.,1
ATSSC,ex1,.,.,15,16,12,0.03326
ATSSC,ex2,.,.,4,4,5,0.01005
ATSSC,ex3,.,.,3,2,4,0.00696
ATSSC,non,.,.,327,352,549,0.94973
CAS,ex1,10,11,11,11,12,0.01741
CAS,ex2,1,1,1,1,1,0.00158
CAS,ex3,1,1,1,.,.,0.00095
CAS,ex4,1,1,.,1,1,0.00127
CAS,non,610,600,605,655,622,0.97879
CAT,non,9,9,.,.,.,1
CB,ex2,1,1,.,.,.,0.0274
CB,ex3,.,.,1,1,1,0.0411
CB,non,14,12,16,13,13,0.93151
CBSA,ex1,113,113,104,115,92,0.00764
CBSA,ex2,42,44,44,43,41,0.00304
CBSA,ex3,31,29,30,36,33,0.00226
CBSA,ex4,5,4,5,4,3,0.0003
CBSA,ex5,2,3,3,4,4,0.00023
CBSA,non,14025,13903,13927,13969,13534,0.98653
CCMD,ex1,26,27,23,25,25,0.03955
CCMD,ex2,9,7,6,10,6,0.01193
CCMD,ex3,6,6,5,4,3,0.00753
CCMD,ex4,4,3,5,5,4,0.00659
CCMD,ex5,1,.,.,.,.,0.00031
CCMD,non,611,582,607,604,572,0.93409
CCRA,ex1,204,206,197,194,206,0.005
CCRA,ex2,120,141,133,125,118,0.00316
CCRA,ex3,60,60,63,53,58,0.00146
CCRA,ex4,15,15,15,14,15,0.00037
CCRA,ex5,13,10,10,10,10,0.00026
CCRA,non,40844,39847,39641,39088,39816,0.98974
CDC,ex1,1,2,2,2,4,0.03833
CDC,ex2,2,.,1,1,1,0.01742
CDC,ex3,.,1,1,1,.,0.01045
CDC,non,56,48,52,56,56,0.9338
CEAA,ex1,13,11,16,17,17,0.06041
CEAA,ex2,2,1,2,1,1,0.00571
CEAA,ex3,2,2,2,3,3,0.0098
CEAA,non,202,216,209,237,268,0.92408
CEO,ex1,17,16,19,17,15,0.02934
CEO,ex2,4,4,4,6,8,0.00908
CEO,ex3,4,5,3,3,3,0.00629
CEO,ex4,2,2,2,2,1,0.00314
CEO,non,468,493,602,606,557,0.95215
CFGB,ex2,1,1,1,1,2,0.03141
CFGB,non,37,36,41,34,37,0.96859
CFIA,ex1,64,65,66,75,67,0.01098
CFIA,ex2,36,37,38,39,50,0.00651
CFIA,ex3,28,26,28,28,22,0.0043
CFIA,ex4,7,4,4,4,5,0.00078
CFIA,ex5,3,4,4,3,3,0.00055
CFIA,non,6116,6179,5869,5797,6033,0.97688
CGC,ex1,4,5,4,4,4,0.00919
CGC,ex2,3,3,2,2,2,0.00525
CGC,ex4,1,1,1,2,1,0.00263
CGC,non,617,404,401,395,428,0.98292
CH,ex1,61,62,55,62,60,0.03383
CH,ex2,21,21,20,21,24,0.01207
CH,ex3,14,16,17,16,13,0.00857
CH,ex4,2,3,1,3,3,0.00135
CH,ex5,1,2,1,2,2,0.0009
CH,non,1654,1717,1679,1658,1657,0.94328
CHRC,ex1,7,8,8,8,8,0.03846
CHRC,ex2,3,2,4,2,1,0.01183
CHRC,ex4,1,1,1,1,1,0.00493
CHRC,non,204,188,191,194,181,0.94477
CHRT,ex1,1,1,.,.,.,0.04878
CHRT,ex2,1,1,.,.,.,0.04878
CHRT,non,19,18,.,.,.,0.90244
CI,ex1,92,106,98,114,124,0.01767
CI,ex2,24,26,31,25,28,0.00444
CI,ex3,23,28,26,31,30,0.00457
CI,ex4,4,4,4,5,4,0.0007
CI,ex5,2,2,2,2,1,0.0003
CI,non,4705,5761,6224,6410,6278,0.97233
CICS,ex1,1,1,1,1,1,0.04386
CICS,non,22,23,22,21,21,0.95614
CIHR,ex1,4,3,4,3,3,0.00806
CIHR,ex2,16,13,12,12,12,0.03082
CIHR,ex3,2,2,3,3,3,0.00616
CIHR,ex4,2,1,1,1,.,0.00237
CIHR,non,370,393,412,390,444,0.95258
CIRB,ex1,5,5,.,.,.,0.05587
CIRB,ex2,1,1,.,.,.,0.01117
CIRB,ex3,1,.,.,.,.,0.00559
CIRB,non,84,82,.,.,.,0.92737
CITT,ex1,.,2,.,.,.,0.01333
CITT,ex2,4,2,.,.,.,0.04
CITT,ex3,2,2,.,.,.,0.02667
CITT,non,67,71,.,.,.,0.92
CNEDA,ex1,.,.,6,7,5,0.07826
CNEDA,ex2,.,.,1,2,2,0.02174
CNEDA,ex4,.,.,1,1,.,0.0087
CNEDA,non,.,.,67,67,71,0.8913
CPAC,ex1,.,.,1,1,.,0.02817
CPAC,non,16,17,18,18,.,0.97183
CPCC,ex1,.,.,.,1,1,0.02222
CPCC,ex2,1,1,1,.,.,0.03333
CPCC,non,8,10,13,28,26,0.94444
CRTC,ex1,17,14,13,16,13,0.0324
CRTC,ex2,7,6,4,4,4,0.0111
CRTC,ex3,5,4,5,5,6,0.0111
CRTC,ex4,1,1,1,1,1,0.00222
CRTC,non,414,410,439,424,438,0.94319
CSA,ex1,8,6,8,8,10,0.01268
CSA,ex2,10,8,7,8,8,0.013
CSA,ex3,7,7,6,7,5,0.01014
CSA,ex4,.,1,1,1,2,0.00158
CSA,non,638,599,578,592,630,0.9626
CSC,ex1,78,71,62,52,53,0.00356
CSC,ex2,71,65,64,73,67,0.00383
CSC,ex3,24,23,23,21,23,0.00129
CSC,ex4,11,10,11,10,10,0.00059
CSC,ex5,1,2,1,1,1,0.00007
CSC,non,18316,18088,17478,17015,16955,0.99066
CSEC,ex1,12,7,3,2,1,0.00232
CSEC,ex2,37,44,43,42,39,0.01901
CSEC,ex3,16,17,16,17,17,0.0077
CSEC,ex4,3,3,3,5,3,0.00158
CSEC,ex5,2,1,1,1,1,0.00056
CSEC,non,2005,2099,2102,2095,2148,0.96885
CTA,ex1,9,8,8,7,10,0.03605
CTA,ex2,2,2,2,2,2,0.00858
CTA,ex3,2,2,3,3,3,0.01116
CTA,non,231,206,228,227,208,0.94421
CTAIB,ex1,1,1,1,1,1,0.0048
CTAIB,ex2,5,5,5,5,6,0.02495
CTAIB,ex4,1,1,1,1,1,0.0048
CTAIB,non,195,196,206,208,201,0.96545
EA,ex1,319,266,275,286,291,0.04379
EA,ex2,119,117,120,134,144,0.01932
EA,ex3,122,108,104,107,111,0.01682
EA,ex4,28,30,31,23,23,0.00411
EA,ex5,9,8,5,9,10,0.00125
EA,non,8267,5498,5438,5331,5482,0.9147
EC,ex1,107,101,105,93,95,0.01535
EC,ex2,31,34,31,32,31,0.00487
EC,ex3,27,23,25,22,25,0.00374
EC,ex4,6,5,5,4,4,0.00074
EC,ex5,2,3,3,3,4,0.00046
EC,non,6235,6384,6426,6321,6442,0.97484
ERC,ex2,1,.,.,1,1,0.1
ERC,non,5,5,6,6,5,0.9
FCAC,ex1,5,5,5,5,4,0.05607
FCAC,ex2,.,.,.,1,1,0.00467
FCAC,ex4,1,.,1,1,1,0.00935
FCAC,non,67,73,78,87,93,0.92991
FEDSO,ex1,5,7,6,4,4,0.02366
FEDSO,ex2,6,6,6,7,6,0.02821
FEDSO,ex4,2,3,2,1,2,0.0091
FEDSO,non,205,208,204,210,205,0.93904
FIN,ex1,82,79,71,69,69,0.09914
FIN,ex2,34,35,33,35,40,0.04743
FIN,ex3,23,25,21,24,26,0.03189
FIN,ex4,9,9,8,7,8,0.01099
FIN,ex5,7,7,8,7,7,0.00965
FIN,non,601,596,602,593,597,0.80091
FJA,ex1,3,4,3,4,2,0.05387
FJA,ex3,1,1,1,1,.,0.01347
FJA,ex4,.,.,.,1,.,0.00337
FJA,ex5,.,.,.,.,1,0.00337
FJA,non,63,53,50,53,56,0.92593
FO,ex1,162,141,132,127,127,0.01371
FO,ex2,36,37,33,37,45,0.00374
FO,ex3,41,29,35,39,37,0.0036
FO,ex4,10,9,8,11,10,0.00096
FO,ex5,2,2,2,2,.,0.00016
FO,non,10043,9740,9648,9685,10011,0.97783
FORDQ,ex1,6,7,8,7,9,0.02193
FORDQ,ex2,5,5,5,6,6,0.016
FORDQ,ex3,1,.,2,2,1,0.00356
FORDQ,ex4,2,2,.,1,2,0.00415
FORDQ,non,325,334,316,317,318,0.95436
FTRAC,ex1,25,24,26,18,20,0.06182
FTRAC,ex2,5,4,3,4,4,0.01094
FTRAC,ex3,3,3,3,2,2,0.00711
FTRAC,non,341,316,323,350,352,0.92013
GG,ex1,8,8,7,7,6,0.04592
GG,ex2,2,1,2,2,2,0.01148
GG,ex3,3,3,3,3,3,0.01913
GG,non,145,143,144,154,138,0.92347
GSC,ex1,151,160,156,155,160,0.01279
GSC,ex2,115,112,127,128,131,0.01002
GSC,ex3,56,51,56,61,54,0.00455
GSC,ex4,8,10,13,9,13,0.00087
GSC,ex5,2,4,2,3,3,0.00023
GSC,non,11812,11630,11738,11705,12533,0.97155
H,ex1,99,103,93,93,80,0.01003
H,ex2,65,70,77,71,66,0.00748
H,ex3,36,36,32,31,30,0.00354
H,ex4,7,7,7,6,9,0.00077
H,ex5,3,2,3,4,3,0.00032
H,non,9491,9123,8867,8984,9139,0.97785
HMIRC,ex1,2,.,.,.,.,0.06452
HMIRC,non,29,.,.,.,.,0.93548
HRSD,ex1,307,296,307,311,324,0.01419
HRSD,ex2,74,73,66,64,67,0.00316
HRSD,ex3,64,63,73,67,69,0.00309
