dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
ACOA,eng,378,403,408,381,376,0.65105
ACOA,fre,212,200,206,212,210,0.34794
ACOA,na,1,1,1,.,.,0.001
AECB,eng,545,546,584,576,638,0.67944
AECB,fre,256,257,261,242,259,0.29986
AECB,na,20,19,6,41,2,0.0207
AGR,eng,4194,4116,4102,4120,4136,0.78997
AGR,fre,1061,1046,1023,1113,1141,0.20579
AGR,na,36,32,42,1,.,0.00424
ATSSC,eng,.,155,178,307,285,0.50244
ATSSC,fre,.,194,196,258,258,0.49212
ATSSC,na,.,.,.,5,5,0.00543
CAS,eng,317,324,349,326,345,0.52183
CAS,fre,297,294,319,310,301,0.47785
CAS,na,.,.,.,.,1,0.00031
CAT,eng,6,.,.,.,.,0.66667
CAT,fre,3,.,.,.,.,0.33333
CB,eng,2,3,2,5,.,0.16216
CB,fre,11,14,12,9,.,0.62162
CB,sup,.,.,.,.,16,0.21622
CBSA,eng,10715,10776,10923,10507,10652,0.76424
CBSA,fre,3322,3281,3248,3167,3273,0.2324
CBSA,na,59,56,.,33,88,0.00337
CCMD,eng,219,225,238,207,233,0.3587
CCMD,fre,405,420,402,403,362,0.63683
CCMD,na,1,1,8,.,4,0.00448
CCRA,eng,31384,31355,30943,31460,33080,0.78251
CCRA,fre,8848,8662,8505,8762,9071,0.21686
CCRA,na,47,42,36,1,1,0.00063
CDC,eng,20,25,31,30,34,0.47297
CDC,fre,31,30,28,31,34,0.52027
CDC,na,.,1,1,.,.,0.00676
CEAA,eng,149,149,161,193,175,0.64408
CEAA,fre,81,80,92,95,103,0.35125
CEAA,na,.,.,5,1,.,0.00467
CEO,eng,267,328,308,267,315,0.48784
CEO,fre,253,302,326,317,361,0.51216
CFGB,eng,15,18,14,10,9,0.35484
CFGB,fre,22,24,21,29,23,0.63978
CFGB,na,.,.,.,.,1,0.00538
CFIA,eng,4332,4187,4244,4531,4619,0.7138
CFIA,fre,1428,1395,1415,1647,1629,0.24476
CFIA,na,555,427,287,2,1,0.04143
CGC,eng,372,363,366,395,390,0.90456
CGC,fre,32,36,37,40,36,0.08681
CGC,na,9,9,.,.,.,0.00863
CH,eng,704,679,684,626,640,0.37215
CH,fre,1116,1092,1065,1052,1074,0.60284
CH,na,1,2,13,81,127,0.02501
CHRC,eng,108,113,109,96,104,0.52736
CHRC,fre,91,91,96,93,102,0.47065
CHRC,na,.,.,.,2,.,0.00199
CHRT,eng,7,.,.,.,.,0.35
CHRT,fre,13,.,.,.,.,0.65
CI,eng,4102,4514,4548,4431,4827,0.69296
CI,fre,1749,1822,1908,2016,2153,0.29817
CI,na,76,49,131,18,13,0.00887
CICS,eng,10,9,8,6,7,0.35714
CICS,fre,14,14,14,16,14,0.64286
CIHR,eng,265,290,253,287,286,0.63204
CIHR,fre,144,139,156,174,184,0.36476
CIHR,na,3,3,.,1,.,0.0032
CIRB,eng,33,.,.,.,.,0.375
CIRB,fre,55,.,.,.,.,0.625
CITT,eng,37,.,.,.,.,0.48052
CITT,fre,40,.,.,.,.,0.51948
CNEDA,eng,.,66,66,62,64,0.82958
CNEDA,fre,.,9,9,11,13,0.13505
CNEDA,na,.,.,2,5,4,0.03537
CPAC,eng,4,5,7,.,.,0.29091
CPAC,fre,13,14,12,.,.,0.70909
CPCC,eng,8,10,22,18,24,0.57746
CPCC,fre,3,4,7,8,8,0.21127
CPCC,na,.,.,.,1,29,0.21127
CRTC,eng,204,213,214,215,210,0.46643
CRTC,fre,231,249,235,247,245,0.53313
CRTC,na,.,.,1,.,.,0.00044
CSA,eng,190,175,184,198,209,0.30456
CSA,fre,431,425,432,455,435,0.69385
CSA,na,.,.,.,2,3,0.00159
CSC,eng,12955,12546,12355,12311,12210,0.71431
CSC,fre,5181,4975,4813,4778,4934,0.28263
CSC,na,123,118,4,20,2,0.00306
CSEC,eng,1592,1601,1624,1529,1509,0.70951
CSEC,fre,465,487,471,439,432,0.20721
CSEC,na,114,80,67,241,420,0.08328
CTA,eng,120,135,144,140,141,0.58824
CTA,fre,98,106,95,83,93,0.4109
CTA,na,.,.,.,.,1,0.00087
CTAIB,eng,134,136,130,125,124,0.6181
CTAIB,fre,68,76,85,84,86,0.38
CTAIB,na,1,1,.,.,.,0.0019
EA,eng,3708,3734,3644,3651,3751,0.61006
EA,fre,2291,2237,2204,2398,2603,0.38716
EA,na,28,2,42,12,.,0.00277
EC,eng,4648,4697,4562,4594,4744,0.70318
EC,fre,1889,1889,1837,2001,2086,0.29349
EC,na,13,9,76,6,6,0.00333
ERC,eng,3,4,5,.,.,0.4
ERC,fre,2,2,2,.,.,0.2
ERC,sup,.,.,.,6,6,0.4
FCAC,eng,31,41,49,61,70,0.53617
FCAC,fre,27,25,31,38,43,0.34894
FCAC,na,20,18,14,.,2,0.11489
FEDSO,eng,212,201,206,183,216,0.91219
FEDSO,fre,12,17,14,13,12,0.06093
FEDSO,na,.,.,2,21,7,0.02688
FIN,eng,480,464,479,488,529,0.64825
FIN,fre,271,278,250,257,257,0.34883
FIN,na,.,1,6,2,2,0.00292
FJA,eng,20,16,22,17,19,0.32192
FJA,fre,38,38,37,42,43,0.67808
FO,eng,7679,7695,7627,7831,8531,0.77054
FO,fre,2227,2121,2194,2335,2504,0.22279
FO,na,52,42,80,64,103,0.00668
FORDQ,eng,12,12,8,10,9,0.03082
FORDQ,fre,336,319,325,326,297,0.96858
FORDQ,na,.,.,.,.,1,0.0006
FTRAC,eng,221,231,246,223,213,0.62103
FTRAC,fre,126,124,127,137,135,0.35542
FTRAC,na,.,.,1,18,24,0.02355
GG,eng,61,64,70,61,58,0.40568
GG,fre,94,92,96,88,90,0.59432
GSC,eng,5806,5940,5970,6436,6968,0.49395
GSC,fre,6161,6147,6083,6435,6998,0.50513
GSC,na,.,5,8,23,22,0.00092
H,eng,7281,7115,7268,7399,7864,0.79115
H,fre,1973,1909,1891,1923,1868,0.20491
H,na,87,55,30,5,7,0.00394
HRSD,eng,13924,14419,15019,15719,16493,0.66536
HRSD,fre,7078,7205,7286,7842,8234,0.33143
HRSD,na,95,83,7,168,12,0.00321
IJC,eng,19,20,26,26,24,0.72785
IJC,fre,7,8,6,6,7,0.21519
IJC,na,5,4,.,.,.,0.05696
INAC,eng,3714,3563,3452,3200,3336,0.72658
INAC,fre,1128,1107,1080,1165,1195,0.23883
INAC,na,15,14,50,343,400,0.03459
IOG,eng,85,80,85,87,86,0.99296
IOG,na,.,.,.,1,2,0.00704
IPC,eng,140,167,150,139,136,0.55497
IPC,fre,121,115,109,117,114,0.43669
IPC,na,.,.,.,5,6,0.00834
IRB,eng,672,645,678,708,750,0.68675
IRB,fre,309,306,290,323,328,0.30947
IRB,na,2,3,5,.,9,0.00378
ISC,eng,2951,2985,3026,3071,3185,0.62551
ISC,fre,1761,1750,1733,1873,1958,0.37301
ISC,na,6,7,17,3,3,0.00148
JJJ,eng,798,836,851,814,775,0.71624
JJJ,fre,222,232,245,240,234,0.20622
JJJ,na,90,76,45,74,156,0.07753
JUS,eng,3012,2953,3041,3029,3051,0.67037
JUS,fre,1456,1428,1419,1430,1477,0.32039
JUS,na,106,95,1,2,4,0.00924
LAC,eng,570,545,475,477,467,0.52097
LAC,fre,473,481,463,451,460,0.47862
LAC,na,.,.,.,2,.,0.00041
MPCC,eng,7,14,14,13,12,0.57143
MPCC,fre,7,8,12,12,6,0.42857
ND,eng,17763,17370,17601,17629,18046,0.76272
ND,fre,5361,5220,5318,5481,5586,0.23264
ND,na,22,21,35,68,392,0.00464
NEB,eng,390,401,421,418,441,0.90674
NEB,fre,27,27,32,38,36,0.07005
NEB,na,18,19,16,.,.,0.0232
NFB,eng,83,84,89,122,130,0.25748
NFB,fre,289,269,279,249,269,0.68677
NFB,na,48,41,21,.,.,0.05575
NPB,eng,294,297,275,269,267,0.61653
NPB,fre,164,170,170,179,186,0.38215
NPB,na,1,.,2,.,.,0.00132
NR,eng,3070,3046,3081,2839,2931,0.70622
NR,fre,1147,1090,1076,1083,1037,0.25636
NR,na,14,13,34,342,390,0.03742
NRC,eng,2433,2507,2682,2652,2676,0.69374
NRC,fre,786,858,989,1148,1129,0.26303
NRC,na,315,253,109,64,66,0.04323
NSERC,eng,204,216,229,238,255,0.5287
NSERC,fre,195,193,215,203,192,0.46204
NSERC,na,10,9,.,1,.,0.00926
OAG,eng,325,318,331,354,325,0.55845
OAG,fre,256,253,257,262,277,0.44088
OAG,na,.,.,.,1,1,0.00068
OCI,eng,21,19,20,17,16,0.51381
OCI,fre,19,16,17,19,17,0.48619
OCOL,eng,48,44,31,30,25,0.2155
OCOL,fre,123,128,133,125,138,0.78329
OCOL,na,.,.,.,.,1,0.00121
ODPP,eng,766,758,775,770,774,0.78397
ODPP,fre,187,195,195,210,228,0.20706
ODPP,na,16,15,.,10,3,0.00898
OICC,eng,176,215,201,193,230,0.58909
OICC,fre,112,139,150,136,171,0.41091
OPSIC,eng,14,13,14,10,9,0.47619
OPSIC,fre,14,12,12,14,14,0.52381
ORL,eng,13,14,13,11,11,0.496
ORL,fre,13,13,13,13,11,0.504
OSFI,eng,262,287,286,570,583,0.57457
OSFI,fre,70,75,78,117,138,0.13815
OSFI,na,352,338,303,1,.,0.28728
PCA,eng,2353,2557,2913,2847,3041,0.73585
PCA,fre,745,827,969,980,963,0.24065
PCA,na,77,10,4,149,198,0.02351
PCC,eng,51,59,55,49,47,0.75872
PCC,fre,14,15,16,18,20,0.24128
PCO,eng,404,394,394,454,579,0.55681
PCO,fre,347,334,312,322,354,0.41767
PCO,na,.,.,6,23,73,0.02553
PHAC,eng,1799,1830,1861,1861,1848,0.83802
PHAC,fre,354,345,338,366,310,0.15605
PHAC,na,22,11,24,7,1,0.00592
PMPRB,eng,39,42,44,42,41,0.66242
PMPRB,fre,14,18,25,25,17,0.31529
PMPRB,na,2,.,.,2,3,0.02229
PSC,eng,305,313,312,318,327,0.41404
PSC,fre,430,425,424,458,479,0.58254
PSC,na,1,.,5,4,3,0.00342
PSEP,eng,750,679,757,754,798,0.67791
PSEP,fre,307,299,365,388,404,0.31973
PSEP,na,.,.,3,7,3,0.00236
PSSRB,eng,46,.,.,.,.,0.50549
PSSRB,fre,45,.,.,.,.,0.49451
PSST,eng,8,.,.,.,.,0.25806
PSST,fre,23,.,.,.,.,0.74194
RCMP,eng,4853,5208,5490,5404,5765,0.80691
RCMP,fre,1079,1104,1064,1356,1472,0.18346
RCMP,na,133,125,17,41,3,0.00963
RPSDP,eng,1,.,.,.,.,0.11111
RPSDP,fre,8,.,.,.,.,0.88889
RSCT,eng,3,.,.,.,.,0.33333
RSCT,fre,6,.,.,.,.,0.66667
SC,eng,4285,4399,5081,4764,4595,0.67705
SC,fre,2113,2073,2308,2210,2106,0.31651
SC,na,108,60,29,10,13,0.00644
SCC,eng,87,85,84,77,85,0.38349
SCC,fre,132,128,128,139,145,0.61651
SHARE,eng,3394,3313,3258,3209,3616,0.62509
SHARE,fre,1979,1906,1880,2044,2195,0.37245
SHARE,na,21,17,19,4,5,0.00246
SIRC,eng,11,11,12,12,15,0.60396
SIRC,fre,5,7,8,9,8,0.36634
SIRC,na,.,.,.,1,2,0.0297
SSHRC,eng,111,118,115,120,115,0.55407
SSHRC,fre,93,89,95,91,95,0.44306
SSHRC,na,1,2,.,.,.,0.00287
SWC,eng,51,43,43,45,61,0.48503
SWC,fre,46,49,48,54,60,0.51297
SWC,na,1,.,.,.,.,0.002
TBC,eng,1100,1048,1045,1118,1207,0.60892
TBC,fre,677,712,672,722,732,0.38788
TBC,na,1,1,11,1,15,0.0032
TC,eng,3456,3763,3768,3282,3687,0.71045
TC,fre,1302,1429,1384,1494,1672,0.28808
TC,na,13,13,2,6,3,0.00146
TRC,eng,14,9,.,.,.,0.95833
TRC,fre,1,.,.,.,.,0.04167
VAC,eng,2046,2027,2185,2188,2255,0.69559
VAC,fre,1138,1143,1199,591,540,0.29973
VAC,na,4,4,29,30,5,0.00468
VRAB,eng,.,.,.,63,67,0.76023
VRAB,fre,.,.,.,19,18,0.21637
VRAB,na,.,.,.,4,.,0.02339
WDO,eng,294,275,267,259,286,0.92809
WDO,fre,22,20,25,19,16,0.06855
WDO,na,2,2,.,1,.,0.00336
ZGOC,eng,180765,181668,183905,184584,192083,0.7049
ZGOC,fre,73626,73157,73417,76125,78818,0.2865
ZGOC,na,2747,2209,1657,1981,2648,0.00859
ZGOC,sup,0,0,0,6,22,0.00002
