dept_code,dimensions,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
ACOA,nl,100,94,97,98,93,0.16104
ACOA,mb,.,1,1,.,.,0.00067
ACOA,na,.,.,.,2,.,0.00067
ACOA,nb,312,309,301,313,301,0.5132
ACOA,ncr,26,25,25,25,25,0.0421
ACOA,ns,99,107,130,128,124,0.19646
ACOA,pe,53,55,50,49,50,0.08587
AECB,ab,10,8,8,8,8,0.00998
AECB,abroad,1,1,.,2,.,0.00095
AECB,na,.,.,.,.,54,0.01283
AECB,nb,5,4,4,6,5,0.0057
AECB,ncr,786,756,758,776,734,0.9052
AECB,onlessncr,31,33,34,43,42,0.04348
AECB,qclessncr,11,8,7,7,6,0.00927
AECB,sk,12,11,11,9,10,0.01259
AGR,ab,494,460,486,475,505,0.09004
AGR,abroad,2,2,.,.,.,0.00015
AGR,bc,254,214,206,209,209,0.04063
AGR,nl,36,30,35,39,31,0.00636
AGR,mb,843,720,672,626,641,0.1303
AGR,na,.,.,.,62,21,0.00309
AGR,nb,145,131,127,148,139,0.02567
AGR,ncr,2190,1950,1924,1870,2029,0.37069
AGR,ns,135,128,127,139,120,0.02415
AGR,nu,1,.,.,.,.,4E-05
AGR,onlessncr,401,354,371,359,365,0.06883
AGR,pe,80,87,91,95,91,0.01652
AGR,qclessncr,596,518,515,510,503,0.0983
AGR,sk,813,696,639,634,579,0.12505
AGR,yt,1,1,1,1,1,0.00019
APPRT,ncr,3,.,.,.,.,1
ATSSC,bc,.,.,5,6,2,0.01005
ATSSC,mb,.,.,2,1,1,0.00309
ATSSC,na,.,.,.,1,15,0.01237
ATSSC,ncr,.,.,322,345,538,0.93194
ATSSC,ns,.,.,2,2,2,0.00464
ATSSC,onlessncr,.,.,7,7,5,0.01469
ATSSC,qclessncr,.,.,11,12,7,0.0232
CAS,ab,11,10,13,12,11,0.01804
CAS,bc,31,25,26,35,30,0.04653
CAS,nl,.,.,.,2,2,0.00127
CAS,mb,5,5,6,6,3,0.00791
CAS,na,.,.,.,.,6,0.0019
CAS,nb,2,1,2,2,2,0.00285
CAS,ncr,448,442,445,479,459,0.71953
CAS,ns,3,3,3,3,4,0.00506
CAS,onlessncr,67,71,67,76,70,0.11111
CAS,qclessncr,56,57,56,53,49,0.08579
CAT,ncr,9,9,.,.,.,1
CB,na,.,.,.,.,1,0.0137
CB,ncr,15,13,17,14,13,0.9863
