dept_code,dimensions,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
ACOA,cas,9,19,17,26,16,0.02907
ACOA,ind,569,547,552,559,552,0.9285
ACOA,stu,6,16,18,14,17,0.02372
ACOA,ter,6,9,17,16,8,0.01871
AECB,ind,824,798,767,755,753,0.92587
AECB,na,.,.,.,.,1,0.00024
AECB,stu,.,.,.,.,14,0.00333
AECB,ter,32,23,55,96,91,0.07056
AGR,cas,228,197,214,300,198,0.0423
AGR,ind,5089,4405,4204,4098,4280,0.82137
AGR,stu,502,514,590,574,512,0.10016
AGR,ter,172,175,186,195,244,0.03616
APPRT,ind,2,.,.,.,.,0.66667
APPRT,ter,1,.,.,.,.,0.33333
ATSSC,cas,.,.,23,24,32,0.0611
ATSSC,ind,.,.,278,290,393,0.74323
ATSSC,na,.,.,.,.,1,0.00077
ATSSC,stu,.,.,3,10,10,0.01779
ATSSC,ter,.,.,45,50,134,0.17711
CAS,cas,18,34,45,47,17,0.05097
CAS,ind,527,489,477,507,522,0.79835
CAS,stu,16,23,18,21,16,0.02976
CAS,ter,62,68,78,93,81,0.12092
CAT,cas,1,.,.,.,.,0.05556
CAT,ind,6,9,.,.,.,0.83333
CAT,ter,2,.,.,.,.,0.11111
CB,ind,15,13,15,13,12,0.93151
CB,ter,.,.,2,1,2,0.06849
CBSA,cas,200,345,291,306,114,0.01787
CBSA,ind,13444,13183,13267,13245,13006,0.94083
CBSA,stu,357,352,386,435,440,0.02802
CBSA,ter,217,216,169,185,147,0.01328
CCMD,cas,43,48,52,59,43,0.0769
CCMD,ind,588,555,558,541,528,0.86943
CCMD,stu,3,11,21,27,26,0.02762
CCMD,ter,23,11,15,21,13,0.02605
CCRA,ind,31755,31419,31054,30637,30889,0.77374
CCRA,na,.,.,.,.,1,0
CCRA,stu,658,690,746,701,997,0.01884
CCRA,ter,8843,8170,8259,8146,8336,0.20742
CDC,cas,.,.,1,2,4,0.02439
CDC,ind,53,45,46,54,54,0.87805
CDC,stu,1,3,2,1,.,0.02439
CDC,ter,5,3,7,3,3,0.07317
CEAA,cas,6,24,18,30,19,0.07918
CEAA,ind,192,182,184,199,232,0.80735
CEAA,stu,4,6,6,8,13,0.0302
CEAA,ter,17,18,21,21,25,0.08327
CEO,cas,19,55,38,113,39,0.09221
CEO,ind,347,317,313,324,325,0.56794
CEO,stu,18,29,23,21,14,0.03667
CEO,ter,111,119,256,176,206,0.30318
CFGB,cas,1,.,2,.,.,0.01571
CFGB,ind,36,35,37,33,38,0.93717
CFGB,ter,1,2,3,2,1,0.04712
CFIA,ind,5663,5627,5423,5330,5501,0.89708
CFIA,stu,62,107,71,64,92,0.0129
CFIA,ter,529,581,515,552,587,0.09002
CGC,cas,16,10,12,5,8,0.02233
CGC,ind,546,388,379,378,394,0.91287
CGC,stu,4,7,9,6,4,0.01313
CGC,ter,59,8,8,14,29,0.05166
CH,cas,60,103,125,101,79,0.05277
CH,ind,1599,1603,1526,1520,1546,0.87889
CH,stu,41,53,43,58,61,0.02887
CH,ter,53,62,79,83,73,0.03947
CHRC,cas,14,7,11,15,11,0.0572
CHRC,ind,179,165,167,167,162,0.8284
CHRC,stu,6,7,8,10,11,0.04142
CHRC,ter,16,20,18,13,7,0.07298
CHRT,cas,1,1,.,.,.,0.04878
CHRT,ind,16,16,.,.,.,0.78049
CHRT,stu,1,.,.,.,.,0.02439
CHRT,ter,3,3,.,.,.,0.14634
CI,cas,647,822,1008,996,722,0.13884
CI,ind,3622,4253,4242,4381,4565,0.69713
CI,na,.,.,.,.,4,0.00013
CI,stu,107,148,145,135,65,0.01986
CI,ter,474,704,990,1075,1109,0.14404
CICS,cas,1,1,.,.,.,0.01754
CICS,ind,21,22,22,21,20,0.92982
CICS,stu,1,1,1,1,1,0.04386
CICS,ter,.,.,.,.,1,0.00877
CIHR,ind,372,365,361,361,391,0.87719
CIHR,stu,5,15,25,11,18,0.03509
CIHR,ter,17,32,46,37,53,0.08772
CIRB,cas,1,2,.,.,.,0.01676
CIRB,ind,79,76,.,.,.,0.86592
CIRB,ter,11,10,.,.,.,0.11732
CITT,cas,.,7,.,.,.,0.04667
CITT,ind,61,57,.,.,.,0.78667
CITT,stu,1,4,.,.,.,0.03333
CITT,ter,11,9,.,.,.,0.13333
CNEDA,cas,.,.,7,3,4,0.06087
CNEDA,ind,.,.,65,67,71,0.88261
CNEDA,stu,.,.,.,1,1,0.0087
CNEDA,ter,.,.,3,6,2,0.04783
CPAC,cas,.,.,.,1,.,0.01408
CPAC,ind,15,15,16,15,.,0.85915
CPAC,ter,1,2,3,3,.,0.12676
CPCC,cas,2,1,.,3,1,0.07778
CPCC,ind,2,8,7,17,17,0.56667
CPCC,na,.,.,.,.,1,0.01111
CPCC,stu,3,.,1,.,.,0.04444
CPCC,ter,2,2,6,9,8,0.3
CRTC,cas,19,19,24,16,10,0.03906
CRTC,ind,398,395,411,406,421,0.90146
CRTC,stu,4,7,8,9,10,0.01687
CRTC,ter,23,14,19,19,21,0.04261
CSA,cas,17,16,24,26,37,0.03803
CSA,ind,588,574,542,546,540,0.88431
CSA,stu,35,16,18,17,47,0.04216
CSA,ter,23,15,16,27,31,0.0355
CSC,cas,303,352,178,245,245,0.01492
CSC,ind,17368,17013,16646,16131,16102,0.93888
CSC,stu,83,63,38,60,77,0.00362
CSC,ter,747,831,777,736,685,0.04258
CSEC,cas,1,1,1,3,1,0.00065
CSEC,ind,1940,2000,2019,2023,2070,0.93204
CSEC,na,.,.,.,.,2,0.00019
CSEC,stu,.,.,.,.,55,0.0051
CSEC,ter,134,170,148,136,81,0.06203
CTA,cas,8,8,25,29,20,0.07725
CTA,ind,217,205,199,192,181,0.85322
CTA,stu,8,.,8,6,8,0.02575
CTA,ter,11,5,9,12,14,0.04378
CTAIB,cas,1,7,6,4,6,0.02303
CTAIB,ind,195,191,201,205,195,0.94722
CTAIB,stu,2,1,1,2,4,0.0096
CTAIB,ter,4,4,5,4,4,0.02015
EA,cas,348,261,298,253,273,0.04367
EA,ind,7844,5415,5277,5231,5316,0.88627
EA,na,.,.,.,.,1,0.00003
EA,stu,266,136,143,156,171,0.02657
EA,ter,406,215,255,250,300,0.04346
EC,cas,255,318,292,271,265,0.04294
EC,ind,5660,5675,5709,5514,5631,0.86392
EC,stu,354,372,324,339,347,0.0532
EC,ter,139,185,270,351,358,0.03993
ERC,ind,5,5,4,5,5,0.8
ERC,ter,1,.,2,2,1,0.2
FCAC,cas,6,8,7,12,15,0.11215
FCAC,ind,62,66,72,76,76,0.82243
FCAC,stu,2,.,.,4,2,0.01869
FCAC,ter,3,4,5,2,6,0.04673
FEDSO,cas,23,19,25,22,24,0.10282
FEDSO,ind,172,189,181,172,164,0.79891
FEDSO,stu,4,2,2,11,3,0.02002
FEDSO,ter,19,14,10,17,26,0.07825
FIN,cas,16,19,21,23,16,0.02546
FIN,ind,727,715,704,698,713,0.95311
FIN,na,.,.,.,.,1,0.00027
FIN,stu,9,10,5,7,10,0.01099
FIN,ter,4,7,13,7,7,0.01018
FJA,cas,6,2,4,8,3,0.07744
FJA,ind,59,55,48,50,56,0.90236
FJA,stu,1,.,.,.,.,0.00337
FJA,ter,1,1,2,1,.,0.01684
FO,cas,576,693,729,647,561,0.06381
FO,ind,8821,8457,8221,8190,8593,0.84158
FO,na,.,.,.,.,24,0.00048
FO,stu,98,89,110,96,100,0.00981
FO,ter,799,719,798,968,952,0.08431
FORDQ,cas,25,38,37,29,27,0.09247
FORDQ,ind,280,262,258,270,274,0.79668
FORDQ,stu,20,21,19,13,10,0.0492
FORDQ,ter,14,27,17,21,25,0.06165
FTRAC,ind,331,316,317,327,321,0.88184
FTRAC,stu,15,6,17,27,30,0.05197
FTRAC,ter,28,25,21,20,27,0.06619
GG,cas,4,5,6,13,5,0.04209
GG,ind,141,135,137,140,130,0.87117
GG,stu,2,2,3,3,2,0.01531
GG,ter,11,13,10,10,12,0.07143
GSC,cas,385,397,514,618,696,0.04268
GSC,ind,11195,10977,10747,10517,11105,0.8918
GSC,na,.,.,.,.,1,0.00002
GSC,stu,191,198,259,282,389,0.02157
GSC,ter,373,395,572,644,703,0.04394
H,cas,401,394,257,340,273,0.0357
H,ind,8585,8178,8104,8080,8355,0.88561
H,stu,142,177,157,223,186,0.01898
H,ter,573,592,561,546,513,0.05972
HMIRC,cas,3,.,.,.,.,0.09677
HMIRC,ind,22,.,.,.,.,0.70968
HMIRC,stu,2,.,.,.,.,0.06452
HMIRC,ter,4,.,.,.,.,0.12903
HRSD,cas,530,790,1024,986,703,0.03704
HRSD,ind,17404,17549,16953,16840,17613,0.79308
HRSD,stu,245,349,553,538,458,0.01968
HRSD,ter,1867,2409,3177,3948,4955,0.15021
IJC,cas,2,3,.,2,3,0.06289
IJC,ind,25,24,24,25,24,0.7673
IJC,stu,2,2,2,1,2,0.0566
IJC,ter,3,2,6,4,3,0.11321
INAC,cas,85,224,258,278,244,0.04574
INAC,ind,4368,4127,3902,3803,3990,0.84811
INAC,stu,189,218,261,268,252,0.0499
INAC,ter,333,288,263,233,222,0.05625
IOG,cas,1,6,2,5,2,0.03791
IOG,ind,77,77,74,71,75,0.88626
IOG,stu,1,.,.,5,.,0.01422
IOG,ter,5,2,4,4,11,0.06161
IPC,cas,13,16,24,22,12,0.06586
IPC,ind,233,232,244,220,225,0.87358
IPC,stu,3,1,4,8,7,0.01741
IPC,ter,9,12,10,9,17,0.04315
IRB,cas,84,81,91,84,68,0.08201
IRB,ind,825,781,714,718,759,0.76322
IRB,stu,6,12,14,22,20,0.01487
IRB,ter,119,109,135,149,184,0.1399
ISC,cas,69,85,120,125,166,0.02358
ISC,ind,4565,4457,4438,4406,4501,0.93332
ISC,stu,49,79,80,139,142,0.0204
ISC,ter,99,97,104,106,138,0.0227
JUS,cas,66,126,132,125,97,0.02406
JUS,ind,4328,4134,4055,4007,4012,0.90479
JUS,stu,22,32,34,44,45,0.0078
JUS,ter,309,282,255,285,307,0.06336
LAC,cas,44,135,105,71,67,0.08701
LAC,ind,802,776,776,744,765,0.79649
LAC,stu,8,18,18,9,15,0.01402
LAC,ter,59,114,127,114,83,0.10247
MPCC,cas,2,1,2,1,1,0.06667
MPCC,ind,14,11,19,22,22,0.8381
MPCC,stu,.,.,.,1,.,0.00952
MPCC,ter,2,2,1,2,2,0.08571
ND,cas,991,821,913,1058,728,0.03861
ND,ind,22838,21350,20849,20889,21305,0.91785
ND,stu,200,204,180,304,376,0.01082
ND,ter,910,771,669,703,769,0.03271
NEB,cas,4,3,5,12,4,0.01264
NEB,ind,381,399,403,417,422,0.91245
NEB,stu,2,5,1,4,.,0.00542
NEB,ter,22,28,38,36,30,0.06949
NFB,ind,351,340,331,332,334,0.82745
NFB,ter,115,80,63,57,37,0.17255
NPB,cas,27,19,23,34,23,0.05538
NPB,ind,345,357,349,335,356,0.76571
NPB,stu,3,7,9,6,4,0.01275
NPB,ter,79,76,86,72,65,0.16615
NR,cas,231,272,298,290,233,0.06246
NR,ind,3813,3634,3508,3506,3621,0.85309
NR,stu,182,172,166,169,130,0.03864
NR,ter,135,153,177,226,280,0.04581
NRC,cas,.,.,.,1,.,0.00005
NRC,ind,3011,3041,3067,3149,3236,0.84624
NRC,na,.,.,.,.,3,0.00016
NRC,stu,39,48,46,.,72,0.01119
NRC,ter,475,445,505,630,553,0.14235
NRTEE,ind,3,.,.,.,.,1
NSERC,ind,344,341,349,360,367,0.83066
NSERC,stu,11,15,20,19,11,0.03585
NSERC,ter,52,53,49,65,64,0.13349
OAG,cas,1,3,1,3,.,0.0027
OAG,ind,552,536,523,525,529,0.89791
OAG,na,.,.,.,.,2,0.00067
OAG,stu,9,9,15,23,30,0.02898
OAG,ter,49,33,32,37,56,0.06974
OCI,cas,1,1,1,2,1,0.03315
OCI,ind,30,33,31,32,33,0.87845
OCI,stu,1,5,2,2,2,0.0663
OCI,ter,1,1,1,1,.,0.0221
OCOL,cas,6,11,9,10,4,0.04854
OCOL,ind,146,154,155,148,145,0.90777
OCOL,stu,5,2,3,3,1,0.01699
OCOL,ter,5,4,5,3,5,0.0267
ODPP,cas,16,12,21,12,15,0.01567
ODPP,ind,860,874,892,899,909,0.91404
ODPP,stu,7,4,1,1,5,0.00371
ODPP,ter,71,79,54,58,61,0.06658
OICC,cas,5,12,19,21,21,0.04785
OICC,ind,292,269,312,311,278,0.89693
OICC,stu,6,4,16,14,17,0.03497
OICC,ter,5,3,7,5,13,0.02025
OPSIC,cas,2,.,.,2,.,0.02985
OPSIC,ind,27,27,23,23,23,0.91791
OPSIC,na,.,.,.,.,1,0.00746
OPSIC,stu,1,.,.,.,.,0.00746
OPSIC,ter,1,1,2,1,.,0.03731
ORL,cas,.,.,1,1,.,0.0155
ORL,ind,25,26,26,24,24,0.96899
ORL,ter,1,.,.,1,.,0.0155
OSFI,cas,10,9,10,9,8,0.01362
OSFI,ind,600,639,659,628,646,0.9393
OSFI,na,.,.,.,.,3,0.00089
OSFI,stu,5,11,10,5,12,0.01273
OSFI,ter,23,25,21,25,19,0.03346
PCA,cas,.,.,35,78,60,0.00997
PCA,ind,2607,2837,2954,3240,3305,0.86107
PCA,stu,57,87,73,78,87,0.02201
PCA,ter,259,251,332,490,524,0.10695
PCC,cas,3,3,9,8,8,0.09199
PCC,ind,50,52,52,51,50,0.75668
PCC,stu,3,6,8,6,3,0.07715
PCC,ter,4,4,5,6,6,0.07418
PCO,cas,29,52,38,44,57,0.05876
PCO,ind,704,659,655,637,655,0.88408
PCO,stu,11,23,22,17,22,0.02537
PCO,ter,10,17,13,14,65,0.03178
PHAC,cas,75,103,92,107,92,0.04271
PHAC,ind,1881,1831,1852,1883,1908,0.85193
PHAC,stu,92,126,101,115,122,0.05063
PHAC,ter,115,115,141,118,112,0.05473
PMPRB,cas,1,3,6,3,1,0.04575
PMPRB,ind,48,49,52,62,67,0.9085
PMPRB,na,.,.,.,.,1,0.00327
PMPRB,stu,.,1,1,.,.,0.00654
PMPRB,ter,4,2,1,4,.,0.03595
PSC,cas,23,13,30,32,26,0.03212
PSC,ind,814,708,683,682,709,0.93161
PSC,stu,14,9,17,20,30,0.02332
PSC,ter,14,6,8,7,15,0.01295
PSEP,cas,72,61,74,112,98,0.07692
PSEP,ind,977,939,845,911,950,0.85261
PSEP,stu,31,32,41,68,60,0.0428
PSEP,ter,32,25,18,34,41,0.02767
PSSRB,cas,3,7,.,.,.,0.05348
PSSRB,ind,74,71,.,.,.,0.7754
PSSRB,stu,4,1,.,.,.,0.02674
PSSRB,ter,15,12,.,.,.,0.14439
PSST,cas,1,.,.,.,.,0.01587
PSST,ind,25,26,.,.,.,0.80952
PSST,ter,6,5,.,.,.,0.1746
RCMP,cas,95,173,174,184,141,0.02409
RCMP,ind,5543,5616,5763,5837,6150,0.9078
RCMP,stu,37,57,68,69,87,0.00999
RCMP,ter,296,219,432,481,423,0.05813
RPSDP,cas,.,1,.,.,.,0.05556
RPSDP,ind,6,7,.,.,.,0.72222
RPSDP,stu,3,1,.,.,.,0.22222
