"ID","SubjectClass","subjectID","fyear1","fyear2","keys","footnote_en"
1,"dept","CEAA","","","PLANNED_EXP","The figures for Environmental Assessment Delivery do not include the cost recoverable expenditures. The Agency has the authority to cost recover up to $8M annually which is netted against the voted authority."
2,"dept","CEAA","2016-17","","PLANNED_EXP","The figures for Environmental Assessment Delivery do not include the cost recoverable expenditures. The Agency has the authority to cost recover up to $8M annually which is netted against the voted authority."
3,"dept","FIN","2017-18","2019-20","PROG","The Transfer and Taxation Policy Program is being presented as five separate Programs in order display its contributions to different government activities. The total Planned Spending and Planned FTEs for the entire Transfer and Taxation Policy Program for the next three fiscal years will respectively be:
* 2017-18 : $68,450,488,707 and 11 FTEs
* 2018-19 : $70,551,481,211 and 11 FTEs
* 2019-20 : $73,069,931,181 and 11 FTEs"
4,"dept","HRSD","2017-18","2017-18","PLANNED_EXP","Unlike most government organizations, ESDC’s funding is derived from more than just the Consolidated Revenue Fund (CRF). ESDC also has vote-netted revenue authorities to recover costs from :
* the Employment Insurance Operating (EIO) Account,
* the Canada Pension Plan Account, 
* Passport Canada Revolving Fund.


Since these other sources of funds are not included in the grand total of government budgetary spending in the Public Accounts they are not included in GC InfoBase. To find more details on these non-CRF items, please refer to ESDC’s Departmental Plan which includes information regarding all of the department’s sources of funds."
5,"dept","ND","2012-13","","PLANNED_FTE, FTE","Total FTEs includes Regular Force and Civilian."
6,"program","FIN-BLJ01","2017-18","2019-20","PROG","The Transfer and Taxation Policy Program is being presented as five separate Programs in order display its contributions to different government activities. The total Planned Spending and Planned FTEs for the entire Transfer and Taxation Policy Program for the next three fiscal years will respectively be:
* 2017-18 : $68,450,488,707 and 11 FTEs
* 2018-19 : $70,551,481,211 and 11 FTEs
* 2019-20 : $73,069,931,181 and 11 FTEs"
7,"program","FIN-BLJ02","2017-18","2019-20","PROG","The Transfer and Taxation Policy Program is being presented as five separate Programs in order display its contributions to different government activities. The total Planned Spending and Planned FTEs for the entire Transfer and Taxation Policy Program for the next three fiscal years will respectively be:
* 2017-18 : $68,450,488,707 and 11 FTEs
* 2018-19 : $70,551,481,211 and 11 FTEs
* 2019-20 : $73,069,931,181 and 11 FTEs"
8,"program","FIN-BLJ06","2017-18","2019-20","PROG","The Transfer and Taxation Policy Program is being presented as five separate Programs in order display its contributions to different government activities. The total Planned Spending and Planned FTEs for the entire Transfer and Taxation Policy Program for the next three fiscal years will respectively be:
* 2017-18 : $68,450,488,707 and 11 FTEs
* 2018-19 : $70,551,481,211 and 11 FTEs
* 2019-20 : $73,069,931,181 and 11 FTEs"
9,"program","FIN-BLJ09","2017-18","2019-20","PROG","The Transfer and Taxation Policy Program is being presented as five separate Programs in order display its contributions to different government activities. The total Planned Spending and Planned FTEs for the entire Transfer and Taxation Policy Program for the next three fiscal years will respectively be:
* 2017-18 : $68,450,488,707 and 11 FTEs
* 2018-19 : $70,551,481,211 and 11 FTEs
* 2019-20 : $73,069,931,181 and 11 FTEs"
10,"program","FIN-BLJ11","2017-18","2019-20","PROG","The Transfer and Taxation Policy Program is being presented as five separate Programs in order display its contributions to different government activities. The total Planned Spending and Planned FTEs for the entire Transfer and Taxation Policy Program for the next three fiscal years will respectively be:
* 2017-18 : $68,450,488,707 and 11 FTEs
* 2018-19 : $70,551,481,211 and 11 FTEs
* 2019-20 : $73,069,931,181 and 11 FTEs"
11,"dept","CT","2013-14","2013-14","AUTH, EXP","The variance between the actual expenditures of 2013-14 and 2012-13 is due to the direct expenses of hearings held by the Tribunal. In 2012-13, the hearing of two major cases required a substantial amount of Registry resources compared to 2013-14, when there were a much lower number of hearing days."
12,"dept","NR","","2012-13","AUTH, EXP","Natural Resources Canada (NRCan) had a significant spike in temporary funding during the period 2008-09 to 2011-12, resulting principally from Programs announced as part of Canada's Economic Action Plan 2009, including the Pulp and Paper Green Transformation Program and the ecoENERGY Retrofit Homes grant Program."
13,"dept","PSEP","2013-14","2013-14","AUTH, EXP","The significant increase in spending in 2013-14 when compared to 2012-13 expenditures is primarily due to spending for both the Disaster Financial Assistance Arrangements contribution program and for the financial assistance to the Province of Quebec for response and recovery costs from the explosion following the train derailment in Lac-Mégantic, Quebec."
14,"dept","ACOA","2011-12","2012-13","EXP, AUTH","Unspent funds in fiscal years 2011-12 and 2012-13 reflect project delays."
15,"dept","ACOA","2017-18","2019-20","PLANNED_EXP, PLANNED_FTE, FTE","ACOA’s planned spending for its core funding and operating will remain constant in future years. The variation noted in planned spending for future years is explained by the termination of temporary funding initiatives such as CIP-150 as well as in-year authorities related to the collection of repayable contributions not yet received. FTE levels at ACOA have stabilized at around 590 FTEs since 2014-2015. Minor yearly fluctuations will continue to occur as a reflection of staff turnover and resource realignments in support of priorities and projects. The Agency will continue to achieve its results by allocating its FTEs to best support its programs."
16,"dept","AGR","2011-12","2015-16","EXP","Total spending for Agriculture and Agri-Food Canada decreased between 2011-12 and 2015-16 as figure for 2011-12 reflected disaster assistance provided to producers affected by excess moisture conditions in the western provinces and Quebec and assistance provided to livestock producers dealing with the impacts of severe forage shortages as a result of drought; figure for 2015-16 reflected a reduced requirement for statutory grants and contributions under Business Risk Management and savings realized from the organizational restructuring undertaken by the Government."
17,"dept","AGR","2011-12","2019-20","EXP","Total spending for Agriculture and Agri-Food Canada decreased between 2011-12 and 2015-16 as figure for 2011-12 reflected disaster assistance provided to producers affected by excess moisture conditions in the western provinces and Quebec and assistance provided to livestock producers dealing with the impacts of severe forage shortages as a result of drought; figure for 2015-16 reflected a reduced requirement for statutory grants and contributions under Business Risk Management and savings realized from the organizational restructuring undertaken by the Government.
"
18,"dept","AGR","2017-18","2019-20","PLANNED_EXP","The reduction in planned spending in 2018–19 and 2019–20 reflects the need to renew federal authorities for the suite of statutory Business Risk Management programs and the current Non-Business Risk Management Growing Forward 2 programs at the end of the five-year framework in 2017–18. Agriculture and Agri-Food Canada, in consultation with provinces and territories is in the process of finalizing the successor to the Growing Forward 2 policy framework to help Canadian farmers and food processors grow their businesses."
19,"dept","CCRA","2011-12","2015-16","SOBJ","A significant portion of the expenditures reported under Internal Services is associated with Information Technology work and includes activities carried out on behalf of the programs to ensure the continued sustainability of CRA systems."
20,"dept","CEO","2011-12","2019-20","PLANNED_EXP, EXP, AUTH, SOBJ","Spending patterns for the Office of the Chief Electoral Officer vary as a result of the election cycle, with expenditures peaking during general elections."
21,"dept","CEO","2011-12","2019-20","PLANNED_FTE, FTE","The FTE usage pattern for the Office of the Chief Electoral  is a result of the election cycle, with FTE usage increasing during a general election."
22,"dept","CFGB","2011-12","2015-16","EXP, AUTH","One main reason for this is that, for most of these five years, there were several vacancies in the Committee's membership. Committee's members are Governor in Council appointees."
23,"dept","CNEDA","2011-12","2015-16","PEOPLE","Prior to March 2014,  information regarding the number of employees is aggregated with that of Indigenous Affairs and Northern Development Canada."
24,"dept","CNEDA","2017-18","2019-20","PLANNED_EXP","Sunsetting of both the Strategic Investments in Northern Economic Development Program ($19.8 million) and the Canada 150 Community Infrastructure Program ($6.4 million) in 2017-18 make up the majority of the overall reduction from 2018-19 onward. Decisions regarding the extension, reduction or enhancement of programs and funding will be reflected in future budget exercises and Estimate documents."
25,"dept","CTAIB","2013-14","2013-14","EXP","Increase in expenditures for 2013-14 due to the Lac-Mégatic investigation for which special funds where received by the department"
26,"dept","FORDQ","2011-12","2019-20","PLANNED_EXP, EXP, SOBJ","As of 2012-2013, the Economic Development Agency of Canada for the Regions of Quebec (CED) experienced a significant decrease in its actual spending of internal services. This decline is the result of the organization's efforts to comply with governmental guidelines related to deficit reduction. 
The fluctuations in CED’s grants and contributions budget are mainly due to the addition or termination of temporary initiatives entrusted to CED over one or many years. These temporary initiatives are part of the “Strengthening Community Economies” program. CED’s programs are flexible, so as to adjust continually to the challenges and issues of Quebec enterprises and regions. To that end, every year, CED internally reallocates available financial resources among its various programs.
The reinvestments of income from the repayment of contributions by clients are not included in the last two years of financial planning; authorizations not yet obtained at the time of preparation of budget information.
"
27,"dept","ISC","2011-12","2015-16","SOBJ10","Decreases in expenditures under the Strategic Aerospace and Defence Initiative (SADI) from 2012-13 to 2015-16 are mainly due to demand being lower than expected, which directly impacted the number of projects approved and total in-year spending."
28,"dept","ISC","2011-12","2015-16","SOBJ10","The decreases related to the Knowledge Infrastructure Program (KIP) transfer payment reflect disbursement of funds over the lifespan of the program. KIP has now officially concluded."
29,"dept","ISC","2011-12","2015-16","SOBJ10","The four-year funding commitment announced in Budget 2009 for the Bombardier CSeries program ended in 2014–15. Additional funding has since been provided, starting in 2016-17."
