"id","subject_class","subject_id","fyear1","fyear2","topic_keys","footnote_fr"
1,"dept","CEAA","","","PLANNED_EXP","Les dépenses pour le programme de réalisation d'évaluations environnementales n'incluent pas les dépenses recouvrables. L'Agence est autorisée à recouvrer jusqu'à 8 millions de dollars par année, somme qui est déduite de l'autorisation votée."
2,"dept","CEAA","2016-17","","PLANNED_EXP","Les dépenses pour le programme de réalisation d'évaluations environnementales n'incluent pas les dépenses recouvrables. L'Agence est autorisée à recouvrer jusqu'à 8 millions de dollars par année, somme qui est déduite de l'autorisation votée."
3,"dept","CMHC","2018-19","2018-19","PLANNED_EXP","Les montants pour l'exercice 2018-2019 tiennent compte de ceux approuvés dans le cadre de la provision de l'affectation bloquée (248 M$) pour la première année des initiatives lancées dans le cadre de la Stratégie nationale sur le logement (SNL)."
4,"dept","CMHC","2018-19","2018-19","PLANNED_EXP","Les montants pour les exercices 2019-2020 et 2020-2021 ne tiennent pas compte des activités liées à la SNL. Les montants pour ces années seront mis à jour pour tenir compte de ces activités dès que le Plan d'entreprise 2018-2022 modifié sera déposé au Parlement au printemps 2018."
5,"dept","FIN","2017-18","2019-20","PROG","Le programme de paiements de transfert et d'impôt est présenté sous la forme de cinq programmes distincts afin de montrer sa contribution aux différents secteurs d'activités du gouvernement. Les dépenses et les ETP prévus pour le programme de paiements de transfert et d'impôt totaliseront, respectivement, pour les trois prochains exercices:
* 2017-2018 : 68 450 488 707 dollars et 11 ETP
* 2018-2019 : 70 551 481 211 dollars et 11 ETP
* 2019-2020 : 73 069 931 181 dollars et 11 ETP"
6,"dept","H","2018-19","2018-19","PLANNED_EXP","Les dépenses prévues en 2018-2019 chutent de manière importante comparativement aux exercices précédents en raison de l'achèvement du transfert de la  Direction générale de la santé des Premières Nations et des Inuits (DGSPNI)  au ministère des Services aux Autochtones du Canada. La diminution est compensée partiellement par des augmentations qui continueront d'appuyer les priorités de Santé Canada et du gouvernement du Canada."
7,"dept","INAC","2018-19","2018-19","PLANNED_EXP","Depuis le 30 novembre 2017, conformément au Décret en conseil, CP. 2017-1465, les programmes et partenariats en matière d'éducation et de développement social et le Secteur des opérations régionales ont été transférés aux Services aux Autochtones Canada."
8,"dept","INDSC","2018-19","2018-19","PLANNED_EXP","SAC a été établi en vertu du décret C.P. 2017-1465, entré en vigueur le 30 novembre 2017."
9,"dept","ND","2012-13","","PLANNED_FTE, FTE","Le total des ETP inclus la Force régulière et les civils"
10,"program","FIN-BLJ01","2017-18","2019-20","PROG","Le programme de paiements de transfert et d'impôt est présenté sous la forme de cinq programmes distincts afin de montrer sa contribution aux différents secteurs d'activités du gouvernement. Les dépenses et les ETP prévus pour le programme de paiements de transfert et d'impôt totaliseront, respectivement, pour les trois prochains exercices:
* 2017-2018 : 68 450 488 707 dollars et 11 ETP
* 2018-2019 : 70 551 481 211 dollars et 11 ETP
* 2019-2020 : 73 069 931 181 dollars et 11 ETP"
11,"program","FIN-BLJ02","2017-18","2019-20","PROG","Le programme de paiements de transfert et d'impôt est présenté sous la forme de cinq programmes distincts afin de montrer sa contribution aux différents secteurs d'activités du gouvernement. Les dépenses et les ETP prévus pour le programme de paiements de transfert et d'impôt totaliseront, respectivement, pour les trois prochains exercices:
* 2017-2018 : 68 450 488 707 dollars et 11 ETP
* 2018-2019 : 70 551 481 211 dollars et 11 ETP
* 2019-2020 : 73 069 931 181 dollars et 11 ETP"
12,"program","FIN-BLJ06","2017-18","2019-20","PROG","Le programme de paiements de transfert et d'impôt est présenté sous la forme de cinq programmes distincts afin de montrer sa contribution aux différents secteurs d'activités du gouvernement. Les dépenses et les ETP prévus pour le programme de paiements de transfert et d'impôt totaliseront, respectivement, pour les trois prochains exercices:
* 2017-2018 : 68 450 488 707 dollars et 11 ETP
* 2018-2019 : 70 551 481 211 dollars et 11 ETP
* 2019-2020 : 73 069 931 181 dollars et 11 ETP"
13,"program","FIN-BLJ09","2017-18","2019-20","PROG","Le programme de paiements de transfert et d'impôt est présenté sous la forme de cinq programmes distincts afin de montrer sa contribution aux différents secteurs d'activités du gouvernement. Les dépenses et les ETP prévus pour le programme de paiements de transfert et d'impôt totaliseront, respectivement, pour les trois prochains exercices:
* 2017-2018 : 68 450 488 707 dollars et 11 ETP
* 2018-2019 : 70 551 481 211 dollars et 11 ETP
* 2019-2020 : 73 069 931 181 dollars et 11 ETP"
14,"program","FIN-BLJ11","2017-18","2019-20","PROG","Le programme de paiements de transfert et d'impôt est présenté sous la forme de cinq programmes distincts afin de montrer sa contribution aux différents secteurs d'activités du gouvernement. Les dépenses et les ETP prévus pour le programme de paiements de transfert et d'impôt totaliseront, respectivement, pour les trois prochains exercices:
* 2017-2018 : 68 450 488 707 dollars et 11 ETP
* 2018-2019 : 70 551 481 211 dollars et 11 ETP
* 2019-2020 : 73 069 931 181 dollars et 11 ETP"
15,"dept","CT","2013-14","2013-14","AUTH, EXP","L'écart entre les dépenses réelles effectuées en 2012-2013 et en 2013-2014 est attribuable aux dépenses directes au titre des audiences tenues par le Tribunal. En 2012-2013, le Greffe a dû affecter beaucoup de ressources à deux audiences d'importance majeure, tandis qu'en 2013-2014, beaucoup moins de jours ont été consacrés à des audiences."
16,"dept","PSEP","2013-14","2013-14","AUTH, EXP","Le plus remarquable, c'est l'augmentation considérable des dépenses pour l'exercice de 2013-2014 lorsqu'on les compare à celles de 2012-2013 qui est principalement due aux dépenses pour le programme de contributions des Accords d'aide financière en cas de catastrophe et pour l'aide financière fournie à la province de Québec pour les coûts d'intervention et de rétablissement liés à l'explosion qui a suivi le déraillement de train à Lac-Mégantic, au Québec."
17,"dept","ACOA","2017-18","2019-20","PLANNED_EXP, PLANNED_FTE, FTE","Les dépenses prévues de l’APECA liées à son financement et fonctionnement de base demeureront inchangées au cours des prochaines années. Les écarts des dépenses prévues pour les prochaines années reflètent la fin d’initiatives de financement temporaires comme le PIC 150, ainsi que les autorisations en cours d’exercice qui sont liées aux sommes des contributions remboursables qui n’ont pas encore été perçues. Le nombre d’ETP à l’APECA s’est stabilisé à environ 590 depuis 2014-2015. De petites fluctuations continueront d’avoir lieu annuellement en raison du roulement du personnel et de la redistribution des ressources pour appuyer les priorités et les projets. L’Agence continuera d’atteindre ses résultats en affectant ses ETP aux tâches qui lui permettront de mieux appuyer ses programmes."
18,"dept","AGR","2011-12","2015-16","EXP","Les dépenses totales d’Agriculture et Agroalimentaire Canada ont diminué de 2011-2012 à 2015-2016, car les chiffres pour l’exercice 2011-2012 tenaient compte de l’aide en cas de catastrophe versée aux producteurs touchés par les conditions d’humidité excessive dans les provinces de l’Ouest et au Québec et de l’aide fournie aux éleveurs qui ont manqué de fourrage à cause de la sécheresse. Les besoins en subventions et en contributions législatives au titre des programmes de gestion des risques de l’entreprise ont été moins importants en 2015-2016. Des économies ont également été réalisées pendant cet exercice en raison de la restructuration organisationnelle mené par le gouvernement."
19,"dept","AGR","2011-12","2019-20","EXP","Les dépenses totales d’Agriculture et Agroalimentaire Canada ont diminué de 2011-2012 à 2015-2016, car les chiffres pour l’exercice 2011-2012 tenaient compte de l’aide en cas de catastrophe versée aux producteurs touchés par les conditions d’humidité excessive dans les provinces de l’Ouest et au Québec et de l’aide fournie aux éleveurs qui ont manqué de fourrage à cause de la sécheresse. Les besoins en subventions et en contributions législatives au titre des programmes de gestion des risques de l’entreprise ont été moins importants en 2015-2016. Des économies ont également été réalisées pendant cet exercice en raison de la restructuration organisationnelle mené par le gouvernement.

"
20,"dept","AGR","2017-18","2019-20","PLANNED_EXP","La diminution des dépenses prévues en 2018-2019 et 2019-2020 témoigne du fait qu’il faudra renouveler les autorisations fédérales associées à l’ensemble de programmes de gestion des risques de l’entreprise de même qu’aux programmes courants non liés à la gestion des risques de l’entreprise de Cultivons l’avenir 2 lorsque le cadre quinquennal prendra fin en 2017-2018. Agriculture et Agroalimentaire Canada, de concert avec les provinces et les territoires, est en train de finaliser le cadre stratégique qui remplacera Cultivons l’avenir 2 pour aider les agriculteurs et les transformateurs d’aliments du Canada à développer leurs entreprises."
21,"dept","CCRA","2011-12","2015-16","SOBJ","Une partie importante des dépenses déclarées dans le cadre des Services internes est associée au travail relié aux technologies de l'information et comprend les activités menées pour le compte des programmes afin d'assurer la durabilité continue des systèmes de l’ARC."
22,"dept","CEO","2011-12","2019-20","PLANNED_EXP, EXP, AUTH, SOBJ","Le profil global des dépenses du Bureau du directeur générale des élection est le résultat du cycle électoral. Les dépenses augmentent au cours de l'exercice où se tient une élection générale."
23,"dept","CEO","2011-12","2019-20","PLANNED_FTE, FTE","Le profil global d'utilisation d'ETP de du Bureau du directeur générale est le résultat du cycle électoral.  Le nombre d'ETP augmente au cours de l'exercice où se tient une élection générale"
24,"dept","CFGB","2011-12","2015-16","EXP, AUTH","La principale raison en est que pendant la plupart du temps durant cinq années, il y avait plusieurs postes vacants de membres du Comité. Les membres du Comité sont nommés par le gouverneur en conseil."
25,"dept","CNEDA","2011-12","2015-16","PEOPLE","Avant mars 2014, l'information concernant le nombre d'employés est agrégée avec celle des Affaires autochtones et du Nord Canada"
26,"dept","CNEDA","2017-18","2019-20","PLANNED_EXP","La majeure partie de la diminution globale des ressources financières en 2017-18 est attribuable à l’arrivée à terme du programme d’Investissements stratégiques dans le développement économique du Nord (19,8 millions de dollars) et du Programme d’infrastructure communautaire de Canada 150 (6,4 millions de dollars). Des décisions concernant l’extension, la réduction ou l’amélioration des programmes et du financement seront reflétées dans les futurs exercices budgétaires et le budget principal des dépenses."
27,"dept","CTAIB","2013-14","2013-14","EXP","Augmentation des dépenses pour 2013-2014 est en raison de l'enquête Lac-Mégatic pour laquelle des fonds spéciaux ont été reçus par le ministère"
28,"dept","FORDQ","2011-12","2019-20","PLANNED_EXP, EXP, SOBJ","Dès 2012-2013, l'Agence de dévelopment économique Canada pour les régions du Québec (DEC) connaît une diminution significative de ses dépenses réelles en services internes.  Cette baisse est le résultat des efforts de l’organisation pour respecter les orientations gouvernementales liées à la réduction du déficit.  Les fluctuations budgétaires en subventions et contributions de DEC s’expliquent essentiellement par l’ajout ou la fin de certaines initiatives temporaires confiées à DEC s’échelonnant sur une ou plusieurs années.  Ces initiatives temporaires se retrouvent à même le programme « Renforcement de l’économie des collectivités ». 
Les programmes de DEC sont flexibles de façon à s’adapter en continu aux défis et aux enjeux des entreprises et des différentes régions du Québec. Pour y parvenir, DEC procède annuellement à une réallocation, à l’interne, des ressources financières disponibles entre ses différents programmes.
Le réinvestissement des revenus tirés du remboursement des contributions remboursables par les clients n'est pas inclus aux 2 dernières années de planification financière; les autorisations n’étant pas obtenues au moment de la préparation des informations budgétaires."
29,"dept","ISC","2011-12","2015-16","SOBJ10","La diminution des dépenses dans le cadre de l’Initiative stratégique pour l’aérospatiale et la défense (ISAD) de 2012-2013 à 2015-2016 est surtout attribuable au fait que la demande était inférieure à ce qui avait été prévu, ce qui a eu une incidence directe sur le nombre de projets approuvés et les dépenses totales en cours d’exercice."
30,"dept","ISC","2011-12","2015-16","SOBJ10","
Les diminutions relatives au paiement de transfert Programme d’infrastructure du savoir (PIS) reflètent le versement des fonds tout au long du programme. Le PIS a maintenant pris fin officiellement.  
"
31,"dept","ISC","2011-12","2015-16","SOBJ10","L’engagement financier de quatre ans annoncé dans le budget de 2009 pour le programme CSeries de Bombardier a pris fin en 2014-2015. Depuis, un financement supplémentaire a été fourni, à compter de 2016-2017."
32,"dept","ISC","2011-12","2015-16","SOBJ10","
L’augmentation des dépenses dans le cadre du Fonds d’innovation pour le secteur de l’automobile (FISA) est attribuable aux fonds additionnels reçus en 2015-2016 par l’entremise du Budget supplémentaire des dépenses (B) en vue d’appuyer des projets de recherche et développement de grande envergure dans le secteur de l’automobile grâce au FISA, notamment l’avancement de véhicules plus verts et plus économiques.
"
33,"dept","ISC","2011-12","2015-16","SOBJ10","
L’augmentation des dépenses dans le cadre du paiement de transfert pour la Fondation canadienne pour l’innovation est attribuable à un financement supplémentaire de 500 millions de dollars sur cinq ans, à compter de 2014-2015, accordé dans le budget de 2012.
"
34,"dept","ISC","2011-12","2015-16","SOBJ10","La hausse des dépenses pour le paiement de transfert Un Canada branché est attribuable à un nouveau financement provenant du budget de 2014. Le financement continuera d’être versé jusqu’en 2018-2019. 

"
35,"dept","ISC","2011-12","2015-16","SOBJ10,SOBJ","La diminution observée dans les paiements de transfer entre 2011-2012 et 2013-2014 s’explique par la fin du financement qui était accordé dans le budget de 2009. Les dépenses liées aux programmes de paiements de transfert ont commencé à augmenter en 2014-2015 et ont augmenté de nouveau en 2015-2016, reflétant le nouveau financement pour le programme Un Canada branché, le Programme de démonstration de technologies, le Fonds d’innovation pour le secteur de l’automobile et le Programme d’innovation pour les fournisseurs du secteur de l’automobile."
36,"dept","PSC","2015-16","2015-16","SOBJ","Durant l’exercice financier 2015-2016, le plus important programme de la Commission de la fonction publique du Canada en termes de dépenses brutes était « Services de dotation et d’évaluation » (28,8 millions de dollars), suivi de « Services internes » (24,7 millions de dollars). Les dépenses des services internes représentaient 30 pourcent des dépenses brutes de la Commission de la fonction publique du Canada."
37,"dept","PSEP","2011-12","2019-20","PLANNED_EXP, EXP","Les dépenses en subventions et contributions de Sécurité Publique sont sujettes à des écarts significatifs d'une année à l'autre due à un plus grand niveau de risque et d'incertitude. Ceci est relié à un de ses plus larges programmes, le programme de contribution des Accords d’aide financière en cas de catastrophe (AAFCC), sujet à des événements imprévus telles que les catastrophes naturelles."
