fiscal_yr,service_id,program_id
2018-2019,1000,BWM06
2022-2023,1001,BGN01
2018-2019,1001,BGN01
2019-2020,1001,BGN01
2020-2021,1001,BGN01
2021-2022,1001,BGN01
2018-2019,1002,BNV01
2018-2019,1002,BNV02
2018-2019,1002,BNV03
2018-2019,1002,BNV04
2019-2020,1002,BNV01
2019-2020,1002,BNV02
2019-2020,1002,BNV03
2019-2020,1002,BNV04
2020-2021,1002,BNV01
2020-2021,1002,BNV02
2020-2021,1002,BNV03
2020-2021,1002,BNV04
2021-2022,1002,BNV01
2021-2022,1002,BNV02
2021-2022,1002,BNV03
2021-2022,1002,BNV04
2022-2023,1003,BGO01
2018-2019,1003,BGO01
2019-2020,1003,BGO01
2020-2021,1003,BGO01
2021-2022,1003,BGO01
2022-2023,1004,BTG03
2018-2019,1004,BTG03
2019-2020,1004,BTG03
2020-2021,1004,BTG03
2021-2022,1004,BTG03
2022-2023,1005,BGM06
2018-2019,1005,BGM06
2019-2020,1005,BGM06
2020-2021,1005,BGM06
2021-2022,1005,BGM06
2022-2023,1006,BTF01
2018-2019,1006,BTF01
2019-2020,1006,BTF01
2020-2021,1006,BTF01
2021-2022,1006,BTF01
2022-2023,1007,BGO20
2018-2019,1007,BGO20
2019-2020,1007,BGO20
2020-2021,1007,BGO20
2021-2022,1007,BGO20
2022-2023,1008,BTG01
2018-2019,1008,BTG01
2019-2020,1008,BTG01
2020-2021,1008,BTG01
2021-2022,1008,BTG01
2022-2023,1009,BTG01
2018-2019,1009,BTG01
2019-2020,1009,BTG01
2020-2021,1009,BTG01
2021-2022,1009,BTG01
2022-2023,1010,BTF03
2018-2019,1010,BTF03
2019-2020,1010,BTF03
2020-2021,1010,BTF03
2021-2022,1010,BTF03
2022-2023,1011,BTG03
2018-2019,1011,BTG03
2019-2020,1011,BTG03
2020-2021,1011,BTG03
2021-2022,1011,BTG03
2022-2023,1012,BWM06
2018-2019,1012,BWM06
2019-2020,1012,BWM06
2020-2021,1012,BWM06
2021-2022,1012,BWM06
2022-2023,1013,BTF03
2018-2019,1013,BTF03
2019-2020,1013,BTF03
2020-2021,1013,BTF03
2021-2022,1013,BTF03
2018-2019,1014,BWM06
2018-2019,1014,BWM07
2018-2019,1014,BWM08
2022-2023,1015,BTG04
2018-2019,1015,BTG04
2019-2020,1015,BTG04
2020-2021,1015,BTG04
2021-2022,1015,BTG04
2022-2023,1016,BTG04
2018-2019,1016,BTG04
2019-2020,1016,BTG04
2020-2021,1016,BTG04
2021-2022,1016,BTG04
2022-2023,1017,BTG04
2018-2019,1017,BTG04
2019-2020,1017,BTG04
2020-2021,1017,BTG04
2021-2022,1017,BTG04
2022-2023,1018,BTG04
2018-2019,1018,BTG04
2019-2020,1018,BTG04
2020-2021,1018,BTG04
2021-2022,1018,BTG04
2022-2023,1019,BWM07
2018-2019,1019,BWM07
2019-2020,1019,BWM07
2020-2021,1019,BWM07
2021-2022,1019,BWM07
2022-2023,1020,BTG04
2018-2019,1020,BTG04
2019-2020,1020,BTG04
2020-2021,1020,BTG04
2021-2022,1020,BTG04
2022-2023,1021,BTG04
2018-2019,1021,BTG04
2019-2020,1021,BTG04
2020-2021,1021,BTG04
2021-2022,1021,BTG04
2022-2023,1022,BTG04
2018-2019,1022,BTG04
2019-2020,1022,BTG04
2020-2021,1022,BTG04
2021-2022,1022,BTG04
2022-2023,1023,BWM06
2018-2019,1023,BWM06
2019-2020,1023,BWM06
2020-2021,1023,BWM06
2021-2022,1023,BWM06
2022-2023,1024,BTG04
2018-2019,1024,BTG04
2019-2020,1024,BTG04
2020-2021,1024,BTG04
2021-2022,1024,BTG04
2022-2023,1025,BTG04
2018-2019,1025,BTG04
2019-2020,1025,BTG04
2020-2021,1025,BTG04
2021-2022,1025,BTG04
2022-2023,1026,BTF01
2018-2019,1026,BTF01
2019-2020,1026,BTF01
2020-2021,1026,BTF01
2021-2022,1026,BTF01
2022-2023,1027,BTF01
2018-2019,1027,BTF01
2019-2020,1027,BTF01
2020-2021,1027,BTF01
2021-2022,1027,BTF01
2022-2023,1028,BTF07
2018-2019,1028,BTF07
2019-2020,1028,BTF07
2020-2021,1028,BTF07
2021-2022,1028,BTF07
2022-2023,1029,BTG04
2018-2019,1029,BTG04
2019-2020,1029,BTG04
2020-2021,1029,BTG04
2021-2022,1029,BTG04
2022-2023,1030,BTG04
2018-2019,1030,BTG04
2019-2020,1030,BTG04
2020-2021,1030,BTG04
2021-2022,1030,BTG04
2018-2019,1031,BTG01
2019-2020,1031,BTG01
2022-2023,1032,BTF01
2018-2019,1032,BTF01
2019-2020,1032,BTF01
2020-2021,1032,BTF01
2021-2022,1032,BTF01
2022-2023,1033,BTF06
2018-2019,1033,BTF06
2019-2020,1033,BTF06
2020-2021,1033,BTF06
2021-2022,1033,BTF06
2022-2023,1034,BTF06
2018-2019,1034,BTF06
2019-2020,1034,BTF06
2020-2021,1034,BTF06
2021-2022,1034,BTF06
2022-2023,1035,BTG03
2018-2019,1035,BTG03
2019-2020,1035,BTG03
2020-2021,1035,BTG03
2021-2022,1035,BTG03
2022-2023,1036,BTI02
2018-2019,1036,BTI02
2019-2020,1036,BTI02
2020-2021,1036,BTI02
2021-2022,1036,BTI02
2022-2023,1037,BTH01
2018-2019,1037,BTH01
2019-2020,1037,BTH01
2020-2021,1037,BTH01
2021-2022,1037,BTH01
2022-2023,1038,BTH04
2018-2019,1038,BTH04
2019-2020,1038,BTH04
2020-2021,1038,BTH04
2021-2022,1038,BTH04
2022-2023,1039,BTH04
2018-2019,1039,BTH04
2019-2020,1039,BTH04
2020-2021,1039,BTH04
2021-2022,1039,BTH04
2022-2023,1040,BTH04
2018-2019,1040,BTH04
2019-2020,1040,BTH04
2020-2021,1040,BTH04
2021-2022,1040,BTH04
2022-2023,1041,BTI01
2018-2019,1041,BTI01
2019-2020,1041,BTI01
2020-2021,1041,BTI01
2021-2022,1041,BTI01
2022-2023,1042,BWB01
2018-2019,1042,BWB01
2018-2019,1042,BWB02
2019-2020,1042,BWB01
2020-2021,1042,BWB01
2021-2022,1042,BWB01
2022-2023,1043,BTI01
2018-2019,1043,BTI01
2019-2020,1043,BTI01
2020-2021,1043,BTI01
2021-2022,1043,BTI01
2022-2023,1044,BTH04
2018-2019,1044,BTH04
2019-2020,1044,BTH04
2020-2021,1044,BTH04
2021-2022,1044,BTH04
2022-2023,1045,BTH03
2018-2019,1045,BTH03
2019-2020,1045,BTH03
2020-2021,1045,BTH03
2021-2022,1045,BTH03
2022-2023,1046,BNV01
2018-2019,1046,BNV01
2019-2020,1046,BNV01
2020-2021,1046,BNV01
2021-2022,1046,BNV01
2022-2023,1047,BNV01
2018-2019,1047,BNV01
2019-2020,1047,BNV01
2020-2021,1047,BNV01
2021-2022,1047,BNV01
2022-2023,1048,BVT02
2018-2019,1048,BVT02
2019-2020,1048,BVT02
2020-2021,1048,BVT02
2021-2022,1048,BVT02
2022-2023,1050,ISS02
2018-2019,1050,BUP10
2019-2020,1050,BUP10
2020-2021,1050,ISS02
2021-2022,1050,ISS02
2018-2019,1051,BUP07
2018-2019,1052,ISS01
2019-2020,1052,ISS01
2020-2021,1052,ISS01
2018-2019,1053,BUR05
2019-2020,1053,BUR05
2022-2023,1054,ISS0Z
2018-2019,1054,BUR05
2019-2020,1054,BUR05
2020-2021,1054,ISS0Z
2021-2022,1054,ISS0Z
2022-2023,1055,BVH01
2022-2023,1055,BVH02
2022-2023,1055,BVH03
2018-2019,1055,BVH01
2018-2019,1055,BVH02
2018-2019,1055,BVH03
2019-2020,1055,BVH01
2019-2020,1055,BVH02
2019-2020,1055,BVH03
2020-2021,1055,BVH01
2020-2021,1055,BVH02
2020-2021,1055,BVH03
2021-2022,1055,BVH01
2021-2022,1055,BVH02
2021-2022,1055,BVH03
2018-2019,1056,BUO11
2019-2020,1056,BUO11
2018-2019,1057,BUS06
2019-2020,1057,BUS06
2020-2021,1057,BUS06
2018-2019,1058,BUO11
2019-2020,1058,BUO11
2020-2021,1058,ISS04
2022-2023,1059,BVH04
2018-2019,1059,BVH04
2019-2020,1059,BVH04
2020-2021,1059,BVH04
2021-2022,1059,BVH04
2022-2023,1060,BVH04
2018-2019,1060,BVH04
2019-2020,1060,BVH04
2020-2021,1060,BVH04
2021-2022,1060,BVH04
2022-2023,1062,BVH01
2022-2023,1062,BVH02
2022-2023,1062,BVH03
2018-2019,1062,BVH01
2018-2019,1062,BVH02
2018-2019,1062,BVH03
2019-2020,1062,BVH01
2019-2020,1062,BVH02
2019-2020,1062,BVH03
2020-2021,1062,BVH01
2020-2021,1062,BVH02
2020-2021,1062,BVH03
2021-2022,1062,BVH01
2021-2022,1062,BVH02
2021-2022,1062,BVH03
2022-2023,1064,BUQ08
2018-2019,1064,BUQ08
2019-2020,1064,BUQ08
2020-2021,1064,BUQ08
2021-2022,1064,BUQ08
2022-2023,1065,ISS01
2022-2023,1065,ISS02
2018-2019,1065,BUP02
2018-2019,1065,ISS01
2018-2019,1065,ISS02
2019-2020,1065,BUP02
2019-2020,1065,ISS01
2019-2020,1065,ISS02
2020-2021,1065,ISS01
2020-2021,1065,ISS02
2021-2022,1065,ISS01
2021-2022,1065,ISS02
2022-2023,1066,ISS01
2022-2023,1066,ISS02
2018-2019,1066,ISS01
2019-2020,1066,ISS01
2020-2021,1066,ISS01
2020-2021,1066,ISS02
2021-2022,1066,ISS01
2021-2022,1066,ISS02
2022-2023,1088,BVH01
2022-2023,1088,BVH02
2022-2023,1088,BVH03
2018-2019,1088,BVH01
2018-2019,1088,BVH02
2018-2019,1088,BVH03
2019-2020,1088,BVH01
2019-2020,1088,BVH02
2019-2020,1088,BVH03
2020-2021,1088,BVH01
2020-2021,1088,BVH02
2020-2021,1088,BVH03
2021-2022,1088,BVH01
2021-2022,1088,BVH02
2021-2022,1088,BVH03
2022-2023,1089,BVH05
2018-2019,1089,BVH05
2019-2020,1089,BVH05
2020-2021,1089,BVH05
2021-2022,1089,BVH05
2022-2023,1090,BGP06
2018-2019,1090,BGP06
2019-2020,1090,BGP06
2020-2021,1090,BGP06
2021-2022,1090,BGP06
2018-2019,1091,BGB01
2018-2019,1091,BGB02
2018-2019,1091,BGB03
2022-2023,1092,BGS03
2018-2019,1092,BGS03
2019-2020,1092,BGS03
2020-2021,1092,BGS03
2021-2022,1092,BGS03
2022-2023,1093,BGQ01
2018-2019,1093,BGQ01
2019-2020,1093,BGQ01
2020-2021,1093,BGQ01
2021-2022,1093,BGQ01
2022-2023,1094,ISS04
2018-2019,1094,BXC03
2018-2019,1094,ISS04
2019-2020,1094,ISS04
2020-2021,1094,ISS04
2021-2022,1094,ISS04
2022-2023,1095,BVY03
2018-2019,1095,BVY03
2019-2020,1095,BVY03
2020-2021,1095,BVY03
2021-2022,1095,BVY03
2018-2019,1096,BGP03
2022-2023,1097,BRA01
2018-2019,1097,BRA01
2019-2020,1097,BRA01
2020-2021,1097,BRA01
2021-2022,1097,BRA01
2022-2023,1098,BRA01
2018-2019,1098,BRA01
2019-2020,1098,BRA01
2020-2021,1098,BRA01
2021-2022,1098,BRA01
2022-2023,1099,BRA01
2018-2019,1099,BRA01
2019-2020,1099,BRA01
2020-2021,1099,BRA01
2021-2022,1099,BRA01
2022-2023,10,BVV03
2018-2019,10,BVV02
2019-2020,10,BVV02
2020-2021,10,BVV02
2021-2022,10,BVV02
2022-2023,1100,BRA11
2018-2019,1100,BRA11
2019-2020,1100,BRA11
2020-2021,1100,BRA11
2021-2022,1100,BRA11
2022-2023,1101,BRA01
2018-2019,1101,BRA01
2019-2020,1101,BRA01
2020-2021,1101,BRA01
2021-2022,1101,BRA01
2022-2023,1102,BRA01
2018-2019,1102,BRA01
2019-2020,1102,BRA01
2020-2021,1102,BRA01
2021-2022,1102,BRA01
2022-2023,1103,BVY03
2018-2019,1103,ISS06
2019-2020,1103,ISS06
2020-2021,1103,BVY03
2021-2022,1103,BVY03
2022-2023,1104,BRA11
2018-2019,1104,BRA11
2019-2020,1104,BRA11
2020-2021,1104,BRA11
2021-2022,1104,BRA11
2022-2023,1105,BRA09
2018-2019,1105,BRA09
2019-2020,1105,BRA09
2020-2021,1105,BRA09
2021-2022,1105,BRA09
2022-2023,1106,BRA01
2018-2019,1106,BRA01
2019-2020,1106,BRA01
2020-2021,1106,BRA01
2021-2022,1106,BRA01
2022-2023,1107,BRB01
2018-2019,1107,BRB01
2019-2020,1107,BRB01
2020-2021,1107,BRB01
2021-2022,1107,BRB01
2022-2023,1108,BRB01
2018-2019,1108,BRB01
2019-2020,1108,BRB01
2020-2021,1108,BRB01
2021-2022,1108,BRB01
2022-2023,1109,BRB01
2018-2019,1109,BRB01
2019-2020,1109,BRB01
2020-2021,1109,BRB01
2021-2022,1109,BRB01
2022-2023,1110,BRB01
2018-2019,1110,BRB01
