id,parent_id,name_en,name_fr
"agents_parl","dept_agency_p","Agents Of Parliament","Agents du Parlement"
"corp_int","corp_int_gp","Interests","Intérêts"
"corp_int_gp"," ","Interests","Intérêts"
"crown_corp","crown_corp_p","Crown Corporations","Sociétés d'État"
"crown_corp_p","fed_int_gp","Crown Corporations","Sociétés d'État"
"dept_agency","dept_agency_p","Departmental Agencies","Organismes ministériels"
"dept_agency_p","fed_int_gp","Departmental Agencies and Agents of Parliament","Organismes ministériels et agents du Parlement"
"dept_corp","dept_corp_p","Departmental Corporations","Établissements publics"
"dept_corp_p","fed_int_gp","Departmental Corporations and Service Agencies","Établissements publics et organismes de services"
"fed_int_gp"," ","Federal Organizations","Organisations fédérales"
"inter_org","corp_int","International Organizations","Organisations internationales"
"joint_enterprise","corp_int","Joint Enterprises","Entreprises en coparticipation"
"min_dept","min_dept_p","Ministerial Departments","Ministères"
"min_dept_p","fed_int_gp","Ministerial Departments","Ministères"
"other","other_p","Other Organizations","Autres organismes"
"other_gp"," ","Other Organizations","Autres organismes"
"other_p","other_gp","Other Organizations","Autres organismes"
"parl_ent","parl_ent_p","Parliamentary Entities","Entités Parlementaires"
"parl_ent_p","fed_int_gp","Parliamentary Entities","Entités Parlementaires"
"serv_agency","dept_corp_p","Service Agencies","Organismes de services"
"shared_gov_corp","corp_int","Shared-Governance Corporations","Sociétés à régie partagée"
"spec_op_agency","spec_op_agency_p","Special Operating Agencies","Organismes de services spéciaux"
"spec_op_agency_p","fed_int_gp","Special Operating Agencies","Organismes de services spéciaux"
