"id","name_en","name_fr"
1,"Minister of Natural Resources","Ministre des Ressources naturelles"
2,"remove","supprimer"
3,"Minister of Employment, Workforce Development and Disability Inclusion","Ministre de l’Emploi, du Développement de la main-d’œuvre et de l'Inclusion des personnes handicapées"
4,"Prime Minister","Premier ministre"
5,"Minister of Canadian Heritage","Ministre du Patrimoine canadien"
6,"Minister for Women and Gender Equality and Rural Economic Development","Ministre des Femmes et de l’Égalité des genres et du Développement économique rural"
7,"Minister of Seniors","Ministre des Aînés"
8,"Minister of Public Safety and Emergency Preparedness","Ministre de la Sécurité publique et de la Protection civile"
9,"Minister of Public Services and Procurement","Ministre des Services publics et de l’Approvisionnement"
10,"remove","supprimer"
11,"Minister of Innovation, Science and Industry","Ministre de l'Innovation, des Sciences et de l'Industrie"
12,"Minister of Immigration, Refugees and Citizenship","Ministre de l'Immigration, des Réfugiés et de la Citoyenneté"
13,"President of the Treasury Board","Président du Conseil du Trésor"
14,"Minister of Indigenous Services","Ministre des Services aux autochtones"
15,"Minister of Environment and Climate Change","Ministre de l'Environnement et du Changement climatique"
16,"Minister of National Revenue","Ministre du Revenu national"
17,"Minister of Small Business, Export Promotion and International Trade","Ministre de la Petite Entreprise, de la Promotion des exportations et du Commerce international"
18,"Minister of Agriculture and Agri-Food","Ministre de l'Agriculture et de l'Agroalimentaire"
19,"President of the Queen's Privy Council for Canada","Président du Conseil privé de la Reine pour le Canada"
20,"remove","supprimer"
21,"Minister of Justice and Attorney General of Canada","Ministre de la Justice et procureur général du Canada"
22,"Leader of the Government in the House of Commons","Leader du gouvernement à la Chambre des communes"
23,"remove","supprimer"
24,"Minister of National Defence","Ministre de la Défense nationale"
25,"Minister of Transport","Ministre des Transports"
26,"Minister of International Development","Ministre du Développement international"
27,"Minister of Foreign Affairs","Ministre des Affaires étrangères"
28,"Minister of Fisheries, Oceans and the Canadian Coast Guard","Ministre des Pêches, des Océans et de la Garde côtière canadienne"
29,"Minister of Health","Ministre de la Santé"
30,"Minister of Crown-Indigenous Relations","Ministre des Relations Couronne-Autochtones"
31,"Minister of Northern Affairs","Ministre des Affaires du Nord"
32,"Minister of Veterans Affairs","Ministre des Anciens Combattants"
33,"Minister of Families, Children and Social Development","Ministre de la Famille, des Enfants et du Développement social"
34,"remove","supprimer"
35,"Minister of Infrastructure and Communities","Ministre de l'Infrastructure et des Collectivités"
36,"Minister of Finance","Ministre des Finances"
37,"remove","supprimer"
38,"Minister of Rural Economic Development","Ministre du Développement économique rural"
39,"Deputy Prime Minister and Minister of Intergovernmental Affairs","Vice-première ministre et ministre des Affaires intergouvernementales"
40,"Minister of Diversity and Inclusion and Youth","Ministre de la Diversité et de l’Inclusion et de la Jeunesse"
41,"Minister of Labour","Ministre du Travail"
42,"Minister of Middle Class Prosperity and Associate Minister of Finance","Ministre de la Prospérité de la classe moyenne et ministre associée des Finances"
43,"Minister of Digital Government","Ministre du Gouvernement numérique"
44,"Minister of Economic Development and Official Languages","Ministre du Développement économique et des Langues officielles"

