"dept_code","id","doc","authority_2018"
"ACOA","ACOA-BED00","ME",300441040
"ACOA","ACOA-BED00","SEA",25587539
"ACOA","ACOA-BED00","SEB",3100000
"ACOA","ACOA-BUDIM","ME",
"ACOA","ACOA-ISS00","ME",26917122
"AECB","AECB-BTJ00","ME",101640058
"AECB","AECB-ISS00","ME",39162347
"AECL","AECL-BAA00","ME",450707204
"AECL","AECL-BAA00","SEA",43292
"AECL","AECL-BAB00","ME",592832436
"AGR","AGR-BUDIM","ME",
"AGR","AGR-BWN00","ME",250182291
"AGR","AGR-BWN00","SEA",10991448
"AGR","AGR-BWO00","ME",590110466
"AGR","AGR-BWO00","SEA",18983887
"AGR","AGR-BWP00","ME",1524183899
"AGR","AGR-BWP00","SEA",-745000
"AGR","AGR-ISS00","ME",151526770
"AGR","AGR-ISS00","SEA",1024450
"ATSSC","ATSSC-BEE00","ME",44987481
"ATSSC","ATSSC-BEE00","SEA",0
"ATSSC","ATSSC-BEE00","SEB",1918767
"ATSSC","ATSSC-BUDIM","ME",
"ATSSC","ATSSC-ISS00","ME",20256303
"ATSSC","ATSSC-ISS00","SEA",0
"ATSSC","ATSSC-ISS00","SEB",182384
"CAS","CAS-BEG00","ME",52574948
"CAS","CAS-BEG00","SEA",3114826
"CAS","CAS-BUDIM","ME",
"CAS","CAS-ISS00","ME",20103520
"CAS","CAS-ISS00","SEA",1844997
"CATSA","CATSA-BEO00","ME",586157871
"CATSA","CATSA-BEO00","SEA",36038397
"CATSA","CATSA-BUDIM","ME",
"CB","CB-BEZ00","ME",2688641
"CB","CB-ISS00","ME",630669
"CB","CB-ISS00","SEA",99196
"CBC","CBC-BFD00","ME",1210777365
"CBSA","CBSA-BUDIM","ME",
"CBSA","CBSA-BUF00","ME",1279211489
"CBSA","CBSA-BUF00","SEA",79415267
"CBSA","CBSA-BUF00","SEB",-1018133
"CBSA","CBSA-BUG00","ME",195091534
"CBSA","CBSA-BUG00","SEA",9169490
"CBSA","CBSA-ISS00","ME",336016996
"CBSA","CBSA-ISS00","SEA",5544178
"CBSA","CBSA-ISS00","SEB",-438955
"CC","CC-BFJ00","ME",292632337
"CC","CC-BFJ00","SEA",127000
"CCMD","CCMD-BTR00","ME",60910915
"CCMD","CCMD-ISS00","ME",20564234
"CCMD","CCMD-ISS00","SEA",99196
"CCOHS","CCOHS-BFZ00","ME",6506024
"CCOHS","CCOHS-ISS00","ME",2530121
"CCRA","CCRA-BRA00","ME",2793270920
"CCRA","CCRA-BRA00","SEA",16587764
"CCRA","CCRA-BRA00","SEB",8443405
"CCRA","CCRA-BRB00","ME",482609132
"CCRA","CCRA-BRB00","SEA",0
"CCRA","CCRA-BRC00","ME",3132365
"CCRA","CCRA-BUDIM","ME",
"CCRA","CCRA-ISS00","ME",925713343
"CCRA","CCRA-ISS00","SEA",16033530
"CCRA","CCRA-ISS00","SEB",9813363
"CDC","CDC-BGA00","ME",3755068
"CDC","CDC-BGA00","SEA",99196
"CEAA","CEAA-BGV00","ME",27760167
"CEAA","CEAA-BGV00","SEA",13564737
"CEAA","CEAA-BGV00","SEB",-100000
"CEAA","CEAA-ISS00","ME",5869608
"CEAA","CEAA-ISS00","SEA",7400392
"CEO","CEO-BGG00","ME",94074700
"CEO","CEO-BGG00","SEB",-26618
"CEO","CEO-ISS00","ME",41137302
"CFDC","CFDC-BSQ00","ME",67795087
"CFDC","CFDC-BSQ00","SEA",1000000
"CFDC","CFDC-BSR00","ME",20030146
"CFDC","CFDC-ISS00","ME",13041496
"CFGB","CFGB-BUZ00","ME",4462539
"CFGB","CFGB-ISS00","ME",2298884
"CFIA","CFIA-BUDIM","ME",
"CFIA","CFIA-BUH00","ME",571740385
"CFIA","CFIA-BUH00","SEA",8260041
"CFIA","CFIA-BUH00","SEB",1854130
"CFIA","CFIA-ISS00","ME",127384141
"CFIA","CFIA-ISS00","SEA",1165180
"CFIA","CFIA-ISS00","SEB",71265
"CGC","CGC-BGB00","ME",5261833
"CGC","CGC-ISS00","ME",245000
"CGC","CGC-ISS00","SEA",99196
"CH","CH-BSD00","ME",455263886
"CH","CH-BSD00","SEA",17122145
"CH","CH-BSD00","SEB",-321339
"CH","CH-BSE00","ME",102476520
"CH","CH-BSE00","SEA",1925000
"CH","CH-BSE00","SEB",5023507
"CH","CH-BSF00","ME",215874018
"CH","CH-BSF00","SEA",12809292
