"dept_code","cr_id",,"doc","est_last_year_4","est_last_year_3","est_last_year_2","est_last_year","est_in_year","est_next_year"
"ACOA","ACOA-BED00","","IE",0,0,0,0,0,16476373
"ACOA","ACOA-ISS00","","ME",63873388,64399896,64222120,63351960,66292642,0
"ACOA","ACOA-SO001","","SEC",35962,0,0,0,0,0
"ACOA","ACOA-SO002","","VA",4695032,3252679,3219995,6586778,4119021,0
"AECB","AECB-BTJ00","","IE",0,0,0,0,0,22829478
"AECB","AECB-ISS00","","ME",36578266,38921080,38686934,37939524,38176811,0
"AECB","AECB-SO003","","SEB",0,0,86001,0,0,0
"AECB","AECB-SO004","","SEC",167265,103491,0,0,0,0
"AECL","AECL-BAA00","","IE",0,0,0,0,0,299320507
"AECL","AECL-BAB00","","ME",102143000,102143000,968615589,971055162,1043539640,0
"AECL","AECL-SO005","","SEA",195000000,164900000,0,0,43292,0
"AGR","AGR-BWN00","","IE",0,0,0,0,0,141880609
"AGR","AGR-BWO00","","ME",544949432,548177880,534827658,535624241,568453709,0
"AGR","AGR-BWP00","","SEA",0,-7400000,2127657,6175775,23863536,0
"AGR","AGR-ISS00","","SEB",5588731,0,1993716,1270503,0,0
"AGR","AGR-SO006","","SEC",0,6851667,344107670,-199000,0,0
"AGR","AGR-SO007","","VA",34923299,30072472,30185322,63825086,30115404,0
"AGR","AGR-SO008","","IE",0,0,0,0,0,104743750
"AGR","AGR-SO009","","ME",365352000,367238619,343252000,335932000,425525000,0
"ATSSC","ATSSC-BEE00","","IE",0,0,0,0,0,26717263
"ATSSC","ATSSC-ISS00","","ME",0,52297037,48879363,52628925,55556354,0
"ATSSC","ATSSC-SO014","","SEA",0,0,2654421,2656949,0,0
"ATSSC","ATSSC-SO015","","SEB",0,0,218046,443165,1840424,0
"CAS","CAS-BEG00","","IE",0,0,0,0,0,19902370
"CAS","CAS-ISS00","","ME",61260445,57320466,65199516,68590696,66233161,0
"CAS","CAS-SO016","","SEA",0,0,0,0,4588336,0
"CAS","CAS-SO017","","SEB",0,0,2205425,1000000,0,0
"CAT","CAT-SO018","","ME",1295394,0,0,0,0,0
"CAT","CAT-SO019","","VA",-471376,0,0,0,0,0
"CATSA","CATSA-BEO00","","IE",0,0,0,0,0,244525123
"CATSA","CATSA-SO020","","ME",591626313,678420347,624005722,584584214,586157871,0
"CB","CB-BEZ00","","IE",0,0,0,0,0,945384
"CB","CB-ISS00","","ME",2829969,2818917,2813641,2802641,3022473,0
"CB","CB-SO021","","SEA",0,0,0,0,99196,0
"CB","CB-SO022","","VA",167018,143281,140946,285943,674000,0
"CBC","CBC-BFD00","","IE",0,0,0,0,0,274528462
"CBC","CBC-SO023","","ME",929278212,928331798,927306798,1076202798,1097768365,0
"CBSA","CBSA-BUF00","","IE",0,0,0,0,0,387553464
"CBSA","CBSA-BUG00","","ME",1397915271,1411403312,1357329190,1388555431,1442043878,0
"CBSA","CBSA-ISS00","","MYA",93576414,48402960,39351236,122503987,159557676,0
"CBSA","CBSA-SO024","","SEA",0,1700001,5311942,198962446,85654171,0
"CBSA","CBSA-SO025","","SEB",-56831060,0,3542805,12426243,-1457088,0
"CC","CC-BFJ00","","IE",0,0,0,0,0,136518457
"CC","CC-SO027","","ME",182092916,182097387,182347387,257347387,292632337,0
"CCC","CCC-SO028","","ME",15654204,8880000,3510000,0,0,0
"CCMD","CCMD-BTR00","","IE",0,0,0,0,0,15869455
"CCMD","CCMD-ISS00","","ME",39921868,53794403,69217505,63416105,64391765,0
"CCMD","CCMD-SO029","","SEA",0,0,0,0,99196,0
"CCMD","CCMD-SO030","","SEB",799707,0,0,0,0,0
"CCOHS","CCOHS-BFZ00","","IE",0,0,0,0,0,2401786
"CCOHS","CCOHS-ISS00","","ME",3978250,3969600,3969600,3956267,4111237,0
"CCOHS","CCOHS-SO031","","VA",409009,347584,150652,367012,230410,0
"CCOHS","CCOHS-SO032","","ME",1080791,1100669,682772,621134,624908,0
"CCRA","CCRA-BRA00","","IE",0,0,0,0,0,862049712
"CCRA","CCRA-BRB00","","ME",2877504675,2898927871,3032118914,3173383552,3217340057,0
"CCRA","CCRA-BRC00","","MYA",292514316,214322492,227536319,182213512,119069543,0
"CCRA","CCRA-ISS00","","SEA",0,0,0,0,25486619,0
"CCRA","CCRA-SO033","","SEB",55583156,0,139583733,44941394,14038013,0
"CCRA","CCRA-SO034","","SEC",0,72931825,25941118,19241916,0,0
"CCRA","CCRA-SO035","","VA",166267565,81889528,163943903,403933551,183250039,0
"CCRA","CCRA-SO036","","IE",0,0,0,0,0,6479939
"CDC","CDC-BGA00","","IE",0,0,0,0,0,943223
"CDC","CDC-SO037","","ME",3610936,3605377,3599617,3599617,3755068,0
"CEAA","CEAA-BGV00","","IE",0,0,0,0,0,13377780
"CEAA","CEAA-ISS00","","ME",28227786,15591619,27512578,30640824,30232320,0
"CEAA","CEAA-SO038","","SEA",0,6234050,4679144,0,19137411,0
"CEAA","CEAA-SO039","","SEB",122211,0,4504360,1631948,-100000,0
"CEO","CEO-BGG00","","IE",0,0,0,0,0,9804477
"CEO","CEO-ISS00","","ME",30538285,29204976,29212735,29253454,30768921,0
"CEO","CEO-SO040","","SEB",0,0,0,0,1282885,0
"CEO","CEO-SO042","","VA",1044361,2089550,1500968,3048928,1735089,0
