Year,Department or agency,Age band,Number of employees
2010,Agriculture and Agri-Food Canada,<20,37
2010,Agriculture and Agri-Food Canada,20-24,468
2010,Agriculture and Agri-Food Canada,25-29,497
2010,Agriculture and Agri-Food Canada,30-34,698
2010,Agriculture and Agri-Food Canada,35-39,761
2010,Agriculture and Agri-Food Canada,40-44,833
2010,Agriculture and Agri-Food Canada,45-49,1090
2010,Agriculture and Agri-Food Canada,50-54,1260
2010,Agriculture and Agri-Food Canada,55-59,838
2010,Agriculture and Agri-Food Canada,60-64,334
2010,Agriculture and Agri-Food Canada,65+,122
2010,Agriculture and Agri-Food Canada Total,Total,6938
2010,Assisted Human Reproduction Canada,25-29,*
2010,Assisted Human Reproduction Canada,35-39,*
2010,Assisted Human Reproduction Canada,40-44,*
2010,Assisted Human Reproduction Canada,45-49,*
2010,Assisted Human Reproduction Canada,55-59,*
2010,Assisted Human Reproduction Canada,60-64,*
2010,Assisted Human Reproduction Canada,65+,*
2010,Assisted Human Reproduction Canada Total,Total,14
2010,Atlantic Canada Opportunities Agency,<20,*
2010,Atlantic Canada Opportunities Agency,20-24,38
2010,Atlantic Canada Opportunities Agency,25-29,58
2010,Atlantic Canada Opportunities Agency,30-34,83
2010,Atlantic Canada Opportunities Agency,35-39,107
2010,Atlantic Canada Opportunities Agency,40-44,123
2010,Atlantic Canada Opportunities Agency,45-49,123
2010,Atlantic Canada Opportunities Agency,50-54,122
2010,Atlantic Canada Opportunities Agency,55-59,80
2010,Atlantic Canada Opportunities Agency,60-64,24
2010,Atlantic Canada Opportunities Agency,65+,*
2010,Atlantic Canada Opportunities Agency Total,Total,766
2010,Canada Border Services Agency,<20,37
2010,Canada Border Services Agency,20-24,799
2010,Canada Border Services Agency,25-29,2052
2010,Canada Border Services Agency,30-34,2185
2010,Canada Border Services Agency,35-39,1846
2010,Canada Border Services Agency,40-44,1882
2010,Canada Border Services Agency,45-49,2078
2010,Canada Border Services Agency,50-54,1922
2010,Canada Border Services Agency,55-59,1131
2010,Canada Border Services Agency,60-64,374
