Year,Universe,Department or agency,Number of employees
2010,CPA,Agriculture and Agri-Food Canada,6938
2010,CPA,Assisted Human Reproduction Canada,14
2010,CPA,Atlantic Canada Opportunities Agency,766
2010,CPA,Canada Border Services Agency,14398
2010,CPA,Canada Economic Development for Quebec Regions,453
2010,CPA,Canada Industrial Relations Board,106
2010,CPA,Canada School of Public Service,1017
2010,CPA,Canadian Artists and Producers Professional Relations Tribunal,12
2010,CPA,Canadian Dairy Commission,64
2010,CPA,Canadian Grain Commission,692
2010,CPA,Canadian Heritage,2358
2010,CPA,Canadian Human Rights Commission,199
2010,CPA,Canadian Intergovernmental Conference Secretariat,25
2010,CPA,Canadian International Trade Tribunal,82
2010,CPA,Canadian Radio-television and Telecommunications Commission,436
2010,CPA,Canadian Space Agency,714
2010,CPA,Canadian Transportation Agency,255
2010,CPA,Civilian Review and Complaints Commission for the RCMP,56
2010,CPA,Competition Bureau Canada,12
2010,CPA,Copyright Board Canada,15
2010,CPA,Correctional Service Canada,17711
2010,CPA,Courts Administration Service,636
2010,CPA,Crown-Indigenous Relations and Northern Affairs Canada,5371
2010,CPA,Department of Finance Canada,803
2010,CPA,Department of Justice Canada,4992
2010,CPA,Elections Canada,547
2010,CPA,Employment and Social Development Canada,26012
2010,CPA,Environment and Climate Change Canada,7578
2010,CPA,Farm Products Council of Canada,15
2010,CPA,Federal Judges not part of any department,1085
2010,CPA,Fisheries and Oceans Canada,11159
2010,CPA,Global Affairs Canada,6968
2010,CPA,Hazardous Materials Information Review Commission Canada,38
2010,CPA,Health Canada,10566
2010,CPA,Human Rights Tribunal of Canada,19
2010,CPA,Immigration and Refugee Board of Canada,998
2010,CPA,"Immigration, Refugees and Citizenship Canada",4752
2010,CPA,Impact Assessment Agency of Canada,133
2010,CPA,Indian Residential Schools Truth and Reconciliation Commission,19
2010,CPA,Infrastructure Canada,332
2010,CPA,"Innovation, Science and Economic Development Canada",5769
2010,CPA,International Joint Commission,28
2010,CPA,Library and Archives Canada,1148
2010,CPA,Military Grievances External Review Committee,37
2010,CPA,Military Police Complaints Commission of Canada,14
2010,CPA,NAFTA Secretariat,8
2010,CPA,National Defence,27291
2010,CPA,Natural Resources Canada,4951
2010,CPA,Office of the Commissioner for Federal Judicial Affairs Canada,73
2010,CPA,Office of the Commissioner of Lobbying of Canada,26
2010,CPA,Office of the Commissioner of Official Languages,174
2010,CPA,Office of the Governor General's Secretary,171
2010,CPA,Office of the Public Sector Integrity Commissioner of Canada,23
2010,CPA,Offices of the Information and Privacy Commissioners of Canada,253
