Year,Department or agency,Executive level,Number of employees
2010,Agriculture and Agri-Food Canada,Non-EX,6778
2010,Agriculture and Agri-Food Canada,ex   01,83
2010,Agriculture and Agri-Food Canada,ex   02,41
2010,Agriculture and Agri-Food Canada,ex   03,25
2010,Agriculture and Agri-Food Canada,ex   04,8
2010,Agriculture and Agri-Food Canada,ex   05,3
2010,Assisted Human Reproduction Canada,Non-EX,12
2010,Assisted Human Reproduction Canada,ex   01,2
2010,Atlantic Canada Opportunities Agency,Non-EX,721
2010,Atlantic Canada Opportunities Agency,ex   01,23
2010,Atlantic Canada Opportunities Agency,ex   02,10
2010,Atlantic Canada Opportunities Agency,ex   03,8
2010,Atlantic Canada Opportunities Agency,ex   04,3
2010,Atlantic Canada Opportunities Agency,ex   05,1
2010,Canada Border Services Agency,Non-EX,14217
2010,Canada Border Services Agency,ex   01,133
2010,Canada Border Services Agency,ex   02,28
2010,Canada Border Services Agency,ex   03,15
2010,Canada Border Services Agency,ex   04,5
2010,Canada Economic Development for Quebec Regions,Non-EX,434
2010,Canada Economic Development for Quebec Regions,ex   01,6
2010,Canada Economic Development for Quebec Regions,ex   02,10
2010,Canada Economic Development for Quebec Regions,ex   03,1
2010,Canada Economic Development for Quebec Regions,ex   04,2
2010,Canada Energy Regulator,Non-EX,337
2010,Canada Energy Regulator,ex   01,5
2010,Canada Energy Regulator,ex   02,3
2010,Canada Energy Regulator,ex   03,9
2010,Canada Energy Regulator,ex   04,2
2010,Canada Energy Regulator,ex   05,1
2010,Canada Industrial Relations Board,Non-EX,100
2010,Canada Industrial Relations Board,ex   01,5
2010,Canada Industrial Relations Board,ex   03,1
2010,Canada Revenue Agency,Non-EX,42809
2010,Canada Revenue Agency,ex   01,206
2010,Canada Revenue Agency,ex   02,125
2010,Canada Revenue Agency,ex   03,54
2010,Canada Revenue Agency,ex   04,14
2010,Canada Revenue Agency,ex   05,8
2010,Canada School of Public Service,Non-EX,946
2010,Canada School of Public Service,ex   01,40
2010,Canada School of Public Service,ex   02,8
2010,Canada School of Public Service,ex   03,15
2010,Canada School of Public Service,ex   04,7
2010,Canada School of Public Service,ex   05,1
2010,Canadian Artists and Producers Professional Relations Tribunal,Non-EX,11
2010,Canadian Artists and Producers Professional Relations Tribunal,ex   02,1
2010,Canadian Dairy Commission,Non-EX,61
2010,Canadian Dairy Commission,ex   01,1
2010,Canadian Dairy Commission,ex   02,2
2010,Canadian Food Inspection Agency,Non-EX,6441
2010,Canadian Food Inspection Agency,ex   01,56
2010,Canadian Food Inspection Agency,ex   02,25
2010,Canadian Food Inspection Agency,ex   03,18
2010,Canadian Food Inspection Agency,ex   04,6
2010,Canadian Food Inspection Agency,ex   05,3
2010,Canadian Grain Commission,Non-EX,684
2010,Canadian Grain Commission,ex   01,3
2010,Canadian Grain Commission,ex   02,4
2010,Canadian Grain Commission,ex   04,1
2010,Canadian Heritage,Non-EX,2233
2010,Canadian Heritage,ex   01,79
2010,Canadian Heritage,ex   02,25
2010,Canadian Heritage,ex   03,16
2010,Canadian Heritage,ex   04,4
2010,Canadian Heritage,ex   05,1
2010,Canadian Human Rights Commission,Non-EX,187
2010,Canadian Human Rights Commission,ex   01,8
