Year,Department or agency,Province or territory of work,Number of employees
2010,Agriculture and Agri-Food Canada,Alberta,523
2010,Agriculture and Agri-Food Canada,British Columbia,284
2010,Agriculture and Agri-Food Canada,Manitoba,1177
2010,Agriculture and Agri-Food Canada,National Capital Region (NCR),2433
2010,Agriculture and Agri-Food Canada,New Brunswick,172
2010,Agriculture and Agri-Food Canada,Newfoundland and Labrador,38
2010,Agriculture and Agri-Food Canada,Nova Scotia,154
2010,Agriculture and Agri-Food Canada,Ontario (minus the NCR),433
2010,Agriculture and Agri-Food Canada,Outside of Canada,3
2010,Agriculture and Agri-Food Canada,Prince Edward Island,89
2010,Agriculture and Agri-Food Canada,Quebec (minus the NCR),650
2010,Agriculture and Agri-Food Canada,Saskatchewan,980
2010,Agriculture and Agri-Food Canada,Yukon,2
2010,Assisted Human Reproduction Canada,British Columbia,2
2010,Assisted Human Reproduction Canada,National Capital Region (NCR),12
2010,Atlantic Canada Opportunities Agency,National Capital Region (NCR),31
2010,Atlantic Canada Opportunities Agency,New Brunswick,405
2010,Atlantic Canada Opportunities Agency,Newfoundland and Labrador,134
2010,Atlantic Canada Opportunities Agency,Nova Scotia,127
2010,Atlantic Canada Opportunities Agency,Outside of Canada,1
2010,Atlantic Canada Opportunities Agency,Prince Edward Island,68
2010,Canada Border Services Agency,Alberta,521
2010,Canada Border Services Agency,British Columbia,1945
2010,Canada Border Services Agency,Manitoba,497
2010,Canada Border Services Agency,National Capital Region (NCR),4085
2010,Canada Border Services Agency,New Brunswick,398
2010,Canada Border Services Agency,Newfoundland and Labrador,83
2010,Canada Border Services Agency,Northwest Territories,2
2010,Canada Border Services Agency,Nova Scotia,314
2010,Canada Border Services Agency,Ontario (minus the NCR),4167
2010,Canada Border Services Agency,Outside of Canada,13
2010,Canada Border Services Agency,Prince Edward Island,3
2010,Canada Border Services Agency,Quebec (minus the NCR),2191
2010,Canada Border Services Agency,Saskatchewan,165
2010,Canada Border Services Agency,Yukon,14
2010,Canada Economic Development for Quebec Regions,National Capital Region (NCR),25
2010,Canada Economic Development for Quebec Regions,Quebec (minus the NCR),428
2010,Canada Energy Regulator,Alberta,356
