dept_code,dimension,2017,2018,2019,2020,2021,avg_share
ACOA,cas,16.0,15.0,25.0,14.0,11.0,0.02711750920656177
ACOA,ind,552.0,536.0,529.0,539.0,563.0,0.9102778707733511
ACOA,stu,17.0,13.0,9.0,13.0,20.0,0.024104452628054905
ACOA,ter,8.0,22.0,25.0,28.0,32.0,0.03850016739203214
AECB,ind,753.0,793.0,810.0,804.0,814.0,0.9060647514819881
AECB,na,1.0,,2.0,,,0.0006839945280437756
AECB,stu,14.0,16.0,12.0,8.0,6.0,0.012767897856817144
AECB,ter,91.0,90.0,79.0,51.0,42.0,0.08048335613315093
AGR,cas,198.0,183.0,184.0,177.0,144.0,0.033023966603302396
AGR,ind,4280.0,4318.0,4348.0,4488.0,4581.0,0.8205672965820567
AGR,stu,512.0,477.0,469.0,540.0,466.0,0.0918409184091841
AGR,ter,244.0,299.0,291.0,326.0,304.0,0.05456781840545678
ATSSC,cas,32.0,22.0,33.0,40.0,35.0,0.05563186813186813
ATSSC,ind,393.0,392.0,419.0,417.0,456.0,0.7132554945054945
ATSSC,na,1.0,,,,,0.00034340659340659343
ATSSC,stu,10.0,5.0,12.0,15.0,12.0,0.018543956043956047
ATSSC,ter,134.0,129.0,115.0,115.0,125.0,0.21222527472527472
CAS,cas,17.0,32.0,52.0,50.0,31.0,0.051253168121655875
CAS,ind,522.0,510.0,545.0,617.0,618.0,0.7918896085609688
CAS,stu,16.0,13.0,19.0,17.0,14.0,0.022247254294564915
CAS,ter,81.0,92.0,99.0,104.0,102.0,0.13460996902281047
CB,cas,,,,1.0,,0.01298701298701299
CB,ind,12.0,15.0,12.0,13.0,14.0,0.8571428571428572
CB,ter,2.0,1.0,3.0,2.0,2.0,0.12987012987012989
CBSA,cas,114.0,282.0,488.0,475.0,344.0,0.023527298850574717
CBSA,ind,13006.0,12978.0,13014.0,13359.0,13822.0,0.9142766357206012
CBSA,stu,440.0,617.0,722.0,771.0,603.0,0.043559350132626
