dept_code,so_num,pa_last_year_5,pa_last_year_4,pa_last_year_3,pa_last_year_2,pa_last_year_1
ACOA,1,69463510.52,70696195.63,72221953.0,73343234.71,77761054.82
ACOA,2,265715.39,335694.24,1589790.29,1394015.86,1360608.63
ACOA,3,423825.99,630416.24,615201.11,905777.18,751403.49
ACOA,4,3573558.35,3621113.08,3445555.95,2138598.16,2211874.84
ACOA,5,2013147.8900000001,1807766.48,1943998.6300000001,1749727.17,1984002.7
ACOA,6,57924.99,124945.7,109431.87,87682.43000000001,76557.87
ACOA,7,204744.59,163967.54,248558.26,127258.34,132582.01
ACOA,9,1184350.41,1338273.4,785951.85,927389.77,778975.48
ACOA,10,496198440.49,363964211.18,351386493.88,396798949.19,314333154.99
ACOA,12,1660397.44,807629.73,779092.8600000001,957953.0700000001,1078084.19
AECB,1,110385958.82000001,115065348.66,116792136.91,127898862.59,163214159.81
AECB,2,131280.3,728419.82,5033124.6,5801427.59,5355128.89
AECB,3,957281.13,910987.74,1072556.82,974592.94,848966.9299999999
AECB,4,15849536.65,16689748.31,17561206.69,18639705.2,18296499.8
AECB,5,3770484.72,4022189.35,4261342.32,2775168.03,2641018.85
AECB,6,919818.27,976998.28,1342145.34,3591809.7,2047977.41
AECB,7,318262.97000000003,320314.95,422847.4,561853.9,543435.33
AECB,9,3865245.26,1832129.79,2069797.42,3772499.85,3648785.66
AECB,10,3103483.5300000003,2915467.35,4328272.66,5805627.49,5673814.33
AECB,12,225669.87,78694.14000000013,82735.21999999999,223041.96,172300.59000000003
AECL,12,940740678.0,1008769322.0,1083200000.0,1344720000.0,1433600000.0
AGR,1,543371191.56,546032592.0500001,553871872.59,625345936.11,635071857.5899999
AGR,2,2625789.01,3476945.51,9047971.33,10037296.91,9486875.03
AGR,3,8560039.68,11098853.620000001,11274390.33,11048148.29,11770096.89
AGR,4,115852829.95,116111054.21,122386603.88,134458690.79,115016456.57
AGR,5,7622655.17,8639149.18,11122659.43,12359462.28,11840369.86
AGR,6,11130067.790000001,11085345.33,13885637.72,15892321.6,14546898.549999999
AGR,7,29280233.11,35311718.21,42056439.73,37939771.27,35806528.28
AGR,8,21417936.66,20254714.66,23987768.84,23398319.310000002,39793404.65
AGR,9,32916793.48,37767346.54,35253972.58,44829520.339999996,34677932.62
AGR,10,2303265384.0699997,2711519912.93,2832754636.25,3277275248.61,3158421071.38
AGR,12,10302286.67,9571144.65,9720913.18,19974233.06,15508826.930000002
AGR,21,-21482649.18,-25235740.15,-31367108.71,-23948876.11,-29928321.31
AGR,22,-27247163.520000003,-23708551.07,-27450839.03,-25168673.95,-21511426.939999998
ATSSC,1,76845198.0,81080461.86,92836673.46,100865295.31,100992062.37
ATSSC,2,1146973.96,1093909.27,1815405.14,2020791.39,1619828.92
ATSSC,3,795065.16,997897.9400000001,1399514.53,1424446.24,1269657.44
ATSSC,4,9478757.53,10111001.78,9926940.28,10313707.47,6752897.29
ATSSC,5,2842992.66,2969882.67,3099318.92,3341968.59,3230855.71
ATSSC,6,375817.52999999997,473353.32999999996,1658111.1400000001,918503.34,1180071.31
ATSSC,7,462056.19,376827.69,345912.12,448773.06,218098.81
ATSSC,9,1476020.03,441258.72000000003,951007.81,2801672.02,2423260.35
ATSSC,12,43526.48000000001,26491.969999999972,41719.47999999998,73837.07,26076.940000000002
ATSSC,21,-13815082.0,-14281361.0,-15994356.0,-16786607.0,-15856300.0
ATSSC,22,-11501737.0,-11019034.0,-13484821.0,-16729826.0,-15897208.0
CAS,1,72797807.78,69811559.98,74379833.8,90513185.74,96778259.15
CAS,2,1973425.3,2831388.81,3564977.4899999998,3352420.48,3162081.72
CAS,3,491961.88,834783.31,772994.26,834250.7300000001,786773.84
CAS,4,11000013.01,12461192.73,16316681.25,18441450.09,21163940.189999998
CAS,5,4312648.4399999995,3960352.04,5208471.17,5630512.47,6494922.32
CAS,6,518208.98,606946.38,913851.2,643580.93,748821.28
CAS,7,3948715.9,3291732.12,2699246.77,2819609.4099999997,2586007.5900000003
CAS,8,5376206.4399999995,1320136.78,1103155.88,448189.22,155220.84
CAS,9,4123380.95,5131935.5200000005,2962954.81,2269493.75,3651782.97
CAS,12,160624.91,122488.54,132494.81,174975.7,193496.87999999998
CASDO,1,4392284.13,5334635.75,6290176.54,8014426.5,7724450.23
CASDO,2,18176.05,8193.57,273052.98000000004,253159.06,130012.48
CASDO,3,92162.45,176247.04,246241.2,362101.74,385902.78
CASDO,4,1940178.21,1831000.16,3357853.9799999995,4138920.2399999998,4255998.77
CASDO,5,347677.04,222606.41999999998,256971.3,240277.5,274828.31
CASDO,6,,33189.18,173.77,20904.13,29414.81
CASDO,7,1613.58,8797.18,6701.639999999999,9921.11,6444.0599999999995
CASDO,8,2394450.33,218434.78,,,25270.97
CASDO,9,144165.79,67665.02,12844.84,21785.21,41023.54
CASDO,10,5237602.0,8499998.0,8498175.0,8500000.0,8498511.0
CASDO,12,35829.65,99847.32999999999,124409.2,27709.47,7237.51
CATSA,12,686325308.37,686115078.02,865964449.01,971162874.0,1079165190.0
CB,1,3237991.81,2869183.31,3234876.58,3220685.16,4115467.39
CB,2,20018.989999999998,22726.12,38608.18,40667.35,81812.07
CB,3,37988.47,50388.7,46350.54,45757.01,48445.369999999995
