"dept_code","so_num","in_year_auth","in_year_quarter_exp","in_year_cumul_exp","last_year_auth","last_year_quarter_exp","last_year_cumul_exp"
"ACOA",1,64500000,15468000,15468000,61910000,15236000,15236000
"ACOA",2,2368000,741000,741000,2310000,689000,689000
"ACOA",3,496000,206000,206000,431000,53000,53000
"ACOA",5,4060000,355000,355000,4742000,406000,406000
"ACOA",6,1553000,854000,854000,1807000,686000,686000
"ACOA",7,315000,171000,171000,1470000,12000,12000
"ACOA",8,341000,38000,38000,423000,98000,98000
"ACOA",9,921000,23000,23000,1318000,15000,15000
"ACOA",10,268045000,33284000,33284000,250943000,27804000,27804000
"ACOA",12,7000,161000,161000,82000,188000,188000
"AECB",1,108280000,23804000,23804000,102473000,24206000,24206000
"AECB",2,5302000,999000,999000,5331000,1276000,1276000
"AECB",3,1212000,272000,272000,1198000,236000,236000
"AECB",4,18065000,3201000,3201000,18038000,2660000,2660000
"AECB",5,5030000,885000,885000,5644000,642000,642000
"AECB",6,1299000,74000,74000,1705000,138000,138000
"AECB",7,615000,81000,81000,707000,85000,85000
"AECB",9,3040000,289000,289000,3905000,408000,408000
"AECB",10,1770000,304000,304000,1770000,406000,406000
"AECB",12,32000,-2000,-2000,31000,159000,159000
"AGR",1,496580000,122796000,122796000,500315000,122404000,122404000
"AGR",2,14865000,2505000,2505000,11304000,2567000,2567000
"AGR",3,6720000,1384000,1384000,5956000,1442000,1442000
"AGR",4,92269000,12554000,12554000,90784000,12321000,12321000
"AGR",5,6642000,2589000,2589000,5664000,2802000,2802000
"AGR",6,11058000,1390000,1390000,11369000,1509000,1509000
"AGR",7,39576000,5178000,5178000,38616000,5296000,5296000
"AGR",8,27379000,96000,96000,51820000,431000,431000
"AGR",9,38553000,2579000,2579000,31053000,2190000,2190000
"AGR",10,1803969000,72626000,72626000,1827049000,37283000,37283000
"AGR",12,26680000,31510000,31510000,8399000,4208000,4208000
"AGR",20,-52507000,-11199000,-11199000,-57069000,-13424000,-13424000
"ATSSC",1,73320048,16742744,16742744,73420523,15112868,15112868
"ATSSC",2,3858895,576948,576948,3932933,554744,554744
"ATSSC",3,656013,330467,330467,719064,212573,212573
"ATSSC",4,8182576,1316073,1316073,9120880,836856,836856
"ATSSC",5,2574511,841201,841201,3745301,368539,368539
"ATSSC",6,526840,45717,45717,377240,53847,53847
"ATSSC",7,646452,314033,314033,754318,242218,242218
"ATSSC",9,2121529,50525,50525,3261460,78894,78894
"ATSSC",12,651868,-2323,-2323,292444,102,102
"ATSSC",20,-28874834,0,0,-30380379,0,0
"CAS",1,59727000,12966000,12966000,52124000,14569000,14569000
"CAS",2,2703000,426000,426000,2634000,573000,573000
"CAS",3,427000,117000,117000,429000,314000,314000
"CAS",4,13950000,2656000,2656000,10921000,1084000,1084000
"CAS",5,1521000,892000,892000,1461000,831000,831000
"CAS",6,895000,24000,24000,1003000,39000,39000
"CAS",7,2220000,776000,776000,2191000,789000,789000
"CAS",8,6738000,0,0,2536000,0,0
"CAS",9,4664000,275000,275000,4517000,218000,218000
"CAS",12,7000,50000,50000,8000,28000,28000
"CB",1,2986000,631000,631000,2249000,488000,488000
"CB",2,75000,15000,15000,60000,8000,8000
"CB",3,185000,85000,85000,185000,102000,102000
"CB",4,615000,178000,178000,630000,98000,98000
"CB",5,90000,17000,17000,95000,8000,8000
"CB",6,142000,5000,5000,5000,4000,4000
"CB",7,65000,2000,2000,80000,12000,12000
"CB",9,0,2000,2000,15000,14000,14000
"CB",12,20000,9000,9000,0,1000,1000
"CBSA",1,1578430000,363967000,363967000,1384584000,320216000,320216000
"CBSA",2,44413000,11118000,11118000,44381000,8890000,8890000
"CBSA",3,15444000,836000,836000,8320000,181000,181000
"CBSA",4,271795000,45332000,45332000,257271000,37391000,37391000
"CBSA",5,7200000,822000,822000,6594000,1142000,1142000
"CBSA",6,41604000,5082000,5082000,32238000,3837000,3837000
"CBSA",7,13164000,1694000,1694000,20588000,1870000,1870000
"CBSA",8,58942000,1350000,1350000,87751000,1307000,1307000
"CBSA",9,67779000,1190000,1190000,107133000,2501000,2501000
"CBSA",12,21036000,2212000,2212000,22061000,2463000,2463000
"CBSA",20,-18430000,-4926000,-4926000,-18430000,-3511000,-3511000
"CCMD",1,65860000,13318000,13318000,65493000,11982000,11982000
"CCMD",2,1879000,437000,437000,2004000,402000,402000
"CCMD",3,621000,116000,116000,678000,143000,143000
"CCMD",4,14398000,6567000,6567000,16824000,3486000,3486000
"CCMD",5,657000,163000,163000,774000,50000,50000
"CCMD",6,2394000,1000,1000,2493000,2000,2000
"CCMD",7,351000,60000,60000,426000,45000,45000
"CCMD",9,2083000,163000,163000,2327000,76000,76000
"CCMD",12,-2988000,191000,191000,53000,15000,15000
"CCRA",1,3570341000,904171000,904171000,3318237000,1027810000,1027810000
"CCRA",2,188152000,35560000,35560000,170626000,33758000,33758000
"CCRA",3,4415000,2494000,2494000,1956000,293000,293000
"CCRA",4,506345000,83577000,83577000,472433000,117336000,117336000
"CCRA",5,279800000,80312000,80312000,280850000,67294000,67294000
"CCRA",6,71158000,1365000,1365000,59601000,8832000,8832000
"CCRA",7,29346000,3528000,3528000,25047000,4577000,4577000
"CCRA",9,41423000,6459000,6459000,36233000,6579000,6579000
"CCRA",10,337000000,87059000,87059000,335000000,83727000,83727000
"CCRA",11,0,0,0,0,5000,5000
"CCRA",12,200000,3570000,3570000,200000,5838000,5838000
"CCRA",20,-363797000,-89034000,-89034000,-348525000,-88753000,-88753000
"CEAA",1,46260992,9257047,9257047,25749131,7332330,7332330
"CEAA",2,1967865,359266,359266,1027331,200856,200856
"CEAA",3,391434,119161,119161,204350,44931,44931
"CEAA",4,6864485,824719,824719,2036805,407136,407136
"CEAA",5,4962442,57223,57223,2590661,54515,54515
"CEAA",6,8556,90,90,4467,256,256
"CEAA",7,213898,28694,28694,111666,16693,16693
"CEAA",8,1306919,68116,68116,682282,18092,18092
"CEAA",10,14525184,438102,438102,4715000,810546,810546
"CEAA",12,973238,14,14,508082,1068,1068
"CEAA",20,-3300000,-241619,-241619,-4000000,-235464,-235464
"CEO",1,40115000,16809000,16809000,53065000,21600000,21600000
"CEO",2,1347000,1347000,1347000,1320000,1320000,1320000
"CEO",3,445000,445000,445000,2561000,2561000,2561000
"CEO",4,6031000,6031000,6031000,6363000,6363000,6363000
"CEO",5,3277000,3277000,3277000,5258000,5258000,5258000
"CEO",6,253000,253000,253000,75000,75000,75000
"CEO",7,221000,221000,221000,879000,879000,879000
"CEO",9,168000,168000,168000,233000,233000,233000
"CEO",10,604000,604000,604000,648000,648000,648000
"CEO",12,12000,12000,12000,14000,14000,14000
"CFGB",1,4677515,1195766,1195766,4633473,1055439,1055439
